names,population,state_code,lat,lon
aats'i,,02,43.1269444,40.7388889
aatsy,,02,43.1269444,40.7388889
abaazhvakhu,,02,42.8675,41.5533333
abakhuamtsa,,02,43.1436111,40.7211111
abakhuatsa,,02,43.1436111,40.7211111
abakhvamtsa,,02,43.1436111,40.7211111
abano,,39,42.5269444,43.7625
abano,,42,42.6038889,44.3888889
abanoyeti,,09,42.5422222,43.0133333
abari,,09,42.6313889,43.2730556
abascha,,01,42.1941667,42.2241667
abasha,6222,01,42.1941667,42.2241667
abashispiri,,01,42.2011111,42.1491667
abastouman,,07,41.7561111,42.8411111
abastuman,,07,41.7561111,42.8411111
abastuman akhaltsykhskogo,,07,41.7561111,42.8411111
abastumani,1285,07,41.7,42.85
abast'umani,,07,41.7108333,42.8538889
abast'umani,,62,42.4011111,41.8888889
abastumani,,62,42.5333333,41.8166667
abazadag,,02,43.1166667,41.1
abbass-touman,,07,41.7561111,42.8411111
abbas-touman,,07,41.7561111,42.8411111
abbastuman,,07,41.7561111,42.8411111
abdalo,,58,41.4283333,44.4311111
abedat'i,,35,42.3905556,42.3033333
abeliani,,22,41.5722222,44.4916667
abgara,,02,43.1966667,40.6247222
abgarkhuk,,02,43.11,40.7158333
abgarkhuki,,02,43.11,40.7158333
abgauyera,,02,43.1269444,40.6580556
abgavera,,02,43.1269444,40.6580556
abgharkhuk'i,,02,43.11,40.7158333
abgigdara,,02,42.8466667,41.6883333
abi,,07,41.6166667,42.9666667
abisi,,25,42.0877778,43.7680556
abisistavi,,28,42.1,43.7333333
ablukhvara,,02,43.1102778,41.2438889
ablukhvari,,02,43.1102778,41.2438889
abrameti,,22,41.615,44.4966667
abrevi,,26,42.0555556,44.3613889
abtskhua,,02,43.1725,40.4880556
abuk'et'i,,04,41.65,42.0333333
abukhalo,,25,41.8138889,43.7563889
abul,,38,41.4,43.6166667
abuli,,38,41.4,43.6166667
abutvani,,16,42.0525,42.3561111
abzhaaptra,,02,42.75,41.5166667
abzhabtra,,02,42.75,41.5166667
abzhakva,,02,43.0325,41.0752778
abzhaqva,,02,43.0325,41.0752778
ach'adara,,02,43.0438889,40.9980556
achakva,,02,43.0952778,40.7830556
achalkalaki,,06,41.4125,43.4777778
achal senaki,,48,42.2688889,42.0791667
ach'alsheni,,04,41.6272222,41.7205556
achalziche,,07,41.6372222,42.9783333
achalzych,,07,41.6372222,42.9783333
achandara,,02,42.89,41.5911111
achara,,56,42.5577778,42.8591667
acharisaghmart'i,,04,41.5213889,41.8002778
acharis-agmarti,,04,41.5213889,41.8002778
acharistskhali,,04,41.5480556,41.7366667
acharistsqali,,04,41.5480556,41.7366667
acharkete,,02,42.8122222,41.4027778
acharketi,,02,42.8122222,41.4027778
ache,,19,42.5108333,44.9772222
achekha,,19,42.4575,44.9188889
achi,,40,41.8391667,42.0233333
ach'igvara,,02,42.6883333,41.6361111
achkatsa,,02,43.1416667,40.6711111
ach'khoti,,19,42.6225,44.6172222
achkvistavi,,04,41.8166667,41.9166667
ach'marda,,34,43.4175,40.2155556
adadze,,04,41.7125,42.3791667
adadzeebi,,04,41.7125,42.3791667
adadzeyebi,,04,41.7125,42.3791667
adgulyand-kari,,19,41.9663889,44.7394444
adigeni,1313,07,41.6858333,42.7102778
adish,,36,42.9975,42.915
adishi,,36,42.9975,42.915
adlia,,04,41.6208333,41.5916667
