names,population,state_code,lat,lon
abouna sounga,,00,4.05,-54.35
acarouani,,00,5.6,-53.8
acarouany,,00,5.6,-53.8
adieu-vat,,00,4.8666667,-53.0
aeroplane conde,,00,4.4166667,-54.4333333
aeroplane konde,,00,4.4166667,-54.4333333
agami,,00,3.7666667,-53.2166667
agode,,00,3.8333333,-54.1833333
akilengui,,00,5.0833333,-54.4
akodo,,00,5.1666667,-54.3333333
akoumenai,,00,2.95,-52.4
akoumenay,,00,2.95,-52.4
akoumenaye,,00,2.95,-52.4
akouti,,00,4.3833333,-54.3166667
alicia,,00,3.3833333,-52.9166667
alicoto,,00,3.1166667,-52.35
alikene,,00,3.3333333,-52.4166667
alikoto,,00,3.1166667,-52.35
aloike,,00,3.3166667,-54.0666667
alowike,,00,3.3166667,-54.0666667
amekan tabiki,,00,4.8166667,-54.4666667
ana konde,,00,4.2333333,-54.3833333
ancien degrad fourmi rouge,,00,3.2833333,-53.6
ancien degrad francis,,00,3.5166667,-53.75
ancien degrad jougla,,00,5.5666667,-53.9333333
ancien degrad nicole,,00,3.55,-53.8
ancien degrad vitalo,,00,3.25,-53.5833333
ancien papaichton,,00,3.8166667,-54.1666667
ancien village hubert,,00,3.1,-53.25
ancien village mathurin,,00,4.5333333,-52.5333333
ancien village poteau carre,,00,4.5666667,-52.4
angouleme,,00,5.4,-53.65
ankel,,00,5.3,-54.2166667
antecume pata,,00,3.2833333,-54.0666667
anton,,00,5.5333333,-53.4333333
aouara,,00,5.7333333,-53.9
apatou,4753,00,5.15,-54.3333333
approuague,,00,4.4166667,-51.9333333
aratai,,00,3.9833333,-52.5666667
arataye,,00,3.9833333,-52.5666667
arotaye,,00,3.9833333,-52.5666667
asisi,,00,3.8166667,-54.2
asisie,,00,3.8166667,-54.2
assici,,00,3.8166667,-54.2
assisi,,00,3.8166667,-54.2
assissi,,00,3.8166667,-54.2
aubry,,00,5.05,-53.65
avenir,,00,4.7666667,-53.75
awara,,00,5.7333333,-53.9
babel,,00,5.0166667,-54.4333333
badek,,00,3.95,-52.9833333
baduel,,00,4.9333333,-52.3166667
bagdad,,00,3.85,-53.0833333
bagot,,00,4.5333333,-52.55
baino,,00,4.9333333,-54.45
balate,,00,5.4833333,-54.05
balourou,,00,3.5166667,-53.1
bamboula,,00,3.8333333,-53.1833333
banana,,00,4.7,-52.5333333
banc de sable,,00,4.9833333,-52.75
banlieue-sud,,00,4.9333333,-52.3333333
barkarel,,00,3.55,-54.0
barthelemy,,00,4.25,-52.55
bas-espoir,,00,3.65,-53.6166667
batardeau,,00,4.25,-52.7166667
baticane,,00,5.4833333,-53.65
ba“uf bois,,00,4.9666667,-53.05
ba“uf mort,,00,3.4166667,-52.9666667
bauge,,00,4.2333333,-52.2166667
beau rivage,,00,4.7166667,-53.9166667
beau soleil,,00,4.8666667,-52.25
bec de sable,,00,4.9833333,-52.75
belizon,,00,4.25,-52.65
belle etoile,,00,3.9833333,-52.9666667
bellevue,,00,3.7666667,-54.1
benefica,,00,4.8833333,-53.3166667
bernard,,00,4.75,-53.9
bernardin,,00,3.6166667,-53.7
bicade,,00,3.4,-53.45
bienvenue,,00,3.1166667,-52.7
biguiston,,00,5.35,-54.15
bistouri,,00,4.5333333,-52.65
bita,,00,4.0333333,-52.55
blacus,,00,3.6833333,-53.5333333
blicade,,00,3.3,-53.85
bois bande,,00,4.25,-52.5833333
bois couronne,,00,4.8166667,-53.6833333
bois macaque,,00,4.9833333,-52.7666667
bois martin,,00,5.0,-54.4333333
bonidoro,,00,4.9166667,-54.45
boniville,,00,3.8333333,-54.1833333
bonne entente,,00,5.0,-53.85
borie,,00,4.9333333,-53.45
bossou,,00,5.0333333,-54.4166667
bostok,,00,3.4333333,-53.9666667
boulanger,,00,4.5666667,-52.4166667
bourda,,00,4.9333333,-52.2833333
bourg de kourou,,00,5.15,-52.65
brigandin,,00,5.4166667,-52.9833333
buja-le-haut,,00,3.1666667,-52.6833333
cabassou,,00,4.8833333,-52.3
cacao,,00,4.5833333,-52.4666667
cafe,,00,3.7333333,-53.7166667
cambrouse,,00,5.1833333,-53.4833333
cambrousse,,00,5.1833333,-53.4833333
cambrouze,,00,3.65,-53.2333333
camelie,,00,5.05,-54.4166667
camopi,1295,00,3.1666667,-52.35
camp caimans,,00,4.5666667,-52.2166667
camp charvein,,00,5.5666667,-53.9
camp de coswine,,00,5.6666667,-53.95
camp de remire,,00,4.9,-52.2666667
camp leonce,,00,4.5666667,-52.4
camp maipouri,,00,5.15,-53.9833333
camp rochambeau,,00,4.8333333,-52.3833333
camp voltaire,,00,5.05,-54.0833333
capon,,00,3.9166667,-51.8333333
carbet brule,,00,3.3666667,-52.8833333
carbet gaulettes,,00,3.8333333,-53.1333333
carbet hocco,,00,3.8,-53.0
carbet la nuit,,00,3.7833333,-53.1833333
carbet la panne,,00,4.1666667,-52.8833333
carbet mais,,00,3.6333333,-53.0666667
carbet medard,,00,5.4,-53.6666667
carbet mitan,,00,3.3,-52.8
carbets,,00,3.4166667,-53.8833333
carbet tonkin,,00,4.85,-53.2666667
carbet toukan,,00,5.2,-52.7666667
cariacou,,00,4.8166667,-53.15
carrefour de mana,,00,5.5,-53.9833333
carriere,,00,4.2833333,-52.6666667
caussade,,00,5.0666667,-52.6
caux,,00,4.4833333,-52.0333333
cayenne,61642,00,4.9333333,-52.3333333
central bief,,00,4.5166667,-52.4666667
