names,population,state_code,lat,lon
abaadze,,04,5.2,-1.0833333
abaam,,09,6.2166667,-0.8333333
abaasa,,04,5.3666667,-0.95
abaase,,02,7.95,-1.1833333
ababio,,09,5.7666667,-0.6
ababuom,,09,5.6333333,-1.3166667
abadzi,,04,5.2,-1.0833333
abagamia,,10,10.9833333,-0.75
abaka,,04,5.3,-1.1666667
abakano,,04,5.1,-1.4666667
abakanu,,04,5.1,-1.4666667
abakanunkun,,04,5.1,-1.45
abakle,,08,6.15,0.1166667
abakrampa,,04,5.25,-1.2333333
abakukope,,08,5.95,0.55
abakunkam,,04,5.1,-1.45
abakwa,,09,5.5,-0.6333333
abakwam,,02,6.55,-1.25
abalebo,,09,5.0333333,-2.2166667
abama,,02,7.6833333,-1.1833333
abamensam,,08,6.4333333,0.1333333
abamkrom,,09,5.7333333,-0.6333333
abamkurom,,09,5.7333333,-0.6333333
abamkwam,,04,5.5166667,-0.8666667
abamkwanmu,,04,5.5166667,-0.8666667
abanase,,02,6.6833333,-1.4333333
abanase,,08,6.5333333,0.2333333
abanasi,,02,6.6833333,-1.4333333
abanasi,,08,6.5333333,0.2333333
abane,,08,5.7833333,0.6
abanko,,09,5.0166667,-2.2333333
abankrampa,,04,5.25,-1.2333333
abankrom,,02,6.75,-1.4833333
abankrom,,04,5.3333333,-1.1
abankurom,,02,6.75,-1.4833333
abansua panyin,,02,6.7166667,-1.9333333
abanyaso,,02,6.2166667,-1.8166667
abanyasu mile 14,,02,6.2166667,-1.8166667
abasa,,04,5.3666667,-0.95
abasa,,09,5.45,-0.6666667
abase,,02,6.8833333,-1.2333333
abase,,09,4.8813889,-2.06
abasi,,02,6.8833333,-1.2333333
abasi,,08,6.4666667,0.1666667
abasi,,09,4.8813889,-2.06
abasua,,02,6.9666667,-1.4
abasuakuma,,02,6.7166667,-1.9333333
abasuapayin,,02,6.7166667,-1.9333333
abasukuma,,02,6.7166667,-1.9333333
abatamesu,,09,5.3833333,-1.6333333
abatumesu,,09,5.3833333,-1.6333333
abaw,,08,6.05,0.8666667
abawdiem,,02,6.85,-2.2
abawdikro,,03,7.6166667,-1.9333333
abawe,,02,6.3333333,-1.5833333
abawnse,,08,5.9833333,-0.0166667
abawso,,09,5.65,-1.9833333
abayeme,,08,6.95,0.2833333
abayisua,,02,6.9666667,-1.4
abbobokazo,,09,5.0,-2.4333333
abbontiakoon,,09,5.3166667,-1.9833333
abeadzi-domenosi,,04,5.35,-1.0833333
abeam,,09,6.2166667,-0.8333333
abease,,02,7.95,-1.1833333
abeasi,,02,7.95,-1.1833333
abehenasi,,08,7.1166667,0.3833333
abeheneasi,,08,7.1166667,0.3833333
abehu,,09,5.9833333,-0.55
abejum,,02,6.3,-1.6666667
abeka,,04,5.2333333,-0.9833333
abeka,,08,5.6,-0.2333333
abekabum,,04,5.3666667,-0.9833333
