names,population,state_code,lat,lon
aalatsivik,,03,68.1666667,-52.8333333
aappilattoq,208,03,72.8833333,-55.6
aappilattorq,,03,72.8833333,-55.6
aasiaat,3115,03,68.7166667,-52.8666667
aasivik,,03,62.2,-49.3333333
agdluitsoq,,03,60.55,-45.4666667
agdluitsup pa,,03,60.45,-45.55
agpamiut,,03,65.6666667,-53.1833333
agparssuit,,01,77.4166667,-72.6666667
agpat,,03,69.7666667,-51.3166667
agto,,03,67.95,-53.6333333
akigsungek,,03,67.8666667,-53.6
akinaitsat,,02,65.5333333,-37.2
akinatsiait,,02,65.5333333,-37.2
akiqsserniak,,03,67.8666667,-53.6
akugdlek,,03,68.6666667,-51.25
akugdlit,,03,68.3833333,-53.3333333
akuliarusek,,03,60.4666667,-45.4833333
akuliaruseq,,03,71.0333333,-51.9666667
akulliit,,03,68.3833333,-53.3333333
akumak,,03,68.75,-52.3333333
akunaq,,03,68.75,-52.3333333
akunnaaq,107,03,68.75,-52.3333333
alluitsoq,,03,60.55,-45.4666667
alluitsup paa,364,03,60.45,-45.55
amerdlok,,03,66.9333333,-53.6833333
ammassalik,,02,65.6,-37.6333333
ammassivik,83,03,60.6,-45.3833333
angmagssalik,,02,65.6,-37.6333333
angmagssivik,,02,65.9666667,-37.1166667
angmagsslik,,02,65.6,-37.6333333
angmassalik,,02,65.6,-37.6333333
anordliuitsoq,,03,60.0833333,-44.2166667
anorliuitsoq,,03,60.0833333,-44.2166667
appaarsuit,,01,77.4166667,-72.6666667
appamiut,,03,65.6666667,-53.1833333
appat,,03,70.9166667,-52.1666667
aputiteeq,,02,67.7833333,-32.2833333
aputiteq,,02,67.7833333,-32.2833333
aqigsserniaq,,03,67.8666667,-53.6
aqisserniaq,,03,67.8666667,-53.6
arsivik,,03,69.85,-50.7
arsuk,145,03,61.1666667,-48.45
asatdlut,,03,60.55,-45.2333333
assaqutaq,,03,66.9166667,-53.4666667
ataa,,03,69.7666667,-50.95
ata,,03,69.7666667,-50.95
atammik,250,03,64.8,-52.2166667
atangmik,,03,64.8,-52.2166667
atarta,,03,70.3166667,-53.0
attu,281,03,67.95,-53.6333333
augpaiartok,,03,72.8833333,-55.6
augpalartok,,03,72.8833333,-55.6
augpilagtok,,03,72.8833333,-55.6
augpilagtoq,,03,72.8833333,-55.6
aulatsivik,,03,68.1666667,-52.8333333
aumarutigssat,,03,69.4333333,-52.45
ausiait,,03,68.7166667,-52.8666667
aussivik,,03,62.2,-49.3333333
autdlainiarfinguaq,,03,70.7,-54.5833333
avangnardlit,,03,69.1166667,-51.0833333
avigaat,,03,62.2333333,-49.8333333
avigait,,03,62.2333333,-49.8333333
avssaqutaq,,03,66.9166667,-53.4666667
camp lloyd,,03,66.9833333,-50.9333333
cape york,,01,75.9272222,-66.4488889
christianshaab,,03,68.8166667,-51.1833333
christianshab,,03,68.8166667,-51.1833333
claushavn,,03,69.0833333,-51.1166667
diskofjord,,03,69.4833333,-53.95
dundas,,01,76.5772222,-68.7755556
dundas,,03,76.55,-68.8
east proven,,03,59.9833333,-44.7
egedesminde,,03,68.7166667,-52.8666667
ekogfat,,03,69.9833333,-51.4333333
eqalugaarsuit,,03,60.6166667,-45.9166667
eqi,,03,69.1333333,-51.0833333
eripassut,,01,77.7830556,-70.3097222
erkigtok,,03,69.4833333,-53.95
etah,,01,78.3166667,-72.6333333
evkitsok,,03,69.4833333,-53.95
faeringehavn,,03,63.7,-51.55
faeringerhavnen,,03,63.7,-51.55
finnsbu,,02,63.3833333,-41.3
fiskenaes,,03,63.0833333,-50.6666667
fiskenaesset,,03,63.0833333,-50.6666667
fiskengesset,,03,63.0833333,-50.6666667
fiskernaes,,03,63.0833333,-50.6666667
frederiksdal,,03,60.0030556,-44.6636111
frederikshaab,,03,62.0,-49.75
frederikshab,,03,62.0,-49.75
gamle egedesminde,,03,67.65,-53.5833333
gamle qutdligssat,,03,70.0333333,-52.95
gammel sukkertoppen,,03,65.8333333,-53.3333333
godhavn,,03,69.25,-53.55
godthaab,,03,64.1833333,-51.75
godthab,,03,64.1833333,-51.75
gronnedal,,03,61.2333333,-48.1
harbor camp,,03,66.9833333,-50.9333333
herjolfsnes,,03,59.9833333,-44.7
holsteinborg,,03,66.9333333,-53.6833333
holsteinsborg,,03,66.9333333,-53.6833333
holstenborg,,03,66.9333333,-53.6833333
holstensborg,,03,66.9333333,-53.6833333
hunde ejland,,03,68.85,-53.1166667
igaliko,,03,60.9833333,-45.4166667
igaliku,49,03,60.9833333,-45.4166667
igdloluarsuit,,03,70.05,-54.8333333
igdlorpait,,03,60.45,-45.3333333
igdlorqortormiut,,02,70.4833333,-21.9666667
igdlorssuit,,01,77.5566667,-68.585
igdlorssuit,,03,71.2333333,-53.5666667
igdlorsuit,,03,71.2333333,-53.5666667
igdluiartorfik,,03,72.6666667,-56.15
igdlukavsak,,03,72.2,-55.8166667
igdlukorssuit,,03,72.2333333,-55.9333333
igdluligssuak,,03,74.35,-56.7
igdlulik,,03,74.35,-56.7
igdluluarssuit,,01,77.7952778,-70.7558333
igdluluarssuit,,03,70.05,-54.8333333
igdlumiut,,02,65.5833333,-37.5833333
igdlunguaq,,03,64.25,-50.9666667
iginiarfik,,03,68.15,-53.1666667
iginniarfik,103,03,68.15,-53.1666667
igssalik,,02,65.5166667,-39.0166667
igterajivit,,02,70.45,-22.3833333
igtorqortormit,,02,70.4833333,-21.9666667
igtumit,,02,65.5833333,-37.5833333
ikamiut,92,03,68.6333333,-51.8333333
ikateq,,02,65.6333333,-37.9333333
ikerarssuk,,03,66.8166667,-53.1
ikerasaarsuk,116,03,68.1333333,-53.5333333
ikerasagssuak,,03,60.05,-43.1666667
ikerasagssuaq,,02,65.5666667,-37.1166667
ikerasak,286,03,70.5,-51.3
ikerasarssuk,,03,68.1333333,-53.5333333
ikerasassuaq,,03,60.05,-43.1666667
ikeraussak,,01,77.3613889,-68.4641667
ikeraussek,,01,77.3613889,-68.4641667
ikigait,,03,59.9833333,-44.7
ikkamiut,,03,65.6333333,-52.8
ikorfat,,03,69.9833333,-51.4333333
ilimanaq,84,03,69.0833333,-51.1166667
ilivileq,,03,60.1166667,-45.2166667
illoqqortoormiut,531,02,70.4833333,-21.9666667
illorpaat,,03,60.45,-45.3333333
illorsuit,97,03,71.2333333,-53.5666667
illulik,,03,74.35,-56.7
iluilek,,03,69.25,-53.55
ilulisat,,03,69.2166667,-51.1
ilulissat,4413,03,69.2166667,-51.1
innalik,,03,68.45,-53.5
inugsuk,,03,70.0333333,-50.5333333
inussuk,,03,70.0333333,-50.5333333
ippik,,03,60.5,-45.2833333
isertoq,,02,65.5333333,-38.9833333
isortoq,113,02,65.5333333,-38.9833333
isua,,03,60.35,-45.4166667
iterdlak,,03,60.9166667,-45.3
iterlak,,03,60.9166667,-45.3
itilleq,,01,77.2244444,-69.4891667
itilleq,121,03,66.5833333,-53.5
itivdlek,,01,77.2244444,-69.4891667
itivdlek,,03,66.5833333,-53.5
itivdleq,,01,77.2244444,-69.4891667
itivdleq,,03,66.5833333,-53.5
itivnera,,03,64.3833333,-50.4
itseqqortoormiit,,02,70.4833333,-21.9666667
ittaajimmiut,,02,70.45,-22.3833333
itterajivit,15,02,70.45,-22.3833333
ittoqqortoormiit,,02,70.4833333,-21.9666667
ittorisseq,,02,70.45,-22.45
ittumiit,,02,65.5833333,-37.5833333
ivanganek,,01,75.9272222,-66.4488889
iviggut,,03,61.2,-48.1666667
ivigtut,,03,61.2,-48.1666667
ivittuut,11,03,61.2,-48.1666667
ivnalik,,03,68.45,-53.5
ivnanganek,,01,75.9272222,-66.4488889
ivssorigseg,,02,70.45,-22.45
ivssorigseq,,02,70.45,-22.45
ivtorigteq,,02,70.45,-22.45
jakobshavn,,03,69.2166667,-51.1
julianehaab,,03,60.7166667,-46.0333333
julianehab,,03,60.7166667,-46.0333333
julian haab,,03,60.7166667,-46.0333333
kaersut,,03,70.7333333,-52.65
kagsiarsuk,,03,60.9,-45.2833333
kagsimiut,,03,60.7833333,-47.1666667
kagssiarssuk,,03,61.15,-45.5166667
kagssigssalik,,01,77.3333333,-71.5333333
kakortak,,03,60.7166667,-46.0333333
kakortok,,03,60.7166667,-46.0333333
kanak,,01,77.4894444,-69.3322222
kanaq,,01,77.4894444,-69.3322222
kangaamiut,396,03,65.8333333,-53.3333333
kangaarsuk,,03,72.0,-55.6
kangaatsiaq,680,03,68.3,-53.4666667
kangamiut,,03,65.8333333,-53.3333333
kanganiut,,03,65.8333333,-53.3333333
kangarssuk,,03,72.0,-55.6
kangatok,,01,77.3833333,-72.4666667
kangatsiak,,03,68.3,-53.4666667
kangatsiaq,,03,68.3,-53.4666667
kangek,,01,77.3025,-68.8425
kangek,,03,64.1166667,-52.05
kangeq,,01,77.2666667,-69.1
kangeq,,03,64.1166667,-52.05
