names,population,state_code,lat,lon
abeokuta,,03,13.3666667,-14.6166667
abuko,,05,13.4041667,-16.6558333
ahalulie,,03,13.4666667,-14.9166667
alaji yoro,,05,13.5230556,-16.2838889
alakounda,,05,13.1666667,-15.9666667
albadarr,,05,13.3344444,-16.3866667
albreda,,05,13.3344444,-16.3866667
alhaji abdoulie liegh,,05,13.7,-15.2833333
alhaji bajonkoto,,07,13.5333333,-15.8166667
alhaji dembo,,03,13.4666667,-14.8833333
alicali kunda,,07,13.5333333,-15.7333333
alical kunda,,07,13.5333333,-15.7333333
alijamadu,,05,13.4,-16.4555556
alimaka,,03,13.4666667,-14.4833333
aljamdu,,05,13.4,-16.4555556
aljamdu kamara kunda,,05,13.4,-16.45
aljamdu kanteh kunda,,05,13.4,-16.45
allahein,,05,13.0727778,-16.7469444
alla kunda,,05,13.1672222,-16.0113889
alla tenta,,03,13.45,-14.6666667
alohungari,,04,13.3166667,-14.2333333
alohungari banta,,04,13.2666667,-14.1333333
alpha,,05,13.4666667,-16.35
alpha hamjatu,,05,13.4666667,-16.3166667
alpha n'ding,,05,13.4666667,-16.35
amdalai,,05,13.4319444,-16.7225
amdallai,,05,13.5883333,-16.4227778
amdulai,,05,13.4319444,-16.7225
amdulay,,05,13.4319444,-16.7225
ampaya,,05,13.4525,-16.6908333
anias kunda,,05,13.5666667,-15.1833333
anulie,,03,13.4666667,-14.9166667
arangalain,,05,13.2066667,-16.1469444
arankon kunda,,05,13.2333333,-15.9166667
arongkoli kunda,,05,13.2333333,-15.8666667
baba,,02,13.4333333,-15.45
babilon gunjur,,05,13.2133333,-16.7461111
babou jobe,,05,13.6,-15.3
badari,,04,13.3333333,-14.1
badja kunda,,04,13.4666667,-14.05
ba duma,,05,13.35,-16.3333333
badume,,02,13.4,-15.3666667
bafuloto,,05,13.3188889,-16.6275
bafulotor,,05,13.4397222,-16.3163889
bahdad,,05,13.6166667,-15.1
bahen,,02,13.5833333,-15.4166667
bahoom,,05,13.5713889,-16.3286111
bahwa,,04,13.2666667,-14.2833333
baiaba,,03,13.5,-14.5
bai ba,,03,13.5,-14.5
baien,,07,13.5666667,-16.05
baijana,,05,13.1869444,-16.3983333
baijangkortor,,05,13.2666667,-15.9
bai n'ding,,03,13.5,-14.5
baintengkay,,05,13.6666667,-15.4
baipal,,05,13.1761111,-16.0997222
bai tenda,,02,13.45,-15.4166667
baitit mamu fana,,05,13.6,-15.1166667
bajagar,,05,13.1933333,-16.1813889
bajagar dumbutu,,05,13.2094444,-16.1180556
bajagar jola,,05,13.1944444,-16.1188889
bajana,,05,13.1869444,-16.3983333
bajankoto,,04,13.3833333,-14.25
baji kunda,,05,13.2152778,-16.0558333
bajilo,,05,13.21,-16.2141667
bajiran,,05,13.2833333,-15.9666667
bajong koto,,05,13.2297222,-16.6494444
bajong kotor,,05,13.4116667,-16.6616667
bajon koto,,02,13.3666667,-15.6166667
bajonkoto,,05,13.23,-16.0955556
bajon kotor,,05,13.4116667,-16.6616667
bakadagy,,03,13.7166667,-15.0166667
bakadagy,,04,13.3,-14.3833333
bakadaji,,03,13.65,-14.8333333
bakadaji,,04,13.3,-14.3833333
bakadaji kunda,,03,13.65,-14.8333333
bakalari,,05,13.4216667,-16.4266667
bakalarr,,05,13.4216667,-16.4266667
bakang,,07,13.5044444,-16.1444444
bakary sambou,,05,13.2388889,-16.6441667
bakau,47654,05,13.4780556,-16.6819444
bakau kunku,,05,13.3244444,-16.8008333
bakau nding,,05,13.47,-16.6836111
bakendik,,05,13.4561111,-16.4536111
bakkendik,,05,13.4561111,-16.4536111
bakolar,,05,13.4216667,-16.4266667
