names,population,state_code,lat,lon
adalamdjaki,,19,11.2166667,-10.5
adjidougou,,01,8.6666667,-8.3166667
adjinn,,18,12.6,-13.1166667
afia,,07,11.6666667,-10.75
afia,,22,12.2166667,-12.5833333
agbalazou,,21,8.7166667,-9.7833333
agunk,,18,12.5666667,-13.1333333
akadasso,,18,12.35,-13.3
akoudetiangui,,22,12.2,-12.2
akoul,,18,12.45,-12.9166667
akoundetiandi,,07,11.4666667,-10.7833333
akoutiandi,,22,12.1333333,-12.55
alahina,,26,11.6,-9.5666667
alahine,,26,11.6666667,-8.9666667
alaminata,,24,8.1833333,-8.6666667
alana,,07,11.6333333,-10.75
albaderia,,17,9.55,-10.1
alemamya,,10,9.3825,-13.2225
alemaniya,,10,9.3825,-13.2225
alfa mama,,19,11.15,-10.4
alia,,10,9.2833333,-13.0333333
alianbale,,19,9.7833333,-9.8666667
alifadougou,,01,8.7666667,-8.3666667
alimaya,,19,11.1333333,-10.6333333
aliya,,10,9.2833333,-13.0333333
allahina,,26,11.6,-9.5666667
aloudet,,07,11.7833333,-10.75
altou,,18,12.3666667,-13.4666667
amaraya,,10,9.455,-13.4741667
amdallaye,,07,11.7333333,-10.5333333
ampank,,18,12.4833333,-13.1166667
andalaye,,25,10.85,-12.3666667
andefo,,18,12.2666667,-13.0333333
angorguire,,18,12.2833333,-12.95
anguera,,18,12.1,-13.0
ankoro,,14,10.25,-9.1833333
anourezia,,21,8.7,-9.6666667
ansagnere,,07,11.35,-10.7666667
ansagnere diengueibe,,07,11.4,-11.0
ansagnere soguiyabe,,07,11.3833333,-10.95
ansangnere,,20,11.1833333,-12.4833333
ansanguere,,20,11.1833333,-12.4833333
ansoumania,,08,9.7055556,-13.5469444
ansoumanya,,08,9.7055556,-13.5469444
anssanguere,,22,12.2166667,-12.1833333
anub,,18,12.45,-12.8833333
anubo,,18,12.3,-12.8833333
aoralo,,21,8.7333333,-9.8333333
aorola,,21,8.7333333,-9.8333333
aorolo,,21,8.7333333,-9.8333333
aoulazou,,21,8.7333333,-9.8333333
aouria,,17,8.8952778,-9.7811111
arfa moussaia,,05,10.7666667,-11.3666667
arfan,,05,10.7666667,-11.3666667
aria,,19,10.5833333,-10.6333333
