names,population,state_code,lat,lon
abeymes,,00,16.2666667,-61.5
abymes,,00,16.2666667,-61.5
acomat,,00,16.2166667,-61.75
agapy,,00,15.9833333,-61.25
anse-bertrand,5146,00,16.4666667,-61.5
anse des cayes,,00,17.9166667,-62.85
anse des flamands,,00,17.9166667,-62.85
ausset,,00,16.0666667,-61.7666667
bagatelle,,00,15.95,-61.3
baie mahault,,00,16.3166667,-61.0166667
baie-mahault,30553,00,16.2666667,-61.5833333
baille-argent,,00,16.25,-61.8
baillif,5705,00,16.0166667,-61.7333333
baimbridge,,00,16.2333333,-61.5166667
ballet,,00,15.9,-61.3166667
bananier,,00,16.0,-61.6
barbier,,00,16.1666667,-61.6
barre de l'ile,,00,15.95,-61.2666667
barre de l'ile numero un,,00,15.95,-61.2666667
bas du fort,,00,16.2166667,-61.5
basse-terre,11472,00,16.0,-61.7166667
bas vent,,00,16.3333333,-61.7666667
bazin,,00,16.2666667,-61.4833333
beaugendre,,00,16.0833333,-61.75
beauplan,,00,16.4166667,-61.45
beauport,,00,16.4166667,-61.5
beauregard,,00,15.8833333,-61.25
beaurenom,,00,15.8833333,-61.3
beausejour,,00,15.9,-61.2166667
beausoleil,,00,16.25,-61.7833333
bel air,,00,16.0666667,-61.75
belcourt,,00,16.25,-61.5833333
belle-allee,,00,16.25,-61.3
belle-annee,,00,16.25,-61.3
belle esperance,,00,16.3,-61.5
belle place,,00,16.2666667,-61.4333333
belle-plaine,,00,16.2833333,-61.5166667
bellevue,,00,15.9166667,-61.2333333
benard,,00,16.3833333,-61.4333333
berard,,00,16.25,-61.35
besnard,,00,16.0833333,-61.5833333
betin,,00,16.45,-61.5
bezard,,00,15.9333333,-61.2333333
bichemin,,00,16.0833333,-61.75
bielle,,00,15.9166667,-61.25
bis,,00,16.2666667,-61.6666667
bisdary,,00,15.9833333,-61.7166667
blanchet,,00,15.9833333,-61.7
blanchette,,00,15.9833333,-61.7
blandin,,00,16.0333333,-61.75
blondin,,00,16.0333333,-61.75
bois debout,,00,16.0166667,-61.5833333
boismorin,,00,16.4,-61.4833333
boisripeau,,00,16.2833333,-61.4833333
boisvin,,00,16.2666667,-61.4666667
boivin,,00,16.2666667,-61.3666667
bon,,00,15.95,-61.3166667
bonfils,,00,16.0666667,-61.5666667
bonne mere,,00,16.2666667,-61.6666667
bonnet,,00,15.9166667,-61.2833333
bonneval,,00,15.8833333,-61.3
bontemps,,00,15.9166667,-61.2
bontemps-rameau,,00,15.9166667,-61.2
bord de mer,,00,15.9666667,-61.65
bordeaux-bourg,,00,16.3333333,-61.45
boree,,00,15.95,-61.2166667
borel,,00,16.2666667,-61.6166667
boricaud,,00,16.2833333,-61.4333333
bosredon,,00,16.3166667,-61.4666667
boucan,,00,16.2833333,-61.6666667
bouillante,7541,00,16.1333333,-61.7666667
bouillante-village,,00,16.1,-61.75
bouille,,00,16.1833333,-61.6
bouliqui,,00,16.2666667,-61.45
bourg des saintes,,00,15.8666667,-61.5666667
boyer,,00,15.9833333,-61.65
brefort,,00,16.2666667,-61.6333333
brion,,00,16.3166667,-61.45
broue,,00,16.0833333,-61.7666667
brouel,,00,16.0833333,-61.7666667
bruman,,00,16.4166667,-61.5166667
brument,,00,16.4166667,-61.5166667
budan,,00,16.2333333,-61.6
cadet,,00,15.8833333,-61.2333333
cadet de reine,,00,16.1,-61.75
cafeiere,,00,16.3166667,-61.7666667
calebas,,00,16.3,-61.6833333
calvaire,,00,16.2666667,-61.3666667
cambrai,,00,16.0,-61.2666667
cambrefort,,00,16.0666667,-61.5666667
campeche,,00,16.4333333,-61.4333333
camp jacob,,00,16.0333333,-61.7
capesterre-belle-eau,19823,00,16.05,-61.55
capesterre,,00,15.8833333,-61.2166667
carangaise,,00,16.0666667,-61.55
caraque,,00,16.25,-61.4833333
carbet,,00,16.0166667,-61.5833333
castel,,00,16.25,-61.65
chalet,,00,15.9666667,-61.3
champfleury,,00,15.9833333,-61.6833333
chapelle sainte-therese,,00,15.9833333,-61.25
charneau,,00,16.0,-61.6666667
chartreux,,00,16.2333333,-61.65
chassaing,,00,16.25,-61.2333333
chateaubrun,,00,16.25,-61.35
chateau-gaillard,,00,16.3,-61.3833333
chazeau,,00,16.3,-61.45
chazeaux,,00,16.3,-61.45
clugny,,00,16.3166667,-61.4
cocotier,,00,15.95,-61.2833333
cocoyer,,00,16.2333333,-61.4666667
coignet,,00,16.3666667,-61.4166667
colombier,,00,17.9166667,-62.85
conchou,,00,16.3333333,-61.3166667
corossol,,00,17.9,-62.85
couchon,,00,16.3333333,-61.3166667
courbaril,,00,15.95,-61.3
courcelles,,00,16.25,-61.3166667
courcelles sucrerie,,00,16.25,-61.3166667
creuilly,,00,16.3666667,-61.4
cul de sac,,00,18.1,-63.0333333
darboussier,,00,16.2333333,-61.5166667
david,,00,16.5333333,-61.4666667
de berard,,00,16.25,-61.35
decostier,,00,16.2833333,-61.65
de pombiray,,00,16.2833333,-61.3
de poyen,,00,16.1833333,-61.6166667
d' equainville,,00,16.25,-61.3833333
desbonnes,,00,16.3333333,-61.7333333
descostiers,,00,16.2833333,-61.65
deshaies,,00,16.3,-61.7833333
deshauteurs,,00,16.25,-61.4166667
deshayes,,00,16.3,-61.7833333
desmarais,,00,15.95,-61.3
desplan,,00,16.2166667,-61.7666667
d'esquainville,,00,16.25,-61.3833333
desruisseaux,,00,15.95,-61.2166667
destreland,,00,16.25,-61.5666667
destrelan,,00,16.25,-61.5666667
destrelland,,00,16.25,-61.5666667
de surgy,,00,16.2666667,-61.3166667
diavet,,00,16.3166667,-61.7
dole,,00,15.9833333,-61.6666667
dorilas,,00,16.0833333,-61.7666667
dorot,,00,15.95,-61.25
