names,population,state_code,lat,lon
abaamang,,06,1.6666667,10.6333333
abagnam,,06,1.1166667,11.0
abama,,09,1.2,11.2833333
abam,,07,1.8333333,10.8666667
aban,,07,1.8333333,10.8666667
abanayop,,06,0.9833333,10.9333333
abanda,,08,1.45,9.6333333
abanengui,,07,2.15,11.0666667
abanfang,,06,1.6,10.6666667
abanga,,06,1.1833333,11.0166667
abang,,06,1.1833333,11.0166667
abang,,07,1.8333333,10.7
abe,,06,1.8333333,10.4666667
abeayop,,07,1.9166667,10.8333333
abebain,,07,2.0,11.3333333
abenelam,,06,1.1333333,9.95
abenelang,,06,0.9666667,9.9833333
abenelang,,07,1.8833333,10.4166667
abenelang,,08,1.8,9.7833333
abengnam,,06,1.1166667,11.0
abeng-nam,,06,1.75,10.45
abeng'nam,,08,1.0833333,9.65
abengnam,,08,1.2,9.6166667
abennam,,08,1.0833333,9.65
abenye,,06,1.0833333,10.4166667
abet,,06,1.1,9.7166667
abiara,,06,1.3333333,10.9833333
abiara,,07,1.9,11.1833333
abogocola,,06,1.1333333,9.9333333
abogokola,,06,1.1333333,9.9333333
abogosu,,06,1.4333333,10.4333333
abomdama,,07,1.9666667,10.35
abomedamo,,07,1.9666667,10.35
abomendama,,07,2.0,10.7833333
abomenvila,,08,1.7,10.0833333
abon,,07,2.1,11.25
abongsu,,06,1.4333333,10.4333333
aboramban,,06,1.6166667,10.3166667
aboransama,,06,1.55,10.65
abumayeme,,06,1.0333333,11.0
abumbem,,07,1.8833333,10.35
abumensok,,08,1.5833333,10.0166667
abumeyeme,,06,1.0333333,11.0
abumnsoc,,08,1.5833333,10.0166667
acaasi,,06,1.3833333,10.4833333
acaasi,,07,1.85,10.7833333
acaasi,,08,1.85,10.0333333
acaasi,,09,1.3166667,11.0333333
acalayon,,08,1.0833333,9.6666667
acalayong,,06,1.2166667,10.6
acalayong,,08,1.0833333,9.6666667
acam,,06,1.0166667,10.8833333
acam,,07,1.8666667,10.6833333
acam,,09,1.6,11.0333333
acanabor,,06,1.0,10.0833333
acanabor,,08,1.1166667,9.45
acanabot,,08,1.75,9.7833333
acan,,06,1.25,10.15
acas,,06,1.2833333,10.2
achap,,06,1.5666667,10.4666667
achap,,07,1.85,10.7166667
achebe-biyong,,07,1.9166667,10.4166667
achimelan,,08,1.7,9.8166667
achimelang,,06,1.0166667,9.9333333
achimilang,,06,1.0166667,9.9333333
acoacam,,09,1.6166667,11.3166667
acoacan,,09,1.6166667,11.3166667
acoaesakira,,09,1.1166667,11.2666667
acoc,,06,1.05,10.7166667
acoc,,07,1.8166667,10.2666667
acocnfang,,08,1.7666667,9.9666667
acocseng,,06,1.3333333,11.0
acocsi,,09,1.35,11.15
acoesakira,,09,1.1166667,11.2666667
acoga,,06,0.95,10.3833333
acoga,,07,1.9,10.7833333
acoga,,08,1.1,9.6333333
acom,,06,1.6166667,10.65
acom,,07,1.75,10.2
acom,,08,1.8833333,9.8666667
acombele,,06,1.8166667,10.55
acon,,06,1.4166667,10.5333333
acon,,07,1.7833333,10.8666667
aconangui,,06,1.7,10.4833333
aconangui,,07,1.7833333,10.2833333
aconcemento,,07,1.95,10.3833333
aconekie,,06,1.0166667,10.2
aconekie,,08,1.0666667,9.65
aconekie,,09,1.7166667,10.9833333
aconekien,,06,1.4,10.2333333
aconekien,,07,2.1166667,10.9833333
aconibe,11199,06,1.3,10.9333333
aconikie,,06,1.6166667,10.9333333
aconikie,,08,1.7833333,9.9333333
aconikie,,09,1.55,11.3
aconngui,,08,1.25,9.4333333
acora,,08,1.9,10.0166667
acot,,07,1.9333333,10.45
acueton,,07,1.8333333,10.7333333
acumayene,,09,1.3666667,11.25
acunse,,07,2.0333333,10.8666667
acurenam,2738,06,1.0333333,10.6666667
acurenam,,08,1.7,9.75
acurenan,,06,1.0333333,10.6666667
acurensoc,,06,1.0833333,10.3666667
acurensoc,,09,1.3833333,11.2333333
acurnam,,06,1.0333333,10.6666667
acuse,,07,1.9166667,10.3166667
adjamibang,,06,1.4,10.45
adjap,,09,1.5666667,11.1833333
adjelon,,06,1.3666667,10.6333333
adurelan,,07,1.9666667,11.2166667
adurelang,,07,1.9333333,10.8833333
adyabasi,,06,1.5,10.4833333
adyamibang,,06,1.2666667,10.5166667
adyap,,06,1.2166667,9.8833333
adyap,,07,1.85,10.7166667
adyap,,08,1.1666667,9.6166667
adyap,,09,1.5666667,11.1833333
adyebe,,06,1.1666667,10.4333333
adyebe,,07,1.9166667,10.4166667
adyelon,,06,1.3666667,10.6333333
afaabitom,,09,1.7166667,11.05
afaanam,,06,1.1833333,10.5833333
afa'annam,,06,1.1833333,10.5833333
afaansoc,,06,1.75,10.7833333
afa'ansok,,06,1.75,10.7833333
afa`ansok-esong,,06,1.85,10.6166667
afabitom,,09,1.7166667,11.05
afaetam,,09,1.7166667,11.05
afaetan,,09,1.7166667,11.05
afanabang,,08,2.0166667,9.8833333
afan,,08,1.7,9.75
afanangui,,07,2.15,10.95
afanebang,,07,2.1333333,10.85
afanengui,,07,2.15,10.95
afansoc,,06,1.3,10.7
af'ansok-abenelang,,06,1.8333333,10.5166667
afomadim,,09,1.7666667,11.3166667
afomandyim,,09,1.7666667,11.3166667
afommanchim,,07,1.9833333,11.3333333
afommanchim,,09,1.7666667,11.3166667
agua,,09,1.8333333,11.0833333
aguanam,,09,1.5,11.0833333
ajene,,07,1.9166667,10.65
aka'asi,,06,1.3833333,10.5166667
aka'asi,,09,1.55,11.2833333
akalayong,,06,1.4333333,10.4166667
akalayong,,08,1.0833333,9.6666667
akam,,06,1.25,10.15
akam,,07,1.8666667,10.6833333
akam,,09,1.8,11.3333333
akanabor,,06,1.05,10.05
akanabor,,08,1.2666667,9.4333333
akanabor-ogude,,06,1.05,10.05
akelayong,,06,1.2,9.8833333
akinebitom,,07,1.9,10.7166667
akoga,,06,1.3666667,10.6833333
akoga,,07,1.9,10.7833333
akoga,,08,1.1,9.6333333
akok,,06,1.05,10.7166667
akok,,07,1.8166667,10.2666667
akokam,,09,1.6166667,11.3166667
akokufang,,08,1.7666667,9.9666667
akom,,07,1.9333333,10.8
akom,,08,1.8833333,9.8666667
akonangui,,06,1.8,10.4
akonebe,,06,1.3,10.9333333
akonekie,,06,1.6166667,10.9333333
akonekie,,09,1.55,11.3
akoo,,07,2.0833333,11.3166667
ako'osi,,09,1.35,11.15
akora,,08,1.85,9.9
akosakira,,09,1.1166667,11.2666667
akostom-mikueme,,07,1.85,10.7166667
akourenam,,06,1.0333333,10.6666667
akournam,,06,1.0333333,10.6666667
akurenam,,06,1.0333333,10.6666667
akurenan,,06,1.0333333,10.6666667
akurensok,,06,1.0833333,10.3666667
akurnam,,06,1.0333333,10.6666667
akuse,,07,2.0333333,10.8666667
alar,,06,1.0666667,10.0833333
alarmintang,,06,1.0833333,10.5
