names,population,state_code,lat,lon
aatli,,06,41.2777778,22.7861111
abar koi,,06,40.8680556,22.9047222
abdular,,21,39.4833333,22.6
acharnae,,35,38.0833333,23.7333333
acharne,,35,38.0833333,23.7333333
achataries,,22,39.4577778,21.3194444
achelinada,,22,39.825,21.8711111
acherousia,,19,39.2577778,20.5958333
achilleion,,25,39.5644444,19.905
achladea,,22,39.8358333,21.6091667
achladeai,,17,39.4522222,20.7727778
achladia,,22,39.8358333,21.6091667
achladies,,17,39.4522222,20.7727778
achladochorio,,07,40.8352778,22.3358333
achladochorion,,07,40.8352778,22.3358333
adali,,13,40.4333333,23.0333333
adamas,,33,38.5,22.9833333
adamas,1478,49,36.7333333,24.4333333
adas,,14,41.1333333,24.7
adendro,,13,40.6716667,22.6044444
adendron,2312,13,40.6716667,22.6044444
adham,,13,40.55,23.3
adhamas,,33,38.5,22.9833333
adhamas,,49,36.7333333,24.4333333
adhami,,36,37.5666667,23.0666667
adhamioi,,36,37.5666667,23.0666667
adhamion,,36,37.5666667,23.0666667
adhele,,44,35.3666667,24.5666667
adhelfikon,,05,41.0166667,23.4666667
adhendhron,,13,40.6716667,22.6044444
adhendron,,13,40.6716667,22.6044444
adhiakopos,,42,36.5666667,23.05
adhraktia,,45,35.15,25.0333333
adhramilos,,46,35.0833333,26.0333333
adhravastoi,,46,35.1333333,26.2166667
adhravastos,,46,35.3166667,25.6166667
adhrayastos,,46,35.3166667,25.6166667
adhriani,,02,41.0166667,25.3666667
adhriani,,04,41.1333333,24.2666667
adhriani,,40,36.8666667,21.8666667
adhrianos,,46,35.2,25.6166667
adhrianou,,46,35.2,25.6166667
aedipsos,,34,38.8833333,23.05
aegae,,34,38.7666667,23.3166667
aegaleo,,35,37.9833333,23.6833333
aegina,,35,37.7466667,23.4275
aegion,,38,38.2486111,22.0819444
aegium,,38,38.2486111,22.0819444
aerinon,,24,39.3333333,22.7666667
aerinos,,43,35.3666667,23.6
aerokhori,,40,37.1333333,22.0333333
aetochori,,07,41.0952778,22.1725
aetochori,,23,39.2858333,21.4669444
aetochorion,,07,41.0952778,22.1725
aetochorion,,23,39.2858333,21.4669444
aetofolea,,49,37.6166667,25.1166667
aetofolia,,40,37.1,21.85
aetofolia,,49,37.6166667,25.1166667
aetokhori,,01,40.9,26.0
aetokhori,,07,41.0952778,22.1725
aetokhorion,,01,40.9,26.0
aetokhorion,,07,41.0952778,22.1725
aetokhorion,,41,37.4,22.6
aetokorifi,,02,40.9833333,25.6166667
aetolfos,,21,39.6833333,22.7333333
aetoliko,,31,38.4333333,21.35
aetolofos,,02,41.0166667,25.6
aetolofos,,21,39.6833333,22.7333333
aetomilitsa,,17,40.3069444,20.8538889
aetopetra,,17,39.7672222,20.5416667
aetopetra,,31,38.6166667,21.6833333
aetorrachi,,17,39.52,20.9408333
aetorrakhi,,17,39.52,20.9408333
aetorrakhi,,21,39.8333333,22.2
aetorrakhi,,41,37.6666667,21.9166667
aetos,,11,40.6666667,21.55
aetos,,18,39.58,20.3966667
aetos,,22,39.4622222,21.2833333
aetos,,31,38.7166667,21.0833333
aetos,,34,38.0166667,24.45
aetos,,40,37.25,21.8333333
aetovouni,,05,41.2833333,23.25
aetovounion,,05,41.2833333,23.25
afalonas,,51,39.1480556,26.5144444
afaloti,,42,36.5833333,22.4
afandou,,47,36.3,28.15
afantou,5562,47,36.3,28.15
afetai,,24,39.2833333,23.1833333
afidhnai,,35,38.2166667,23.8333333
afini,,35,37.9833333,23.7333333
afion,,25,39.7208333,19.6594444
afionas,,25,39.7208333,19.6594444
afision,,42,37.1,22.45
afissos,,24,39.2666667,23.1666667
afissos,,42,37.1,22.45
afitos,1428,13,40.1,23.4333333
aflakion,,47,36.5586111,27.1755556
afra,879,25,39.6197222,19.8577778
afrata,,43,35.5666667,23.7666667
afrati,,34,38.45,23.6833333
afrati,,45,35.1,25.35
afration,1365,34,38.45,23.6833333
afration,,45,35.1,25.35
afraton,,31,38.6166667,21.5333333
afrayia,,27,38.15,20.75
afrayias,,27,38.15,20.75
afrodhiti,,31,38.4,21.8
afrodisia,,50,38.5544444,25.925
afroti,,45,35.1,25.35
afroxilia,,20,39.2194444,21.3080556
afroxylia,,20,39.2194444,21.3080556
agadhaiika,,42,36.7333333,22.55
agadheika,,42,36.7333333,22.55
agajiki,,40,36.8166667,21.75
agakiana,,43,35.3333333,23.7333333
agalai,,10,40.0333333,21.6166667
agalaioi,,10,40.0333333,21.6166667
agalar,,14,41.0666667,24.75
agalas,,28,37.7166667,20.7833333
agaliani,,40,37.35,21.7333333
agalianos,,30,38.8666667,21.6166667
agalianos,,44,35.1666667,24.5333333
agalianou,,44,35.1666667,24.5333333
agallo,,41,37.5833333,21.95
agalo,,41,37.5833333,21.95
agamandia,,47,35.6833333,27.15
aganotaiika,,35,37.4333333,23.4
agantziki,,40,36.8166667,21.75
agapi,,10,40.0666667,21.5666667
agapi,,14,41.1,24.3
agapi,,49,37.6,25.1666667
agathi,,07,41.0091667,22.0588889
agatho,,34,38.1166667,24.5
agathon,,34,38.1166667,24.5
agathos,,34,38.1166667,24.5
agdhinai,,34,38.9666667,23.3
agdhines,,34,38.9666667,23.3
agelopo,,50,38.5822222,25.97
aggeies,,29,39.1,22.2
aghia eirene,,34,37.9666667,24.4833333
agia agathi,,23,39.185,21.7663889
agia,,19,39.3130556,20.3552778
agia,,21,39.7177778,22.7636111
(( agia aikaterini )),,25,39.8172222,19.845
agia anastasia,,17,39.5630556,20.7383333
agia anna,,09,40.4375,21.0813889
agia eleousa,,19,39.2458333,20.8344444
(( agia eleousa )),,25,39.6,19.9
agia ermioni,,50,38.3019444,26.1472222
agia faneromeni,,19,39.3169444,20.8619444
agia foteini,,07,40.7133333,22.0008333
agia kyriaki,,06,41.1175,22.8272222
agia kyriaki,,09,40.5263889,21.1216667
agia kyriaki,,11,40.2780556,22.1097222
agia kyriaki,,18,39.4877778,20.57
agia kyriaki,,19,39.2827778,20.4452778
agia kyriaki,,22,39.5161111,21.8025
agia kyriaki,,48,37.6983333,26.6186111
agia marina,,12,40.5977778,22.2152778
agia marina,,17,39.7294444,20.8175
agia marina,,18,39.4669444,20.3147222
agia marina,,47,35.4,26.9166667
agia marina,,51,39.0666667,26.5833333
agia mavra,,18,39.4861111,20.4683333
agia paraskevi,,06,41.2661111,22.8488889
agia paraskevi,,17,40.1425,20.8894444
(( agia paraskevi )),,17,39.7333333,20.5833333
(( agia paraskevi )),,18,39.5166667,20.5666667
agia paraskevi,,19,39.3027778,20.8905556
(( agia paraskevi )),,19,39.2833333,20.7
agia paraskevi,,20,39.0997222,20.9908333
agia paraskevi,,22,39.5683333,21.2577778
agia paraskevi,,29,39.0066667,21.9938889
agia paraskevi,,30,39.0044444,21.7952778
agia paraskevi,,48,37.7791667,26.9933333
agia paraskevi,,51,39.2480556,26.2716667
agia pelagia,,35,36.3333333,22.9833333
agiasma,,14,40.9088889,24.6572222
agiasmata,,50,38.5858333,25.9377778
agiasos,,51,39.085,26.37
agia sotira,,31,39.0519444,21.1663889
agia thekla,,27,38.25,20.3833333
agia thekli,,27,38.25,20.3833333
agia triada,,13,40.4994444,22.8761111
agia triada,,20,39.1380556,20.9813889
agia triada,,23,39.4633333,21.8986111
agia triada,,31,39.1205556,21.1905556
agia trias,,12,40.5483333,22.4213889
agia trias,,13,40.4994444,22.8761111
agia trias,,17,39.4361111,20.8869444
agia trias,,20,39.1380556,20.9813889
agia trias,,22,39.8180556,21.7222222
agia trias,,23,39.4633333,21.8986111
agia trias,,31,39.0188889,21.1988889
agia varvara,,12,40.4927778,22.2433333
agia varvara,,17,39.7372222,21.0352778
agia zoni,,48,37.7511111,27.0055556
agiofyllo,,22,39.8613889,21.5536111
agiofyllon,,22,39.8613889,21.5536111
agioi,,35,37.7694444,23.5091667
agioi anargyroi,,20,39.1397222,21.0258333
agioi anargyroi,,23,39.4352778,21.8338889
agioi apostoloi,,17,39.7494444,20.7930556
agioi apostoloi,,19,39.3047222,20.8002778
agioi apostoloi,,23,39.2244444,21.4463889
agioi apostoloi,,30,39.0919444,21.8519444
agioi deka,,25,39.5558333,19.8847222
agioi douloi,,25,39.745,19.7572222
(( agioi pantes )),,17,39.5666667,21.0516667
agioi pantes,,18,39.7197222,20.3491667
agioi theodori,,48,37.7472222,26.7286111
agioi theodoroi,,10,39.9777778,21.4994444
agioi theodoroi,,11,40.3708333,22.0205556
(( agioi theodoroi )),,17,39.4333333,20.95
agioi theodoroi,,22,39.6594444,21.6908333
agioi theodoroi,,25,39.4233333,20.0688889
agioi theodoroi,,30,39.1494444,21.6147222
agioneri,,19,39.3225,20.7916667
agion gala,,50,38.565,25.8583333
agiopigi,,23,39.3183333,21.9197222
agios achilleios,,08,40.7841667,21.0808333
agios ahileos,,08,40.7841667,21.0808333
agios aimilianos,,25,39.1530556,20.2236111
agios aimilianos,,50,38.2802778,26.11
agios akakios,,23,39.3816667,21.7719444
agios andreas,,17,39.4708333,20.7086111
agios antonios,,30,39.1947222,21.62
agios antonios,,47,36.4586111,27.3186111
agios arsenios,,18,39.5375,20.3994444
agios athanasios,,13,40.7172222,22.7280556
agios athanasios,,20,39.2430556,21.1394444
agios athanasios,,23,39.2813889,21.7802778
agios athanasios,,25,39.7338889,19.7161111
agios charalampos,,06,41.2027778,22.8133333
agios charalampos,,20,39.2897222,21.1286111
agios christofos,,17,39.4141667,20.9191667
agios dimitrios,,09,40.5861111,21.0630556
agios dimitrios,,16,40.1527778,22.2266667
(( agios dimitrios )),,17,39.5172222,20.675
(( agios dimitrios )),,18,39.5333333,20.55
