names,population,state_code,lat,lon
acacar,,09,15.5666667,-89.3
acamal,,01,15.45,-90.3833333
acapan,,15,14.3666667,-91.9833333
acasaguastlan,,05,14.9166667,-89.8833333
acatan,,07,14.6166667,-90.4666667
acatempa,,11,14.2652778,-90.1269444
acatenango,6905,03,14.5519444,-90.9422222
aceitillal,,04,14.5833333,-89.5166667
aceituno,,07,14.6333333,-90.4666667
aceituno,,11,14.1166667,-90.0333333
acequia,,11,14.3333333,-89.85
achiote,,22,15.1333333,-89.4
achiotes,,05,14.9,-90.2333333
achiotes,,10,14.5333333,-89.9166667
achiotes,,11,13.9819444,-90.0880556
achiotes jumay,,10,14.6666667,-89.9833333
achitos,,11,13.9819444,-90.0880556
achute,,17,15.2333333,-92.1666667
acintal,,15,14.6,-91.7333333
actela,,01,15.6666667,-89.8833333
acualcheya,,03,14.8166667,-90.9
acul,,14,15.405,-91.1883333
adelanto,,11,14.1666667,-89.8333333
aercochoch,,09,15.7,-89.4333333
agricola,,15,14.4166667,-91.8666667
agua alegre,,08,15.4522222,-91.4944444
agua blanca,,04,14.7333333,-89.3333333
agua blanca,,05,14.85,-90.1666667
agua blanca,2719,11,14.5,-89.65
agua blanca,,13,14.8666667,-91.7166667
agua blanca,,14,15.35,-90.55
agua blanca,,22,14.9,-89.5333333
agua caliente,,01,15.3333333,-89.75
agua caliente,,02,14.9166667,-90.4
agua caliente,,03,14.8,-90.85
agua caliente,,04,14.4666667,-89.4833333
agua caliente,,05,14.75,-90.3166667
agua caliente,,09,15.2666667,-88.9833333
agua caliente,,10,14.5666667,-89.75
agua caliente,,13,15.1333333,-91.5666667
agua caliente,,14,15.2333333,-90.9833333
agua caliente,,22,14.95,-89.5166667
agua caliente chiquita,,17,14.9333333,-91.7833333
agua caliente grande,,17,14.9333333,-91.7666667
agua caliente segundo,,22,14.9,-89.7333333
aguacatan,5457,08,15.3430556,-91.3116667
aguacate,,03,14.6,-90.8333333
aguacate,,04,14.6833333,-89.3833333
aguacate,,08,15.9833333,-91.6166667
aguacate,,09,15.8666667,-89.1
aguacate,,10,14.5333333,-90.2666667
aguacate,,14,15.0833333,-91.0166667
agua de las minas,,07,14.4833333,-90.65
agua dulce,,05,14.8666667,-90.3
agua dulce,,08,15.5166667,-92.0333333
agua dulce,,18,13.8961111,-90.4533333
agua escondida,,03,14.8166667,-91.0333333
agua escondida,,05,14.9666667,-89.85
agua escondida,,14,14.8333333,-91.0166667
agua escondida,,19,14.6666667,-91.1166667
agua fria,,04,14.8666667,-89.35
agua fria,,11,14.2166667,-89.6166667
agua fria,,22,14.9666667,-89.4
agua helada,,22,15.0833333,-89.15
aguahiel arriba,,05,14.9666667,-90.0166667
aguajal,,04,14.4833333,-89.4166667
agua ligera,,05,14.9666667,-91.1166667
aguamecate,,10,14.6333333,-89.7833333
agua negra,,12,15.9666667,-89.7333333
agua salobrega,,05,14.8,-90.1666667
agua sembrada,,08,15.3833333,-91.9833333
aguas finas,,11,14.2833333,-89.7666667
agua tibia,,02,14.9333333,-90.4666667
agua tibia,,04,14.5666667,-89.5666667
agua tibia,,07,14.6166667,-90.3166667
agua tibia,,10,14.5166667,-89.7
agua tibia,,11,14.0666667,-89.8666667
agua tibia,,13,14.8666667,-91.6166667
agua tibia,,17,14.95,-91.7833333
agua zarca,,04,14.6833333,-89.5333333
agua zarca,,07,14.7666667,-90.3833333
agua zarca,,08,15.7333333,-91.9
agua zarca,,10,14.6333333,-89.8666667
agua zarca,,11,14.3333333,-89.7833333
agua zarca,,22,14.8666667,-89.85
aguero,,06,14.2,-91.05
aguijotes,,10,14.55,-90.0666667
aguirre,,05,14.7333333,-90.2166667
agujitas,,10,14.7166667,-89.85
ahorcado,,04,14.55,-89.45
ahumado,,18,13.8288889,-90.3080556
ainatal,,04,14.55,-89.3
ajaxa,,15,14.6,-91.6
ajbalche,,03,14.8,-90.7333333
alambradas,,04,14.4333333,-89.4666667
albores,,05,15.05,-89.9666667
aldea aguero,,06,14.2,-91.05
aldea nueva,,11,14.4166667,-89.8
allahan,,12,17.0686111,-89.1522222
almolonga,11668,13,14.8166667,-91.5
almorzadero,,13,14.7833333,-91.6833333
almorzadoro,,13,14.7833333,-91.6833333
alotenango,17052,16,14.4802778,-90.8075
alto sepacay,,01,15.35,-90.0666667
alvarado,,10,14.55,-89.7833333
alzatate,,10,14.4977778,-90.0602778
amachel,,14,15.7,-90.9833333
amatal,,04,14.55,-89.3
amatal,,11,14.1936111,-89.6752778
