names,population,state_code,lat,lon
abene,,06,11.1666667,-15.9666667
abigna,,12,11.8833333,-15.7833333
abu,,06,11.15,-16.0166667
abul,,06,12.34,-15.8880556
abulzinho,,06,12.3872222,-15.8880556
acajiriba,,06,11.5333333,-15.9833333
acampamento,,04,11.45,-15.7
acanhe,,06,11.15,-15.9166667
acanho,,06,11.15,-15.9166667
acarabe,,06,11.2166667,-16.2
achada do burro,,11,11.8666667,-15.5833333
achinde,,06,12.35,-15.9666667
acnu,,06,11.4833333,-15.9166667
acoco,,06,11.4666667,-15.9166667
acom,,04,11.95,-15.5666667
acubede,,06,11.5,-16.3
acuminca,,06,11.5333333,-16.4
acuno,,06,11.4833333,-15.9166667
afanque,,06,12.4333333,-16.1
afia,,01,12.0833333,-14.4833333
afia,,04,11.3333333,-14.9
afia,,06,12.4138889,-15.7819444
afia,,07,11.3333333,-15.1833333
afia,,10,12.3166667,-14.4
afia ba demba,,10,12.3666667,-13.6666667
afia demba,,10,12.3666667,-13.6666667
afia demba jamanca,,10,12.2166667,-14.3666667
afia do governador,,10,12.65,-14.1666667
afuossa nabiole,,07,11.15,-15.3166667
agongo de coreto,,06,11.5166667,-16.3833333
agongo de eguba,,06,11.5666667,-16.2666667
agongo-eguba,,06,11.5666667,-16.2666667
agua verde,,04,12.0166667,-14.85
aguira,,01,12.1833333,-14.7166667
aidara balanta,,04,11.5,-15.1666667
aidara beafada,,04,11.4833333,-15.1666667
alabato,,04,12.4891667,-15.3555556
alafissa,,10,12.4166667,-13.9333333
aldeia,,01,12.1666667,-14.7666667
aldeia de cuor,,04,12.1,-14.85
aldeia do cuhor,,04,12.1,-14.85
aldeia formosa,,04,11.5333333,-14.7666667
aldeia nova,,04,11.7,-15.3833333
alfa,,10,12.3,-14.1
algodao,,04,12.45,-15.2166667
alia,,04,11.6166667,-14.3833333
aliel,,04,11.9166667,-14.7333333
alimo,,01,12.1166667,-14.5833333
aliu,,10,12.2666667,-14.25
aliu bure,,10,12.3666667,-14.3166667
aliu jaia,,04,12.0166667,-14.7666667
aliu jai,,04,12.0166667,-14.7666667
aliu jau,,04,12.0166667,-14.7666667
