names,population,state_code,lat,lon
abary,,15,6.55,-57.75
achiwib,,19,2.3,-59.5833333
achiwuib village,,19,2.3,-59.5833333
acquero,,10,7.65,-58.9333333
adelair,,19,2.1333333,-59.6333333
adventure,,16,7.0833333,-58.4833333
agricola village,,12,6.4666667,-58.1666667
aishalton,,19,2.5166667,-59.25
aishalton village,,19,2.5166667,-59.25
ajimipepai,,11,5.9,-60.5666667
akar,,11,5.6833333,-60.3166667
akar village,,11,5.6833333,-60.3166667
akawini mission,,16,7.3666667,-58.7333333
akwero,,10,7.65,-58.9333333
alberttown,,12,6.8166667,-58.15
albouystown,,12,6.8,-58.1666667
alexander village,,12,6.8,-58.1666667
alexanderville,,12,6.8333333,-58.15
alnes,,13,6.2,-57.2833333
alness,,13,6.2,-57.2833333
altora village,,19,2.4833333,-59.1666667
amamure village,,11,6.8,-60.0166667
amamuri village,,11,6.8,-60.0166667
amazon,,16,7.3833333,-58.5833333
ambrose village,,19,3.0333333,-59.7666667
amokokopai village,,11,5.3833333,-60.3
ampa,,14,6.5,-58.5833333
amstel,,14,6.8333333,-58.25
anna catherina,,14,6.7666667,-58.2666667
annai,,19,3.95,-59.1333333
anwai,,19,3.95,-59.1333333
apanachi,,11,5.65,-59.2166667
apoteri,,19,4.0333333,-58.5833333
aqueero,,10,7.65,-58.9333333
arakaka,,10,7.5833333,-60.0166667
arakwai outstation,,19,2.7666667,-59.4833333
arau village,,11,6.4166667,-61.1333333
arawai village,,11,6.3166667,-61.1666667
arnik village,,17,5.0166667,-59.5333333
assura village,,11,5.8166667,-59.65
atamadpau,,19,3.0,-59.7166667
attai,,18,5.0833333,-58.5166667
attai village,,18,5.0833333,-58.5166667
aunama,,11,7.15,-60.0833333
aunama village,,11,7.15,-60.0833333
aurora,,11,6.8,-59.75
aurora,,16,7.0,-58.5
awarabati,,11,6.8,-60.8
awariwaunau,,19,2.6666667,-59.2
awaruwaunawa,,19,2.6666667,-59.2
bagotstown,,12,6.7833333,-58.1666667
baiabu,,15,6.55,-57.8833333
banakari,,14,6.6166667,-58.6166667
barabara,,15,6.55,-57.8833333
barabina hill,,10,8.2166667,-59.8
barakara,,11,6.3833333,-58.6666667
barakara,,13,5.85,-57.4666667
barakara mission,,13,5.85,-57.4666667
baramani,,10,7.8333333,-59.2166667
baramanna,,10,7.8333333,-59.2166667
baramanni,,10,7.8333333,-59.2166667
baramita,,10,7.35,-60.4833333
