names,population,state_code,lat,lon
aberdeen,,00,22.25,114.15
a kung ngam,,00,22.2833333,114.2333333
a kung tin,,00,22.45,114.1
a kung wan,,00,22.3333333,114.2666667
a ma wat,,00,22.5166667,114.25
a po long,,00,22.2833333,114.0
a shan,,00,22.4666667,114.2
a shan san wai,,00,22.4666667,114.2
a shan shan tsiu lam,,00,22.4666667,114.2
a shan tseng tau,,00,22.4666667,114.2
a shan tsiu lam,,00,22.4666667,114.2
au ha,,00,22.5333333,114.2
au pui tong,,00,22.55,114.2833333
au pui wan,,00,22.4,114.1666667
au tau,,00,22.3333333,114.25
caroline hill,,00,22.2833333,114.1833333
castle peak new town,,00,22.4,113.9666667
causeway bay,,00,22.2833333,114.1833333
central district,,00,22.2833333,114.15
chai kek,,00,22.45,114.1166667
chai kek wai,,00,22.45,114.1166667
chai wan,,00,22.2666667,114.2333333
chai wan kok,,00,22.3833333,114.1
chai wan resettlement area,,00,22.2666667,114.2333333
cha kwo ling,,00,22.3,114.2333333
ch'ang-sha,,00,22.2333333,113.95
chan ji,,00,22.3333333,114.25
chan uk po,,00,22.4833333,114.1166667
chap mun tau,,00,22.2666667,113.9333333
chap wai kon,,00,22.3833333,114.2
chau tau,,00,22.5166667,114.0833333
che ha,,00,22.4333333,114.2666667
chek chue,,00,22.2166667,114.2
che keng tuk,,00,22.3666667,114.2666667
chek keng,,00,22.4166667,114.35
chek kok tau,,00,22.55,114.2833333
chek nai ping,,00,22.4166667,114.2
che kung miu,,00,22.3666667,114.1833333
cheung chau,,00,22.2166667,114.0166667
cheung kang,,00,22.4333333,114.2333333
cheung kong,,00,22.45,114.0666667
cheung kwan,,00,22.3333333,114.25
cheung kwan o,,00,22.3333333,114.25
cheung lek,,00,22.4833333,114.1
cheung lek mei,,00,22.4166667,114.1833333
cheung muk tau,,00,22.4333333,114.25
cheung pei shan,,00,22.3833333,114.1333333
cheung po,,00,22.4166667,114.0666667
cheung sha,,00,22.2333333,113.95
cheung sha lan,,00,22.3,114.0166667
cheung sha wan,,00,22.2333333,114.0
cheung shek pai,,00,22.1666667,114.25
cheung sheung,,00,22.4333333,114.3
cheung shue tan,,00,22.4333333,114.2
cheung shue tau,,00,22.3666667,114.1
cheung shui tan,,00,22.4333333,114.2
cheung sok,,00,22.3333333,114.0166667
cheung ting,,00,22.25,113.8833333
cheung uk,,00,22.4833333,114.1833333
cheung uk wai,,00,22.4166667,114.3666667
cheung wo,,00,22.5,114.3
chik chu,,00,22.2166667,114.2
chik kang,,00,22.4166667,114.35
chikking,,00,22.4166667,114.35
chiktsui,,00,22.2166667,114.2
chi ma hang,,00,22.2,114.0333333
chin lan chun,,00,22.3333333,114.2333333
chiu-lung,,00,22.3166667,114.1833333
chiu-lung-ku-ch'eng,,00,22.3333333,114.1833333
choi hung,,00,22.3333333,114.2
choong wan,,00,22.2833333,114.15
ch'uan-wan,,00,22.3666667,114.1
chuen lung,,00,22.4,114.1
chuk hang,,00,22.45,114.1
chuk kok,,00,22.35,114.25
chuk un,,00,22.35,114.1833333
chuk yuen,,00,22.35,114.1833333
chun fa lok,,00,22.3333333,114.1
chung hau,,00,22.2333333,114.0
chung ji,,00,22.3333333,114.25
chung kwai chung,,00,22.3666667,114.1333333
chung mei,,00,22.5,114.2333333
chung mei kok,,00,22.4666667,114.3666667
chung mei kok sheung wai,,00,22.4666667,114.3666667
chung pui,,00,22.4833333,114.2333333
chung sam wai,,00,22.45,114.0166667
chung uk,,00,22.25,113.8666667
chung uk tsuen,,00,22.4333333,113.9833333
chung wai,,00,22.4666667,114.35
chung wan,,00,22.2833333,114.15
dills corner,,00,22.5,114.1
epworth village,,00,22.2666667,114.2333333
fan kwai tong,,00,22.25,113.8666667
fan leng ching wai,,00,22.5,114.1333333
fan leng,,00,22.5,114.1333333
fan leng lau,,00,22.5,114.1333333
fan leng nam wai,,00,22.5,114.1333333
fan leng pak wai,,00,22.5,114.1333333
fan leng tai wai,,00,22.5,114.1333333
fanling,,00,22.5,114.1333333
fan shui au,,00,22.5166667,114.25
fan tin tsuen,,00,22.5,114.0666667
fa peng,,00,22.2,114.0333333
fa sam hang,,00,22.3833333,114.2166667
fat tong mun,,00,22.2666667,114.2833333
fa yuen,,00,22.2833333,114.2166667
fen-ling,,00,22.5,114.1333333
fong ma po,,00,22.45,114.1333333
fong pin sho,,00,22.2,114.0333333
fong yuen,,00,22.2666667,113.9333333
fo tan,,00,22.4,114.2
fui sha wai,,00,22.4333333,114.0
fui yiu,,00,22.35,114.1333333
fui yiu ha,,00,22.2833333,113.9333333
fuk hing lei,,00,22.4666667,114.05
fuk hing tsuen,,00,22.45,114.0166667
fuk lok tsuen,,00,22.3833333,114.1666667
fuk lo tsuen,,00,22.4666667,113.9833333
fuk tak kung,,00,22.5333333,114.1
fung chi heung,,00,22.45,114.0166667
fung hang,,00,22.5333333,114.2166667
fung kat heung,,00,22.45,114.05
fung ka wai,,00,22.4666667,114.0166667
fung kong tsuen,,00,22.4666667,113.9833333
fung shue wo,,00,22.35,114.1
fung wong village,,00,22.35,114.2
fung wong wu,,00,22.5333333,114.15
fung yuen,,00,22.4666667,114.1833333
fung yuen lo tsuen,,00,22.4666667,114.1833333
fu tau pun chau,,00,22.3333333,114.3666667
fu tau wat,,00,22.2833333,114.2166667
fu tei,,00,22.4166667,113.9833333
fu tei kok,,00,22.35,114.1
fu tei pai,,00,22.5,114.1666667
fu tei wan,,00,22.3,113.9333333
fu yung pit,,00,22.3833333,114.25
fu yung shan,,00,22.3833333,114.1166667
ha che,,00,22.45,114.0833333
ha chuk yuen,,00,22.4833333,114.05
ha chung mei,,00,22.35,114.1
ha fa shan,,00,22.3833333,114.0833333
ha hang,,00,22.4666667,114.1833333
ha heung yuen,,00,22.55,114.1666667
ha hung,,00,22.4666667,114.1833333
ha keng,,00,22.2166667,114.0
ha keng hau,,00,22.3666667,114.1666667
ha ko tan,,00,22.35,114.1
ha kwai chung,,00,22.35,114.1333333
ha ling pei,,00,22.2833333,113.9333333
ha loi tung,,00,22.5166667,114.1666667
ha mei san tsuen,,00,22.45,114.0
