names,population,state_code,lat,lon
abajo,,03,15.7333333,-86.1166667
abarrada,,02,13.3833333,-86.9666667
abicinia,,04,14.6833333,-87.4166667
abisinia,,04,14.6833333,-87.4166667
abispero,,17,13.55,-87.6166667
abra del padre,,16,15.15,-88.3
acaguaque,,08,14.0333333,-87.5
acapulco,,08,14.85,-87.0
aceituno,,07,13.7166667,-86.9333333
aceituno,,13,14.2333333,-88.75
aceituno,,17,13.4833333,-87.6833333
acensa,,02,13.2430556,-87.3536111
acequia,,16,15.3666667,-88.2166667
achiotal,1210,13,14.0833333,-88.75
achiote,,03,15.5666667,-86.1833333
achiote,,05,14.9166667,-89.0333333
achiote,,07,13.7833333,-86.6833333
achiote,,15,14.4333333,-86.1666667
achiotes,,02,13.5311111,-87.1338889
achiotes,,05,14.9166667,-89.0333333
achotal,,06,15.0833333,-88.1
achotal,,18,15.0,-87.7333333
achote,,03,15.5666667,-86.1833333
achote,,05,14.9166667,-89.0333333
achotes,,02,13.5311111,-87.1338889
achotes,,05,14.9166667,-89.0333333
achotes,,06,15.6333333,-88.1666667
achotes,,08,13.8041667,-87.3258333
aciguaque,,08,14.0333333,-87.5
adobal,,13,14.7833333,-88.5
adurasta,,08,13.7997222,-87.1666667
agalteca,1029,08,14.45,-87.2666667
agalteca,,18,15.5,-86.6
agua agria,,02,13.3480556,-87.0577778
agua agria,,07,13.6333333,-87.05
agua amarilla,,06,15.0333333,-87.7666667
agua amarilla,,08,14.0333333,-87.0833333
agua amarilla,,15,15.2833333,-85.7833333
agua azul,,06,14.9166667,-87.9666667
agua azul rancho,1043,06,14.9,-87.95
agua azul sierra,1079,06,14.9166667,-87.9666667
agua blanca,,01,15.6833333,-87.6333333
agua blanca,,02,13.4666667,-87.0333333
agua blanca,,04,14.1166667,-87.6
agua blanca,,05,14.9333333,-88.85
agua blanca,,07,13.6333333,-87.0666667
agua blanca,,08,13.7561111,-87.2
agua blanca,,10,14.1833333,-88.15
agua blanca,,12,14.3,-87.9
agua blanca,,13,14.6166667,-88.5833333
agua blanca,,15,15.0666667,-85.7
agua blanca,,16,14.85,-88.3
agua blanca,,18,15.15,-87.15
agua blanca del sur,,18,15.25,-87.8833333
agua blanca norte,,18,15.45,-87.75
agua blanca sur,7592,18,15.25,-87.8833333
agua blanquita,,16,14.8333333,-88.25
agua buena abajo,,05,15.0166667,-89.15
agua buena,,01,15.6833333,-87.0166667
agua buena,,05,14.7666667,-88.8
agua buena,,16,14.9666667,-88.3833333
agua buena,,18,15.45,-86.6833333
agua buena arriba,,05,15.0,-89.1666667
agua caliente,,01,15.7833333,-86.6166667
agua caliente,,02,13.4352778,-87.2316667
agua caliente,,03,15.85,-85.2
