names,population,state_code,lat,lon
abacija,,12,45.3391667,14.3083333
abbazia,,12,45.3391667,14.3083333
abram,,15,43.7263889,16.6313889
abramovici,,15,43.5488889,16.8411111
abrega,,04,45.2916667,13.6133333
acquette,,12,45.0052778,14.3969444
ada,,10,45.4055556,18.6836111
ada,,17,45.9333333,17.5
ada lukacka,,17,45.9333333,17.5
adamovec,,21,45.9038889,16.1719444
adamovici,,14,45.1516667,16.3797222
adici,,08,44.3669444,15.4086111
adolfovac,,10,45.5686111,18.6138889
adolfovac,,17,45.7152778,17.8730556
adolfovac pusta,,10,45.5686111,18.6138889
adolfovo,,17,45.7166667,17.85
adolfovo selo,,17,45.7166667,17.85
adzamovci,,02,45.2477778,17.465
adzije,,08,44.5480556,15.3916667
agbabe,,12,44.7675,15.4888889
agram,,21,45.8,16.0
ajderovac,,14,44.3627778,16.0922222
ajduci,,03,43.2369444,17.28
ajdukovica brdo,,14,44.5397222,15.9333333
ajdukovic brdo,,14,44.5397222,15.9333333
ajdukovici,,14,44.505,15.7755556
akmadzici,,03,43.3047222,17.3052778
akrap,,15,43.5722222,16.6841667
alaginci,,11,45.3625,17.7058333
alan,,08,45.0688889,14.9333333
alan,,12,44.7166667,14.9666667
alan stinicki,,12,44.7166667,14.9666667
alavanja,,20,44.0491667,15.6033333
albertinovac,,17,45.5166667,18.25
albona,,04,45.095,14.1197222
albona d'istria,,04,45.095,14.1197222
aleksandrovac,,11,45.4136111,17.63
aleksandrovac,,17,45.6333333,17.8
aleksandrovac mikleuski,,17,45.6333333,17.8
aleksandrovac pozeski,,11,45.4136111,17.63
aleksandrovo,,12,45.0147222,14.6288889
aleksici,,03,43.1191667,17.3336111
aleksici,,14,44.3327778,15.9480556
aleksinica,,08,44.6397222,15.2508333
alerici,,03,43.3038889,17.2441667
alic,,20,44.1888889,15.3986111
alilovci,,11,45.3966667,17.7036111
alivojvodic,,08,44.6758333,15.4452778
alivojvodici,,08,44.6758333,15.4452778
aljmas,,10,45.5288889,18.9505556
almas,,10,45.5288889,18.9505556
almasch,,10,45.5288889,18.9505556
almissa,,15,43.4447222,16.6886111
alsodaruvar,,01,45.6136111,17.2308333
alsodomboru,,16,46.3147222,16.8119444
alsomiholjac,,10,45.7608333,18.1672222
alsomiholjacz,,10,45.7608333,18.1672222
alt-gradiska,,02,45.1486111,17.2466667
alt-jankowitz,,18,45.2619444,18.9144444
alt-jankowzi,,18,45.2619444,18.9144444
altura di nesazio,,04,44.9052778,13.9577778
amatovci,,11,45.4536111,17.5086111
