names,population,state_code,lat,lon
abacou,,12,18.0380556,-73.7925
abeille,,07,18.7666667,-72.0166667
abeille,,08,18.5641667,-73.8463889
abicot,,11,18.85,-73.0166667
aboni,,11,18.45,-72.5833333
abord,,09,19.6833333,-72.25
abraham,,08,18.4666667,-73.25
abraham,,11,18.4197222,-72.8141667
abricot,,03,19.8222222,-73.1333333
abricot,,07,19.0666667,-72.0833333
abricot,,08,18.3833333,-73.4666667
abricot,,10,19.15,-71.7833333
abricot,,11,18.85,-73.0166667
abricot,,13,18.2833333,-72.6833333
abricots,,08,18.5,-73.7833333
abrio,,07,19.0666667,-72.1166667
acabouille,,09,19.4,-72.1833333
acacia,,09,19.3666667,-72.1333333
acajou,,10,19.5333333,-71.7166667
acelin,,08,18.6166667,-74.4
achien,,06,19.05,-72.4666667
achille,,12,18.2833333,-73.9166667
acul,,11,18.4166667,-72.9
acul basse terre,,06,19.2166667,-72.6
acul connu,,10,19.5333333,-72.0666667
acul des pins,,10,19.5,-71.8
acul des savannes,,08,18.4666667,-73.4333333
acul dipson,,06,19.2166667,-72.6
acul du nord,,09,19.6833333,-72.3166667
acul samedi,,10,19.5166667,-71.8833333
adam,,12,18.2333333,-73.7166667
adelin,,03,19.8138889,-73.1569444
adieu au monde,,13,18.2333333,-72.2166667
adino,,06,19.5666667,-72.7
adiomoune,,13,18.2333333,-72.2166667
adjoux,,06,19.2666667,-72.6
adonis,,12,18.3,-73.1666667
agar,,12,18.2333333,-73.7666667
agard,,12,18.2333333,-73.7666667
agathe,,03,20.0166667,-72.7333333
aguahedionde,,07,19.1333333,-71.9
aguamite,,10,19.3,-71.9
aidon,,12,18.3,-73.3833333
aimable,,12,18.1666667,-73.8666667
alantrara,,13,18.2166667,-71.9166667
alazar,,06,19.4333333,-72.2833333
alberie,,08,18.5044444,-73.8869444
albert derina,,10,19.2833333,-71.7833333
albery,,08,18.5044444,-73.8869444
alegre,,12,18.3333333,-73.2833333
aleman,,11,18.3666667,-72.95
alhadere,,06,19.35,-72.4
ali,,10,19.4833333,-71.7666667
allaie,,06,19.0166667,-72.4166667
alma,,11,18.7833333,-72.8666667
almacenes,,03,19.9036111,-73.1961111
almagenes,,03,19.9036111,-73.1961111
almerac,,06,19.5833333,-72.5833333
altary,,06,19.1,-72.3833333
altian,,12,18.2833333,-73.5333333
amandier,,09,19.5833333,-72.35
ambroise,,07,18.8,-72.1833333
amerry,,11,18.9166667,-72.4666667
amuscat,,06,19.7,-72.7
anacius,,03,19.6833333,-73.2166667
anadere,,12,18.3333333,-73.8
anadi,,09,19.55,-72.2333333
anais,,08,18.55,-74.3
ananas,,06,19.2333333,-72.3333333
ananas,,07,18.95,-71.9333333
ancelin,,09,19.6666667,-72.25
ancelin,,10,19.5166667,-72.0
andre,,06,19.5333333,-72.6
andre,,11,18.9358333,-72.5602778
andre libre,,11,18.4666667,-72.2333333
andremise,,03,19.7,-73.4
andro,,11,18.9358333,-72.5602778
ange,,06,19.05,-72.5166667
anger,,06,19.05,-72.5166667
angibeau,,11,18.5030556,-72.4252778
anglade,,12,18.25,-73.5333333
anglais,,12,18.3333333,-74.1666667
angot,,10,19.6666667,-71.8
anne,,13,18.2708333,-72.3688889
anneau,,06,18.9,-72.3
anneau,,07,19.0333333,-72.2
annette,,08,18.4333333,-74.0666667
annivain,,06,19.4666667,-72.5333333
annivert,,06,19.4666667,-72.5333333
anoter,,08,18.5833333,-74.25
anse a chat,,03,19.6166667,-73.35
anse a cochon,,08,18.6666667,-74.15
anse a cochon,,13,18.15,-71.8666667
anse a cochons,,13,18.15,-71.8666667
anse a foleur,,03,19.9,-72.6166667
anse-a-foleur,,03,19.9,-72.6166667
anse a galet,,11,18.8316667,-72.8641667
anse a galets,,11,18.8316667,-72.8641667
anse a joseph,,03,19.6333333,-73.2833333
anse a louis,,12,18.2166667,-74.05
anse a macon,,08,18.5833333,-73.7333333
anse-a-pitre,,13,18.05,-71.75
anse-a-pitres,,13,18.05,-71.75
anse a proux,,08,18.5166667,-74.4166667
anse-a-veau,,08,18.5166667,-73.35
anse canot,,12,18.0666667,-73.6
anse d'azur,,08,18.6666667,-74.15
anse d'hainault,,08,18.5,-74.45
anse du clerc,,08,18.65,-74.2833333
anse du nord,,08,18.6666667,-73.7666667
anse galets,,11,18.8316667,-72.8641667
anse joseph,,08,18.6333333,-74.35
anselin,,09,19.6666667,-72.25
anse louis,,12,18.2166667,-74.05
anse mapay,,08,18.3833333,-74.4
anse pirogue,,06,19.0352778,-72.8136111
anse pitres,,13,18.05,-71.75
anse robert,,03,19.6333333,-73.3833333
anse rouge,,06,19.6333333,-73.05
anses a pitre,,13,18.05,-71.75
anses-a-pitres,,13,18.05,-71.75
antage,,09,19.7666667,-72.3666667
antoine,,12,18.1263889,-73.9011111
anuscat,,06,19.7,-72.7
apollon,,06,19.7166667,-72.7
appolion,,07,19.2833333,-71.95
aquier,,12,18.4,-73.8
aquin,5219,12,18.2833333,-73.4
arboite,,13,18.2666667,-72.6833333
arcachon,,11,18.5333333,-72.4
arcadien,,03,19.85,-73.2666667
arcahaie,,03,19.8166667,-72.9166667
arcahaie,,11,18.7694444,-72.5125
archaie,,11,18.7694444,-72.5125
archin,,06,18.9833333,-72.5833333
areguy,,13,18.3066667,-72.5566667
arena,,06,19.7333333,-72.6333333
argan,,12,18.4,-73.6
argent,,12,18.3333333,-74.2166667
aria,,09,19.7333333,-72.4166667
aricourt,,09,19.6166667,-72.05
armand,,09,19.55,-72.3666667
arnaud,,06,18.9913889,-72.3477778
arnaud,,08,18.45,-73.3833333
arnauld,,06,18.9166667,-72.3
arniquet,,12,18.1166667,-73.9166667
arnold,,11,18.4,-72.45
arnoux,,11,18.4,-73.0166667
artaud,,10,19.65,-71.75
asile,,08,18.3833333,-73.4166667
astraile,,03,19.8311111,-73.0772222
astrie,,08,18.3666667,-73.3666667
atelcoup,,07,19.0,-71.8166667
atraile,,03,19.7352778,-73.0102778
atrelle,,03,19.7333333,-73.0666667
attis,,12,18.3166667,-73.4166667
aubain,,12,18.35,-73.5833333
au bas,,08,18.5833333,-73.7
aubeque,,06,19.65,-72.8666667
aubert,,03,19.9166667,-72.8333333
au bery,,11,18.4833333,-72.3833333
aubile,,10,19.4333333,-71.95
aubin,,12,18.3,-74.1166667
aubry,,11,18.5463889,-72.5891667
au cadet,,11,18.4666667,-72.25
au centre,,08,18.45,-73.9666667
au codot,,11,18.4333333,-72.0166667
audate,,09,19.6166667,-72.4166667
auditon,,11,18.9175,-72.6216667
audouin,,03,19.8833333,-72.8333333
au fouk,,11,18.3166667,-72.9666667
augier,,06,18.9666667,-72.7166667
auguste,,06,19.5666667,-72.5666667
auguste,,11,18.7166667,-72.4333333
auguste,,13,18.25,-72.4
au large,,07,18.8833333,-71.85
aumond,,07,18.7913889,-72.2177778
aumont,,07,18.7913889,-72.2177778
au parc,,11,18.7208333,-72.8358333
au pig,,07,18.9333333,-72.1833333
au saut,,08,18.4666667,-73.4666667
au silence,,11,18.3666667,-72.35
au source nord,,06,19.3333333,-72.6833333
au source sud,,06,19.3333333,-72.6833333
austin,,11,18.8063889,-72.5233333
au tuf,,13,18.2808333,-72.6677778
aux bagues,,09,19.6833333,-72.3833333
aux cayes,,12,18.2,-73.75
aux figuiers,,11,18.4,-72.25
aux figuiers,,12,18.3166667,-74.1666667
aux fins,,08,18.4461111,-73.5641667
aux palmistes,,03,20.0166667,-72.7333333
aux palmistes,,12,18.0666667,-73.6
aux pieges,,11,18.65,-71.8333333
aux pins,,08,18.4461111,-73.5641667
aux plaines,,03,20.0166667,-72.6666667
aux plumettes,,13,18.3,-71.8166667
aux ravines,,12,18.05,-73.85
avocar,,06,19.6047222,-72.7838889
avocat,,06,19.2166667,-72.3333333
avocats,,13,18.2666667,-72.45
avon,,06,18.9166667,-72.2666667
avoyee,,11,18.6833333,-72.0666667
avril,,03,20.0166667,-72.7333333
avril,,08,18.6333333,-74.2
avril,,09,19.6666667,-72.5666667
azoi,,08,18.45,-74.1666667
azor,,06,19.2833333,-72.3666667
azor,,11,18.7166667,-71.9833333
babe,,06,19.1,-72.6666667
baber,,09,19.7130556,-72.2286111
babin,,08,18.6333333,-74.2666667
babin,,09,19.5833333,-72.5
babino,,08,18.5,-74.3666667
baboquette,,08,18.6333333,-73.6833333
babou,,06,19.05,-72.3333333
bacannan,,09,19.5833333,-72.1333333
bacardere d'lom,,11,18.4575,-72.9455556
bac a soude,,09,19.4,-72.1
bac bois,,13,18.2094444,-72.9880556
bac d'aquin,,06,19.2333333,-72.6333333
bachelier,,06,19.0833333,-72.3333333
bachette,,06,19.0166667,-72.65
bacilier,,12,18.3666667,-74.15
bacillier,,12,18.3666667,-74.15
baconnois,,08,18.5166667,-73.4333333
badaud,,11,18.3833333,-72.0333333
badeau,,11,18.3333333,-72.0
baden,,06,19.6666667,-72.7166667
baden,,11,18.8833333,-73.2666667
bader,,11,18.5166667,-72.3833333
badette,,11,18.5166667,-72.4333333
badin,,09,19.6666667,-72.3833333
badio,,11,18.3833333,-72.3333333
bado,,09,19.8333333,-72.5833333
badon marchand,,06,19.5,-72.65
badot,,09,19.8333333,-72.5833333
bagro,,06,18.95,-72.5166667
baguette,,03,19.7666667,-72.9833333
baguette,,13,18.1933333,-72.5511111
baguidy,,09,19.7166667,-72.3666667
bahon,,08,18.3666667,-73.2166667
bahon,,09,19.4666667,-72.1166667
bahoruco,,08,18.45,-73.2666667
baie bouvard,,06,19.5330556,-72.8166667
baie de haine,,03,19.6627778,-73.2094444
baie de henne,,03,19.6627778,-73.2094444
baie d'orange,,13,18.2791667,-72.2208333
baie du parc,,11,18.7208333,-72.8358333
bail,,09,19.4333333,-72.1166667
baille,,06,18.8994444,-72.3544444
baille,,11,18.4333333,-72.8333333
baille tourrible,,07,19.0166667,-72.0666667
baillo,,06,19.4166667,-72.3166667
bailly,,07,19.1333333,-71.9833333
bailly,,09,19.5666667,-72.3666667
bainet,,13,18.1847222,-72.7513889
baiseur,,03,19.6666667,-73.2
baja,,10,19.4666667,-71.7166667
bajardeau,,09,19.6833333,-72.4
bajaux,,07,18.9125,-72.1961111
bake,,11,18.3666667,-72.25
balai,,06,18.9,-72.2666667
balai rase,,12,18.0666667,-73.5833333
balais,,12,18.3,-74.05
balan,,09,19.7105556,-72.2083333
balan,,11,18.5675,-72.0691667
balandier,,08,18.5833333,-74.4
balandrie,,07,18.9766667,-72.0927778
balangnin,,12,18.2833333,-73.1166667
balanier,,07,19.2833333,-71.9333333
balantier,,03,19.9166667,-72.7
balatier,,03,19.8666667,-72.7333333
balbas,,11,18.5833333,-72.1833333
baliane,,11,18.3166667,-72.9833333
baliares,,09,19.3166667,-72.1333333
balice,,12,18.0316667,-73.8608333
balifoudray,,06,19.15,-72.6333333
balisaille,,11,18.4841667,-72.05
balissage,,10,19.3666667,-71.9
balix,,12,18.05,-73.85
balizier,,08,18.65,-74.2833333
ballade,,03,19.8833333,-72.8166667
balladere,,07,18.8669444,-71.7630556
balliote,,10,19.4166667,-71.7166667
balliotte,,10,19.4166667,-71.7
ballis,,12,18.0316667,-73.8608333
ballon,,09,19.6833333,-72.5666667
balotte,,06,19.5,-72.4166667
balou,,08,18.3833333,-73.55
baltazar,,07,19.25,-71.8333333
balthazar,,07,19.25,-71.8333333
balthazar,,08,18.4166667,-73.4333333
bambi,,09,19.6333333,-72.55
bambou,,03,19.75,-72.85
bambou,,06,19.05,-72.3333333
bambou,,08,18.5333333,-74.1833333
bambou,,12,18.2166667,-73.7666667
bambou,,13,18.2333333,-72.8166667
bambou la selle,,03,19.8833333,-72.9166667
bambou ligros,,09,19.8666667,-72.6
bambou rigaud,,06,19.15,-72.4333333
bamby,,11,18.4,-73.0
banane,,13,18.15,-71.7666667
bananier,,03,19.8091667,-73.02
bananier,,08,18.4333333,-74.4166667
bananier colas,,03,19.8666667,-72.9333333
bananne,,13,18.15,-71.7666667
banard,,11,18.45,-72.5833333
bangouinyote,,03,19.7616667,-73.0330556
bangoule,,07,18.8333333,-71.9833333
banique,,06,19.0833333,-72.7
banlieu,,08,18.3833333,-73.4166667
banne roche,,13,18.2941667,-72.7133333
banos,,06,18.9466667,-72.3425
baptiste,,06,19.4333333,-72.3166667
baptiste,,07,18.7980556,-71.7836111
baptiste,,08,18.3666667,-73.3166667
baptiste,,10,19.45,-71.75
baptiste,,11,18.7166667,-71.9833333
baptiste,,12,18.3,-73.2833333
baptiste,,13,18.1833333,-72.7666667
baptiste boyer,,13,18.3166667,-72.5333333
baque,,11,18.3666667,-72.25
baquet,,08,18.4166667,-73.3333333
barada,,06,19.4833333,-72.3666667
baradaires,,08,18.4825,-73.6386111
barade,,06,19.35,-72.4833333
barade,,09,19.5833333,-72.3833333
baraderes,,08,18.4825,-73.6386111
barado,,11,18.4166667,-72.0666667
barage,,06,19.2,-72.5166667
baranque,,07,18.8,-71.7666667
baraque,,07,19.0333333,-72.0333333
barasa,,11,18.6833333,-71.9833333
barassa,,11,18.6333333,-72.0
barassart,,11,18.3333333,-72.1333333
barateau,,06,19.6833333,-72.7666667
barbanc,,11,18.8333333,-72.5333333
barbancourt,,11,18.8333333,-72.5333333
barbeau,,11,18.2833333,-72.8666667
barbe,,06,19.0,-72.55
barbe,,11,18.4333333,-72.3833333
barbe pangnol,,03,19.8122222,-73.0866667
