names,population,state_code,lat,lon
a-akna,,12,47.7166667,18.7333333
aba,4479,08,47.0333333,18.5166667
abadi ret,,20,47.5,20.6166667
abadszalok,4654,20,47.4666667,20.6
abaliget,,02,46.15,18.1166667
abapuszta,,18,47.7,21.8833333
abasar,3189,11,47.8,20.0
abaujalpar,,04,48.3166667,21.2333333
abaujdevecser,,04,48.3333333,21.1333333
abaujker,,04,48.3,21.2
abaujlak,,04,48.4,20.9666667
abaujsap,,04,48.3166667,21.0
abaujszanto,3366,04,48.2833333,21.2
abaujszolnok,,04,48.3666667,20.9833333
abaujvar,,04,48.5333333,21.3166667
abda,2997,09,47.7,17.55
abod,,04,48.4,20.8
abony,16342,16,47.1833333,20.0
abonyiuti tanyak,,16,47.3333333,19.8833333
abrahamhegy,,23,46.8166667,17.5666667
abrahamtelek,,16,47.3,19.9
abrahamtelep,,16,47.3,19.9
abrand,,18,47.8833333,22.1
abranytanya,,18,48.05,22.75
acsa,,16,47.8,19.3833333
acs,,01,46.6833333,19.1666667
acs,7180,12,47.7,18.0166667
acsad,,22,47.3166667,16.7333333
acsadi malom,,22,47.35,16.75
acsalag,,09,47.6833333,17.2
acsas,,10,47.15,21.5166667
acsaspuszta,,10,47.15,21.5166667
acsaujlak,,16,47.8166667,19.3833333
acsaujlak-puszta,,16,47.8166667,19.3833333
acsi csoszhaz,,01,46.6833333,19.1666667
acstanya,,09,47.9166667,17.1666667
acstanya,,10,47.45,21.9666667
acstanya,,16,47.3833333,19.2333333
acsteszer,,12,47.4,18.0166667
acsteszeripuszta,,12,47.4166667,18.0333333
acsteszer-puszta,,12,47.4166667,18.0333333
adacs,2890,11,47.7,19.9833333
adacsierdo,,01,46.95,19.3666667
adamdulo,,10,47.45,21.4
adamhegy,,24,46.4833333,17.05
adammajor,,12,47.7166667,18.3333333
adam-puszta,,10,47.2166667,21.85
adamtanya,,10,47.2166667,21.85
adamtanya,,20,47.6166667,20.7666667
adand,2306,17,46.8666667,18.1666667
adasztevel,,23,47.3,17.55
adlerszollos,,11,47.6,20.2833333
adolfmajor,,24,47.0166667,17.0833333
adony,3812,08,47.1166667,18.8666667
adorjanpuszta,,02,46.1,17.7333333
adorjanpuszta,,21,46.6333333,18.35
adorjantanya,,02,45.7833333,18.4333333
adorjantanya,,04,47.95,20.85
adorjanujtelep,,21,46.6333333,18.2833333
adorjas,,02,45.8505556,18.0627778
adriantelep,,04,48.1666667,20.6333333
adrienne-puszta,,14,47.8333333,19.4166667
adyliget,,05,47.55,18.9333333
afrikamajor,,22,47.2833333,16.7833333
ag,,02,46.2833333,18.2
agard,,08,47.1833333,18.6166667
agardidulo,,11,47.9,20.35
agardi villatelep,,08,47.2,18.6333333
agardivolgy,,21,46.35,18.7
agardpuszta,,08,47.1833333,18.6166667
agardytelep,,01,46.8166667,19.3833333
agarhalom,,01,46.6166667,19.2833333
agasegyhaza,1898,01,46.8333333,19.45
agasegyhazi tanyak,,01,46.85,19.4166667
agaserdo,,02,46.0833333,18.7833333
agasto,,21,46.1333333,18.7833333
agasvar,,21,47.9333333,19.8333333
agerdo,,18,47.7666667,22.4333333
agerdomajor,,18,47.7666667,22.4333333
agfalva,1971,09,47.6833333,16.5166667
aggato,,17,46.7,17.3
aggszentpeter,,08,47.2166667,18.8
aggtelek,,04,48.4666667,20.5166667
aghely,,09,47.55,17.4166667
agnesakna,,12,47.7166667,18.7333333
agnesforras,,08,47.25,18.3333333
agnesmajor,,08,47.2166667,18.25
ago,,13,48.1,20.5833333
agocpuszta,,04,48.3333333,21.6666667
agoctanya,,04,48.3333333,21.6666667
agoi patakdulo,,20,47.6,19.8666667
agoiretdulo,,20,47.6,19.8666667
agoi szollo,,20,47.6,19.8666667
agostmajor,,08,46.95,18.4833333
agostonhalom,,06,46.2666667,20.4333333
agostonmajor,,16,47.1333333,19.5
agostonmajor,,23,47.05,17.7833333
agostonpuszta,,08,46.9333333,18.3166667
agostonpuszta,,21,46.3833333,18.7
agostontanya,,04,47.85,20.5833333
agostyan,,12,47.65,18.3166667
agotazug,,10,47.3666667,21.0833333
agraregyetem,,07,47.6,21.65
agtanya,,16,47.1666667,19.3333333
agyagbanya,,16,47.35,19.45
agyaglika,,23,46.9,17.7
agyaglik,,23,46.9,17.7
agyagoskert,,20,47.3166667,20.9333333
agyagosszergeny,,09,47.6166667,16.95
ajak,3983,18,48.1833333,22.0666667
ajaki tanya,,18,48.1833333,22.0666667
ajka,31407,23,47.1,17.5666667
ajkai tanyak,,23,47.1,17.5666667
ajkarendek,,23,47.1,17.5666667
ajkarendeki tanyak,,23,47.1333333,17.5666667
ajkarendek tanyak,,23,47.1333333,17.5666667
ajmaniczadulo,,16,47.6166667,19.05
ajtos,,20,47.4333333,20.8
ajtoshat,,20,47.3833333,20.4833333
aka,,12,47.4,18.0666667
akacaslok,,17,46.4,17.5666667
akacasmajor,,23,47.4666667,17.7333333
akacdulo,,10,47.45,21.4
akademiafold,,20,47.15,20.0833333
akademia-tanya,,16,47.15,20.0333333
akademia tanyaja,,16,47.15,20.0333333
akalacs,,21,46.6666667,18.75
akali,,23,46.8833333,17.75
akarattya,,23,47.0166667,18.1666667
akaszto,3480,01,46.6916667,19.2080556
akaszto,,03,47.1333333,21.0833333
akaszto,,20,47.1666667,20.35
akasztodomb,,23,46.8,17.4333333
akasztodulo,,20,47.1666667,20.35
akasztofadulo,,02,45.85,18.3
akasztofahegy,,10,47.5333333,21.9
akasztohegy,,20,46.85,20.0666667
akasztohegyi szollo,,20,46.85,20.0666667
akasztoi tanya,,01,46.7666667,19.3
aklipuszta,,23,47.2333333,17.8333333
aklos,,03,47.0166667,21.1833333
akna,,23,47.0833333,17.6
akohegy,,08,46.8333333,18.8333333
akol,,02,45.8166667,18.3333333
akoldulo,,10,47.45,21.4
akolhat,,11,47.45,20.4166667
akolhati puszta,,11,47.45,20.4166667
akolmajor,,06,46.65,20.1
alacska,,04,48.2166667,20.65
alacskai-koszenbanyatelep,,04,48.2333333,20.6333333
alacskaiszenbanya,,04,48.2333333,20.6333333
aladarmajor,,06,46.1833333,20.3666667
aladarmajor,,08,47.0833333,18.8166667
alag,,16,47.6333333,19.15
alagi major,,16,47.6,19.15
alajarodulo,,08,46.9833333,18.9333333
alajaroduloi tanyak,,08,46.9833333,18.9333333
alajoshazatanya,,04,47.8833333,20.6666667
alap,2149,08,46.8,18.7
alapi resz,,08,46.7833333,18.7333333
alatka,,11,47.6666667,20.2333333
alatka,,20,47.2166667,20.4
alatkaoldal,,20,47.2166667,20.4
alattyan,2004,20,47.4333333,20.05
albertakna,,14,48.1166667,19.75
albertfalva,,05,47.45,19.0333333
alberti,,16,47.25,19.6166667
albertirsa,11864,16,47.25,19.6166667
albertirsai tanyak,,16,47.25,19.6166667
albertkazmerpuszta,,09,47.8666667,17.0333333
albertmajor,,11,47.8166667,20.35
albert-telep,,14,48.1166667,19.75
alcsimillerlapos,,20,47.1833333,20.2
alcsipuszta,,20,47.2,20.2333333
alcsisziget,,20,47.15,20.2333333
alcsut,,08,47.4166667,18.6166667
alcsutdoboz,,08,47.4166667,18.6166667
aldebro,,11,47.8,20.2333333
aldozo,,11,47.9333333,19.9833333
alekszandrapuszta,,17,46.0833333,17.5
alexandra-puszta,,17,46.0833333,17.5
alfaritanya,,09,47.7333333,17.3833333
alfoldszallas,,21,46.2833333,18.7666667
alfoldszallasok,,21,46.2833333,18.7666667
algyo,,19,46.25,20.1666667
alibanfa,,24,46.8833333,16.9333333
alice-major,,24,46.75,16.9
aligvarda,,01,46.1833333,18.9666667
aligvarhegy,,24,46.55,17.1
aligvarihegy,,24,46.55,17.1
aligvarimajor,,23,46.8333333,17.5333333
aligvaritanya,,02,45.95,17.9
aligvarmajor,,23,46.8333333,17.5333333
aligvarmajor,,24,46.4833333,16.65
aligvarom,,17,46.5833333,17.6666667
aligvaromhegy,,17,46.5833333,17.6666667
aligvaromi szollo,,17,46.6,17.6333333
aligvaromtelep,,08,46.8333333,18.8333333
alimantanya,,24,47.1,21.6333333
alivar,,17,46.3833333,17.2166667
alizmajor,,24,46.75,16.9
allami csemetekert,,18,47.8666667,21.85
allami erdo,,18,46.1,21.9833333
allami erdogazdasag,,18,46.1,21.9833333
allami erdotanya,,18,48.2166667,22.15
allami gazdakepzo,,01,47.0166667,19.0833333
allami malom,,22,47.35,16.85
allami szollotelep,,23,46.9833333,17.9666667
allampuszta,,01,46.7166667,19.0666667
allaskut,,17,46.4833333,17.65
allomasszogdulo,,20,47.5666667,20.0166667
allomastanya,,16,47.2,19.0166667
allomastelep,,18,48.0333333,21.4666667
almagyardulo,,11,47.9,20.3833333
almahegy,,17,46.8166667,17.8666667
almajor,,01,46.2666667,19.55
almajor,,08,46.7666667,18.6166667
almamellek,,02,46.15,17.8833333
almar,,03,46.8,21.3
almar,,11,47.95,20.3666667
almari csoszhaz,,03,46.8,21.3
almas,,02,45.8166667,18.25
almas,,18,47.9666667,22.0833333
almas,,21,46.3,18.6833333
almasfuzito,2348,12,47.7166667,18.2666667
almasgodor,,02,46.1666667,18.4166667
almashaza,,24,46.85,17.05
almasikut-puszta,,14,48.0333333,19.65
almasitanya,,10,47.1833333,21.45
almasitanya,,20,47.5333333,20.85
almaskamaras,,03,46.4666667,21.1
almaskeresztur,,02,46.1166667,17.9
almaskuttanya,,14,48.0333333,19.65
almasneszmely,,12,47.7333333,18.3666667
almaspuszta,,02,45.8747222,18.0527778
almaspuszta,,12,47.7166667,18.25
almaspuszta,,14,47.9833333,19.15
almas puszta,,21,46.3,18.6833333
almastanya,,14,48.0166667,19.6666667
almastanya,,18,47.9666667,22.0833333
almasvolgytanya,,04,48.45,20.45
almasytanya,,04,47.8,20.8166667
almasytanya,,20,47.5333333,20.85
almasytelep,,20,47.1833333,20.2
almavolgypuszta,,14,47.7666667,19.4666667
almosd,,10,47.4166667,21.9833333
alomzug,,10,47.1,21.4333333
alomzugtanya,,10,47.1,21.4333333
alpar,,01,46.8166667,20.0
alpari tanyak,,01,46.8166667,20.0
alsoabrany,,04,47.8833333,20.6833333
alsoadacs,,01,46.9333333,19.3333333
alsoanyas,,06,46.45,20.1333333
alsoaranyod,,24,46.95,17.0666667
alsoatokhaza,,06,46.3166667,19.9166667
alsoavas,,21,46.7,18.1333333
alsobabad,,16,47.2333333,19.25
alsobadurbokor,,18,47.95,21.7166667
alsobanyatelep,,12,47.4833333,18.3333333
also-barand-major,,24,46.6666667,17.1166667
alsobaricska,,23,46.9666667,17.8666667
alsobebespuszta,,24,46.7166667,16.95
alsobendek-puszta,,17,46.65,17.7166667
also bendek-puszta,,17,46.65,17.7166667
alsobene,,01,47.0333333,19.55
alsoberecki,,04,48.35,21.7
alsoberecska,,17,46.5166667,17.7833333
alsobesnyo,,08,47.1666667,18.7833333
alsobesnyo,,16,47.2,19.3
alsobikad,,21,46.6,18.5
alsobikol,,12,47.7166667,18.45
alsobocsar,,23,46.9666667,17.8666667
alsobogardpuszta,,08,46.8166667,18.4166667
alsobogat,,17,46.5,17.75
alsobogatpuszta,,17,46.3166667,17.4
alsoborcshaza,,12,47.5333333,17.95
alsoborsod,,23,47.15,17.5833333
alsoborzsony,,21,46.2833333,18.5666667
alsobucka,,16,47.3333333,19.0333333
alsocebe,,01,46.6333333,19.3666667
alsocece,,04,48.35,21.2
alsocikola,,08,47.0833333,18.8333333
alsocsala,,01,46.4166667,19.1833333
alsocsalanos,,01,46.9,19.7
alsocsampa,,21,46.5666667,18.8333333
alsocsardadulo,,03,46.65,20.85
alsocsarda dulo,,03,46.65,20.85
alsocsatar,,22,47.2166667,16.4333333
alsocserpuszta,,17,46.1,17.4333333
alsocserpuszta,,24,46.7,16.9833333
alsocsesztapuszta,,17,46.6833333,17.85
alsocsillag,,21,46.6166667,18.5666667
alsocsinger,,23,47.1,17.5833333
