names,population,state_code,lat,lon
aalanganjar,,08,-7.3991667,112.7941667
aan,,09,-6.9333333,139.9666667
aargasi,,09,-1.6,132.0666667
aaya,,22,-3.8038889,122.4391667
abab,,25,-3.3,103.8333333
ababiadi,,09,-0.8333333,135.5666667
abad,,18,-8.9902778,124.8713889
abadi,,31,0.6305556,121.8102778
abai,,24,-1.3333333,101.3666667
abaisiat,,24,-1.1666667,101.65
abajarang,,21,0.7525,120.1838889
abal,,16,-7.05,131.9333333
abali,,21,0.8333333,120.6666667
abaling,,21,0.9558333,120.7305556
abanat,,18,-9.4575,124.9583333
abapi,,23,0.9333333,122.3333333
abar-abir,,08,-7.0341667,112.5677778
abarange,,20,-4.7080556,119.9233333
abason,,21,-0.7658333,122.4586111
abasong,,21,-0.7658333,122.4586111
abat,,16,-6.7833333,131.5333333
abat,,18,-8.9902778,124.8713889
abatbot,,18,-9.4636111,124.8902778
abatbuti,,18,-9.3627778,124.8777778
abateberai,,18,-9.1338889,125.1069444
abatsali,,18,-9.0897222,124.9175
abatwain,,18,-9.3702778,124.9136111
abbanuang,,20,-4.0230556,119.9244444
abbatunge,,20,-4.3852778,119.6313889
abean,,16,-5.8333333,132.7833333
abeansemal,,02,-8.5166667,115.2166667
abeli,,22,-3.9666667,122.4666667
abelidalam,,22,-4.0016667,122.4552778
abemarre,,09,-7.0166667,140.15
abepura,,09,-2.6333333,140.5833333
aberparemna,,00,-10.0333333,134.9833333
abiaknabo,,09,-1.0333333,134.9333333
abinetengngae,,20,-4.9475,120.1672222
ableta,,16,-3.35,129.9
abo,,09,-3.0666667,139.8666667
abo,,21,-0.1055556,119.8497222
aboan,,07,-7.11,110.2972222
aboe,,09,-3.25,134.8666667
aboemaneh,,09,-2.3666667,138.7
aboen,,16,-3.4333333,126.9166667
aboeviah,,09,-6.2333333,139.9166667
aboi,,09,-7.6666667,140.0166667
abokongang,,20,-3.7911111,119.7661111
abola,,22,-3.6833333,122.2583333
aboot,,09,-7.7166667,140.05
aboreba,,09,-3.2333333,133.6666667
abube,,09,-6.7166667,139.4
abubu,,16,-3.6905556,128.7925
abuki,,22,-3.7552778,121.9213889
abuleta,,16,-3.3463889,129.9502778
abumane,,09,-2.3666667,138.7
abumaneh,,09,-2.3666667,138.7
abumbul,,21,0.5208333,120.6811111
abun,,16,-3.4333333,126.9166667
abun,,18,-9.3836111,124.6766667
abuviah,,09,-6.2333333,139.9166667
acemanis,,08,-7.1897222,112.9633333
ackgadang,,26,0.8,99.5666667
acobange,,20,-4.6816667,120.27
acok,,30,-6.3113889,106.4805556
adabai,,16,-3.3666667,129.9166667
ad,,16,-5.4166667,133.0666667
adadikam,,09,-0.9666667,135.8
adaka,,22,-4.0194444,122.6572222
adalara 1,,18,-9.4833333,119.15
adamata,,09,-2.6833333,132.5
adaoet,,16,-8.1333333,131.1166667
adar,,16,-3.9833333,131.4166667
adas,,14,-0.25,115.35
adaut,,16,-8.1333333,131.1166667
adean,,21,-1.2333333,123.0166667
adia,,22,-3.9711111,122.5094444
adi,,16,-0.4666667,127.9
adiadi,,20,-2.7641667,118.8525
adianbadja,,24,-2.5833333,99.45
adianbaja,,24,-2.5833333,99.45
adiankoting,,26,1.8666667,98.9
adiantorop 1,,20,2.4166667,99.7333333
adiantorop,,20,2.4166667,99.7333333
adimulyo,,15,-5.1641667,105.2397222
adipala,,07,-7.6666667,109.15
adipolo,,07,-7.6666667,109.15
adipurwa,,07,-7.1308333,110.2738889
adirasa,,07,-7.2794444,110.3011111
adirejo,,15,-5.0933333,105.3533333
adiwerna,134202,07,-6.9333333,109.1166667
adiwerno,,07,-6.9333333,109.1166667
adjibarang,,07,-7.4166667,109.0666667
adjikagoengan,,15,-4.9166667,104.8333333
adjikagungan,,15,-4.9166667,104.8333333
adjipemanggilan,,15,-5.0,105.1
adjoe,,14,-0.4833333,117.6
adju,,14,-0.4833333,117.6
adodo,,16,-6.7,131.5666667
adodoe,,16,-6.9833333,131.9833333
adodu,,16,-6.9833333,131.9833333
adoea,,09,-1.9166667,129.8333333
adoe,,17,-8.7166667,118.5
adoenara,,18,-8.25,123.15
adon,,11,-1.0666667,110.0666667
adonara,,18,-8.25,123.15
adora,,09,-2.7166667,132.1666667
adua,,09,-1.9166667,129.8333333
adu,,17,-8.7166667,118.5
adubitin,,18,-8.9983333,124.93
adunara,,18,-8.25,123.15
adur,,13,-3.3333333,114.25
aedan,,21,0.4647222,121.1472222
aehoen,,18,-9.5994444,124.7911111
aekanopan,,20,2.6666667,99.65
aekbadak,,26,1.1166667,99.4333333
aekgadang,,26,1.4,99.4166667
aekgodang,,26,0.8,99.5666667
aek humbang,,26,1.9833333,99.1833333
aek-kanan,,26,1.9666667,99.8
aekkanopan,,20,2.6666667,99.65
aekkoeasan,,20,2.6666667,99.65
aekkuasan,,20,2.6666667,99.65
aeknabara,,26,1.2833333,99.75
aeknabara-tonga,,26,1.2833333,99.75
aeknagodang,,26,1.4,99.4166667
aeknaororan,,26,1.8666667,98.9166667
aekoensim,,26,2.1666667,99.3333333
aekpaoeng,,26,2.5833333,99.3666667
aekpaung,,26,2.5833333,99.3666667
aeksuhat,,26,1.45,99.5666667
aektangoen,,19,0.9,100.15
aektangun,,19,0.9,100.15
aekunsim,,26,2.1666667,99.3333333
aembatoe,,20,-5.25,119.3666667
aemere,,18,-8.8333333,120.8666667
aenganjar,,08,-7.1833333,113.8833333
aenganyar,,08,-7.1833333,113.8833333
aengbatoebatoe,,20,-5.25,119.3666667
aengbatubatu,,20,-5.25,119.3666667
aengsono,,08,-8.05,113.3833333
aer besar,,09,-2.9333333,132.3333333
aerboeaja,,16,-3.0833333,126.4
aerbuaja,,16,-3.0833333,126.4
aerbuaya,,16,-3.0833333,126.4
aerdjeruk,,30,-6.85,105.5833333
aere,,22,-4.2769444,121.8647222
aergale,,31,1.0452778,124.3175
aeritam,,19,2.7166667,99.9333333
aerjeruk,,30,-6.85,105.5833333
aer kasar,,16,-3.55,130.8333333
aermata,,08,-6.95,112.85
aer mati,,09,-2.4166667,138.6666667
aermolek,,19,-0.3666667,102.2833333
aertembaga,,31,1.45,125.2
afa-afa,,16,0.6666667,127.3666667
afakowada,,18,-8.3666667,124.6166667
afang,,16,-3.7261111,130.5722222
afara,,16,-6.7666667,134.6333333
afdeling ii bukit,,01,4.4344444,97.9891667
afe,,16,0.8,127.3
afia,,26,1.3833333,97.5333333
afoeloe,,26,1.2833333,97.25
afui,,18,-9.0047222,124.8233333
afulu,,26,1.2833333,97.25
agalacangange,,20,-3.9747222,119.6291667
agamboeran,,09,-6.1,140.6666667
agamburan,,09,-6.1,140.6666667
agampencara,,20,-5.105,119.4369444
agatebi,,09,-2.4166667,133.25
agats,,09,-5.55,138.1333333
agatz,,09,-5.55,138.1333333
agel,,08,-7.7175,114.1736111
agienielia,,09,-3.6,137.2166667
agienrella,,09,-3.6,137.2166667
agisan,,14,4.2666667,116.7833333
aglik,,07,-7.0352778,110.5283333
agoda,,09,-2.5666667,133.15
agoeng,,13,-2.0333333,115.4833333
agung,,13,-2.0333333,115.4833333
ahanari,,16,-7.9666667,129.8125
ahas,,13,-2.3166667,114.3666667
ahidaboe,,16,-0.6166667,127.2333333
ahidabu,,16,-0.6166667,127.2333333
ahilaeloe,,22,-3.7,121.5
ahiloeloe,,22,-3.7,121.5
ahilulu,,22,-3.7,121.5
ahiolo,,16,-3.1,128.5666667
ahoe,,09,-7.5833333,139.45
aholiang,,20,-5.0022222,119.8725
ahu,,09,-7.5833333,139.45
ahu,,20,-2.8516667,118.8080556
ahuamendoro,,22,-4.4205556,122.4163889
ahuandomekongga,,22,-4.1219444,122.2030556
ahuaohano,,22,-3.9636111,122.4941667
ahuaolano,,22,-4.0930556,122.4611111
ahuawatu,,22,-3.9919444,122.2272222
ai,,01,2.5833333,95.95
aibaki,,18,-9.4505556,125.0205556
aibangis,,24,0.2,99.3833333
aibanooan,,18,-9.2825,124.8355556
aibase,,09,-2.65,139.9333333
aibesi,,18,-9.4533333,124.9633333
aibondeni,,09,-1.7,135.6
aiboni,,18,-9.8166667,124.7708333
aidoema,,09,-3.9166667,134.05
aidoena,,09,-4.45,135.25
