names,population,state_code,lat,lon
aasleagh,,10,53.6166667,-9.6666667
abbevill,,04,51.9666667,-8.5833333
abbeville,,04,51.9666667,-8.5833333
abbey,,10,53.1030556,-8.3922222
abbeydorney,,11,52.35,-9.6833333
abbeyfeale,1734,16,52.3813889,-9.3025
abbeylara,,18,53.7666667,-7.45
abbeyleix,1711,15,52.8991667,-7.3575
abbeymahon,,04,51.6330556,-8.7752778
abbey mount,,04,51.6008333,-9.1377778
abbeyshrule,,18,53.5833333,-7.65
abbeyside,,27,52.0938889,-7.6113889
abbeytown,,20,54.1716667,-9.1611111
abbeyville,,25,54.0608333,-8.5036111
abbot's cross roads,,12,52.9138889,-6.8227778
abbotstown,,07,53.3930556,-6.355
abhainn an scail,,11,52.1516667,-10.0566667
abhoca,,31,52.8527778,-6.2169444
abington,,16,52.6355556,-8.4147222
accrour bridge,,16,52.3744444,-8.9066667
achadh an iuir,,02,53.8338889,-7.0755556
achadh ur,,13,52.7341667,-7.3988889
achill,,20,53.9311111,-9.915
achill sound,,20,53.9277778,-9.9391667
achonry,,25,54.0827778,-8.6669444
aclare,,25,54.0333333,-8.9
adamstown,,27,52.2280556,-7.2341667
adamstown,,30,52.3941667,-6.7169444
adare,,16,52.5619444,-8.7955556
addergoole,,10,53.3630556,-9.0155556
addragool,,10,53.3211111,-9.1444444
adoca,,31,52.8527778,-6.2169444
adrigole,,04,51.7008333,-9.725
adrivale,,04,52.0344444,-9.1105556
aeaun bridge,,01,52.8433333,-6.6633333
agall,,23,53.2561111,-7.6016667
agar bridge,,12,53.2422222,-6.9497222
aghaboe,,15,52.9188889,-7.5119444
aghabog,,22,54.1497222,-7.0894444
aghabulloge,,04,51.9333333,-8.8
aghabullogue,,04,51.9333333,-8.8
aghacunna,,04,51.8744444,-9.0919444
aghacurreen,,11,52.0897222,-9.5652778
aghada,,04,51.8391667,-8.2122222
aghade bridge,,01,52.7575,-6.7255556
aghadoon,,20,54.2711111,-10.0297222
aghadreen,,15,52.91,-7.1788889
aghadreenagh,,02,54.0783333,-7.3094444
aghadruminsh,,14,53.9805556,-7.6980556
aghaglinny north,,03,53.1391667,-9.2188889
aghagower,,20,53.75,-9.4666667
aghagrania,,14,54.0686111,-8.0169444
aghakilmore,,14,54.0233333,-7.9969444
aghalackan,,02,53.9727778,-7.3002778
aghalane,,02,54.1227778,-7.4775
aghaleague,,14,54.0397222,-7.7086111
aghalenty,,06,54.99,-7.6838889
aghalough,,06,54.5663889,-7.8416667
aghamackalinn,,22,54.3916667,-7.0497222
aghamore,,14,53.9,-7.95
aghamore,,20,53.8166667,-8.8166667
aghamore,,25,54.2394444,-8.4488889
aghancon,,15,53.0322222,-7.7883333
aghanure,,01,52.8752778,-6.9297222
aghanvilla,,23,53.2,-7.3166667
agharroo,,14,54.4575,-8.3294444
aghaterry,,15,52.8691667,-7.0694444
aghatubrid,,11,51.8811111,-10.1963889
aghatubrid bridge,,11,51.8811111,-10.1963889
aghavannagh,,31,52.9141667,-6.4169444
aghavannah,,31,52.9141667,-6.4169444
