names,population,state_code,lat,lon
aavroun,,03,33.0477778,35.1788889
aba hillel,,01,31.6666667,34.6
abba hillel,,01,31.6666667,34.6
`abbasiya,,02,32.035,34.8861111
abu fadl,,02,31.95,34.85
abu ghaush,,06,31.8,35.1
abu-ghawsh,,06,31.8,35.1
abu ghosh,5570,06,31.8,35.1
abu jabir,,01,31.55,34.7666667
abu kabir,,05,32.05,34.7666667
abu kebir,,05,32.05,34.7666667
abu senan,,03,32.9580556,35.1713889
abu-senan,,03,32.9580556,35.1713889
abu shusha,,02,31.85,34.9166667
abu-shushah,,02,31.85,34.9166667
abu sinan,,03,32.9580556,35.1713889
accho,,03,32.9236111,35.0727778
acre,,03,32.9236111,35.0727778
acri,,03,32.9236111,35.0727778
adamit,,03,33.0833333,35.2166667
adamith,,03,33.0833333,35.2166667
`adanim,,02,32.1397222,34.9063889
adderet,,06,31.6666667,35.0
addirim,,03,32.5513889,35.2722222
admit,,03,33.0833333,35.2166667
afeq,,03,32.8388889,35.1247222
affula,,03,32.6111111,35.2916667
afikim,,03,32.6786111,35.5769444
afiqim,,03,32.6786111,35.5769444
afridar,,01,31.6833333,34.5666667
`afula,,03,32.6111111,35.2916667
`afula `elit,,03,32.6333333,35.3333333
`afulah `ilith,,03,32.6333333,35.3333333
`afula `illit,,03,32.6333333,35.3333333
afule,,03,32.6111111,35.2916667
afuli,,03,32.6111111,35.2916667
`afulla `illit,,03,32.6333333,35.3333333
agudat israel,,01,31.75,34.7833333
`agur,,06,31.6833333,34.9
ahi`ezer,,02,31.9811111,34.8716667
ahihud,,03,32.9077778,35.1711111
ahisamakh,,02,31.9355556,34.9080556
ahituv,,02,32.3844444,34.9911111
ahutzasamuel,,04,32.7833333,34.9833333
ahuzam,,01,31.55,34.7666667
ahuzam b.,,01,31.5666667,34.7666667
ahuzat samuel,,04,32.7833333,34.9833333
ahuzat sir herbert samuel,,04,32.7833333,34.9833333
ahuzza,,04,32.7833333,34.9833333
ahuzzam,,01,31.55,34.7666667
ahuzzam bet,,01,31.5666667,34.7666667
ahuzzat naftali,,03,32.7958333,35.4722222
ahuzzat shemu`el,,04,32.7833333,34.9833333
ahuzzat sir herbert samuel,,04,32.7833333,34.9833333
`ailabun,,03,32.8347222,35.3966667
ain ayala,,04,32.6333333,34.9333333
`ain birya,,03,32.9819444,35.4986111
ain ghazil,,04,32.6208333,34.9775
ain hod,,04,32.7,34.9833333
ain karim,,01,31.7666667,35.1666667
`ain katab,,03,32.7886111,35.5066667
ain yaaqoub,,03,33.0,35.2333333
ain yahav,,01,30.6533333,35.2386111
aiyelet hashahar,,03,33.0211111,35.5755556
aiyelet hash shahar,,03,33.0211111,35.5755556
ajami quarter,,05,32.05,34.75
`ajjur,,06,31.6833333,34.9
`akbara,,03,32.9416667,35.4986111
`akhbera,,03,32.9416667,35.4986111
akhberah,,03,32.9416667,35.4986111
akir,,02,31.8608333,34.8266667
`akka,,03,32.9236111,35.0727778
akkada,,04,32.5419444,35.1705556
akkia,,03,32.9236111,35.0727778
`akko,,03,32.9236111,35.0727778
akre,,03,32.9236111,35.0727778
al `amarah,,01,30.4913889,35.1797222
al `awja',,01,30.8872222,34.4208333
al bassa,,03,33.0708333,35.1361111
al bi`na,,03,32.9347222,35.2708333
al-binah,,03,32.9347222,35.2708333
al buqei`a,,03,32.9791667,35.3361111
al fureidis,,04,32.6,34.95
al haditha,,02,31.9683333,34.9344444
al haram,,05,32.1872222,34.8058333
al huzail,,01,31.4166667,34.75
al `imara,,01,31.3166667,34.5166667
al jiya,,01,31.6166667,34.6
al judeida,,03,32.9255556,35.155
al kababir,,04,32.8,34.9666667
al kabiri,,03,33.0213889,35.1477778
al kabri,,03,33.0213889,35.1477778
al khalisa,,03,33.2080556,35.5686111
`allar,,06,31.7166667,35.0666667
allona,,04,32.5286111,34.9933333
allonah,,04,32.5286111,34.9933333
allone abba,,03,32.7294444,35.1705556
allonei-yitzhak,,04,32.5102778,35.0038889
allone yizhaq,,04,32.5102778,35.0038889
allonim,,03,32.72,35.1419444
`alma,,03,33.05,35.5002778
almagor,,03,32.9102778,35.5977778
al majdal,,01,31.6666667,34.5833333
al malha,,06,31.75,35.1833333
al maliha,,06,31.75,35.1833333
al manara,,03,33.1958333,35.5430556
al manawat,,03,33.0333333,35.15
al marah,,04,32.5180556,35.0044444
al mas`udiya,,05,32.0833333,34.7833333
al mazar,,04,32.6833333,34.9666667
al mazra`a,,03,32.9858333,35.0988889
al muharraqa,,01,31.4666667,34.6166667
al musrarah,,06,31.7833333,35.2166667
alona,,04,32.5286111,34.9933333
alonah,,04,32.5286111,34.9933333
alonei-yitshaq,,04,32.5102778,35.0038889
alone yitzhak,,04,32.5102778,35.0038889
alonim,,03,32.72,35.1419444
al qubab,,02,31.8702778,34.9416667
al qubeiba,,02,31.8833333,34.7666667
alro'i,,04,32.7091667,35.1047222
al tabieh,,06,31.7666667,35.2333333
al `ulmaniya,,03,33.0833333,35.5833333
`alumim,,01,31.4166667,34.4833333
alummot,,03,32.7,35.55
alumot,,03,32.7,35.55
al yahudiya,,02,32.035,34.8861111
amazya,,01,31.5333333,34.9166667
`amelim,,02,31.85,34.9166667
ami`ad,,03,32.9247222,35.5388889
`aminadav,,06,31.75,35.1333333
amioz,,01,31.25,34.4166667
`amir,,03,33.1772222,35.6191667
amirim,,03,32.9375,35.45
`ammi`ad,,03,32.9247222,35.5388889
`amminadav,,06,31.75,35.1333333
`ammi`oz,,01,31.25,34.4166667
`ammishav,,05,32.0713889,34.9172222
`amqa,,03,32.9822222,35.1661111
`amqah,,03,32.9822222,35.1661111
an nawaqir,,03,33.1,35.2166667
annouqar,,03,33.1,35.2166667
`aqada,,04,32.5419444,35.1705556
`aqbarah,,03,32.9416667,35.4986111
`aqir,,02,31.8608333,34.8266667
`aqqada,,04,32.5419444,35.1705556
`ara,,04,32.4886111,35.1136111
`araba,,03,32.8486111,35.3358333
`arabah,,03,32.8486111,35.3358333
`arad,,01,31.25,35.2166667
`arah,,04,32.4886111,35.1136111
`ar`ara,,04,32.4936111,35.0972222
`ar`arah,,04,32.4936111,35.0972222
`arav,,03,32.8486111,35.3358333
arbel,,03,32.8125,35.4861111
arki,,03,32.9525,35.2111111
`arraba,,03,32.8486111,35.3358333
`arrabe,,03,32.8486111,35.3358333
ar rama,,03,32.9363889,35.3672222
ar reina,,03,32.7236111,35.3125
`arugot,,01,31.7333333,34.7666667
`arugot,,02,31.8333333,34.8
asafiyah,,04,32.7172222,35.0627778
`aseret,,02,31.8333333,34.75
ashdod alef,,01,31.7333333,34.65
ashdod,202681,01,31.7333333,34.65
ashdod,202681,02,31.8166667,34.65
ashdod c,,01,31.75,34.6666667
ashdod dalet,,01,31.75,34.6833333
ashdod gimel,,01,31.75,34.6666667
ashdod gimmel c,,01,31.75,34.6666667
ashdod on the sea,,02,31.8166667,34.65
ashdod yam,,02,31.8166667,34.65
ashdoth ya`aqov,,03,32.65,35.5666667
ashdot-ya'acov,,03,32.6583333,35.5808333
ashdot yaakov meuhad,,03,32.65,35.5666667
ashdot ya`aqov alef,,03,32.6666667,35.5666667
ashdot ya`aqov,,03,32.6583333,35.5808333
ashdot ya`aqov bet,,03,32.65,35.5666667
ashdot ya`aqov ihud,,03,32.6666667,35.5666667
ashdot ya`aqov me'uhad,,03,32.65,35.5666667
ashdot yaccov,,03,32.6583333,35.5808333
asher,,03,32.9605556,35.0938889
ashmura,,03,33.05,35.65
ashqelon,108342,01,31.6666667,34.5833333
ashquelon,,01,31.6666667,34.5833333
ash shajara,,03,32.7583333,35.4097222
ash sheikh muwannis,,05,32.1,34.8
as sarafand,,04,32.65,34.9333333
`athlit,,04,32.6833333,34.9333333
`athlith,,04,32.6833333,34.9333333
`atlit,,04,32.6833333,34.9333333
at taiyiba,,02,32.2647222,35.0080556
at tira,,02,32.0141667,34.9325
at tira,,04,32.7616667,34.9719444
auja al hafir,,01,30.8872222,34.4208333
auja al khafir,,01,30.8872222,34.4208333
auja,,01,30.8872222,34.4208333
`avdon,,03,33.0477778,35.1788889
avi'el,,04,32.5286111,34.9933333
avi`ezer,,06,31.6833333,35.0166667
avigdor,,01,31.7,34.7333333
avigedor,,01,31.7,34.7333333
avihayil,,02,32.35,34.8666667
avital,,03,32.5583333,35.3083333
avivim,,03,33.0833333,35.4666667
avot,,04,32.4833333,34.9666667
avtah,,06,31.7666667,35.1333333
avtalyon,,03,32.8333333,35.35
avuka,,03,32.4666667,35.5333333
avuqa,,03,32.4666667,35.5333333
avuqah,,03,32.4666667,35.5333333
ayaltah,,01,31.2833333,34.85
`ayanot,,02,31.9163889,34.7680556
`ayanot,,03,32.6775,35.2025
'ayanot-ramat david,,03,32.6775,35.2025
ayelet hashahar,,03,33.0211111,35.5755556
`aylabun,,03,32.8347222,35.3966667
ayn al-asad,,03,32.9333333,35.4
`ayn karim,,01,31.7666667,35.1666667
`ayn mahil,,03,32.7277778,35.3555556
`ayn waybah,,01,30.6533333,35.2386111
ayun kara,,02,31.9641667,34.8044444
ayyelet hashahar,,03,33.0211111,35.5755556
`azarya,,02,31.8944444,34.9091667
`azaryah,,02,31.8944444,34.9091667
azata,,01,31.4166667,34.5833333
`azir,,03,32.7944444,35.3319444
azor,,05,32.0191667,34.8105556
azotos,,01,31.75,34.6666667
azotus,,01,31.75,34.6666667
`azri'el,,02,32.2641667,34.9675
`azriqam,,01,31.75,34.7
azur,10338,05,32.0191667,34.8105556
azzata,,01,31.4166667,34.5833333
bahan,,02,32.3502778,35.0197222
baka-el-garbiya,,04,32.4133333,35.045
balad ash-shaykh,,04,32.7747222,35.0316667
balad esh sheikh,,04,32.7747222,35.0316667
balfouria,,03,32.6333333,35.2958333
balfouriya,,03,32.6333333,35.2958333
balfouriyya,,03,32.6333333,35.2958333
balfourya,,03,32.6333333,35.2958333
balfouryah,,03,32.6333333,35.2958333
balfuriya,,03,32.6333333,35.2958333
balfuryah,,03,32.6333333,35.2958333
bamaavaq,,03,32.7294444,35.1705556
bammaavaq,,03,32.7294444,35.1705556
bani darom,,02,31.8166667,34.7
baqa al gharbiya,,04,32.4133333,35.045
baqa al-gharbiyah,,04,32.4133333,35.045
baqa al-gharbiyye,,04,32.4133333,35.045
baqa,,04,32.4133333,35.045
baqa el garbiyya,,04,32.4133333,35.045
baqa el garbiyye,,04,32.4133333,35.045
baq'a el gharbia,,04,32.4133333,35.045
baqa el gharbiya,,04,32.4133333,35.045
baqa el gharbiyya,,04,32.4133333,35.045
bar`am,,03,33.0586111,35.4338889
baraq,,03,32.5430556,35.2666667
barbara,,01,31.6166667,34.5833333
barbarah,,01,31.6166667,34.5833333
barbarit,,01,31.6166667,34.5833333
bareket,,02,32.0186111,34.9447222
bareqet,,02,32.0186111,34.9447222
bar giyyora,,06,31.7333333,35.0666667
bariyah,,02,31.8944444,34.9091667
barkai,,04,32.4730556,35.0313889
