names,population,state_code,lat,lon
abad,,28,22.432778,88.777778
abadgarh,,36,29.581389,77.39
abadpura,,23,31.316667,75.566667
abaibani,,28,22.3,86.933333
abara,,35,21.733333,78.566667
abbigeri,,19,15.583333,75.766667
abdalpur,,36,29.723889,77.495556
abdul,,16,19.666667,76.883333
abdullahpur,,10,30.1,77.283333
abdullahpur,,39,30.404167,77.887222
abdullanpur,,36,30.159444,77.771944
abdullapur,,02,17.321944,78.695
abdullapur,,10,28.107778,76.075556
abdullapur,,26,24.35,92.3
abdullapur,,36,29.546389,77.430556
abdullapuram,,25,12.783333,79.666667
abdullun,,12,34.533333,75.266667
aberdeen,,01,11.666667,92.733333
abersa,,19,14.733333,74.3
abhaipur,,03,27.033333,94.333333
abhana,,35,23.7,79.533333
abhanpur,,37,21.05,81.716667
abhapuri,,35,21.716667,76.066667
abhayapuri,15803,03,26.333333,90.666667
abhiramapuram,,25,13.027778,80.2575
abhona,,16,20.483333,73.916667
abiramam,6837,25,9.466667,78.45
ablu,,23,30.35,74.8
abohar,130613,23,30.15,74.183333
abomgaon,,03,26.716667,94.116667
abring,,12,33.7,76.583333
abtare chak,,12,32.616667,74.866667
abu,,24,24.6,72.7
abul kharana,,23,30.15,74.55
abur,,12,34.058333,74.534722
abu road,50266,24,24.483333,72.783333
acaro,,33,15.533333,73.933333
accarapatam,,22,10.883333,79.833333
acchabal,,12,33.683333,75.233333
achad,,09,20.216667,72.883333
achalda,,36,26.716667,79.416667
achalpur,111287,16,21.257222,77.508611
achampet,,02,16.65,80.133333
achanakmar,,37,22.416667,81.85
achankovil,,13,9.1,77.133333
acharapokam,,25,12.416667,79.816667
achcharapakkam,,25,12.416667,79.816667
acheshon,,30,28.9,95.966667
achhabal,,12,33.683333,75.233333
achhahad,,12,33.658333,74.063889
achhawal,,12,33.683333,75.233333
achhayyapalli,,02,17.709167,78.574444
achhibal,,12,33.683333,75.233333
achhnera,20534,36,27.183333,77.766667
achhota,,37,20.671944,81.58
achina,,10,28.683333,76.366667
achina,,24,27.066667,73.316667
achirik,,12,34.133333,77.2
achna,,28,22.132778,88.33
achnapalli,,02,17.9925,78.081389
achnera,,36,27.183333,77.766667
achra,,16,16.216667,73.466667
ackamal,,12,34.556944,76.158333
ada,,24,25.75,72.233333
adaba,,21,19.5,84.183333
adad,,16,18.391111,72.950833
adalair,,12,32.540278,74.85
adalaj,10423,09,23.166667,72.583333
adamankotta,,25,12.083333,78.116667
