names,population,state_code,lat,lon
ababayte,,05,35.1702778,46.0336111
ababelleh,,05,35.1702778,46.0336111
ababelli,,05,35.1702778,46.0336111
ababilah,,05,35.1702778,46.0336111
abada,,09,30.9075,46.7755556
`abad `ali,,14,31.9166667,46.9166667
`abadi dawud salim,,10,33.7802778,45.5055556
abadi mullah hasan,,10,33.8005556,45.5341667
abah timman,,14,31.7036111,47.0655556
abakhana,,07,33.3333333,44.4
abas ar rajib,,10,33.7433333,45.0336111
abass at ta±`ma,,16,33.0108333,44.6952778
abayachi,,18,33.7672222,44.3802778
abbara,,10,33.9438889,44.8775
`abbara,,10,34.5202778,45.1552778
`abbarah,,10,33.9438889,44.8775
`abbarah,,16,33.0666667,45.9333333
`abbas,,04,32.1038889,45.3063889
`abbas,,06,32.3333333,44.4333333
`abbas,,09,31.2511111,46.0877778
`abbas,,10,33.75,44.7333333
`abbas,,12,32.6794444,44.205
`abbas,,17,32.0788889,44.4430556
`abbas,,18,34.0280556,44.2438889
`abbas ad dakhil,,06,32.3166667,44.8666667
`abbas agha,,03,31.4144444,45.1155556
`abbas al `abd allah,,06,32.7666667,44.2833333
`abbas al `abid,,06,32.8661111,44.5297222
`abbas al ahmad,,18,34.0280556,44.2438889
`abbas al `ali,,06,33.1591667,44.3983333
`abbas al `amir,,16,32.9941667,44.6575
abbas al hamadi,,03,31.5025,45.1966667
`abbas al husain,,18,33.75,44.3
`abbas al husayn,,01,33.3558333,44.1055556
`abbas al husayn,,17,32.0533333,44.4613889
`abbas al husayn,,18,33.75,44.3
`abbas al jasim,,16,32.95,44.5333333
`abbas al mahdi,,01,33.3725,44.1266667
`abbas al mardi,,10,33.75,44.9833333
`abbas al murshid,,10,33.4830556,44.4322222
`abbas al wadi,,01,33.4233333,44.3427778
`abbas ar radi,,04,31.4441667,44.8705556
`abbas ar rajib,,10,33.7433333,45.0336111
`abbas as saddam,,04,32.0408333,45.2772222
`abbas as salih,,10,33.7166667,44.7666667
`abbas at ta±`ma,,16,33.0108333,44.6952778
`abbas at ta±`mah,,16,33.0108333,44.6952778
`abbas chaqal,,05,35.7291667,45.475
`abbas fayhan,,06,32.9111111,44.1897222
`abbas ibrahim,,10,34.15,45.1
abbasiyah,,08,37.1372222,42.7025
abbas karash,,06,32.8833333,44.2
`abbas kazi§im,,06,32.7,44.3333333
`abbas khidr,,06,32.9944444,44.1533333
`abbas mahdi,,12,32.6255556,44.2291667
`abbas marjan,,06,32.3633333,44.3791667
`abbas mukhaylif,,18,34.975,43.295
`abbas mulla `alwan,,01,33.4319444,44.3430556
`abbas radhi,,04,31.4441667,44.8705556
`abbas radi,,16,32.885,44.1991667
`abbas rajab,,15,36.0941667,43.3791667
`abbas shagal,,05,35.7291667,45.475
`abbud,,10,33.5166667,45.0666667
