names,population,state_code,lat,lon
a`aladar,,27,35.6411111,49.3097222
aaysharud,,01,38.5666667,45.0666667
`aba `amud,,31,32.15,48.2166667
`aba `amud shaqati,,31,32.1425,48.2041667
ab,,01,38.3166667,48.3
ab,,28,32.5930556,51.7491667
ababad,,07,28.9672222,53.98
aba barik,,26,35.6158333,52.0913889
ababi,,33,37.3697222,48.1513889
ababin,,33,37.3697222,48.1513889
abad,,15,30.4152778,50.0797222
abad,,22,29.0275,51.2466667
abad,,28,32.5569444,51.9013889
abadan,370220,15,30.3525,48.2958333
abadan,,28,33.7847222,54.6461111
abadani,,11,27.2188889,55.8052778
abadan tappeh,,17,37.4191667,55.2538889
abad chehel tan,,29,28.5833333,58.5333333
abad cheshmeh,,07,31.0333333,52.8333333
abadchi,,28,32.7533333,50.7311111
abad-e chehel tan,,29,28.5833333,58.5333333
abadeh,,05,30.9555556,50.9247222
abadeh,56993,07,31.1608333,52.6505556
abadeh,,15,30.1877778,49.6322222
abadeh,,29,29.4297222,55.6472222
abadeh-i-tashk,,07,29.8108333,53.7275
abadeh tashk,,07,29.8108333,53.7275
abadeh-ye morshedi,,07,30.3347222,53.8127778
abadeh-ye tashk,,07,29.8108333,53.7275
abad-e soleyman,,28,32.56,51.9108333
abadi,,30,34.6447222,59.2430556
abadi,,31,30.2833333,54.2333333
abadilahi,,15,30.1877778,49.6322222
abad illahi,,15,30.1877778,49.6322222
abadi seyyed,,04,29.0022222,58.0511111
abadi-ye hajj mohammad qoli,,03,31.3863889,51.0761111
abadiyeh-e nomuneh,,15,31.5375,48.3469444
abadiyeh nemuneh,,15,31.5375,48.3469444
abadi-ye nemuneh,,15,31.5375,48.3469444
abadi-ye pa godaru,,12,30.7666667,56.8333333
abadi-ye tashk,,07,29.8108333,53.7275
abad khoreh,,07,29.7216667,52.8925
abad khorreh,,07,29.7216667,52.8925
abad khurreh,,07,29.7216667,52.8925
abad kureh,,07,29.7216667,52.8925
abad mahalleh,,17,36.6166667,52.2666667
abad mangeli,,30,36.7636111,57.74
abadseyyed,,04,29.0022222,58.0511111
abad shahpur,,07,28.9722222,53.2202778
abad shapur,,07,28.9722222,53.2202778
abad sid,,04,29.0022222,58.0511111
abad soleyman,,28,32.56,51.9108333
abaglu,,19,36.1,49.5333333
abahar,,15,32.0583333,49.1916667
abajalu-ye `olya,,01,37.7333333,45.15
abajalu-ye sofla,,01,37.7333333,45.1666667
abajanlu,,21,36.1166667,48.1333333
abajin,,33,37.3697222,48.1513889
abakhshian,,24,33.8433333,49.0480556
abakht,,19,36.1,49.5333333
abaklu,,19,36.1,49.5333333
aba-kurban,,30,38.1833333,56.6166667
ab `ali,,07,30.1666667,54.3333333
ab `ali,,26,35.7630556,51.9655556
ab ali,,26,35.7630556,51.9655556
aballoo,,29,38.1166667,46.8666667
ab alvan,,05,31.0005556,50.2227778
aba mansuri,,30,33.9816667,58.5708333
ab ambar,,07,30.9,53.3333333
ab ambar,,19,34.6,49.0833333
ab ambar,,30,33.1666667,59.3
ab-ambar,,31,31.4233333,53.7002778
ab amiri,,15,30.7313889,50.0508333
ab anar,,05,30.7688889,50.8747222
ab anar,,07,29.9880556,53.0408333
ab anar,,23,33.2333333,47.8666667
ab anar,,30,32.4666667,57.4
ab anarak,,07,28.8883333,54.715
ab anbar,,04,26.7263889,59.0838889
ab anbar,,07,30.9,53.3333333
ab anbar,,19,34.6,49.0833333
ab anbar,,30,32.4666667,57.4
abanbar,,31,31.4233333,53.7002778
ab anbar,,31,31.4233333,53.7002778
ab anbar-e kan sorkh,,31,31.3738889,53.635
ab anbar-e pa'in,,15,32.7166667,48.3333333
ab anbarkan-e sorkh,,07,31.4,53.6166667
aband,,04,26.2438889,60.5411111
abandak,,17,36.6188889,51.5244444
abandan,,17,36.0444444,52.6183333
abandanak,,17,36.6188889,51.5244444
abangan,,07,30.7,52.3166667
ab anjir,,05,31.1488889,50.5647222
ab anjir,,07,30.3936111,51.4208333
ab anjirak,,15,32.0369444,49.2038889
ab anjirak,,26,35.7366667,51.8241667
ab anjirak-e `olya,,15,32.0333333,49.2333333
ab anjir-e bala,,05,30.4666667,50.4666667
ab anjir-e `olya,,05,30.4666667,50.4666667
ab anjir-e pa'in,,05,30.45,50.45
ab anjir-e sofla,,05,30.45,50.45
ab anjir va bas kutuk,,07,28.45,53.75
ab aqa,,11,28.4166667,56.1166667
ab aqa'i,,11,28.4166667,56.1166667
ab aqeh,,11,28.4166667,56.1166667
`aba qeshlaqi,,02,39.15,47.7
`abaqlu,,07,30.4788889,53.0566667
abar,,28,32.6583333,51.7336111
abarabashi,,01,39.1333333,44.5333333
abarak-e bala,,29,29.3377778,57.9205556
abarak-e pa'in,,29,29.3519444,57.9438889
abardarreh,,24,34.7988889,50.1247222
abardeh,,30,36.385,59.2652778
abardeh,,34,35.2386111,51.7686111
abar deh-e bala,,30,36.385,59.2652778
abar deh-e pa'in,,30,36.3872222,59.2683333
abardeh-e sofla,,30,36.3872222,59.2683333
abardeh 'olya,,30,36.385,59.2652778
abardeh-ye bala,,30,36.385,59.2652778
abardeh-ye `olya,,30,36.385,59.2652778
abardeh-ye pa'in,,30,36.3872222,59.2683333
abardeje,,34,35.2386111,51.7686111
abar dezh,,26,35.2119444,51.7961111
abardezh,,34,35.2386111,51.7686111
abareh,,15,30.45,48.2336111
`abareh,,15,32.1666667,48.4166667
abareq,,12,29.3505556,57.9269444
abaresh,,30,36.1666667,58.0
abargh,,29,29.3377778,57.9205556
abarghan,,02,37.8466667,47.3538889
abarghoo,,31,31.1311111,53.2869444
abarik,,19,35.6833333,50.1833333
abariq,,12,29.3505556,57.9269444
`abariyeh,,15,31.2022222,48.3841667
abarjas,,24,34.3358333,50.8158333
abarjes,,24,34.3358333,50.8158333
abarjis,,24,34.3358333,50.8158333
abarku,,31,31.1311111,53.2869444
abarkuh,,31,31.1311111,53.2869444
abarlaq-e bala,,09,34.6927778,48.2397222
abarlaq-e `olya,,09,34.6927778,48.2397222
abarlaq-e pa'in,,09,34.6705556,48.2291667
abarlaq-e sofla,,09,34.6705556,48.2291667
abarnau,,27,35.9558333,49.2622222
abarqan-e tus,,30,36.4475,59.5636111
abarquh,,31,31.1311111,53.2869444
abarsaj,,25,36.5811111,54.9194444
abarsej,,25,36.5811111,54.9194444
abarsij,,25,36.5811111,54.9194444
abaru,,09,34.7105556,48.5716667
abasabad,,02,38.9194444,46.8588889
`abasabad,,17,37.2166667,55.3333333
`abasabad,,26,35.4080556,51.6997222
abasabad,,26,35.7341667,51.4377778
'abasabad,,29,28.3908333,56.3652778
abasabad,,29,38.3,46.5833333
abash,,15,30.8808333,50.2013889
abashan,,32,37.7175,48.4166667
`abasheh,,15,31.3861111,48.8397222
`abasi„abad,,30,35.27,59.3791667
ab ask,,35,35.8711111,52.1533333
abastan,,02,37.6330556,47.9538889
`abasu,,11,26.2166667,58.0833333
abatar,,08,37.3663889,49.2575
abater,,08,37.3663889,49.2575
abati,,02,38.4333333,44.85
abaveysan,,30,36.7838889,57.0116667
abavisan,,30,36.7838889,57.0116667
`abaviyeh,,15,31.2022222,48.3841667
abazar,,30,33.6986111,59.2183333
abazi„ar,,15,30.3205556,50.23
abazi„ar,,32,37.9872222,48.0722222
abazlu,,21,36.05,48.2666667
ab bad,,07,28.3444444,53.2669444
ab bad,,29,28.3119444,57.0425
ab bad-e do,,07,28.3666667,53.2333333
ab bad-e goruh,,29,28.8833333,57.8166667
ab bad-e pedari,,29,28.8216667,56.2544444
ab bad-e peders,,29,28.8216667,56.2544444
ab bad-e qahremani,,29,28.8269444,56.2619444
ab bad-e sivandi,,29,28.8241667,56.2541667
ab bahar,,15,32.0583333,49.1916667
ab bahar-e do,,15,32.0583333,49.1916667
ab bahareh,,05,30.9938889,50.9252778
ab bahar-e yek,,15,32.05,49.2
ab bahri,,29,29.3788889,56.5777778
ab bakhsh,,30,37.1497222,57.4244444
ab bakhshan,,24,33.8433333,49.0480556
ab band,,04,26.3347222,59.8291667
ab band,,07,28.9263889,54.3805556
ab bandan kash,,17,36.5333333,53.1166667
ab bandan sar,,17,36.4666667,52.8333333
ab bar,,27,36.9180556,48.9647222
ab bar,,29,28.3119444,57.0425
ab baran,,15,30.7630556,49.9172222
ab baran-e yek,,15,30.7630556,49.9172222
ab bareh,,16,35.9247222,46.6491667
ab barg,,30,37.1166667,58.5666667
ab barik,,03,32.3069444,50.2863889
ab barik,,07,28.0813889,54.1147222
ab barik,,09,34.8783333,48.2586111
ab barik,,12,29.3505556,57.9269444
ab barik,,13,35.1833333,47.5
ab barik,,16,34.9972222,48.0805556
abbarik,,19,35.6833333,50.1833333
ab barik,,19,35.6833333,50.1833333
ab barik,,23,33.2,49.5333333
ab barik,,26,35.2616667,51.6108333
ab barik,,30,34.5547222,58.2458333
ab barik,,34,33.8166667,49.6333333
ab barik bala,,23,33.2333333,49.8333333
ab barik-e bala,,23,33.2333333,49.8333333
ab barik-e bala,,30,34.5547222,58.2458333
ab barik-e `olya,,13,34.8444444,47.7480556
ab barik-e `olya,,23,33.85,48.1666667
ab barik-e `olya,,30,35.7263889,59.2855556
ab barik-e pa'in,,23,33.2333333,49.8166667
ab barik-e pa'in,,30,34.5388889,58.2841667
ab barik-e seyah kamar,,13,34.8444444,47.7480556
ab barik-e sofla,,13,34.8666667,47.7333333
ab barik-e sofla,,23,33.8508333,48.1480556
ab barik-e sofla,,30,35.7469444,59.2297222
ab barik-e vosta,,13,34.85,47.75
ab bariki,,23,33.5227778,47.6497222
ab barik `olya,,23,33.2333333,49.8333333
ab barik `olya,,30,35.7263889,59.2855556
ab barik pa'in,,23,33.2333333,49.8166667
ab barik siah kamar,,13,34.8444444,47.7480556
ab barik sofla,,23,33.2333333,49.8166667
ab barik sofla,,30,35.7469444,59.2297222
`abbasa,,17,36.5452778,51.9902778
`abbasabad,,01,37.7,45.05
`abbasabad,,02,37.1666667,46.1
`abbasabad,,03,32.0494444,50.4333333
`abbasabad,,04,28.0,58.9
`abbasabad,,05,30.8011111,51.3936111
`abbasabad,,07,28.9147222,54.0405556
`abbasabad,,08,38.3833333,48.8333333
`abbasabad,,09,34.25,48.5430556
`abbasabad,,10,33.1913889,47.2366667
`abbasabad,,11,26.5713889,57.5372222
`abbasabad,,12,28.0011111,58.9005556
`abbasabad,,13,34.4319444,46.6544444
`abbasabad,,15,32.2833333,48.3166667
`abbasabad,,16,35.2,46.3333333
`abbasabad,,17,35.9333333,52.95
`abbasabad,,18,35.9,54.1166667
`abbasabad,,19,34.2833333,49.2333333
`abbasabad,,23,33.4658333,49.6219444
abbas abad,,23,33.7938889,47.6127778
`abbasabad,,23,33.8666667,48.3
`abbasabad,,24,33.7619444,49.0747222
`abbasabad,,25,35.2430556,52.695
`abbasabad,,26,35.1386111,51.6283333
abbasabad,,26,35.6613889,51.8866667
`abbasabad,,26,35.7341667,51.4377778
`abbasabad,,27,36.07,48.9911111
`abbasabad,,28,32.5197222,51.8813889
`abbasabad,,29,27.4263889,57.5725
abbasabad,,29,29.5519444,55.5069444
`abbasabad,,29,29.55,55.5122222
`abbasabad,,30,31.8988889,58.9211111
abbasabad,,30,36.1761111,58.8925
`abbasabad,,30,36.5641667,61.14
`abbasabad,,31,30.5427778,54.2441667
`abbasabad,,32,38.0166667,48.5166667
`abbasabad,,34,33.5333333,49.9833333
`abbasabad,,35,35.8833333,52.15
`abbasabad,,37,36.8833333,54.7833333
abbas abad amini,,29,30.5269444,55.7277778
abbas abad bahman,,07,31.2266667,52.6016667
abbasabad-e `alaqeh band,,26,35.5286111,51.58
`abbasabad-e `amidi,,30,35.0569444,59.47
`abbasabad-e amin,,29,30.5269444,55.7277778
`abbasabad-e aqa ghafur,,29,30.4941667,56.0030556
`abbasabad-e `arab,,30,36.6905556,57.4691667
`abbasabad-e bahman,,07,31.2266667,52.6016667
`abbasabad-e bala,,27,36.07,48.9911111
`abbasabad-e bala,,28,34.0038889,51.2925
`abbasabad-e bala,,29,27.4263889,57.5725
`abbasabad-e bard `ali,,19,35.4,50.4666667
`abbasabad-e bijar,,30,32.7372222,59.4672222
`abbasabad-e boveyri dalik,,24,35.5,50.4833333
`abbasabad-ebozorg,,01,39.5333333,48.0666667
`abbasabad-e bozorg,,26,35.8597222,50.6872222
`abbasabad-e chicheklu,,24,34.3833333,49.1
`abbasabad-e dalemeh,,31,32.4327778,54.2563889
`abbasabad-e dalmeh,,31,32.4327778,54.2563889
`abbasabad-e dara'i,,26,35.5333333,51.2
`abbasabad-e dasht,,30,33.35,59.3333333
`abbasabad-e dowlatabad,,24,35.5802778,50.6658333
`abbasabad-e fakhraa€i,,15,32.2833333,48.3166667
`abbasabad-e fallah,,12,31.05,55.5
`abbasabad-e faramishan,,30,35.0569444,59.47
`abbasabad-e faramushan,,30,35.0569444,59.47
`abbasabad-e ferdows,,26,35.6,51.0666667
`abbasabad-e ghafur,,29,30.4933333,55.9983333
`abbasabad-e gol gol,,13,34.5,46.55
`abbasabad-e golshar,,24,35.5833333,50.75
`abbasabad-e hajji,,29,30.4394444,56.0358333
`abbasabad-e hajji aqa`ali,,29,30.4394444,56.0358333
`abbasabad-e hajji khan,,30,36.0883333,58.9911111
`abbasabad-e jadid,,30,35.0358333,59.2958333
`abbasabad-e jajrud,,26,35.7641667,51.6966667
`abbasabad-e jalrud,,26,35.7641667,51.6966667
`abbasabad-e jangi,,30,36.6286111,59.1688889
`abbasabad-e jowkar,,09,34.4252778,48.6908333
`abbasabad-e kahnuj,,29,28.2727778,57.6769444
`abbasabad-e kenar jaddeh,,30,36.1761111,58.8925
`abbasabad-e khan,,12,30.3833333,56.0166667
`abbasabad-e kuchek,,26,35.8730556,50.7177778
`abbasabad-e larni,,26,35.4080556,51.6997222
`abbasabad-e malek,,30,36.6891667,57.4661111
`abbasabad-e manzelak,,24,35.1833333,50.3
`abbasabad-e mo`in,,29,30.4177778,55.8186111
`abbasabad-e nar baghi,,24,35.1163889,50.5775
`abbasabad-e naz baghi,,24,35.1163889,50.5775
`abbasabad-e nimdad,,12,28.0011111,58.9005556
`abbasabad-e pa'in,,27,36.0833333,49.0
`abbasabad-e peghar,,28,33.2005556,52.0994444
`abbasabad-e qandi,,30,36.7905556,57.1641667
`abbasabad-e qarah baghi,,04,28.3833333,60.7166667
`abbasabad-e qusheh,,30,32.8666667,59.2166667
`abbasabad-e ramjerd,,07,29.9583333,52.5997222
`abbasabad-e sanavord,,19,34.2333333,49.3333333
`abbasabad-e sardar,,04,28.6816667,59.0783333
`abbasabad-e seh choqa,,13,34.4,46.6666667
`abbasabad-e seyf,,27,35.5666667,50.05
`abbasabad-e shahaki,,29,28.65,59.1333333
`abbasabad-e shams,,07,29.1886111,53.7030556
`abbasabad-e tavana,,34,35.7316667,50.8883333
`abbasabad-e tusi,,26,35.6666667,50.75
`abbasabad-e zarand,,19,35.4,50.4666667
`abbasabad-e zargham,,26,35.4152778,51.7952778
abbas abad hoomeh,,29,30.7844444,56.5438889
abbas abad hoomeh-ye zarand,,29,30.875,56.2766667
abbasabad-i-qusheh,,30,32.8666667,59.2166667
abbas abad kahnooj,,29,28.2647222,57.8158333
`abbasabad kesb,,09,34.4252778,48.6908333
abbas abad kharaghan sharghi,,19,35.7666667,49.3166667
abbas abad nahar khan,,30,32.7358333,59.3811111
`abbasabad nimdad,,12,28.0011111,58.9005556
abbas abad ramjerd,,07,29.9583333,52.5997222
abbasabad sanabard,,19,34.2333333,49.3333333
`abbasabad sanavord,,19,34.2333333,49.3333333
abbas abbad,,29,27.4263889,57.5725
`abbas,,13,34.4105556,45.5833333
`abbas,,15,31.0613889,48.5766667
`abbas,,23,33.6833333,47.8333333
`abbasak,,27,36.55,50.3666667
`abbas`ali,,32,38.6180556,48.02
`abbas`ali kandi,,32,38.8166667,47.7333333
`abbas `ali kash,,17,36.7244444,52.9988889
`abbas `ali kesh,,17,36.7244444,52.9988889
`abbas `ali kosh,,17,36.7244444,52.9988889
`abbas `alilu,,32,39.0166667,47.7166667
abbas bar,,23,33.0258333,49.5844444
`abbas barfi,,23,33.0258333,49.5844444
`abbas barfi-ye mianeh,,23,33.0333333,49.6166667
`abbas barfi-ye `olya,,23,33.0333333,49.6
`abbas barfi-ye sofla,,23,33.0258333,49.5844444
`abbas barqi,,23,33.0258333,49.5844444
`abbas beyglu,,01,39.1486111,48.2227778
`abbas bolaghi,,01,36.7333333,46.5
`abbas bolaghi,,02,38.95,44.8
`abbasebad,,30,32.5013889,60.5211111
`abbas ebn-e `ali,,22,29.8880556,50.2016667
`abbas-e gholam `ali,,04,31.1166667,61.7833333
`abbas-e kalpat,,23,33.4744444,48.0422222
`abbas-e yalis,,15,31.3377778,48.4163889
`abbasi,,15,31.3377778,48.4163889
`abbasi,,22,29.6208333,50.6247222
`abbasi,,23,33.9833333,47.8833333
`abbasiyeh,,04,30.9333333,61.4544444
`abbasiyeh,,09,34.2,48.8666667
`abbasiyeh,,15,31.5491667,48.8727778
`abbasiyeh,,29,28.8613889,58.8394444
`abbasiyeh,,30,35.1322222,58.1463889
`abbas jub,,16,35.2666667,47.5
`abbas kamp,,15,30.9,49.6333333
`abbas kandi,,01,39.0333333,44.4166667
`abbas kandi,,32,38.7166667,47.9333333
`abbas khan,,04,30.9333333,61.3166667
`abbas khan,,23,33.7938889,47.6127778
`abbas khan-e qareh gol,,30,36.6666667,59.2
`abbas khu,,23,33.7833333,47.65
`abbas kola,,17,36.5166667,52.1
`abbas kolpat,,23,33.4744444,48.0422222
`abbas kuh,,08,37.2008333,49.1455556
`abbaslu,,21,36.05,48.2666667
`abbas qal`eh,,30,37.4,59.0333333
`abbas qal`ehsi,,02,37.65,47.5166667
`abbas qoli,,13,34.25,46.8
`abbas qolikhan,,30,36.4319444,61.1047222
`abbas raqeh,,16,36.3666667,46.65
`abbdollahabad,,24,34.8108333,50.6338889
ab behan,,15,30.9030556,49.9902778
ab behareh,,05,30.9938889,50.9252778
ab beruy,,03,32.3008333,51.0188889
ab bib,,29,28.7083333,58.0655556
ab bid,,05,30.9,50.35
ab bid,,07,29.9897222,51.705
ab bid,,11,28.2038889,56.9788889
ab bid,,15,30.8,50.05
ab bid,,23,33.2666667,48.75
ab bid,,29,30.8969444,56.9941667
ab bidak,,03,31.5541667,50.6141667
ab bid `ali,,15,32.2819444,48.7377778
ab bid dasht,,15,32.05,49.2833333
ab bid-e `alibaz,,15,32.2819444,48.7377778
ab bid-e bajgah,,07,30.15,51.55
ab bid-e bavan,,07,29.9897222,51.705
ab bid-e bovan,,07,29.9897222,51.705
ab bid-e galleh tavak,,15,32.3,49.4333333
ab bid-e haji baba,,15,32.25,48.7333333
ab bid-e hajji baba,,15,32.25,48.7333333
ab bid-e lalah,,07,30.1666667,51.7333333
ab bidi,,15,31.8758333,49.7430556
ab bidu'i,,11,28.2038889,56.9788889
ab bordeh,,29,29.0613889,57.5744444
ab bu'i,,22,28.7769444,51.3036111
ab chahru,,15,32.15,49.51
ab chak,,24,33.9666667,50.6166667
ab charian,,04,26.9777778,61.1919444
ab chashmeh,,23,33.5166667,48.7833333
ab chekan,,04,27.3308333,60.7738889
ab cheku,,29,31.05,56.5
ab chenar,,03,31.5963889,50.8269444
ab chenar,,05,30.6494444,51.4511111
ab chenar,,07,28.5672222,52.6002778
ab chenar,,15,32.1,49.3833333
ab chenar-e `olya,,05,31.4661111,50.5855556
ab chenar-e sofla,,05,31.4538889,50.5988889
ab chendar,,05,30.95,50.9
ab chendar,,15,32.1,49.3833333
ab chendaran,,05,31.0691667,50.7855556
ab chendar-e gelal,,05,31.0691667,50.7855556
ab cheri,,05,30.9297222,50.4391667
ab cheshmeh,,10,33.2586111,47.1277778
ab chirak,,05,30.4877778,50.6783333
ab chol,,15,32.1361111,49.6725
abchowr,,30,37.3930556,57.4222222
ab chubeh,,28,32.6838889,52.7913889
abchu'iyeh,,28,32.6838889,52.7913889
ab chur,,30,37.3930556,57.4222222
ab chuya,,28,32.6838889,52.7913889
`abdabad,,07,29.0219444,52.9666667
`abdabad,,26,35.5166667,51.0666667
`abdabad,,29,28.9727778,58.6561111
`abdabad,,30,35.5983333,59.0616667
`abd,,11,25.5666667,58.8
`abd,,30,33.6561111,59.2413889
ab dagan sar,,17,36.55,52.85
abdaki,,30,34.2833333,58.0333333
abdalabad,,30,35.3844444,60.2330556
abdal,,21,36.6833333,48.1166667
abdalan,,09,34.6527778,48.2455556
ab dalan,,13,34.8080556,45.8797222
abdalar,,02,36.8333333,46.9666667
abdalar,,21,36.1,48.35
abdaleh,,30,32.9833333,58.6
