names,population,state_code,lat,lon
abaer,,28,65.3,-18.8666667
abaer kirkja,,28,65.3,-18.8666667
akranes,5606,07,64.3166667,-22.1
akrar,,17,64.6333333,-22.3833333
akurey,,23,63.6666667,-20.3833333
akureyri,16563,09,65.6666667,-18.1
alafoss,,15,64.1666667,-21.6833333
alftamyri,,36,65.7833333,-23.7166667
alftanes,,17,64.4666667,-22.15
alftartunga,,17,64.6666667,-22.0166667
alptamyri,,36,65.7833333,-23.7166667
alttanes,,17,64.4666667,-22.15
arbaer,,23,63.8666667,-20.35
arbaer,,36,65.7666667,-23.5
argerdareyri,,19,65.8833333,-22.3833333
arnes,,30,66.0166667,-21.5166667
arngerðareyri,,19,65.8833333,-22.3833333
arngerðeyri,,19,65.8833333,-22.3833333
as,,07,64.7,-21.0333333
ashverfi,,23,63.8333333,-20.6
aslaksstaðir,,10,64.0166667,-22.35
asolfsskali,,23,63.5666667,-19.8
auðkula,,05,65.5,-20.0333333
auðkula,,36,65.7666667,-23.5
baeir,,19,66.1,-22.55
baenahus,,19,66.0166667,-22.45
baenshus,,19,66.0166667,-22.45
baer,,06,64.3833333,-14.8
baer,,07,64.6166667,-21.55
baer,,30,65.7,-21.4333333
baer,,36,66.1166667,-23.55
bakkafjorður,,20,66.0333333,-14.8
bakkagerði,,20,65.5166667,-13.8166667
bakki,,09,65.6166667,-18.5166667
barð,,28,66.05,-19.1333333
bergsstaðir,,05,65.4333333,-19.7
berjadalsa,,19,66.15,-22.8666667
berunes,,31,64.7,-14.2666667
bessastaðir,,10,64.1,-22.0
bildudalur,204,34,65.6833333,-23.6
bjarnanes,,06,64.3166667,-15.2333333
bjarnarhofn,,29,65.0,-22.9666667
bjoluhverfi,,23,63.8,-20.5
blonduos,936,05,65.6666667,-20.3
bolstaðarhlið,,05,65.5166667,-19.8166667
bolungarvik,918,36,66.15,-23.25
bolungavik,,36,66.15,-23.25
borðeyri,,30,65.2,-21.1
borgarhofn,,06,64.1833333,-15.8166667
borgarnes,1783,17,64.5333333,-21.9166667
borg,,17,64.55,-21.9166667
braeðratunga,,03,64.1666667,-20.3833333
brautarholt,,15,64.2333333,-21.85
breiðabolsstaðir,,23,63.7333333,-20.15
breiðabolsstaðir,,35,65.45,-20.7166667
breiðabolsstaður,,23,63.7333333,-20.15
breiðabolsstaður,,29,65.0333333,-22.4
breiðabolsstaður,,35,65.45,-20.7166667
breiðavik,,34,65.55,-24.35
breiðdalsvik,,31,64.8,-14.0
breiðibolsstaður,,35,65.45,-20.7166667
brekka,,10,64.1,-22.0166667
brekka,,31,65.2,-13.8166667
brekkuvellir,,34,65.4833333,-23.65
brettingsstaðir,,32,66.1166667,-17.9166667
brianslaekur,,34,65.5166667,-23.2
brimilsvellir,,29,64.9166667,-23.5833333
brjanslaekur,,34,65.5166667,-23.2
broðeyri,,30,65.2,-21.1
brunnastaðir,,10,64.0,-22.3833333
brunnholskirkja,,06,64.2833333,-15.4333333
buðardalur,,08,65.1166667,-21.7666667
buðareyri,,20,65.2633333,-13.9955556
buðareyri,,31,65.0333333,-14.2166667
buðarholshverfi,,23,63.5833333,-20.1666667
buðir,,29,64.8166667,-23.3833333
buðir,,31,64.9333333,-14.0166667
burfell,,03,64.0833333,-20.9333333
byjarsker,,10,64.0333333,-22.7166667
byjasker,,10,64.0333333,-22.7166667
dagverðarnes,,08,65.1666667,-22.5333333
dalvik,1403,09,65.9666667,-18.5333333
disarstaðir,,31,64.8333333,-14.2833333
disastaðir,,31,64.8333333,-14.2833333
diupivogur,,31,64.65,-14.2833333
djupidalur,,23,63.7833333,-20.2833333
djupivogur,389,31,64.65,-14.2833333
draflastaðir,,32,65.8166667,-17.9166667
drangsnes,77,30,65.6833333,-21.45
dvergasteinn,,36,66.0,-23.05
dyrafjorður,,36,65.8666667,-23.5
dyrholahverfi,,37,63.4166667,-19.1666667
efri-nupur,,35,65.1333333,-20.75
eiðar,,31,65.3666667,-14.35
einarsstaðir,,32,65.7333333,-17.4
eiriksstaðir,,20,65.1166667,-15.4166667
engidalur,,36,66.0333333,-23.1666667
eskifjorður,,31,65.0666667,-14.0166667
eskiforður,,31,65.0666667,-14.0166667
evindarholar,,23,63.5,-19.6166667
eyrarbakki,594,03,63.8666667,-21.15
eyrar,,20,65.3,-13.85
eyri,,04,65.6,-22.5
eyri,,31,64.9,-13.9166667
eyri,,36,66.0166667,-22.9333333
eyvindarholar,,23,63.5,-19.6166667
faskruðsfjorður,,31,64.9333333,-14.0166667
fell,,28,66.0333333,-19.3833333
fiflholt,,23,63.6666667,-20.3
fjorður,,31,65.2,-14.0166667
flatey,,04,65.3666667,-22.9166667
flateyri,299,36,66.05,-23.5166667
floagaflshverfi,,03,63.9,-21.2333333
flugumijri,,28,65.5666667,-19.3166667
flugumyri,,28,65.5666667,-19.3166667
folafotur,,36,66.0333333,-22.8833333
furufjorður,,19,66.2666667,-22.25
garðabaer,,10,64.0833333,-21.9833333
garðahreppur,,10,64.0833333,-21.9
garðakauptun,,10,64.0833333,-21.9
garðar,,10,64.0666667,-22.65
garðhur,,21,66.0666667,-16.7666667
garðskagi,,10,64.0777778,-22.6833333
garðsstaðir,,36,66.0333333,-22.6833333
garður,,21,66.0666667,-16.7666667
garpsdalur,,04,65.45,-21.8333333
gata,,36,65.8666667,-23.5833333
gaulverjabaer,,03,63.8333333,-20.8833333
geirseyri,,34,65.5833333,-23.9833333
gerðar,,10,64.0666667,-22.65
geysir,,03,64.3166667,-20.3
gilsbakki,,17,64.7166667,-20.9833333
gjogur,,30,65.9833333,-21.35
glaesibaer,,09,65.75,-18.1666667
glaumbaer,,28,65.6166667,-19.5166667
glerarþorp,,09,65.7,-18.1166667
goðdalir,,28,65.3333333,-19.1
grafarkirkja,,37,63.7166667,-18.5333333
grafarnes,,29,64.9166667,-23.2666667
grenivik,300,32,65.95,-18.1833333
grenjaðarstaður,,32,65.8166667,-17.35
grenvik,,32,65.95,-18.1833333
grimsstaðaholt,,10,64.1333333,-21.9666667
grindavik,2539,10,63.8333333,-22.4333333
grundarfjorþur,,29,64.9166667,-23.2666667
grund,,09,65.5166667,-18.15
guðaugsvik,,30,65.45,-21.2666667
guðlaugsvik,,30,65.45,-21.2666667
gufnas,,15,64.15,-21.8166667
gufnes,,15,64.15,-21.8166667
gufudalur,,04,65.5666667,-22.4166667
gufunes,,15,64.15,-21.8166667
gunnolfsa,,09,66.1,-18.65
gvendarnes,,31,64.85,-13.7666667
hafnarfjorður,,10,64.0666667,-21.95
hafnarholmur,,30,65.7,-21.5166667
hafnarnes,,31,64.8666667,-13.7666667
hafnir,118,10,63.9333333,-22.6833333
hafrafell,,36,66.05,-23.1666667
hafsos,,28,65.9,-19.4333333
hafur,,23,63.7666667,-20.7
haganes,,28,66.0833333,-19.1666667
haganesvik,,28,66.0833333,-19.1666667
hagi,,23,63.9833333,-20.45
hagi,,34,65.5,-23.4666667
halfnarfjorður,,10,64.0666667,-21.95
hallbjarnarstaðir,,32,66.15,-17.25
hallbjarnstaðir,,32,66.15,-17.25
hallormsstaðir,,31,65.1,-14.75
hallormsstaður,,31,65.1,-14.75
hallormstaður,,31,65.1,-14.75
hals,,32,65.7333333,-17.8833333
hals,,36,66.0166667,-23.6666667
hamundarstaðir,,20,65.8333333,-14.7833333
hanefsstaðir,,20,65.2869444,-13.875
hanholl,,36,66.1166667,-23.2666667
hateigur,,31,64.8452778,-13.965
haukadalur,,03,64.3333333,-20.2833333
haukadalur,,36,65.8833333,-23.6333333
helgafell,,29,65.0333333,-22.7333333
hella,694,23,63.8333333,-20.4
hellgafell,,29,65.0333333,-22.7333333
hellissandur,408,29,64.9166667,-23.9
hellnar,,29,64.75,-23.65
hesteyri,,19,66.3333333,-22.8833333
heydalir,,31,64.8,-14.1333333
hjaleyri,,09,65.85,-18.2
hjalli,,03,63.9333333,-21.3
hjaltastaður,,20,65.5,-14.2333333
hjalteyri,41,09,65.85,-18.2
hjaltstaður,,20,65.5,-14.2333333
hjarðarfell,,29,64.8833333,-22.75
hjarðarholt,,08,65.1166667,-21.7
hjarðarholt,,17,64.7,-21.55
hliðarendi,,23,63.7166667,-19.95
hliðarhus,,19,66.1333333,-22.7
hlið,,36,66.0166667,-23.0166667
hmifsdalur,,36,66.1166667,-23.1333333
hnifsdalur,409,36,66.1166667,-23.1333333
hnjotur,,34,65.5666667,-24.15
hofðahverfi,,32,65.9333333,-18.1166667
hofðakaupstaður,,05,65.8333333,-20.3166667
hofðastrond,,19,66.25,-22.6833333
hofði,,19,66.2333333,-22.6166667
hof,,05,65.9,-20.3333333
hof,,06,63.9166667,-16.7
hof,,20,65.65,-15.0
hof,,28,65.9,-19.3833333
hof,,31,64.55,-14.6666667
hofn,1695,06,64.25,-15.2166667
hofsos,172,28,65.9,-19.4333333
hofstaðir,,28,65.7,-19.3666667
hofteigur,,20,65.35,-14.8666667
holanes,,05,65.8166667,-20.3166667
holar,,09,65.3666667,-18.25
holar,108,28,65.7333333,-19.1333333
holl,,20,65.6,-14.2666667
holl,,36,66.15,-23.25
holmabaeir,,23,63.6166667,-20.0833333
holmahverfi,,23,63.5666667,-20.1166667
holmavik,424,30,65.7166667,-21.6833333
holtastaðir,,05,65.6,-20.1
holt,,23,63.55,-19.8
holt,,36,66.0,-23.4333333
horn,,19,66.45,-22.45
hoskuldsstaðhir,,05,65.7333333,-20.25
hoskuldsstaðir,,05,65.7333333,-20.25
hrafnsfjarðareyri,,19,66.25,-22.45
hraungerði,,03,63.95,-20.8166667
hraun,,10,63.8333333,-22.4
hraun,,36,65.9,-23.75
hreppholar,,03,64.0666667,-20.3333333
hruni,,03,64.1333333,-20.2666667
htarðarholt,,17,64.7,-21.55
husavik,,20,65.4,-13.6833333
husavik,,30,65.65,-21.65
husavik,2338,32,66.05,-17.35
husayik,,32,66.05,-17.35
hvaleyri,,10,64.0666667,-22.0
hvallatr,,34,65.5333333,-24.4666667
hvallatur,,34,65.5333333,-24.4666667
hvalsnes,,10,63.9833333,-22.7333333
hvammstangi,573,35,65.4,-20.95
hvammur,,08,65.2166667,-21.8166667
hvammur,,17,64.8333333,-21.35
hvammur,,28,65.8833333,-19.85
hvammur,,31,64.8833333,-13.7833333
hvammur,,36,65.85,-23.4166667
hvanneyri,231,07,64.5666667,-21.7666667
hvanneyri,,09,66.15,-18.9166667
hveragerdi,,03,64.0,-21.2
hveragerði,,03,64.0,-21.2
hvolsvellir,,23,63.75,-20.2333333
hvolsvollur,753,23,63.75,-20.2333333
illugastaðir,,32,65.6166667,-17.8166667
ingjaldsholl,,29,64.9166667,-23.85
innriholmur,,07,64.3,-21.9166667
innri njarðvik,,10,63.9666667,-22.5166667
isafiordr,,36,66.0833333,-23.15
isafjardardjup,,36,66.0833333,-23.15
isafjorður,,36,66.0833333,-23.15
issafjorður,,36,66.0833333,-23.15
kakki,,09,65.6166667,-18.5166667
kaldrananes,,30,65.75,-21.4166667
kalfafell,,37,63.95,-17.6833333
kalfafellsstaður,,06,64.1833333,-15.8833333
kalfajorn,,10,64.0166667,-22.3
kalfatjorn,,10,64.0166667,-22.3
kalfholt,,23,63.9,-20.65
kaupangur,,09,65.6333333,-18.0333333
kaupstaður,,23,63.365,-20.2075
keflavik,7930,10,64.0166667,-22.5666667
kelda,,07,64.6166667,-21.55
keldur,,23,63.8166667,-20.0833333
keta,,28,66.05,-20.0333333
kinnarstaðir,,04,65.55,-22.15
kinnarstaður,,04,65.55,-22.15
kirkjubaejarklaustur,139,37,63.7833333,-18.0666667
kirkjubaer,,20,65.5166667,-14.4
kirkjubaer,,36,66.05,-23.1333333
kirkjubaer,,37,63.7833333,-18.0666667
kirkjubol,,04,65.5833333,-22.8833333
kirkjubol,,10,64.0666667,-22.7166667
kirkjubol,,31,64.835,-13.8766667
kirkjubol,,36,66.0166667,-23.5666667
kirkjubolsþorp,,31,64.835,-13.8766667
kirkjuvogur,,10,63.9333333,-22.6833333
kjos,,19,66.2333333,-22.5333333
kleppur,,15,64.1458333,-21.85
kljastrond,,32,65.9166667,-18.1833333
klyppsstaðir,,20,65.3666667,-13.9
klypsstaðir,,20,65.3666667,-13.9
knappavellir,,06,63.9,-16.6
knappstaðir,,28,65.9666667,-18.9666667
kolbeinseyri,,36,66.0166667,-22.8666667
kolbeinsstaðir,,29,64.8166667,-22.2666667
kolbeinsstaður,,29,64.8166667,-22.2666667
kolfreyjustaðir,,31,64.9166667,-13.8
kolfreyjustaður,,31,64.9166667,-13.8
kollafarðarnes,,30,65.6,-21.4
kollafjarðarnes,,30,65.6,-21.4
kopasker,144,21,66.3,-16.45
kopavogskaupstaður,,10,64.1,-21.9166667
kopavogur,26157,10,64.1,-21.9166667
kotstrond,,03,63.9666667,-21.15
