names,population,state_code,lat,lon
abadia a isola,,16,43.3833333,11.2
abano,,20,45.35,11.7833333
abano terme,19112,20,45.35,11.7833333
abatemarco,,04,40.1333333,15.35
abbadia,,10,43.2166667,13.4
abbadia,,12,45.0333333,6.8333333
abbadia,,16,43.3833333,11.2
abbadia a isola,,16,43.3833333,11.2
abbadia di fiastra,,10,43.2166667,13.4
abbadia di stura,,12,45.1,7.7166667
abbadia lariana,,09,45.9,9.3333333
abbadia san salvadore,,16,42.8833333,11.6833333
abbadia san salvatore,,16,42.8833333,11.6833333
abbadia stura,,12,45.1,7.7166667
abbasanta,,14,40.1333333,8.8166667
abbateggio,,01,42.2166667,14.0
abbazia,,12,45.0333333,6.8333333
abbazia,,20,45.6,11.85
abbazia di pomposa,,05,44.8347222,12.1827778
abbazia di santa maria in selva,,10,43.3166667,13.4
abbazia pisani,,20,45.6,11.85
abbaziz,,12,45.0333333,6.8333333
abbiategrasso,30308,09,45.4,8.9
aberstuckl,,17,46.7666667,11.3666667
abetemozzo,,01,42.6333333,13.55
abetito,,10,42.85,13.3666667
abeto,,05,44.1,11.7166667
abeto,,18,42.8333333,13.05
abetone,,05,44.1333333,10.6666667
abriola,,02,40.5,15.8166667
acaia,,13,40.3333333,18.2833333
acaja,,13,40.3333333,18.2833333
acate,,15,37.0333333,14.4666667
accadia,,13,41.1666667,15.3333333
acceglio,,12,44.4666667,7.0
accettura,,02,40.4833333,16.15
acciano,,01,42.1666667,13.7166667
acciarella,,07,41.45,12.75
acciaroli,,04,40.1833333,15.0166667
accio,,02,40.8833333,15.8166667
accumoli,,10,42.7,13.25
acera,,18,42.8166667,12.8333333
acerenza,,02,40.8,15.9333333
acereto,,17,46.9166667,11.9666667
acerno,,04,40.7333333,15.05
acerra,46729,04,40.95,14.3666667
aci bonaccorsi,,15,37.6,15.1166667
aci buonaccorsi,,15,37.6,15.1166667
aci castello,18554,15,37.55,15.1333333
aci catena,31216,15,37.6,15.1333333
acilia,,07,41.7833333,12.3666667
acireale,51967,15,37.6166667,15.1666667
aci sant'antonio,,15,37.6,15.1166667
acone,,15,37.9833333,15.8
acqua,,08,44.4166667,9.25
acquabona,,08,44.35,10.3
acquabona,,20,46.5055556,12.1577778
acquacadda,,14,39.1697222,8.7483333
acquacalda,,15,38.5166667,14.95
acquadene,,17,46.5666667,10.7833333
acqua di santa domenica,,03,39.9,16.0
acquafondata,,07,41.55,13.95
acquaformosa,,03,39.7166667,16.0833333
acquafredda,,03,38.9833333,16.25
acquafredda,,04,40.0333333,15.6666667
acquafredda,,08,44.4833333,9.0166667
acquafredda,,09,45.3,10.4
acquaiura,,18,42.6833333,12.7333333
acqualacastagna,,18,42.65,12.7166667
acqualadrone,,15,38.3,15.55
acqualagna,,05,43.6166667,12.6666667
acqua loreto,,18,42.7333333,12.3333333
acqualunga,,09,45.3166667,9.95
acqua marzo,,20,45.0991667,12.1394444
acquanegra,,05,45.1333333,9.8833333
acquanegra cremonese,,05,45.1333333,9.8833333
acquanegra sul chiese,,05,45.1666667,10.4333333
acquapendente,,07,42.7333333,11.8666667
acquappesa,,03,39.4833333,15.95
acquaratola,,01,42.7,13.5666667
acquarica,,13,39.9,18.25
acquarica del capo,,13,39.9,18.25
acquarica di lecce,,13,40.3,18.3166667
acquaro,,03,38.2833333,15.9
acquaro,,18,42.8666667,13.05
acquarone,,15,38.3,15.55
acqua santa,,02,40.95,15.5833333
acquasanta,,10,42.7666667,13.4
acquasanta terme,,10,42.7666667,13.4
acquasparta,,18,42.6833333,12.55
acquatina,,05,43.3,12.9166667
acquavella,,04,40.2166667,15.1166667
acquavena,,04,40.0833333,15.45
acquaviva,,05,43.1166667,11.85
acquaviva,,16,43.3833333,11.1666667
acquaviva collecroce,,11,41.8666667,14.75
acquaviva delle fonti,22030,13,40.9,16.8333333
acquaviva d'isernia,,11,41.6666667,14.15
acquaviva picena,,10,42.9333333,13.8
acquaviva platani,,15,37.5666667,13.7
acque acidule di rabbi,,20,46.4,10.8
acque albule,,07,41.95,12.7166667
acque albule bagni,,07,41.95,12.7166667
acque dolci,,15,38.05,14.5833333
acquevive,,11,41.6333333,14.4333333
acqui,,08,44.6833333,8.4666667
acqui citta,,08,44.6833333,8.4666667
acqui terme,19410,08,44.6833333,8.4666667
acquosi,,05,43.25,13.05
acri,21495,03,39.4833333,16.3833333
acrifoglio,,03,39.1333333,16.3333333
acuto,,07,41.7833333,13.1666667
adami,,03,39.0666667,16.3333333
adegliacco,,06,46.1166667,13.2427778
adelano,,05,44.35,10.7333333
adelfia,17132,13,41.0,16.8666667
aderno,,15,37.6666667,14.8333333
adrano,36184,15,37.6666667,14.8333333
