names,population,state_code,lat,lon
aberdean,,09,18.3833333,-77.3666667
aberdeen,,09,18.3833333,-77.3666667
aberdeen,,11,18.2,-77.7
aberly,,09,18.2666667,-77.3666667
abingdon,,02,18.3833333,-78.3
aboukir,,09,18.25,-77.3666667
abourkir,,09,18.25,-77.3666667
accompong,,11,18.2333333,-77.75
accompong maroon lands,,11,18.2333333,-77.75
accompong maroon village,,11,18.2333333,-77.75
accompong town,,11,18.2333333,-77.75
achendown,,16,18.1166667,-77.9833333
ackendown,,16,18.1166667,-77.9833333
acton,,15,18.4333333,-77.65
acton,,16,18.2666667,-78.1333333
acton house,,16,18.2666667,-78.1333333
adams valley,,04,18.1166667,-77.6
adelphi,,12,18.45,-77.8
admiral's town,,08,17.9833333,-76.8
admiral town,,08,17.9833333,-76.8
aenon town,,09,18.2166667,-77.4
aeolus valley,,14,17.9,-76.5333333
agua alta vale,,13,18.2666667,-76.8
agualta vale,,13,18.2666667,-76.8
airy castle,,14,17.9166667,-76.3333333
airy hill,,13,18.4,-76.9333333
albany,,07,18.1333333,-76.6166667
albany,,13,18.2833333,-76.85
albert arms,,11,18.05,-77.7
albert town,3449,15,18.2833333,-77.55
albion,,12,18.4833333,-77.9166667
albion,,14,17.8833333,-76.6
alderton,,09,18.3,-77.2166667
aleppo,,13,18.2333333,-76.85
alexandria,,01,18.0666667,-77.2833333
alexandria,,02,18.35,-78.0333333
alexandria,,09,18.3,-77.35
allen hall,,09,18.45,-77.4333333
allenton,,10,18.15,-77.05
alley,,01,17.8,-77.2666667
alligator pond,,11,17.8666667,-77.5666667
alligator pond bay,,11,17.8666667,-77.5666667
alligator pond village,,11,17.8666667,-77.5666667
alma,,16,18.2833333,-78.2
almondsbury,,11,18.15,-77.65
alps,,15,18.3333333,-77.5166667
alscot,,11,17.9666667,-77.7666667
alston,,01,18.1833333,-77.4333333
altamont,,07,18.0333333,-76.4
althorp,,11,18.0333333,-77.9
alva,,01,18.3,-77.3166667
amity,,01,17.8,-77.2666667
amity,,16,18.25,-78.1
amity cross,,16,18.25,-78.1
amity hall,,01,17.8,-77.2666667
amity hall,,10,17.9166667,-77.05
amity hall,,12,18.4,-77.8166667
amity hall,,14,17.95,-76.25
amity house,,16,18.25,-78.1
anchovy,4161,12,18.4,-77.9333333
anchovy bottom,,12,18.4,-77.9333333
anchovy station,,12,18.4,-77.9333333
andersons town,,09,18.2166667,-77.3666667
anderson town,,09,18.2166667,-77.3666667
angels,,10,18.0333333,-76.9833333
anglesea,,16,18.2333333,-78.0666667
annadale,,09,18.3666667,-77.15
annandale,,09,18.3666667,-77.15
annatto bay,,13,18.2666667,-76.7666667
annotta bay,,13,18.2666667,-76.7666667
annotto bay,,13,18.2666667,-76.7666667
anns castle,,10,17.9166667,-77.1166667
antrim,,09,18.4333333,-77.3
appleton,,15,18.1666667,-77.7333333
aqua alta vale,,13,18.2666667,-76.8
arcadia,,04,18.05,-77.4333333
arcadia,,10,18.25,-76.9833333
arcadia,,14,17.9166667,-76.3
arcadia,,15,18.45,-77.5
arcadia club,,08,18.0333333,-76.7833333
ardoch,,09,18.25,-77.1
argyle,,02,18.3166667,-77.9833333
argyle pen,,02,18.3166667,-77.9833333
armadale,,09,18.3,-77.3666667
armstrong,,11,18.1833333,-77.6333333
armstrongs,,11,18.1833333,-77.6333333
arntally,,14,18.0166667,-76.6
arntully,,14,18.0166667,-76.6
arthorp,,11,18.0333333,-77.9
arthurs mountain,,09,18.4,-77.2333333
arthurs mount,,09,18.4,-77.2333333
arthurs seat,,01,18.1333333,-77.2333333
arthurs seat,,09,18.3833333,-77.1333333
ashcott,,07,18.1166667,-76.6
ashlers,,01,18.0666667,-77.2666667
ashley hall,,01,17.85,-77.2666667
ashleys,,01,18.0666667,-77.2666667
ashton,,11,18.05,-77.8666667
ashton,,16,18.2166667,-77.9333333
asia,,04,17.9,-77.4333333
askenish,,02,18.3833333,-78.15
askinish,,02,18.3833333,-78.15
auchinbeddie,,04,18.2333333,-77.65
auchindown,,16,18.1166667,-77.9833333
auchtembeddie,,04,18.2333333,-77.65
august town,,10,17.9833333,-76.7333333
axe adze,,02,18.35,-78.0333333
axe and adze,,02,18.35,-78.0333333
babys corner,,10,18.0666667,-76.9833333
bachams cottage,,01,17.8166667,-77.3166667
bachelors hall,,02,18.4333333,-78.2
bachelors hall,,09,18.3166667,-77.0833333
bachelors hall,,14,17.95,-76.3166667
bad times,,09,18.3833333,-77.1166667
bagatelle,,07,18.15,-76.6
bailleston,,01,18.1666667,-77.4333333
baillieston,,01,18.1666667,-77.4333333
balaclava,,11,18.1666667,-77.65
balcarres,,01,18.1166667,-77.4333333
balcarres,,07,18.1666667,-76.7
balcarris,,01,18.1166667,-77.4333333
baldwins cottage,,01,17.7666667,-77.2333333
ballards valley,,13,18.3166667,-76.9
ballintoy,,09,18.3,-77.3
bally mony,,09,18.2333333,-77.1833333
ballynure,,04,18.1666667,-77.5666667
bamboo,,02,18.4333333,-78.0333333
bamboo,4264,09,18.3833333,-77.2666667
bamboo,,10,18.0333333,-77.0666667
bamboo market,,10,18.0333333,-77.0666667
banana ground,,02,18.0666667,-77.4333333
banbury,,10,18.1333333,-77.05
banbury,,16,18.2666667,-78.1166667
banbury village,,16,18.2666667,-78.1166667
bandon,,12,18.3666667,-77.8666667
bangor ridge,,07,18.15,-76.6833333
banks,,01,17.85,-77.3166667
banks,,09,18.45,-77.2333333
bantam spring,,13,18.4,-77.0666667
barbary hall,,11,17.95,-77.7666667
barbican,,02,18.45,-78.1166667
barbican,,08,18.0166667,-76.7666667
barbicon,,02,18.45,-78.1166667
bariff castle,,14,17.95,-76.45
barking lodge,,14,17.8833333,-76.2666667
barnes green,,11,18.05,-77.8666667
barneyside,,16,18.2666667,-77.95
barnstaple,,15,18.4,-77.4666667
barossa,,04,18.0333333,-77.4666667
barracks hall,,07,18.0666667,-76.4166667
barrett hall,,09,18.3,-77.1666667
barrett hall village,,09,18.3,-77.1666667
barreyside,,16,18.2666667,-77.95
barry's retreat,,10,18.0666667,-77.0666667
barton,,10,18.0333333,-77.1333333
barton,,11,18.1333333,-77.7333333
bartons,,10,18.0333333,-77.1333333
bartons,,11,18.1333333,-77.7333333
batcarres,,07,18.1666667,-76.7
batersea,,15,18.2166667,-77.4833333
bath,,14,17.95,-76.35
beacham cottage,,01,17.8166667,-77.3166667
beachams,,01,17.8166667,-77.3166667
beacon hill,,10,17.9833333,-76.95
beacon hill,,14,17.95,-76.35
beaston spring,,16,18.1333333,-77.9666667
beaston springs,,16,18.1333333,-77.9666667
beckford kraal,,01,18.0833333,-77.3
beckfords,,01,17.9,-77.2833333
beckford town,,14,17.8833333,-76.3666667
beecher town,,09,18.3666667,-77.1166667
beeston spring,,16,18.1333333,-77.9666667
belcarres,,07,18.1666667,-76.7
belcastle,,07,17.9833333,-76.2666667
belecastle,,07,17.9833333,-76.2666667
belfast,,14,17.8833333,-76.3833333
belfield,,10,18.0666667,-77.15
belfield,,13,18.2666667,-76.8333333
belfield works,,13,18.25,-76.8333333
