names,population,state_code,lat,lon
a,,47,26.6061111,127.9238889
abamachi,,27,32.75,129.95
abana,,27,32.75,129.95
abashiri,42498,12,44.0197222,144.2586111
abasiri,,12,44.0197222,144.2586111
abatu,,12,42.5538889,140.7572222
abe,,39,33.7833333,134.6333333
abe,,47,26.5377778,128.0883333
abeta,,23,34.6,136.0666667
abi,,39,33.7833333,134.6333333
abika,,19,35.5686111,139.2186111
abiko,131774,04,35.8666667,140.0166667
abira,,12,42.8166667,141.8333333
abo,,23,34.6666667,136.1666667
aboshi,,13,34.7833333,134.5833333
abu,,39,33.7833333,134.6333333
abu,,45,34.5,131.4666667
abu,,47,26.5377778,128.0883333
abukanai,,12,44.2,143.1833333
aburakawa,,03,40.85,140.7
aburatsu,,12,44.0197222,144.2586111
aburatsu,,25,31.5333333,131.35
abuta,,12,42.5538889,140.7572222
abuura,,39,33.7833333,134.6333333
achigaya,,37,34.8333333,138.2
achisu,,45,34.0033333,131.3544444
ada,,47,26.7333333,128.3166667
adakai,,36,35.4333333,133.1333333
adakaya,,36,35.4333333,133.1333333
adami,,08,37.4833333,140.2666667
adaniya,,47,26.2905556,127.7861111
adanniya,,47,26.2905556,127.7861111
adashika,,23,33.9333333,136.15
adasika,,23,33.9333333,136.15
adawa,,23,33.8,136.0333333
adigasawa,,03,40.7744444,140.2030556
adino,,31,34.4666667,133.8
aeba,,35,35.3666667,136.0333333
aenae,,12,42.0547222,139.4422222
afukina,,18,27.8166667,128.9
afuso,,47,26.4927778,127.8855556
afusu,,47,26.4927778,127.8855556
afutoromanai,,12,45.2,141.3166667
afuwa,,47,26.7166667,128.2833333
afuwacha,,47,26.2427778,127.7219444
afuwari,,47,26.1705556,127.3402778
aga,,11,34.2333333,132.6
aga,,41,35.35,133.3333333
agacho,,11,34.2333333,132.6
agamachi,,11,34.2333333,132.6
agami,,27,34.15,129.2666667
aganuma,,08,37.3666667,140.4333333
agare,,18,28.3166667,129.9333333
agarie,,47,26.5836111,127.9852778
agari-e-kami,,47,26.7075,127.8038889
agariemae,,47,26.7075,127.8038889
agarieue,,47,26.7172222,127.8061111
agarii,,47,26.5836111,127.9852778
agari-ie,,47,26.7172222,127.8061111
agarii-mae,,47,26.7075,127.8038889
agarii-mee,,47,26.7075,127.8038889
agarisuji,,47,24.2333333,124.0166667
agariuebaru,,47,26.6833333,127.9166667
agariuibaru,,47,26.6833333,127.9166667
agawa,,45,34.3333333,130.9333333
age,,02,39.3333333,140.45
ageda,,47,26.3344444,127.8061111
agei,,41,35.45,133.85
ageki,,23,35.15,136.5166667
agematsu,,26,35.7833333,137.7
agena,,47,26.3705556,127.8511111
ageno,,06,35.7,136.1
agenosho,,45,33.8833333,132.2666667
agenoshomachi,,45,33.8833333,132.2666667
agenoura,,45,33.9,132.2833333
ageo,219405,34,35.9697222,139.5886111
ageomura,,34,35.9697222,139.5886111
agida,,47,26.3344444,127.8061111
aginaa,,47,26.3705556,127.8511111
agina,,47,26.3705556,127.8511111
ago,,43,33.6,135.4833333
aguchi,,31,35.0166667,133.6333333
aguni,,47,26.5763889,127.2213889
agura,,20,33.5166667,134.1666667
aha,,47,26.7166667,128.2833333
ahacha,,47,26.2427778,127.7219444
ahare,,47,26.1705556,127.3402778
aharen,,47,26.1705556,127.3402778
aho,,23,34.6666667,136.1666667
ahuso,,47,26.4927778,127.8855556
ai,,36,35.1333333,132.95
aiba,,35,35.3666667,136.0333333
aibetsu,,12,43.9,142.5833333
aiboshima,,12,42.4833333,143.4333333
aida,,26,36.35,138.0
aidamari,,12,42.1166667,140.0166667
aidomari,,03,41.5,139.3666667
aidomari,,12,44.1833333,145.3333333
aiga,,23,34.1,136.2166667
aigadani,,23,33.9333333,136.1
aigatani,,23,33.9333333,136.1
aihama,,04,34.9166667,139.8166667
aihara,,19,35.6,139.3166667
aika,,36,35.4666667,132.95
aikamachi,,36,35.4666667,132.95
aikawa,,06,36.0833333,136.0333333
aikawa,,16,38.9666667,141.2166667
aikawa,,24,38.6,141.5
aikawa,,29,38.0333333,138.25
aimata,,10,36.7166667,138.9
aimi,,01,35.0333333,137.0166667
aimoto,,13,34.9666667,135.15
aimoto,,42,36.85,137.55
aimoto-shin,,42,36.8666667,137.55
aino,,27,32.8166667,130.15
ainohama,,04,34.9166667,139.8166667
ainokama,,24,38.1247222,140.9333333
ainonai,,12,43.7919444,143.7561111
ainono,,02,39.2666667,140.6166667
ainoura,,27,33.2,129.65
ainouracho,,27,33.2,129.65
ainoura-machi,,27,33.2,129.65
ainuma,,12,42.0833333,140.0666667
ainumanai,,12,42.0833333,140.0666667
aioi,,12,43.5833333,143.9833333
aioi,32394,13,34.8,134.4666667
aioicho,,27,33.1666667,129.7166667
aioicho,,37,35.0166667,138.4833333
