names,population,state_code,lat,lon
abarat,,02,-0.5747222,39.7347222
abarati,,02,-0.5747222,39.7347222
abarot,,02,-0.5747222,39.7347222
achivwa,,02,-3.7666667,39.15
ada,,02,-4.2,39.0833333
adda,,02,-4.2,39.0833333
adu,,02,-2.845,39.9927778
ahero,8788,07,-0.1833333,34.9166667
ainamoi,,08,-0.3,35.2833333
ainemoi,,08,-0.3,35.2833333
aisere,,09,0.2333333,34.7
ajao,,06,2.95,39.7
akala,,07,-0.0666667,34.4333333
akelo's village,,07,-0.6333333,34.5833333
alangarua,,08,-2.0833333,36.1166667
amakura,,09,0.5705556,34.2719444
ambira,,07,0.1775,34.2738889
amboseli,,08,-2.6666667,37.2833333
amimos,,07,-0.1833333,34.8
amu,,02,-2.2783333,40.9033333
amukara,,09,0.5705556,34.2719444
amukura,,09,0.5705556,34.2719444
anasa,,02,-2.5241667,40.3069444
andiwo's village,,07,-0.5166667,34.7
aneko,,07,-0.95,34.15
angara naado,,08,-1.25,35.9833333
angata naado,,08,-1.25,35.9833333
anglogitat,,08,1.95,35.4166667
angorangora,,08,2.6333333,35.4
anio,,06,3.3319444,39.7913889
ankish,,02,-1.9627778,40.8697222
anyieka,,07,0.2333333,34.2666667
arabia,,06,3.5255556,41.5044444
arabuko,,02,-3.25,39.9666667
archers post,,03,0.65,37.6833333
arda dadaja,,06,2.9097222,41.0563889
ariti,,02,-2.5166667,40.3
arosen,,02,-1.95,40.7166667
arwos,,08,0.2,35.2333333
asa,,02,-2.0833333,39.4333333
asawo,,07,-0.3333333,35.0
asembo,,07,-0.1833333,34.3833333
ashuwei,,02,-1.9333333,41.3166667
assa,,02,-2.0833333,39.4333333
assawa,,07,-0.3333333,35.0
athi,,03,-2.2,38.05
athinai,,08,-0.0666667,35.9833333
athi new bridge,,03,-2.2,38.05
athi river,,03,-1.45,36.9833333
awach tende,,07,-0.4833333,34.6166667
awasi,,07,-0.1666667,35.0666667
awino,,07,-0.55,34.4333333
awundo's village,,07,-0.6333333,34.5833333
ayugis,,07,-0.7333333,34.5833333
bahadale,,02,-0.0430556,39.0711111
bahati,,05,-1.2833333,36.85
bahati settlement,,08,-0.15,36.1166667
bajumali,,02,-2.0888889,41.1472222
bajumwali,,02,-2.0888889,41.1472222
balguda,,02,-1.4666667,39.85
bamba,,02,-3.5333333,39.5166667
bamburi,,02,-4.0,39.7166667
banda ra salama,,02,-3.7833333,39.7
bandari,,02,-3.4666667,39.5333333
bandari la salaama,,02,-3.7833333,39.7
bandari la salama,,02,-3.7833333,39.7
bandari ra salama,,02,-3.7833333,39.7
banga,,02,-4.1,39.2333333
bania,,02,-3.9166667,39.6333333
banissa,,06,3.9038889,40.3322222
banya,,02,-3.9166667,39.6333333
baomo,,02,-1.9305556,40.135
baragoi,,08,1.7833333,36.7833333
baragoli,,08,1.7833333,36.7833333
baragulu,,07,0.0275,34.3161111
bara hoyo,,02,-3.9333333,39.7666667
barane,,02,-3.5833333,39.8333333
barani,,02,-3.5833333,39.8333333
barata,,03,0.7,38.3333333
barchuma guda,,03,1.3833333,38.2166667
bargoni,,02,-2.0488889,40.8002778
baricho,,01,-0.55,37.25
baricho,,02,-3.1,39.7833333
barigito,,01,-0.9333333,36.8666667
barigoni,,02,-2.0488889,40.8002778
baringo,7656,08,0.4666667,35.9666667
barisho,,01,-0.55,37.25
barkowino,,07,-0.1166667,34.2666667
bar olengo,,07,0.0,34.2
baroseno,,07,0.1086111,34.2816667
bartabwa,,08,0.8333333,35.8
bartimaro,,08,-2.3,36.7666667
bartolimo,,08,0.6833333,35.8166667
barwesa,,08,0.7166667,35.7333333
barwessa,,08,0.7166667,35.7333333
bata,,06,-1.3666667,41.2333333
batani,,02,-3.9,39.6
baure,,06,-1.7166667,40.9666667
bavigito,,01,-0.9333333,36.8666667
baymo,,02,-1.9305556,40.135
bazo,,02,-4.6666667,39.2166667
belewa,,02,-3.95,39.6333333
belle vue,,01,-0.2333333,36.7166667
benane,,03,0.5,38.6666667
bengoni,,02,-3.6333333,39.4333333
benhard estate,,05,-1.2666667,36.7666667
bernhard estate,,05,-1.2666667,36.7666667
berti finno,,06,3.3708333,41.4388889
besil,,08,-2.1,36.7833333
bibitoli,,02,-2.8666667,39.8833333
bili,,02,-0.6113889,39.7152778
biretwo,,08,0.55,35.55
birithia,,01,-0.5166667,36.95
bisil,,08,-2.1,36.7833333
bissel,,08,-2.1,36.7833333
bodhei,,02,-1.8686111,40.7275
bofu,,02,-3.9666667,39.4333333
bohoni,,02,-1.3666667,40.0
bokoni,,02,-1.3666667,40.0
bole,,02,-0.55,39.7
boma,,01,-0.5666667,37.2833333
bomala,,09,0.305,34.1994444
bomani,,02,-3.8666667,39.75
boma upande,,02,-3.0666667,40.1166667
bomburia,,07,-0.5333333,34.8666667
bomet,5270,08,-0.7833333,35.35
bondo,8683,07,0.2386111,34.2694444
bongonoko,,02,-0.7666667,39.8
bonyunyu,,07,-0.5166667,34.8833333
bora imani,,02,-2.2,40.8666667
borobini,,02,-2.4566667,40.2025
boro,,07,0.0858333,34.235
broderick falls,,09,0.6166667,34.7666667
bubesa,,02,-2.05,40.1666667
buholo,,07,0.1888889,34.3341667
buji albati,,02,-2.95,39.8166667
bujwane,,09,0.1166667,34.0333333
bukangasi,,07,0.0833333,34.0333333
bukatwavi,,02,-2.8166667,39.9666667
bukoma,,09,0.0666667,33.95
bulbul,,08,-1.3333333,36.6833333
bulemia,,09,0.1166667,34.0
bulungo,,07,0.0166667,34.1
bulwani,,07,0.0138889,34.0113889
bumala,,09,0.305,34.1994444
bumburia,,07,-0.5333333,34.8666667
bumudondo,,07,0.0666667,34.0333333
bunaba,,09,0.0666667,33.9666667
buna,,06,2.7886111,39.5147222
bungoma,55968,09,0.5666667,34.5666667
bungule,,02,-3.85,38.6666667
bunyala,,09,0.1,33.9666667
bunyore,,09,0.0833333,34.6166667
bunyunya,,07,-0.5166667,34.8833333
bura,,02,-1.0941667,39.9533333
burgich,,08,1.9666667,35.0833333
burji,,03,3.5166667,39.0666667
burji manyatta,,03,3.5166667,39.0666667
bur mayo,,06,2.9833333,40.2666667
burti fino,,06,3.3708333,41.4388889
busa,,02,-4.1333333,39.0666667
busho,,02,-3.9,39.0666667
busia,40920,09,0.3936111,34.3052778
busike,,09,0.0277778,33.9922222
busonga,,07,0.1130556,34.1044444
bute helu,,06,2.8333333,39.85
butelu,,06,2.8333333,39.85
butere,11206,09,0.2094444,34.4927778
butsotse,,09,0.35,34.7
butsotso,,09,0.35,34.7
buttelu,,06,2.8333333,39.85
bwaga cheti,,02,-4.5333333,39.15
bwaga macho,,02,-4.5333333,39.15
bwagamoyo,,02,-3.95,39.6333333
campi ya bibi,,02,-3.4,38.0333333
ceronge,,01,-0.45,36.9666667
chabia,,02,-3.4833333,38.35
chala,,02,-3.3166667,37.7166667
chamagel,,08,-0.6833333,35.1166667
chamasiri,,09,0.7358333,34.3936111
chamwanamuma,,02,-2.5166667,40.3
chanani,,02,-1.55,40.05
changamatak,,08,2.6333333,35.65
changamwe,,02,-4.0166667,39.6333333
chathoro,,02,-2.5,40.2666667
chathuru,,02,-2.5,40.2666667
chawia,,02,-3.4833333,38.35
chebara,,08,0.8833333,35.5
cheberen,,08,0.2333333,35.8333333
cheberia,,08,1.3166667,35.2
chebiemit,,08,0.85,35.5
cheboin,,08,0.3,35.5333333
chegeini,,01,-1.05,36.9166667
chehe,,01,-0.4,37.2166667
chelebe,,09,0.8,34.55
chelelemuk,,09,0.6916667,34.3591667
chemagal,,08,-0.6833333,35.1166667
chemagel,,08,-0.6833333,35.1166667
chemaner,,08,-0.7833333,35.5
chemasiri,,09,0.7358333,34.3936111
chematu,,03,-1.5833333,38.3666667
chemogoch,,08,0.0166667,35.9333333
chemoigut,,08,0.6833333,36.2
chemosiet,,08,-0.4666667,35.1666667
chemosit,,08,-0.4666667,35.1666667
chemosot,,08,-0.5,35.1666667
chemosusu,,08,0.0833333,35.6333333
chemuswa,,08,0.35,35.1166667
chemuswo,,08,0.35,35.1166667
chenani,,02,-1.55,40.05
chengo,,02,-3.85,39.7
chengoni,,02,-3.85,39.7
chepareria,1073,08,1.3166667,35.2
chepkesin,,08,0.8833333,35.8833333
chepkorio,,08,0.3833333,35.5333333
chepkum,,08,0.9833333,35.6166667
cheptonge,,08,0.9333333,35.5
chepunyal,,08,1.5,35.1666667
cheronge,,01,-0.45,36.9666667
chesakaki,,09,0.8,34.5
chesoi,,08,1.0666667,35.6
chevani,,02,-1.4166667,40.0166667
chewani,,02,-1.4166667,40.0166667
chewele,,02,-1.1666667,39.9666667
chiananda,,03,-0.4166667,37.6333333
chiba,,01,-0.6833333,37.3333333
chidutani,,02,-3.7666667,39.7166667
chieko,,01,-1.15,36.6333333
chiffiri,,02,-1.2955556,39.7233333
chifiri,,02,-1.2955556,39.7233333
chingwede,,02,-4.5,39.45
chiokarige,,03,-0.2666667,37.9333333
chiromo,,05,-1.2666667,36.8
chirte hiyasa,,02,-2.1166667,39.65
chirte hiyesa,,02,-2.1166667,39.65
choba,,03,2.4333333,38.05
choke,,02,-3.3666667,38.3833333
chomboni,,03,-1.9833333,37.4166667
chomo,,01,-0.8833333,36.8833333
chonye,,02,-3.7833333,39.6833333
chonyi,,02,-3.7833333,39.6833333
chororget,,08,0.4,35.5833333
chui,,01,-0.6666667,37.0166667
chuka,9348,03,-0.3333333,37.65
chura,,01,-1.2166667,36.7
city estate,,05,-1.2833333,36.7666667
clema dui,,02,-1.6,39.5333333
cokereria,,08,-0.4333333,36.35
colbio,,06,-1.1511111,41.2172222
daba,,02,-1.5666667,39.45
dabel,,03,3.0888889,39.2741667
dabida,,02,-3.4166667,38.3
dad dogh,,06,0.7652778,40.7836111
dagamra,,02,-3.1833333,39.9333333
dagoretti corner,,05,-1.3,36.7666667
dagoretti,,05,-1.3,36.7666667
dakacha,,02,-3.0166667,39.8
dakatcha,,02,-3.0166667,39.8
dakawachu,,02,-2.6861111,39.6308333
dambale,,02,-3.7,39.2666667
dandora,,05,-1.25,36.9
darajani,,03,-2.5833333,38.1166667
darasha ya mawe,,08,-0.4333333,35.6833333
dardesa,,06,-0.9333333,40.9
dar es salaam,,06,-1.6633333,41.5652778
dawsonville,,08,-0.2833333,36.05
debani,,09,0.1,34.0
dembwa,,02,-3.45,38.3666667
denge,,02,-4.0666667,39.15
dhika,,01,-1.05,37.0833333
dianga,,07,-0.9333333,34.5333333
dida,,02,-3.4333333,39.8
dida waredi,,02,-2.4244444,40.4127778
difatha,,01,-0.55,37.4
dif,,06,0.9961111,40.9630556
digira,,06,-1.1,40.85
digo,,02,-4.2333333,39.1833333
dindiri,,02,-3.7333333,39.8
dobel,,03,3.0888889,39.2741667
dodori,,02,-1.9,41.0666667
dol dol,,08,0.4,37.1666667
dololo,,02,-3.85,39.1
don dol,,08,0.4,37.1666667
dondori,,01,-0.2,36.2666667
dondueni,,01,-0.4333333,37.3333333
doonholm,,05,-1.2833333,36.8666667
dowsonville,,08,-0.2833333,36.05
dudi,,07,-0.8,34.5833333
dueadera,,06,-1.1166667,40.1
duldul,,02,-1.9166667,40.7333333
dulukiza,,02,-3.3833333,39.6333333
dumi,,02,-2.25,40.1333333
dundani,,02,-4.0833333,39.2
dundori,,01,-0.2,36.2666667
dungicha,,02,-3.4833333,39.6166667
duruma,,02,-4.55,39.0833333
dwa,,03,-2.4,38.0166667
dzirive,,02,-4.5833333,39.1666667
dzitsuhe,,02,-2.8666667,39.9666667
eastleigh,,05,-1.2666667,36.85
eburemia,,09,0.1166667,34.05
ebusonga,,07,0.1130556,34.1044444
egge,,02,-2.25,40.1166667
eil wak,,06,2.8094444,40.9358333
ekarakara,,03,-0.9666667,37.4666667
ekaru,,01,-1.2,36.7
elaa,,06,-1.1666667,40.7833333
ela,,06,-1.1666667,40.7833333
elangata wuas,,08,-1.8833333,36.5833333
el ben,,06,2.3166667,40.2
elbulbul,,08,-1.3333333,36.6833333
elburgon,,08,-0.3,35.8166667
eldama,,08,0.05,35.7166667
eldama ravine,12523,08,0.05,35.7166667
el dera,,03,0.6,38.85
eldoret,218472,08,0.5166667,35.2833333
elisha,,07,-0.9166667,34.5333333
el jera,,02,-1.6666667,39.6
elmenteita,,08,-0.4833333,36.15
el sadi,,06,1.7472222,40.0688889
el wak,,06,2.8094444,40.9358333
emali,,08,-2.0833333,37.4666667
emasatsi,,09,0.15,34.65
embakasi,,05,-1.3,36.9166667
embu,34927,03,-0.5333333,37.45
emdin,,08,0.2,35.25
emening,,08,0.15,35.8833333
emining,,08,0.15,35.8833333
emmaloba,,09,0.0333333,34.5666667
empakasi,,05,-1.3,36.9166667
ena,,03,-0.4833333,37.55
enangiperi,,08,-0.6833333,35.9
endarasha,,08,-0.2833333,35.7833333
endebess,,08,1.0666667,34.85
enguli,,03,-1.9333333,37.3666667
enkorika,,08,-1.9666667,36.9166667
entasekera,,08,-1.85,35.85
entesekera,,08,-1.85,35.85
entontol,,08,-0.8833333,36.0166667
enzai,,03,-1.8333333,37.3166667
eoret narasha,,08,-1.1,35.9166667
esageri,,08,0.0166667,35.8166667
escarpment,,01,-1.0166667,36.6166667
fafsula,,06,-1.15,40.0166667
fanjua,,02,-1.6666667,40.1166667
faza,,02,-2.0666667,41.1055556
figini,,02,-3.3833333,38.3833333
finno,,06,3.3708333,41.4388889
fitina,,02,-2.5,40.2833333
fort hall,,01,-0.7166667,37.15
fort harrington,,03,3.5163889,39.0691667
fort ternan,,08,-0.2,35.35
frere town,,02,-4.0166667,39.7
fundi isa,,02,-2.9408333,40.1036111
fundisa,,02,-2.9,40.1
fundisa kibaoni,,02,-2.9408333,40.1411111
funi dela,,02,-1.0,39.9
funi,,02,-1.0,39.9
funzi,,02,-4.5666667,39.4333333
furaha,,02,-2.4833333,40.2
furaka,,02,-2.4833333,40.2
gacarage,,01,-0.9333333,36.75
gacaraigu,,01,-0.7,37.0166667
gacharage,,01,-0.75,36.8833333
gacharageini,,01,-0.6333333,36.8833333
gacharaigu,,01,-0.7,37.0166667
gacharu,,01,-0.6166667,37.2
gachatha,,01,-0.4833333,36.95
gachege,,01,-0.9,36.8
gachichi,,01,-0.5666667,36.9166667
gachie,,05,-1.2166667,36.7833333
gachika,,01,-0.9666667,36.7666667
gachirero,,01,-0.55,37.05
gachocho,,01,-0.7833333,36.9833333
gachoiri,,01,-0.9833333,36.7333333
gachoka,,03,-0.6166667,37.5333333
gachugi,,01,-0.95,36.9166667
gachuku,,01,-0.5333333,37.1166667
gacogu,,01,-0.7166667,37.4166667
gacoiri,,01,-0.9833333,36.7333333
gacuku,,01,-0.5333333,37.1166667
gaichanjiro,,01,-0.8833333,37.05
gaichanjiru,,01,-0.8833333,37.05
gaikundo,,01,-0.5333333,37.0
gaikuyu,,01,-0.4,37.1333333
gaitega,,01,-0.7333333,37.1333333
gaithece,,01,-1.0,36.9
gaithege,,01,-1.0,36.9
gakanga,,01,-0.4333333,36.8333333
gakarara,,01,-0.9,37.0
gakee,,01,-0.8833333,36.8
gakira,,01,-0.6833333,36.9666667
gakoe,,01,-0.6666667,37.0666667
gakoi,,01,-0.6333333,36.9333333
gakui,,01,-0.85,36.9833333
gakuo,,01,-0.5666667,37.3333333
gakurue,,01,-0.6333333,37.0166667
gakuruwe,,01,-0.6333333,37.0166667
gakurwe,,01,-0.4333333,37.35
gakuu,,01,-0.5666667,37.3333333
gakuyu,,01,-0.65,37.05
gakwegore,,03,-0.4166667,37.5833333
galafahi,,09,0.1,34.0
galamani,,02,-1.3986111,40.0111111
galanema,,02,-3.7166667,39.7
galimani,,02,-1.3986111,40.0111111
galole,,02,-1.5036111,40.0288889
galu,,02,-4.35,39.5666667
ganda,,02,-3.2166667,40.0666667
gandini,,02,-4.0333333,39.4666667
ganze,,02,-3.5333333,39.6833333
ganzi,,02,-3.5333333,39.6833333
ganzoni,,02,-3.9166667,39.6333333
garashi,,02,-3.1166667,39.8833333
garba,,03,0.3833333,37.6
garba tula,,03,0.5333333,38.5166667
gariba,,03,0.3833333,37.6
garissa,67843,06,-0.4569444,39.6583333
garsen,,02,-2.2697222,40.12
gasi,,02,-4.4166667,39.5
gatakaini,,01,-0.8333333,36.7833333
gatakani,,01,-0.8333333,36.7833333
gatamaiy,,01,-1.0,36.7333333
gatamaiyu,,01,-1.0,36.7333333
gatamayu,,01,-1.0,36.7333333
gatanga,,01,-0.9333333,36.9666667
gatangara,,01,-0.7166667,36.95
gatare,,01,-0.7333333,36.7666667
gategi,,01,-0.75,37.4166667
gatei,,01,-0.9833333,36.9
gateiguru,,01,-0.8666667,36.8833333
gathage,,01,-1.0333333,36.9
gathagi,,01,-1.05,36.9166667
gathairu,,01,-0.7666667,37.0333333
gathaithi,,01,-0.4333333,37.2
gathambi,,01,-0.4666667,37.2
gathanga,,05,-1.1833333,36.8
gathangwi,,01,-0.9666667,36.95
gathanje,,01,-1.0833333,36.7833333
gathanji,,01,-0.5333333,37.0166667
gatharaini,,05,-1.2166667,36.9166667
gathegia,,01,-1.0166667,36.8
gathehu,,01,-0.4166667,37.15
gathera,,01,-0.8,37.0333333
gatheru,,01,-0.7333333,37.0666667
gathiga,,01,-1.2166667,36.75
gathigio,,01,-0.8,37.0666667
