names,population,state_code,lat,lon
abdykalyk,,03,41.7666667,72.05
acha-kaindy,,04,41.1422222,75.8111111
acha-kayyngdy,,04,41.1422222,75.8111111
achi,,03,41.1,73.0833333
achiksu,,05,39.4833333,72.4833333
aflatun,,03,41.6333333,71.9333333
ail batal,,03,41.9,73.8166667
ail-batalkan,,03,41.9,73.8166667
ail-batalken,,03,41.9,73.8166667
ail-torken,,03,41.8833333,73.1833333
akarp,,05,40.05,72.45
ak-art,,05,40.05,72.45
akbash,,03,40.9833333,72.9666667
akbashim,,04,41.4,75.4
ak-bashin,,02,42.8,75.2666667
akbeit,,04,40.9,75.1333333
akbeshi,,02,42.8,75.2666667
akbosaga,,05,39.8,73.2333333
ak-bosyaga,,05,39.8,73.2333333
akbulak,,04,41.3333333,75.35
akbulak,,05,40.2,72.6833333
ak-bulak,,05,40.3,72.1333333
ak-bulak,,07,42.7333333,78.25
ak-bulun,,04,41.4508333,76.2908333
ak-bulun,,07,42.6333333,78.8166667
ak-chal,,05,40.25,72.2833333
ak-chaya,,05,40.2333333,72.3
akchikarasu,,03,41.8166667,72.9
akchi-karasu,,03,41.8294444,72.8547222
akchiy,,04,41.2,74.8333333
ak-chiy-karasu,,03,41.8166667,72.9
akchiy-karasu,,03,41.8294444,72.8547222
ak-dyube,,07,42.4666667,78.1
akdzhar,,03,41.6333333,73.3166667
akdzhar,,04,41.1666667,75.8
ak-dzhar,,05,40.8,73.45
ak-dzhol,,01,42.9383333,74.4886111
ak-dzhol,,03,41.6,72.25
akeleng,,07,42.3475,76.1625
akghi-karasu,,03,41.8294444,72.8547222
akhchi-karasu,,03,41.8294444,72.8547222
akhman,,03,41.0,72.8
ak-ityk,,05,40.3166667,72.4
ak-kochkor,,07,42.4333333,78.1833333
ak-kuduk,,04,41.5,75.3333333
ak-kul',,04,41.6833333,74.1666667
akkyungey,,05,40.4833333,73.7833333
akkyya,,04,41.4333333,74.8333333
akkzu,,04,41.2505556,76.1355556
ak-mechet'-aral,,05,40.8666667,72.65
ak-moyun,,04,41.2166667,76.0513889
ak-muz,,04,41.2505556,76.1355556
ak-olen,,07,42.3475,76.1625
ak-olong,,07,42.3475,76.1625
ak-osten,,07,42.45,78.1666667
ak-say,,07,42.1313889,76.8313889
ak-shirak,,07,42.4666667,78.2
akshiyrak,,07,41.8169444,78.7147222
akshor,,05,40.4666667,72.2166667
ak-shyyrak,,07,41.8169444,78.7147222
ak-su,,01,43.0166667,74.1666667
ak-su,,02,42.8166667,74.0166667
aksu,,03,41.4666667,72.05
ak-suu,,02,42.8166667,74.0666667
ak-suu,,04,41.5,75.2
aktala,,04,41.0833333,75.6666667
ak-tala,,04,41.4094444,75.0597222
aktala,,05,39.95,73.5
ak-tal,,04,41.4094444,75.0597222
aktam,,03,41.5,71.1166667
ak-tam,,06,41.8333333,71.2
aktash,,05,40.05,72.8333333
aktash,,06,41.6833333,70.6166667
aktauk,,03,41.2166667,73.1
aktebe,,07,42.4666667,78.1
ak-terek,,03,40.9666667,73.1666667
ak-terek,,05,40.4136111,72.7733333
akterek,,05,40.4,73.5
ak-terek,,07,42.2352778,77.7325
akterek,,07,42.2455556,76.575
ak-terek,,07,42.25,76.7166667
ak-terek-gave,,05,40.4,73.5
aktersk,,07,42.25,76.7166667
aktobe,,07,42.4666667,78.1
aktuidu,,03,41.65,72.0666667
ak-turpak,,09,40.1863889,71.0552778
ak-tuz,,07,42.8783333,76.1375
ak-tyube,,07,42.4666667,78.1
ak-tyuz,,07,42.8783333,76.1375
akulen,,07,42.3475,76.1625
akusten,,07,42.45,78.1666667
ala-bash,,07,42.1127778,76.4794444
ala-buka,,03,41.3833333,71.5
ala-dzhida,,03,41.8,73.1333333
alamedin,,01,42.6333333,74.6166667
alamudun,,01,42.8969444,74.6347222
alash,,03,41.2666667,72.6666667
alashan,,05,40.3333333,72.35
alashay,,05,40.3333333,72.35
alatay,,03,41.95,72.2833333
aleksandrovka,,06,42.6294444,71.5905556
aleksandrovskiy,,06,42.6294444,71.5905556
aleksandrovskoye,,06,42.6294444,71.5905556
alekseyevka,,03,41.8,72.8333333
alekseyevka,,07,42.75,78.0
alekseyevskiy,,03,41.8013889,72.8088889
alekseyvka,,07,42.75,78.0
alga,,03,41.6666667,72.0666667
alga,,05,40.2333333,71.4666667
alike,,05,40.2333333,72.7833333
alim-tepe,,05,40.6158333,72.7683333
alkym,,07,42.4666667,78.25
almalu,,02,42.7238889,75.5113889
almalu,,03,41.9333333,73.5166667
almaluu,,02,42.7238889,75.5113889
altayskoye,,03,41.3666667,73.9
altynarasan,,07,42.3666667,78.6
altynmazar,,05,39.1833333,72.2333333
alysh,,04,41.4447222,76.1994444
aman-ail,,03,41.0333333,72.9666667
amanbayevo,,06,42.6,71.2
anan'evo,,07,42.7363889,77.6641667
anan'yevo,,07,42.7363889,77.6641667
andarak,,05,39.75,69.4666667
andarkhan,,05,40.0,69.85
arab,,00,41.5833333,70.3166667
aral,,01,42.9,74.2666667
aral,,03,41.4,73.9
aral,,04,41.8666667,74.3666667
aral,,06,42.5333333,72.6666667
aral-vakhym,,03,41.0166667,72.6666667
aravan,,05,40.515,72.4991667
arek,,05,40.4916667,72.7372222
arimdzhan,,03,41.0333333,72.5666667
arkhangel'skiy,,03,41.1666667,73.3333333
arkhangel'skoye,,03,41.1666667,73.3333333
arkit,,03,41.8,71.95
arpa,,04,40.75,74.75
arpatektir,,05,40.3666667,73.4
arslanbab,,03,41.3333333,72.9333333
arslanbob,,03,41.3333333,72.9333333
aryslanbob,,03,41.3333333,72.9333333
askaly,,05,40.0833333,73.5833333
aslam,,04,41.4333333,74.15
atay,,03,41.3666667,73.9
at-bashi,15227,04,41.1697222,75.8102778
at-bashy,,04,41.1697222,75.8102778
augul,,05,39.8,71.0333333
auliye,,05,40.2,72.2166667
aul pyatyy,,03,42.4166667,73.0
austan,,05,40.0166667,72.0833333
avgandala,,03,41.2833333,73.0333333
aygyr-dzhal,,06,41.7333333,70.9833333
ayratam,,03,41.1166667,71.4166667
ayrytam,,03,41.1166667,71.4166667
baetov,,04,41.2166667,74.9
baglan,,05,40.2333333,72.2
bagosh,,04,41.9833333,74.9666667
bagysh,,03,41.0166667,73.0833333
bagysh,,04,41.9833333,74.9666667
balykchy,,07,42.4611111,76.1802778
balykty,,03,41.9833333,72.5833333
bar-bulak,,07,42.2455556,76.575
bardu,,05,40.3833333,73.25
barskaun,,07,42.1561111,77.6038889
barskon,,07,42.1561111,77.6038889
barskoon,,07,42.1561111,77.6038889
basbeshik,,07,42.4333333,77.9472222
bash-bulak,,05,40.5122222,72.9658333
bash-kaindy,,04,41.1536111,75.9025
bash-karakain,,04,41.0166667,75.4833333
bash-kayyngdy,,04,41.1536111,75.9025
bashkugandy,,04,42.0166667,74.15
baskyya,,04,41.5,75.8166667
basteri,,07,42.6530556,77.185
basterinovka,,07,42.6530556,77.185
batkan-buzhum,,09,40.0166667,70.8333333
batken,10155,09,40.05,70.8333333
bayastan,,03,41.3333333,71.6
baybiche,,04,41.4333333,75.0333333
baybiche,,05,40.8333333,73.9666667
baybini,,05,40.8333333,73.9666667
bayetovo,,04,41.2166667,74.9
baygonchak,,04,41.3666667,74.9166667
baygonchok,,04,41.3666667,74.9166667
baymam-bet,,05,40.8833333,73.6666667
bayman-bet,,05,40.8833333,73.6666667
baytant,,05,40.3,72.1333333
baytyk,,01,42.7333333,74.5
bazar,,03,41.0333333,72.75
bazar-kurgan,,03,41.0333333,72.75
bedachi,,02,42.8166667,74.0666667
begovat,,03,40.8666667,72.9666667
bek-dzhar,,05,40.3666667,73.0666667
bel'aldy,,03,41.9166667,73.2333333
bel',,05,40.2833333,72.45
bel'- kyshtak,,05,40.5602778,72.6811111
belogorka,,01,42.6833333,74.2333333
belogorskoye,,01,42.6833333,74.2333333
