names,population,state_code,lat,lon
achea thik,,16,13.5,103.6
achen,,09,12.8666667,105.9333333
aelong lok,,05,12.6833333,104.95
aleng,,03,12.1666667,104.6166667
amleang,,03,11.8,104.3333333
amphil,,20,14.2355556,103.1355556
ampil,,02,11.7833333,105.1
ampil,,04,11.4166667,104.1666667
ampil,,16,14.05,103.5666667
ampil,,19,11.3166667,104.9166667
ampil damtuk,,05,11.8166667,104.7833333
ampil pram dem,,01,13.2666667,102.7666667
ampil tapok,,02,11.7666667,105.4833333
ampil tuk,,03,11.9833333,104.8166667
ampou prey,,03,11.9,104.6833333
ampou prey,,19,11.4,104.8833333
an binh,,14,11.0333333,105.2
anchang tung,,03,12.35,104.4333333
anchanh bung,,03,12.35,104.4333333
ancheng,,03,11.7166667,104.9833333
andaung pech,,15,13.7,107.2
andaung pich,,15,13.7,107.2
andaung por,,18,11.3666667,105.8
andaung tuk,,08,11.1833333,103.4833333
andong,,19,11.2833333,104.9666667
andong pring,,01,13.0666667,103.1666667
andong thom,,04,11.45,104.4666667
andong tramang,,03,12.0166667,104.65
andong tuk,,08,11.1833333,103.4833333
an don sray,,03,12.1666667,104.6666667
anehanh,,05,12.9,104.6166667
aneong slap,,02,12.05,105.1
ang,,08,11.1166667,103.1166667
ang khan,,12,12.7666667,103.65
angk khleang,,05,13.0333333,104.5166667
ang konh,,05,12.8333333,104.9666667
angkor ban,,02,11.95,105.2166667
angkor baurei,,19,10.95,104.9833333
angkor borei,,19,10.95,104.9833333
angkor sa,,14,11.25,105.6166667
angkor village,,16,13.4166667,103.8833333
ang krong,,04,11.6166667,104.65
ang krong,,18,11.15,103.8833333
angk snuol,,04,11.5,104.7166667
angk tasaom,,19,11.0166667,104.6833333
ang kunh,,18,11.0333333,106.05
ang sanduoch,,04,11.6333333,104.7166667
ang sieng,,04,11.5666667,104.7333333
ang snuol,,04,11.5,104.7166667
ang tasaom,,19,11.0166667,104.6833333
angtasom,,19,11.0166667,104.6833333
ang tasset,,04,11.6166667,104.6833333
angtassom,,19,11.0166667,104.6833333
ang tit ui,,11,11.5,104.8666667
ang ton kuon,,16,13.4833333,103.75
