names,population,state_code,lat,lon
abaokoro,,00,1.4666667,173.0166667
abatao,,00,1.4,173.1166667
aiaki,,00,-1.9166667,175.5833333
antai,,00,2.0333333,173.2833333
aoniman,,00,-1.3,175.9833333
aonobuaba,,00,1.8833333,172.9833333
aonobuaka,,00,1.8833333,172.9833333
arariki,,00,-4.5166667,-172.2166667
aubeanai,,00,-0.6833333,174.4666667
aubeanau,,00,-0.6833333,174.4666667
aubeangai,,00,-0.6833333,174.4666667
autokia,,00,-1.3,175.9666667
autukia,,00,-0.65,174.45
bairiki,44428,00,1.3166667,172.9666667
banraeaba,,00,1.3333333,173.0333333
banreaba,,00,1.3333333,173.0333333
baretoa,,00,0.45,173.9
betio,,00,1.35,172.9333333
bikenibeu,,00,1.35,173.1333333
bikerei,,00,1.0,173.0
binoinano,369,00,0.4166667,173.9166667
borotiam,,00,1.9,172.9666667
borotium,,00,1.9,172.9666667
buakonikai,,00,-0.8833333,169.55
buariki,2715,00,1.5833333,172.9666667
buoata,,00,2.0166667,173.2666667
buota,,00,1.3666667,173.1333333
butaritari,2582,00,3.0833333,172.8166667
eita,,00,-1.2,174.7333333
ijaki,825,00,-1.9166667,175.5833333
kabanaki,,00,0.3166667,173.9333333
kabangaki,,00,0.3166667,173.9333333
kaiaroa,,00,-0.6666667,174.4666667
kairaoa,,00,-0.6666667,174.4666667
kariatebike,,00,0.4,173.9333333
kariri,,00,-1.3,175.9666667
kawantetua,,00,-0.6666667,174.4666667
keua,,00,3.1333333,172.9166667
keuea,,00,3.1333333,172.9166667
king,,00,0.9,173.0333333
koinawa,,00,1.8666667,172.9833333
kukutin,,00,-4.5166667,-172.2166667
kuma,,00,3.1666667,172.9666667
kuria,,00,1.8333333,173.0166667
london,,00,1.9833333,-157.4666667
makauro,,00,-0.7166667,174.4666667
manoku,,00,0.3333333,173.95
manounou,,00,4.7,-160.4
manriki,,00,-1.35,176.45
maranenuka village,,00,1.4666667,173.0333333
marenanuka,,00,1.4666667,173.0333333
morikao,,00,1.85,173.0
muribenua,,00,-1.3166667,176.4166667
nabari,,00,3.9,-159.3833333
nabeina,,00,1.4166667,173.0833333
naimoa,,00,-2.6333333,176.8166667
nanibaba,,00,-0.6666667,174.45
nansaba,,00,-1.3166667,176.0
napari,,00,3.9,-159.3833333
new butaritari,,00,3.0833333,172.8166667
nikumanu,,00,-1.3833333,176.4666667
nikutoru,,00,-1.4833333,175.0666667
noriti,,00,-4.6666667,-174.5333333
noto,,00,1.5,173.0166667
nuatabu,,00,1.5333333,172.9833333
nuka,,00,-1.35,176.0
nukumanu,,00,-1.3833333,176.4666667
nuribenua,,00,-1.15,174.6666667
nutoru,,00,-1.4833333,175.0666667
o-n-aorakai,,00,-0.8833333,169.55
ooma,112,00,-0.9,169.55
puakoikai,,00,-0.8833333,169.55
puakonikai,,00,-0.8833333,169.55
puarik,,00,-1.4833333,175.0666667
rakentai,,00,-0.65,174.4666667
rakewai,,00,-0.65,174.4666667
rawannawi,1916,00,2.05,173.2666667
riaria,,00,1.7833333,173.05
ritiati,,00,-4.6666667,-174.5333333
rongata,,00,-1.35,176.4333333
rongorongo,,00,-1.3333333,176.0
roreauea,,00,2.0,173.3
roreti,,00,-2.65,176.8333333
rotuma,,00,-0.6166667,174.4166667
rungata,1414,00,-1.35,176.4333333
tabiang,,00,0.4833333,173.8333333
tabian,,00,0.4833333,173.8333333
tabiauea,1476,00,0.9,173.0333333
tabiteuea,,00,1.4,173.1
taboiaki,,00,-1.3833333,176.0166667
tabomatang,,00,-1.4,176.4833333
taboneaba,,00,1.7166667,173.0
tabontebike,,00,1.7166667,172.9833333
tabonuea,,00,3.1,172.8166667
tabonuuia,,00,3.1,172.8166667
taborio,,00,1.5,173.0166667
tabuarorae,,00,-1.9166667,175.5666667
tabuiroa,,00,1.8,173.0333333
tabukinberu,,00,-1.35,175.9833333
tabukiniberu,1993,00,-1.35,175.9833333
taburao,3823,00,1.8166667,173.0166667
taburari,,00,-1.9166667,175.5666667
tabutoa,,00,-1.3333333,176.4333333
tabwewa,,00,-0.8833333,169.5333333
tabwirao,,00,1.8,173.0333333
takarano,,00,1.95,172.9166667
takarona,,00,1.95,172.9166667
taku,,00,-1.5166667,175.0666667
tamaroa,,00,-2.6333333,176.8166667
tanaeang,,00,-1.1666667,174.7
tanaiang,,00,-1.1666667,174.7
tanekore,,00,4.7166667,-160.4333333
tanimaiaki,,00,1.7666667,173.05
tanimaiki,,00,1.7666667,173.05
tanimainiku,,00,0.4833333,173.8666667
tapiang,,00,-0.8833333,169.5333333
tapiwa,,00,-0.8833333,169.5333333
tarakarawa,,00,-0.6666667,174.4666667
taratai,,00,1.5333333,172.9833333
tarawa,,00,-0.8833333,169.5333333
taribo,,00,-2.6333333,176.8166667
taritai,,00,1.5333333,172.9833333
teaoraereka,,00,1.3333333,173.0166667
teaoraereke mission,,00,1.3333333,173.0166667
teaoraereke,,00,1.3333333,173.0166667
tearinibai,,00,1.5666667,172.9666667
tebana,,00,0.3666667,173.95
tebanga,,00,0.3666667,173.95
tebatabuki,,00,-0.7,174.4666667
tebatibaki,,00,-0.7,174.4666667
tebero,,00,1.8166667,173.0166667
tebiauea,,00,0.9,173.0333333
tebiayea,,00,0.9,173.0333333
tebikerai,,00,1.0,173.0
tebikerei,,00,1.0,173.0
tebikeriki,,00,-1.3,175.95
tebobonga,,00,-0.6833333,174.4666667
tebontebike,,00,1.7166667,172.9833333
tebunginako,,00,1.9166667,172.95
te kabuibui,,00,-1.1666667,174.7
te kapuipui,,00,-1.1666667,174.7
tekarakan,,00,2.0,173.25
tekatirirake,,00,0.4666667,173.8666667
tekuanga,,00,2.0333333,173.2833333
temaraia matang,,00,-0.6666667,174.45
temaraia,2631,00,-0.6666667,174.45
tenanoraoi,,00,-0.7833333,174.4833333
teobokia,,00,-1.4666667,175.0666667
terikai,,00,-1.1666667,174.7166667
terikiai,,00,-1.1666667,174.7166667
tetabakea,,00,-0.8,174.4666667
tetabakia,,00,-0.8,174.4666667
tetabuki,,00,2.0166667,173.2666667
tetake,,00,-0.7166667,174.4666667
teteirio,,00,-1.35,176.0
tewai,,00,-1.4333333,175.0166667
tuarabu,,00,1.8,173.05
ubanteman,,00,1.9333333,172.9333333
ukiangang,,00,3.05,172.7666667
umanterwena,,00,-0.7333333,174.4666667
umantewena,,00,-0.7333333,174.4666667
umantewenei taboiaki,,00,-0.7333333,174.4666667
uma,,00,-0.9,169.55
umauma,,00,-0.7166667,174.4666667
utiroa,2230,00,-1.2166667,174.75
