names,population,state_code,lat,lon
accua,,01,-12.7333333,45.05
acoua,,01,-12.7333333,45.05
acua,,01,-12.7333333,45.05
adda-doueni,,01,-12.2925,44.4972222
afombani,,01,-12.1833333,44.3
afombany,,01,-12.1833333,44.3
agniamouada,,03,-12.3166667,43.85
agniamuada,,03,-12.3166667,43.85
ajaho,,01,-12.2652778,44.505
ajangua,,01,-12.8666667,45.2166667
amoro,,01,-12.8833333,45.2333333
andrema,,01,-12.6833333,45.1166667
angaro,,01,-12.75,45.2333333
angoro,,01,-12.75,45.2333333
angouzou,,01,-12.85,45.1666667
anguebacao,,01,-12.8833333,45.2333333
anihani,,02,-11.4108333,43.2952778
ankibani,,01,-12.1933333,44.3616667
antsahe,,01,-12.3563889,44.5225
assimpao,,01,-12.2330556,44.3197222
babani,,03,-12.3,43.8
bahani,,02,-11.6397222,43.2841667
balembo,,01,-12.9833333,45.1833333
balsa,,02,-11.3944444,43.3627778
bambadjani,,02,-11.4786111,43.3772222
bambao,,01,-12.1988889,44.5183333
bambao m'sanga,,01,-12.1988889,44.5183333
bandaboa,,01,-12.7166667,45.15
banda daoueni,,02,-11.7725,43.4386111
bandajou,,01,-12.1916667,44.2869444
bandakouni,,01,-12.3130556,44.4955556
bandamadji,,02,-11.4183333,43.3822222
bandamadri,,02,-11.7844444,43.4444444
bandamadxi,,02,-11.7844444,43.4444444
bandamadzi,,02,-11.7844444,43.4444444
bandamagi,,01,-12.7666667,45.1666667
bandamaji,,01,-12.3622222,44.52
bandamaji,,02,-11.7844444,43.4444444
banda mtsanga,,01,-12.0766667,44.4811111
bandani,,01,-12.2447222,44.3855556
bandani,,03,-12.3333333,43.8166667
bandani mtsangani,,01,-12.1894444,44.3419444
bandani-vouani,,01,-12.2447222,44.3855556
bandaressalam,,03,-12.2897222,43.7591667
bandele,,01,-12.9,45.2
bandeli,,01,-12.9,45.2
bangahani,,02,-11.58,43.2791667
bangoi,,02,-11.8166667,43.3
bangoi kouni,,02,-11.3675,43.3527778
bangoma,,03,-12.2838889,43.7513889
bangoua,,02,-11.3675,43.3527778
bangoua kouni,,02,-11.3675,43.3527778
bangouamafsakoa,,02,-11.3963889,43.2938889
bangouelamvouera,,01,-12.1713889,44.2263889
bangua,,02,-11.3675,43.3527778
barakani,,01,-12.1355556,44.4316667
barakani,,02,-11.8333333,43.4166667
batou,,02,-11.4986111,43.3575
batsa,,02,-11.6283333,43.26
batse,,03,-12.2594444,43.6977778
bazimini,,01,-12.1791667,44.4488889
bibavou,,02,-11.5725,43.2772222
bimbini,,01,-12.1883333,44.2355556
boboni,,02,-11.7525,43.2802778
boeni,,01,-12.9166667,45.1
boude-adjou,,02,-11.7713889,43.265
bouejou,,01,-12.3488889,44.5116667
boueni,,02,-11.6308333,43.3525
bouenindi,,02,-11.5622222,43.2772222
bouijou,,01,-12.3563889,44.5030556
boungoueni,,01,-12.2055556,44.2994444
bouni,,02,-11.4869444,43.3883333
buanitonque,,03,-12.3333333,43.7166667
cani,,01,-12.95,45.1
cani-kely,,01,-12.95,45.1
cezani,,02,-11.4280556,43.3875
chadjouni,,02,-11.8194444,43.2844444
chamle,,02,-11.4447222,43.2669444
chamro,,02,-11.6430556,43.3858333
chanda,,01,-12.195,44.4647222
chandra,,01,-12.195,44.4647222
chaoueni,,01,-12.3513889,44.5016667
chendini,,02,-11.9208333,43.4811111
chezani,,02,-11.4280556,43.3875
chikoni,,03,-12.2858333,43.6316667
chindini,,02,-11.9208333,43.4811111
chindrini,,01,-12.3169444,44.4630556
chingoni,,01,-12.8,45.1333333
chironkamba,,01,-12.1911111,44.3525
chitrouni,,01,-12.1858333,44.3355556
chitsangachele,,01,-12.2355556,44.3230556
chomoni,,02,-11.6430556,43.3858333
chongochahari,,01,-12.1905556,44.3186111
chouani,,02,-11.8194444,43.2844444
choungoui,,01,-12.2519444,44.3969444
combani,,01,-12.8,45.1666667
combani,,02,-11.6230556,43.3566667
convalescence,,01,-12.7833333,45.2166667
convalescence,,02,-11.755,43.3197222
dache,,02,-11.7125,43.2513889
daji,,01,-12.3258333,44.4886111
damou,,03,-12.3,43.65
daoueni,,02,-11.7675,43.2636111
dar salam,,01,-12.2508333,44.3880556
debenay,,01,-12.8333333,45.1833333
debeney,,01,-12.8333333,45.1833333
debeni,,02,-11.8736111,43.3977778
dembeni,,01,-12.8333333,45.1833333
dembeni,,02,-11.8736111,43.3977778
demeani,,03,-12.3833333,43.75
deneami,,03,-12.3833333,43.75
deumoni,,01,-12.2569444,44.5319444
diboani,,02,-11.5569444,43.3144444
diboini,,02,-11.5569444,43.3144444
dibouani,,02,-11.5569444,43.3144444
didjoni,,02,-11.8808333,43.4811111
dima,,02,-11.8863889,43.4108333
dimadjou,,02,-11.4736111,43.3644444
dindi,,01,-12.21,44.4525
djembeni,,02,-11.8736111,43.3977778
djiandro,,03,-12.3166667,43.7833333
djitache,,02,-11.7572222,43.2786111
djivani,,02,-11.8491667,43.3575
djoengoe,,02,-11.4636111,43.2777778
djoiezi,,03,-12.2975,43.7733333
djomani,,02,-11.4302778,43.2594444
djoumadounia,,03,-12.2833333,43.75
djoumbe,,02,-11.75,43.2666667
djoumouachongo,,02,-11.8066667,43.2855556
djoyezi,,03,-12.2975,43.7733333
djuaezi,,02,-11.8447222,43.3158333
domoni adjou,,02,-11.4836111,43.2777778
domoni ambouani,,02,-11.4880556,43.2688889
domoni,14508,01,-12.2569444,44.5319444
domoni,,02,-11.4869444,43.2691667
domoni,,03,-12.2519444,43.6422222
douniani,,02,-11.4211111,43.2888889
draure,,02,-11.4061111,43.2669444
dude,,02,-11.4166667,43.4166667
dzahadjou,,02,-11.5527778,43.3116667
