names,population,state_code,lat,lon
aanshu,,15,39.6177778,125.6647222
abuamni,,11,40.1633333,125.5261111
abyungni,,15,39.4388889,125.5802778
achadong,,12,38.9633333,125.6475
achigonni,,09,39.3777778,127.3802778
achimni,,09,38.38,127.5233333
achiul,,12,38.8472222,126.0819444
achon,,12,39.0002778,126.1727778
achondong,,07,38.8852778,126.2938889
adong,,07,38.2858333,126.6013889
adongni,,03,39.6733333,127.3061111
adukpa,,01,40.9666667,126.8333333
adukpo,,01,40.9666667,126.8333333
aeamdong,,17,41.2,129.7
aechang,,15,39.7166667,126.6333333
aecholli,,06,38.2788889,125.3302778
aechon,,07,38.5194444,125.7811111
aechon,,09,38.3041667,126.8727778
aechonni,,06,38.2788889,125.3302778
aedangdong,,14,38.7688889,125.4338889
aedangpo,,14,38.7733333,125.4413889
aedodong,,11,39.525,125.1988889
aedong,,08,38.1966667,126.8266667
aedong,,15,39.2347222,126.085
aedonodongjagu,,11,39.525,125.1988889
aegongni,,12,38.8091667,125.6125
aejong,,06,38.4325,125.6508333
aenak,,06,38.5052778,125.4958333
aenamdong,,15,39.2633333,125.4833333
aengdangdong,,06,38.2997222,125.2780556
aenggari,,06,38.3088889,125.2663889
aepodong,,12,39.0963889,125.8933333
aepori,,08,37.8363889,126.6480556
aesandong,,06,37.9,125.7
aesanpo,,15,39.4108333,125.4986111
aeudong,,06,38.2577778,125.5916667
aewolli,,14,38.8422222,125.3852778
aewonni,,14,38.8422222,125.3852778
agalli,,09,38.8905556,127.9427778
agochi,,17,42.5191667,130.3955556
agochido,,17,42.5191667,130.3955556
agojido,,17,42.5191667,130.3955556
ahari,,15,39.2683333,126.0158333
ahodong,,06,37.8941667,126.3741667
ahomihadong,,01,40.3305556,125.7488889
ahomisangdong,,01,40.3069444,125.7583333
ahopkubul,,06,38.1463889,126.1194444
ahudong,,06,38.2638889,125.1097222
ahundogi,,03,40.9844444,128.8636111
ahunggol,,03,41.0133333,128.8619444
ahungol,,03,41.0133333,128.8619444
ahyondong,,06,38.1886111,125.6055556
ahyonni,,06,38.0666667,126.0333333
ahyonni,,09,38.6833333,127.6666667
ai,,15,38.9977778,125.2844444
aiso,,15,39.7166667,126.6333333
allangni,,06,37.75,125.4166667
alli,,06,38.6833333,125.55
allungdong,,08,37.9419444,126.5494444
allungni,,08,37.9419444,126.5494444
allyangkol,,13,40.8336111,128.2780556
allyegol,,17,41.01,129.4136111
allyekol,,17,41.01,129.4136111
almaegol,,15,39.3552778,125.6783333
almegol,,07,38.3883333,125.75
ambangdong,,17,40.8872222,129.5586111
amchon,,06,38.1,125.6333333
amchon,,17,40.8675,129.5455556
amchondong,,06,38.12,125.3577778
amdo,,14,38.7,125.6
amdong,,06,38.0,125.1666667
amdong,,11,40.1333333,125.8166667
amdong,,15,39.6,125.65
amduri,,11,39.6844444,125.0002778
amhoedong,,17,42.1261111,130.0594444
amhoeri,,13,41.2666667,128.2833333
amhungni,,13,40.9666667,128.3
amhwari,,14,38.9333333,125.5044444
amidong,,01,40.1666667,126.5166667
amigol,,01,40.1666667,126.5166667
amigol,,08,37.9666667,126.5
amikol,,01,40.1666667,126.5166667
amiri,,06,37.7833333,125.4833333
amjo,,06,38.1744444,126.2811111
amjo,,12,38.8833333,125.9666667
amjo,,17,40.8580556,129.5830556
amjodong,,07,38.7130556,126.5044444
amjondong,,06,38.1588889,125.3644444
amjong,,07,38.2877778,125.905
amjongni,,15,39.2591667,125.6727778
amjuktong,,11,39.6705556,124.98
amjungni,,11,39.6705556,124.98
ammal,,12,39.2066667,126.0269444
amnae,,06,38.1755556,126.2894444
amnamdong,,06,38.115,125.3697222
amni,,09,38.3933333,127.8558333
amnyongni,,09,39.1277778,127.7438889
amokchongni,,09,39.2833333,127.1833333
ampen,,09,39.0425,127.5238889
ampori,,15,39.2358333,126.2477778
amsil,,08,37.7830556,126.5902778
amsodong,,07,38.1422222,126.505
amtodong,,01,41.3272222,126.4186111
anagup,,06,38.5052778,125.4958333
anak,,06,38.5052778,125.4958333
anakup,,06,38.5052778,125.4958333
anam,,09,38.6583333,128.3361111
anan,,09,38.6436111,127.7172222
anansimi,,06,37.9405556,126.2888889
anansimni,,06,37.9405556,126.2888889
anban,,06,38.49,125.6708333
anbi,,15,39.3875,126.2083333
anbomsan,,06,38.0622222,126.3275
anbongdong,,06,38.0597222,125.5452778
anbongni,,07,38.285,126.7741667
anbyon,,09,39.0425,127.5238889
anbyonup,,09,39.0425,127.5238889
anchalli,,01,41.0402778,126.4216667
anchandong,,01,41.0402778,126.4216667
anchangdong,,11,40.0283333,125.055
anchangni,,07,38.2877778,126.1636111
anchanni,,01,41.0402778,126.4216667
anchon,,03,40.4030556,128.6611111
anchon,,06,38.5333333,125.0666667
anchon,,15,39.1252778,125.5244444
anchon,,17,41.6977778,129.4205556
anchongmori,,06,37.9969444,125.8772222
anchungdogi,,17,41.3097222,129.4797222
anchungoogi,,17,41.3097222,129.4797222
anchununni,,07,38.6077778,126.5877778
andae,,06,38.1505556,125.7236111
andaedong,,15,39.2852778,125.8511111
andaegol,,07,38.46,125.9
andaltong,,11,39.6677778,125.3883333
andari,,06,38.0913889,126.1277778
andodong,,01,41.2313889,126.5313889
andojang,,14,38.8780556,125.4427778
andoktong,,06,38.5516667,125.4072222
andol,,01,40.1127778,126.2733333
andol,,09,38.6341667,127.1913889
andol,,17,40.9666667,129.05
andolgol,,06,38.3333333,125.4
andolli,,17,41.0041667,129.5855556
andoltari,,09,38.2833333,126.9833333
andoltong,,17,41.3197222,129.3083333
