names,population,state_code,lat,lon
achasil,,05,36.7,127.7833333
achimmot,,06,37.95,127.7594444
achinae,,17,36.7211111,126.1308333
achon,,14,36.1813889,128.1133333
achon,,16,34.7666667,126.1
adong,,16,34.9833333,127.7666667
aechanni,,17,36.1333333,126.5666667
aechori,,16,34.4425,127.4891667
aedo,,16,34.4666667,127.45
aedong,,17,36.9333333,126.5166667
aedori,,16,34.4666667,127.45
aegye,,16,35.25,126.9833333
aejongni,,17,36.7333333,126.4166667
aenangni,,16,34.6158333,126.2902778
aengchonni,,05,36.9,127.8
aengmuchon,,16,35.05,126.9166667
aengmuri,,16,34.45,126.2
aengsanggol,,13,37.9333333,127.6
aengsangkol,,13,37.9333333,127.6
aewol,,01,33.4644444,126.3183333
aewolli,,01,33.4644444,126.3183333
aeyangni,,16,34.8433333,127.635
aeyangri,,16,34.8433333,127.635
aeyangwon,,16,34.8433333,127.635
agame,,13,37.8225,126.775
agoktong,,13,37.9416667,126.7991667
agol,,14,36.2,128.3833333
agongni,,03,35.4875,127.5727778
agongni,,05,36.1211111,127.6652778
agongni,,16,35.3166667,126.7333333
aho,,14,36.9533333,128.62
aho,,17,36.2,127.1166667
ahopsari,,06,37.55,128.1666667
ahori,,17,36.2,127.1166667
ahuppauri,,16,35.2666667,126.9833333
ahwa,,14,35.8941667,129.0461111
ahwari,,14,35.8941667,129.0461111
ahyondong,,11,37.55,126.95
ahyonjong,,11,37.55,126.95
ahyonni,,17,36.85,126.8833333
ajigi,,20,34.8166667,128.5166667
ajiryang,,20,34.8166667,128.5166667
ajonsari,,06,38.1138889,128.1883333
aju,,20,35.7,127.9666667
ajungni,,03,35.8166667,127.2
ajuri,,20,35.7,127.9666667
akatsuki,,01,33.3833333,126.2666667
ako,,17,36.2,127.1166667
akori,,17,36.2,127.1166667
aksa,,14,36.5172222,128.9077778
aksanggol,,13,37.7719444,126.6988889
albong,,14,37.51,130.86
albongdong,,01,33.2,126.2833333
alchanni,,17,36.1333333,126.5666667
alli,,20,35.5738889,128.3875
allim,,14,35.6908333,128.2569444
allimdong,,14,35.6908333,128.2569444
allimni,,14,35.6908333,128.2569444
allyong,,05,36.1833333,127.9666667
allyongdong,,14,36.2591667,128.4844444
allyongjigol,,13,37.8372222,126.8347222
allyongni,,13,37.2,127.0166667
almijang,,03,35.5166667,126.6833333
almijangto,,03,35.5166667,126.6833333
alsangol,,14,36.7747222,128.6722222
alsonggol,,14,36.7747222,128.6722222
ambodae,,06,38.0080556,127.8763889
amchi,,03,35.4666667,127.15
amchiri,,03,35.3572222,126.6433333
amchiri,,17,36.85,126.6666667
amcholli,,16,34.8333333,126.8833333
amchon,,16,34.6436111,125.3963889
amchonni,,16,34.8333333,126.8833333
amdong,,15,35.65,128.4166667
amdong,,16,34.6436111,125.3963889
amgilli,,16,34.75,126.6
amgoktong,,14,36.2666667,128.15
amhyonni,,17,36.4166667,126.6833333
amido,,06,37.5333333,128.45
amidong,,06,37.5333333,128.45
amjaeri,,17,36.85,126.6666667
amjondong,,14,36.3833333,129.1
amjongni,,16,34.9327778,126.8286111
amnamdong,,10,35.0666667,129.0166667
amnamni,,10,35.0666667,129.0166667
amni,,14,35.75,129.0
amni,,20,35.5738889,128.3875
amnongni,,16,35.195,127.37
ampori,,03,35.5833333,127.2166667
amsan,,14,36.5,128.6833333
amsil,,06,37.8333333,127.7794444
amsudong,,06,37.8727778,128.2641667
anaeri,,17,36.7605556,127.2997222
anam,,14,36.85,129.2333333
anamdong,,14,36.85,129.2333333
anbakkol,,06,37.5463889,127.8783333
anbamgol,,06,37.5463889,127.8783333
anbandung,,06,37.1666667,128.95
anbannae,,05,37.0333333,127.8666667
anbannaeri,,05,37.0333333,127.8666667
anbanto,,06,37.1666667,128.95
anbodong,,01,33.4166667,126.7833333
anbomni,,20,35.4844444,128.8505556
anbong,,20,35.3388889,127.9563889
anbonggol,,06,38.1713889,127.6291667
anbongni,,20,35.3388889,127.9563889
anbopri,,20,35.4844444,128.8505556
anbopsudong,,14,36.3425,129.1541667
anbudong,,17,36.45,127.0
anchangjuk,,06,37.2330556,128.945
anchi,,16,34.4927778,126.1827778
anchiri,,16,34.4927778,126.1827778
anchiri,,17,36.6833333,126.6833333
ancholli,,20,35.4244444,128.9002778
anchon,,20,35.4244444,128.9002778
anchongni,,18,35.2166667,126.8
anchonmani,,05,36.0833333,127.8
anchungto,,06,37.1833333,128.9333333
andae,,05,36.2133333,127.8888889
andaeri,,05,36.2133333,127.8888889
andaeri,,20,35.4069444,128.8730556
andalbi,,14,36.055,129.5313889
andang,,14,36.5655556,128.725
andangni,,17,36.1,126.7833333
ando,,16,34.4833333,127.8
ando,,20,35.0338889,128.02
andoktari,,17,36.5,126.8166667
andol,,05,36.4844444,127.8183333
andonae,,06,37.2833333,128.25
andong,,06,38.1666667,128.0333333
andong,,13,37.9247222,126.7927778
andong,,14,36.5655556,128.725
andong,,16,34.55,127.35
andongni,,03,35.6844444,127.1002778
andongni,,16,34.55,127.2166667
andongni,,17,36.4333333,126.6
andori,,16,34.4833333,127.8
ane,,21,35.69,129.1194444
angaemogi,,13,37.8919444,126.8927778
angamgol,,20,35.5397222,127.9686111
angan,,14,36.0333333,127.95
angang,,14,35.9925,129.2258333
angangni,,14,35.9925,129.2258333
anganni,,14,36.0333333,127.95
anggam,,16,34.75,126.45
anggol,,16,34.55,127.35
angi,,20,35.6277778,127.8122222
angiri,,03,35.8833333,127.7
angok,,20,35.3013889,128.8397222
angok,,21,35.5538889,129.2838889
angokri,,20,35.3013889,128.8397222
angoktong,,14,36.2666667,128.15
angol,,06,38.0272222,127.6938889
angol,,13,37.175,127.2955556
angol,,14,37.0416667,129.3672222
angol,,16,34.6666667,126.3166667
angol,,17,36.4666667,126.7833333
angol,,20,35.0880556,128.7927778
angolli,,20,35.0880556,128.7927778
angongni,,16,35.0544444,126.6005556
angongni,,20,35.3013889,128.8397222
angonjae,,05,37.0330556,127.6080556
angoraeji,,06,37.7252778,128.6788889
angosu,,05,36.9891667,128.3780556
angunggol,,06,38.2797222,127.9397222
angungni,,17,36.9638889,127.1272222
angyejang,,14,36.3866667,128.4336111
angyejangto,,14,36.3866667,128.4336111
angyodong,,14,36.5786111,128.5747222
anhomsil,,03,35.3333333,127.3833333
anhuksu,,14,35.8016667,128.2922222
anhung,,17,36.6794444,126.1544444
anhungdong,,06,37.5955556,128.3108333
anhungni,,06,37.4086111,128.1577778
anhwadong,,13,37.8955556,126.9575
anhwanghae,,14,36.9491667,128.7433333
anhwari,,17,36.8833333,126.9666667
anhyondong,,06,37.8247222,128.3555556
anhyonni,,06,37.9166667,127.8666667
anillyang,,14,35.6930556,128.2819444
anjangap,,05,36.7166667,127.6833333
anjangdan,,20,35.3205556,127.7908333
anjangdang,,20,35.3205556,127.7908333
anjanggol,,13,37.2213889,127.5988889
anjanggol,,14,36.7969444,129.18
anjasi,,03,35.45,126.55
anjil,,14,36.95,128.6166667
anjo,,13,37.0077778,127.2761111
anjocho,,03,35.8666667,127.65
anjojo,,03,35.8666667,127.65
anjong,,16,34.45,126.5
anjongdong,,13,37.2213889,127.5988889
anjonggol,,12,37.7725,126.4244444
anjongni,,16,34.45,126.5
anjungni,,13,36.9861111,126.925
anjungsan,,20,35.6166667,127.7166667
anjungsijang,,13,36.9861111,126.925
anjwadong,,01,33.3591667,126.7525
ankeijo,,14,36.3866667,128.4336111
anko,,17,36.6794444,126.1544444
ankodo,,14,36.5786111,128.5747222
ankol,,16,34.55,127.35
ankol,,17,36.4666667,126.7833333
ankori,,14,35.9925,129.2258333
ankotsuri,,20,35.0880556,128.7927778
anma,,14,36.7652778,129.3394444
anma,,16,35.4166667,126.4166667
anmaengni,,16,35.2097222,126.5075
anmagundam,,20,35.3086111,127.8561111
anmak,,20,35.2372222,128.9891667
