names,population,state_code,lat,lon
abi huleifa,,02,29.1322222,48.1261111
abrag khitan,,02,29.2925,47.9688889
abrak khetan,,02,29.2925,47.9688889
abraq haytan,,02,29.2925,47.9688889
abraq khaitan,,02,29.2925,47.9688889
abraq khaytan,,02,29.2925,47.9688889
abraq khetan,,02,29.2925,47.9688889
abraq khitan,,02,29.2925,47.9688889
abu halaifa,,02,29.1322222,48.1261111
abu halaifah,,02,29.1322222,48.1261111
abu halifah,,02,29.1322222,48.1261111
abu-hleifa,,02,29.1322222,48.1261111
abu hulaifa,,02,29.1322222,48.1261111
abu hulaifah,,02,29.1322222,48.1261111
abu hulayfah,,02,29.1322222,48.1261111
ad da`iyah,,02,29.3333333,47.9833333
ad dasht,,02,29.4625,48.3138889
ad dasma',,02,29.365,48.0013889
ad dasmah,,02,29.365,48.0013889
ad dawhah,,05,29.3144444,47.8119444
ad diba`iyah,,04,28.9333333,48.1666667
ad duba`iyah,,04,28.9236111,48.2072222
ad dumna,,02,29.3338889,48.0761111
ad dumnah,,02,29.3338889,48.0761111
ahmad,,02,29.0769444,48.0838889
ahmadi,,02,29.0769444,48.0838889
ahmedi,,02,29.0769444,48.0838889
al `abbasiyah,,02,29.2502778,47.9311111
al `abdaliyah,,02,29.0425,47.7061111
al ad`ami,,04,28.8166667,48.2666667
al adhaba-iyah,,04,28.9333333,48.1666667
al `adiliyah,,02,29.3205556,47.9769444
al ahmadi,,02,29.0769444,48.0838889
al-`alaimah,,05,29.6880556,48.1141667
al `arfajiyah,,05,29.7002778,48.0955556
al `aridiyah,,02,29.2841667,47.875
al aridiyah,,02,29.2841667,47.875
al `awazim,,02,29.4202778,48.385
al badawiyah,,02,29.0813889,48.1177778
al-bahra,,05,29.6666667,47.8666667
al bahrah,,05,29.6666667,47.8666667
al bhar,,05,29.3833333,47.8333333
al bida`,,02,29.3025,48.0869444
al bid`,,02,29.3025,48.0869444
al biddah,,02,29.3025,48.0869444
al-bidde,,02,29.3025,48.0869444
al bult,,02,29.4575,48.2813889
al-dhubaiyah,,04,28.9333333,48.1666667
al diya,,02,29.3333333,47.9833333
al doha,,05,29.3677778,47.81
al edeiya,,02,29.3333333,47.9833333
al-fahaheel,,02,29.0825,48.1302778
al-fahahil,,02,29.0825,48.1302778
al fanaitis,,02,29.2252778,48.1016667
al fantas,,02,29.1738889,48.1211111
al-farawaniyah,,02,29.2775,47.9586111
al farwania,,02,29.2775,47.9586111
al farwaniyah,,02,29.2775,47.9586111
al-farwaniyyah,,02,29.2775,47.9586111
al fayha',,02,29.3363889,47.9758333
al-finaitees,,02,29.2252778,48.1016667
al fintas,,02,29.1738889,48.1211111
al fintass,,02,29.1738889,48.1211111
al fuhayhil,,02,29.0825,48.1302778
al funaytis,,02,29.2252778,48.1016667
al hadeeqa,,02,29.3333333,47.9833333
al hadiqah,,02,29.3333333,47.9833333
al-hijajah,,05,29.6547222,48.1311111
al hujayjah,,05,29.6547222,48.1311111
al ifhaihil,,02,29.0825,48.1302778
al jabiriyah,,02,29.3222222,48.0236111
al jahara,,05,29.3375,47.6580556
al-jaharah,,05,29.3375,47.6580556
al jahra',,05,29.3375,47.6580556
al jahrah,,05,29.3375,47.6580556
al khalidiyah,,02,29.3280556,47.9655556
al khidr,,02,29.4644444,48.2883333
al khiran,,04,28.6511111,48.3902778
al khuwaysat,,05,29.4033333,47.7111111
al kuwait,,02,29.3697222,47.9783333
al kuwayt,,02,29.3697222,47.9783333
al maghasil,,05,29.7419444,48.0944444
al magwa,,02,29.1666667,47.9833333
al mahbulah,,02,29.145,48.1302778
al-mangaf,,02,29.0961111,48.1327778
al manjaf,,02,29.0961111,48.1327778
al manqaf,,02,29.0961111,48.1327778
al mansuriyah,,02,29.3555556,47.9805556
al maqwa`,,02,29.1666667,47.9833333
al masilah,,02,29.2619444,48.0797222
al mijifa,,02,29.2463889,48.0758333
al mina',,02,29.3297222,47.9361111
al muraytibah,,05,29.3647222,47.6525
al murqab,,02,29.3655556,47.9780556
al-najafa,,02,29.2463889,48.0758333
al-nigaiyat,,04,28.9430556,48.1986111
al nijifa,,02,29.2463889,48.0758333
al qadisiyah,,02,29.3475,47.985
al qiblah,,02,29.3736111,47.9716667
al qulay`ah,,04,28.8658333,48.2747222
al-riqqah,,02,29.1458333,48.0947222
al-sabahiyah,,02,29.1058333,48.1080556
al shamiya,,02,29.3472222,47.9616667
al-shuaiba,,02,29.0411111,48.1375
al shuwaikh,,02,29.3436111,47.9461111
al-sulaibikhat,,05,29.3152778,47.8358333
al `udayliyah,,02,29.3205556,47.9769444
al `ulaymiyah,,05,29.6880556,48.1141667
al `umariyah,,02,29.2933333,47.9533333
al `uqaylah,,02,29.1777778,48.0947222
al `uqlah,,02,29.1777778,48.0947222
al wafrah,,04,28.5541667,48.0530556
al yarmuk,,02,29.3077778,47.9675
an nami,,04,28.6397222,48.3644444
an niggaiyat,,04,28.9430556,48.1986111
an nijfah,,02,29.2463889,48.0758333
an nugayyat,,04,28.9430556,48.1986111
an nuqay`at,,04,28.9430556,48.1986111
an nuqayyat,,04,28.9430556,48.1986111
an nuqrah,,02,29.3375,48.0105556
an nuzhah,,02,29.3416667,47.9897222
`araifjan,,04,28.9,48.1833333
arefjan,,04,28.9,48.1833333
ar rabiyah,,02,29.295,47.9330556
ar raudha,,02,29.3247222,48.0013889
ar rawdah,,02,29.3158333,48.0063889
ar rayy,,02,29.3091667,47.9341667
ar riqqah,,02,29.1458333,48.0947222
ar rumaythiyah,,02,29.3116667,48.0741667
`ashish ad dawhah,,05,29.3852778,47.8422222
`ashish al jahra',,05,29.3172222,47.6777778
ashish al jahrah,,05,29.3172222,47.6777778
ash sha`b,,02,29.3469444,48.025
ash shadadiyah,,02,29.2680556,47.8455556
ash shamiyah,,02,29.3472222,47.9616667
ash sharq,,02,29.3794444,47.9872222
ash shu`aiba,,02,29.0411111,48.1375
ash shu`aybah,,02,29.0411111,48.1375
ash shubaykah,,02,29.4316667,48.2991667
ash shuwaykh,,02,29.3436111,47.9461111
as sabahiyah,,02,29.1058333,48.1080556
as salihiyah,,02,29.3633333,47.9688889
as salimiyah,,02,29.3338889,48.0761111
as shu`aiba,,02,29.0411111,48.1375
as sulaybikhat,,05,29.3152778,47.8358333
as surrah,,02,29.2752778,47.99
at tawil,,02,28.9786111,47.9072222
az zaur,,02,29.4425,48.2747222
az zawr,,02,29.4425,48.2747222
