names,population,state_code,lat,lon
banksville,,00,19.7,-79.85
battle ground,,00,19.3833333,-81.4
belford estates,,00,19.2833333,-81.2333333
birch tree hill,,00,19.3833333,-81.4
blakes,,00,19.3,-81.1
blossom point,,00,19.6666667,-80.0833333
blossom village,,00,19.6666667,-80.0833333
bodden,,00,19.2833333,-81.25
bodden town,6514,00,19.2833333,-81.25
botabano,,00,19.3833333,-81.3833333
breakers,,00,19.3,-81.2
breezy castle,,00,19.3,-81.3666667
brinkleys,,00,19.35,-81.2333333
cayman palms,,00,19.2666667,-81.2666667
coral gables,,00,19.3666667,-81.4166667
creek,,00,19.75,-79.7666667
dog city,,00,19.3,-81.3833333
driftwood village,,00,19.35,-81.2333333
dusty place,,00,19.3833333,-81.4
east end,,00,19.3,-81.1166667
frenchman's fort,,00,19.7,-79.8833333
george town,27340,00,19.3,-81.3833333
gun bay,,00,19.3166667,-81.1
gun bay village,,00,19.3166667,-81.1
half moon bay,,00,19.2833333,-81.1666667
half way pond,,00,19.2833333,-81.3666667
head of bay,,00,19.6666667,-80.0666667
hell,,00,19.3833333,-81.4166667
high rock estates,,00,19.2833333,-81.1333333
hutland,,00,19.35,-81.2166667
knob hill,,00,19.6833333,-79.8833333
lambert house,,00,19.2666667,-81.4
lower valley,,00,19.2833333,-81.2833333
midland acres,,00,19.3,-81.2166667
molusca heights,,00,19.7333333,-79.7833333
mount pleasant,,00,19.3833333,-81.4
newland,,00,19.2833333,-81.3
newlands,,00,19.2833333,-81.3
north side,,00,19.35,-81.2
north side village,,00,19.35,-81.2
north sound estates,,00,19.3,-81.3
north ward,,00,19.2833333,-81.2666667
old isaacs,,00,19.3,-81.1166667
old man bay,,00,19.35,-81.1833333
old man village,,00,19.35,-81.1833333
old stores,,00,19.4,-81.4
omega gardens,,00,19.3,-81.3333333
pease bay,,00,19.2833333,-81.2333333
pedro,,00,19.2833333,-81.2666667
prospect park,,00,19.2833333,-81.3333333
prospect,,00,19.2666667,-81.35
red bay estate,,00,19.2833333,-81.35
red bay,,00,19.2833333,-81.35
rock hole,,00,19.3,-81.3666667
saint james,,00,19.2666667,-81.3
sand bluff,,00,19.3166667,-81.0833333
savannah acres,,00,19.2833333,-81.3
savannah,,00,19.2666667,-81.3
south hole,,00,19.6666667,-80.0833333
south town,,00,19.6666667,-80.0833333
spot bay,,00,19.75,-79.75
spotts,,00,19.2666667,-81.3166667
the common,,00,19.3833333,-81.4
the moorings,,00,19.7333333,-79.7833333
tibbetts turn,,00,19.7333333,-79.7833333
town hall crescent,,00,19.3833333,-81.4166667
tropical gardens,,00,19.2833333,-81.35
upper land,,00,19.35,-81.3833333
vicksville,,00,19.3666667,-81.4166667
water ground,,00,19.3833333,-81.4
west bay,10768,00,19.3666667,-81.4166667
west end,,00,19.3666667,-81.4166667
whitehall estate,,00,19.3,-81.3666667
