names,population,state_code,lat,lon
12 dekabrya,,01,43.4155556,76.8983333
12 (dvenadtsatogo) dekabrya,,01,43.4155556,76.8983333
15-letiye kazakhstana,,10,41.4127778,68.9177778
15 (pyatnadtsatiletiye) kazakhstana,,10,41.4127778,68.9177778
15 (pyatnadtsat') let kazakhstana,,16,53.2097222,67.3480556
18 (vosemnadtsat') parts''yezd,,11,53.2102778,75.6083333
1-e maya,,12,49.4833333,73.7416667
1 may,,14,43.8347222,67.1769444
1 (pervoye) maya,,12,49.4833333,73.7416667
3-ya (tret'ya) pyatiletka,,11,51.735,79.0616667
60-letiya oktyabrya,,10,41.1736111,68.7916667
60 let oktyabrya,,10,41.4063889,68.7841667
60 (shestidesyatiletiya) oktyabrya,,10,41.1736111,68.7916667
abakumovka,,01,45.3886111,79.5022222
abakumovskaya,,01,45.3886111,79.5022222
abakumovskoye,,01,45.3886111,79.5022222
abalsha,,15,51.0666667,78.5333333
abay,,01,43.2091667,76.7602778
abay,,03,50.7211111,69.5277778
abay,,04,50.7747222,61.7969444
abay,,10,40.8991667,68.5433333
(( abay )),,10,41.3333333,68.75
abay,,10,41.3513889,68.9444444
abay,,11,53.7197222,75.4605556
abay,35454,12,49.6311111,72.8538889
abay,,13,53.9061111,64.8597222
abay,,14,44.9511111,65.5458333
abay,,15,48.9463889,79.2588889
abay-bazar,,10,41.3513889,68.9444444
abdem,,12,50.8,73.7666667
abdem omar,,12,50.8,73.7666667
abdrakhman-mechet',,07,50.1,53.1833333
abdybulak,,04,49.7652778,55.6033333
abdyem,,12,50.8,73.7666667
abeken',,16,54.5633333,70.2161111
abel'-mula,,07,50.2666667,53.05
abinsk,,07,49.5,49.8
abinski,,07,49.4,49.2333333
abinskiy,,07,49.4,49.2333333
abish,,07,49.4802778,49.1286111
ablaketka,,15,49.9,82.7166667
abraly,,15,49.2572222,77.6219444
abram,,07,50.3680556,49.0388889
((abramkuduk)),,07,50.3680556,49.0388889
abramushkin,,07,50.8,50.9666667
abray,,15,48.2666667,81.7166667
abrosimovka,,11,52.7263889,75.9725
abrosimovskoye,,11,52.7263889,75.9725
aby,,12,49.4666667,76.4833333
abylay,,03,50.4716667,69.3827778
abyraly,,15,49.2572222,77.6219444
abyz,,12,49.4666667,76.4833333
abyz-tyube,,14,43.4,67.55
abzhan,,11,52.9433333,76.1397222
achi-bulak,,10,41.7333333,69.5475
achinokho,,01,43.5,80.4666667
achi-sai,,10,43.5541667,68.8888889
achisay,5635,10,43.5541667,68.8888889
achisayskiy,,10,43.5541667,68.8888889
adaevski,,13,51.8041667,62.0333333
aday,,13,51.8041667,62.0333333
aday-aul,,07,48.8513889,47.1916667
adayevka,,13,51.8041667,62.0333333
adayevskaya,,06,47.0666667,53.8
adayevskiy,,13,51.8041667,62.0333333
adaytobe,,07,50.3666667,51.1833333
adebiyet,,14,44.9,64.4666667
adel'bek,,07,48.05,49.7833333
adykbay,,16,52.7708333,69.6847222
adyr,,03,51.7966667,68.9597222
adyr,,04,50.4666667,58.2833333
ad'zhan-adyrskiy,,15,48.8333333,80.3333333
afanas'evka,,16,53.5030556,67.2447222
afanas'yevka,,15,47.2666667,81.5
afanas'yevka,,16,53.5030556,67.2447222
afon'kino,,16,54.905,68.2638889
agadyr',,12,48.2552778,72.8483333
aganas,,03,50.9166667,71.25
aganay,,10,41.6336111,69.3711111
aganay-kemir-basta,,10,41.6833333,69.5333333
(( aganay-kemir-bastau )),,10,41.6833333,69.5333333
agaral,,15,47.7666667,84.7666667
agartu,,01,45.6666667,80.1666667
agartu,,07,49.8166667,47.1
agash-aryk,,11,53.4533333,74.2352778
agashoryn,,11,53.4533333,74.2352778
agashtykol',,12,50.1666667,72.0208333
agashtykol',,13,50.1075,65.3561111
agashty-kul',,12,50.1666667,72.0208333
agatan,,07,50.75,54.0833333
agaydar,,13,50.2422222,65.2844444
agaydarovskiy,,03,51.2666667,71.1
agbayev pervyy,,07,48.8333333,46.9
agbayev vtoroy,,07,48.7772222,46.9311111
agispe,,14,46.7833333,60.5066667
agronom,,16,54.19,70.5344444
aguba,,07,49.4,47.4
agyrek,,11,50.9166667,74.3
agys,,06,46.6666667,49.4833333
aida,,07,48.2166667,50.4
aidmukhamedovskiy,,07,50.65,52.1166667
aimakan,,15,50.0333333,79.9
aimeken,,07,48.6280556,47.6555556
aina-bulak,,01,45.1666667,78.5833333
aina-bulan,,01,44.2333333,79.0333333
ainbek,,12,48.7666667,72.5333333
