names,population,state_code,lat,lon
a alao,,10,16.416667,106.433333
a boum,,10,16.3,107.016667
a cha,,08,21.4,102.216667
achiang,,09,16.283333,106.916667
achiang,,10,16.283333,106.9
a chieng,,09,16.283333,106.916667
a chieng la re,,10,16.283333,106.9
a cho ban noi,,08,21.383333,102.166667
a cho lao sa,,18,21.3175,102.1625
achram,,10,16.366667,106.15
a daigne,,10,16.3,107.016667
aday,,10,16.3,107
a. deus,,09,16.016667,107.233333
a doi,,09,15.933333,107.3
a don,,09,15.916667,106.95
a fang,,08,21.95,102.166667
a. gno,,09,16.116667,106.983333
ai cho,,18,21.488333,102.163889
ai fang,,08,21.95,102.166667
a. ka,,09,16,107.216667
a kha poun pong,,18,21.988889,101.888611
a kha pou pong,,18,21.988889,101.888611
a kiom,,09,15.95,107.283333
a kleum,,09,16,107.066667
a klom,,09,15.95,107.283333
ala,,10,16.8,106.516667
a. lagne,,09,15.816667,107.033333
ale lock,,10,16.25,107.166667
a lim,,09,15.9,107.3
a ling,,09,16.016667,107.016667
along,,09,14.066667,106.366667
a magne,,10,16.466667,106.833333
a mour,,10,16.35,106.783333
an dol,,09,15.916667,106.95
ang kham,,20,16.966667,106.133333
ang kouan,,03,20.311389,104.294444
ang mok,,03,20.302222,104.318889
a ngo,,09,16.116667,106.983333
ang sang,,03,20.306944,104.264167
an ling,,09,16.016667,107.016667
an rouan,,09,15.983333,107.2
an rum,,09,16.216667,107.116667
an tha,,10,16.3,106.516667
an troua,,10,16.9,106.45
an tuc,,09,16.25,106.95
ap boum,,10,16.3,107.016667
ap daigne,,10,16.3,107.016667
a. pok,,10,16.85,106.533333
ap rum,,09,16.216667,107.116667
ap rum,,10,16.216667,107.133333
ap yen,,09,16.016667,107.45
a. quan,,09,15.916667,107.2
a rang,,09,16.033333,106.716667
a rao,,10,16.416667,106.433333
areung,,09,15.533333,107.15
a. roi,,09,16.083333,107.033333
a. rouan,,09,15.983333,107.2
a. rum,,09,16.216667,107.116667
a sene,,10,16.433333,106.816667
a shap,,10,16.366667,106.816667
a ta chai,,08,21.416667,102.133333
a tain,,10,16.316667,106.833333
a than,,10,16.3,106.516667
a tio,,09,16.266667,106.75
a tiok,,09,15.9,107.3
atok,,09,16.25,106.95
atouk,,09,16.25,106.966667
atpu,,01,14.8,106.833333
a trup,,10,16.383333,106.833333
a tsin,,09,16.3,106.833333
a tsong,,08,21.4,102.2
attapu,,01,14.8,106.833333
attopeu,,01,14.8,106.833333
a. tuc,,09,16.25,106.95
a tuc,,09,16.25,106.966667
avaho,,10,16.35,106.9
a vil,,10,16.766667,106.45
a yen,,09,16.016667,107.45
a young,,09,15.933333,107.316667
bachong nay,,06,20.766667,102.75
bachong noy,,06,20.783333,102.766667
bai nong deng,,02,14.75,105.616667
bakxuang,,17,19.97,102.245556
bam sen sam,,03,20.483333,103.8
ba na,,06,20.6,102.45
ban a,,09,15.916667,107.2
ban achang,,18,21.291389,102.166111
ban acholaosa,,18,21.3175,102.1625
ban achram,,10,16.366667,106.15
ban a daun,,10,16.233333,106.283333
ban a daun peroul,,10,16.266667,106.266667
ban adeut,,09,16.016667,107.233333
ban ading,,09,16.15,107.1
ban adon,,10,16.233333,106.283333
ban adonpaloun,,10,16.266667,106.266667
ban aho khok,,10,16.366667,105.433333
ban ahonam,,10,16.466667,105.466667
ban ahong,,10,16.783333,104.983333
ban ai,,07,21.068333,102.055833
ban ai fang,,06,20.083333,102.033333
ban ai one,,16,21.05,101.6
ban akai,,10,16.3,106.483333
ban akang,,07,20.857222,102.255556
ban akhapoupong,,18,21.988889,101.888611
ban ak neu,,06,20.1,102.866667
ban ala,,10,16.616667,106.033333
ban alai,,20,16.653889,106.355278
ban alai gnai,,20,16.653889,106.355278
ban alai noy,,10,16.666667,106.4
ban alak,,01,15.066667,106.916667
ban alan,,09,15.816667,107.033333
ban alan,,20,16.546667,106.315833
ban alang,,10,16.416667,105.716667
ban alang,,20,16.635278,106.3275
ban alang-gnai,,20,16.638889,106.348056
ban alang noy,,10,16.35,105.85
ban alang-noy,,20,16.635278,106.3275
ban alang noye,,10,16.35,105.85
ban alanpho,,20,16.501944,106.355278
ban alao,,10,16.266667,106.1
ban alao,,15,17.185556,106.163333
ban alao,,20,16.407778,106.068611
ban alaopho,,20,16.501944,106.355278
ban alap,,20,16.501944,106.355278
ban alay nhai,,20,16.653889,106.355278
ban alay noi,,10,16.666667,106.4
ban a. leua,,10,16.616667,106.516667
ban alloymai,,10,16.55,105.983333
ban alloymay,,10,16.55,105.983333
ban alom,,10,16.75,105.933333
ban a long ala,,10,16.466667,106.433333
ban along,,10,16.333333,106.483333
ban along buc,,10,16.333333,106.483333
ban along-nam,,20,16.353889,106.473056
ban alot,,09,15.866667,107.016667
ban alouang,,09,15.983333,107.2
ban alouay,,10,16.55,105.783333
ban a louei,,10,16.55,105.783333
ban alout,,09,15.866667,107.066667
ban aloy,,09,16.083333,107.033333
ban aloy mai,,10,16.583333,106.016667
