names,population,state_code,lat,lon
anbre,,08,13.8166667,-60.9166667
angere,,08,13.7833333,-60.9166667
annus,,07,13.7666667,-61.0
anse canot,,05,13.9,-60.9
anse ger,,08,13.7833333,-60.8833333
anse la raye,,01,13.9333333,-61.0333333
anse la verdure,,01,13.9,-61.05
anse noir,,07,13.7333333,-60.9833333
augier,,10,13.75,-60.9666667
au tabor,,01,13.9333333,-61.0333333
babonneau,,03,14.0,-60.9333333
balambouche,,07,13.75,-61.0166667
balata,,03,14.0,-60.95
balca,,07,13.7666667,-61.0166667
balembouche,,07,13.75,-61.0166667
banse,,07,13.7666667,-60.9833333
beauchamp,,08,13.8166667,-60.9166667
beausejour,,09,13.8166667,-61.05
beausejour,,10,13.75,-60.9666667
belair,,03,13.95,-60.9833333
belle plain,,09,13.8166667,-61.0333333
belle plaine,,09,13.8166667,-61.0333333
belle vue,,09,13.8333333,-61.0666667
belle vue,,10,13.7833333,-60.95
belmont,,05,13.9333333,-60.9166667
belvedere,,09,13.8833333,-61.05
berre denis,,03,13.9666667,-60.9833333
bexon,,03,13.95,-60.9666667
bisee,,03,14.0166667,-60.9666667
black bay,,07,13.7333333,-60.9833333
blanchard,,08,13.8,-60.9333333
bois d'orange,,06,14.05,-60.9666667
bois joli,,05,13.9,-60.8833333
bon air,,06,14.05,-60.9666667
bongalo,,07,13.75,-61.0166667
bosquet d'or,,05,13.9166667,-60.9
bouton,,09,13.8666667,-61.0666667
cabiche,,03,14.0,-60.9333333
cafeiere,,04,13.7833333,-61.0333333
canaries,710,01,13.9,-61.0666667
canot,,05,13.9,-60.9
cantonement,,10,13.75,-60.9666667
cap estate,699,06,14.0833333,-60.95
carriee,,10,13.7666667,-60.95
castries,12981,03,14.0,-61.0
charlotre,,03,14.0,-60.9833333
charlotte,,03,14.0,-60.9833333
chassin,,02,13.9833333,-60.9166667
chateau belair,,09,13.8,-61.05
choc,52,06,14.0333333,-60.9666667
choiseuil,,04,13.7666667,-61.05
choiseul,363,04,13.7666667,-61.05
ciceron,,03,13.9833333,-61.0
cicerone,,03,13.9833333,-61.0
colombette,,09,13.85,-61.05
corinthe,,06,14.05,-60.9666667
crown lands,,03,13.95,-60.9666667
dame de traversay,,01,13.9166667,-60.9833333
d'aubaigon,,11,13.8333333,-60.9166667
dauphin,,02,14.0333333,-60.9
debreuil,,04,13.7833333,-61.0166667
deglos,,03,13.9666667,-60.9666667
delcer,,04,13.7833333,-61.05
