names,population,state_code,lat,lon
balzers,4447,01,47.0666667,9.5
bendern,,03,47.2166667,9.5
blanken,,05,47.1833333,9.5333333
ebaholz,,11,47.15,9.5166667
ebenholz,,11,47.15,9.5166667
eschen,4008,02,47.2166667,9.5166667
gaflei,,10,47.1333333,9.5333333
gambrin,,03,47.2166667,9.5
gamprin-bendern,,03,47.2166667,9.5
gamprin,1268,03,47.2166667,9.5
hinterer schellenberg,,08,47.2333333,9.5333333
hinterschellenberg,,08,47.2333333,9.5333333
hinter-schellenberg,,08,47.2333333,9.5333333
mals,,01,47.05,9.5
masescha,,10,47.1333333,9.5333333
mauern,,04,47.2166667,9.5333333
mauren,3626,04,47.2166667,9.5333333
mittlerer schellenberg,,08,47.2333333,9.5333333
mittlerschellenberg,,08,47.2333333,9.5333333
mittler-schellenberg,,08,47.2333333,9.5333333
moliholz,,11,47.15,9.5
muhleholz,,11,47.15,9.5
nendeln,,02,47.2,9.55
planken,377,05,47.1833333,9.5333333
rotaboda,,10,47.125,9.5333333
rotenboden,,10,47.125,9.5333333
rugell,,06,47.2333333,9.5166667
ruggell,1862,06,47.2333333,9.5166667
schaan,5748,07,47.1666667,9.5
schaanwald,,04,47.2166667,9.5666667
schan,,07,47.1666667,9.5
schellenberg,1004,08,47.2333333,9.5333333
silum,,10,47.1333333,9.55
sucka,,10,47.1166667,9.5666667
triesenberg,2689,10,47.1166667,9.5333333
triesen,4701,09,47.1,9.5333333
vaduz,5197,11,47.1333333,9.5166667
vorderer schellenberg,,08,47.2333333,9.5333333
vorderschellenberg,,08,47.2333333,9.5333333
vorder-schellenberg,,08,47.2333333,9.5333333
wangerbarg,,09,47.1,9.5333333
wangerberg,,09,47.1,9.5333333
