names,population,state_code,lat,lon
abakolawewa,,32,7.65,80.3333333
abakolawewa,,34,6.1833333,80.8
abasingammedda,,29,7.3166667,80.6666667
abbowa,,32,7.3,80.2
abesekaragama,,34,6.2166667,80.9
abeyesekaragama,,34,6.2166667,80.9
abokkagama,,32,7.8166667,80.05
abuwangala,,33,7.3166667,80.3166667
acharigama,,30,8.0166667,80.4666667
acharigama,,32,7.4333333,80.2166667
acharigama,,34,6.1666667,80.9
acharigoda,,34,6.3411111,80.2269444
achariheenukwewa,,32,7.8,80.3
achari hinukwewa,,32,7.8,80.3
achari ihalagama,,32,7.7833333,80.15
acharikelegama,,32,7.8833333,80.0833333
acharikonwewa,,32,7.9166667,80.3166667
achari madatugama,,30,7.95,80.6333333
achchamulai,,32,8.2666667,79.8666667
achchankulam,,31,8.8333333,79.9333333
achchelu,,31,9.7333333,80.0666667
achchirikulama,,30,8.1666667,80.4833333
achchuveli,,31,9.7666667,80.1
achcnankulam,,31,8.8333333,79.9333333
achelu,,31,9.7333333,80.0666667
achirigama,,30,8.0166667,80.4666667
achirigama,,32,7.5833333,80.1666667
achiriyagama,,30,8.1333333,80.4166667
achiriyakotuwa,,32,7.55,80.2833333
acirigama,,32,7.6166667,80.15
adaichakal,,31,7.6,81.6
adaikkalamoddai,,31,8.8833333,80.0166667
adammana,,32,7.7166667,79.9333333
adampam,,31,8.9333333,80.0
adampan,,31,8.9333333,80.0
adampanai,,31,8.75,80.9666667
adampane,,30,8.3166667,80.2666667
adampane,,31,8.75,80.9666667
adampane,,32,7.7,80.0
adampantalvu,,31,8.9,80.05
adappanavillu,,32,7.9833333,79.85
adappankulam,,31,8.6166667,80.35
adappan villu,,32,7.9833333,79.85
adapparagama,,32,7.45,79.8333333
adavikanda,,33,6.8333333,80.4166667
adawikanda,,33,6.8333333,80.4166667
addaippaliam,,31,7.3333333,81.85
addaippallam,,31,7.3333333,81.85
addalachchenai,,31,7.25,81.85
addalachena,,31,7.25,81.85
addalachenai,,31,7.25,81.85
addapalam,,31,7.3333333,81.85
addarawellana,,34,6.0166667,80.4
adhikarigama,,29,7.2166667,80.7833333
adikarigama,,32,8.1166667,80.2333333
adikarigoda,,36,6.45,80.0166667
adikarimulla,,36,7.2333333,79.9666667
adikariya,,33,6.7166667,80.3
adikkandiya,,36,7.25,79.8666667
adippola,,32,7.6833333,79.8666667
adiyakulam,,31,8.8,80.0166667
adukkalamoddai,,31,8.8833333,80.0166667
adukkane,,32,7.5333333,80.1333333
adukkanewatuyaya,,32,7.55,80.3666667
adupe,,36,7.2666667,80.15
agalaboda,,34,6.2,80.6666667
agalagama,,33,6.7,80.7666667
agalagamuwa,,33,6.5166667,80.6166667
agala kanda,,34,6.1833333,80.2
agalakumbura,,29,7.1166667,80.9333333
agalawatta,,29,7.4833333,80.6
agalawatta,,33,6.8,80.3666667
agalawatta,,36,6.5422222,80.1583333
agalegama,,32,7.35,79.95
agalegedara,,36,7.2666667,80.0333333
agalekumbura,,33,6.6,80.75
agaliya,,34,6.1833333,80.2
agalle,,35,6.75,81.5
agampodigama,,35,6.9,80.9
agappola,,29,7.1333333,80.75
agarauda,,32,7.5666667,80.1166667
agare,,32,7.35,80.0666667
agaregama,,33,6.55,80.6
agaregedara,,32,7.4,80.0833333
agaregedera,,32,7.4,80.0833333
aggalaulpota,,35,7.15,81.05
aggarahere,,34,6.1333333,80.7833333
agrapatana,,29,6.8652778,80.7138889
agrapatna,,29,6.8652778,80.7138889
agulgomuwa,,32,7.75,80.5
ahangama,,34,5.9777778,80.3744444
ahangama central,,34,5.9666667,80.3666667
ahangama east,,34,5.9666667,80.3833333
ahangama nakanda,,34,5.9833333,80.3666667
ahangama west,,34,5.9833333,80.3666667
ahaspokuna,,33,6.6666667,80.8166667
ahasyanapitiya,,32,7.4666667,80.4333333
ahatuwewe,,32,7.7,80.0833333
ahubodagama,,32,7.8333333,80.0833333
ahugammana,,36,7.0,80.0333333
ahugoda,,32,7.4166667,80.3166667
ahuliyadda,,33,6.5833333,80.7166667
ahungalla,,34,6.3166667,80.0333333
ahungalla middaramulla,,34,6.3166667,80.0333333
aiyakerni,,31,7.7833333,81.6166667
aiyamperumal,,31,9.05,80.3666667
aiyanatidal,,31,8.4666667,81.1166667
aiyankenitalawai,,31,7.7833333,81.6
aiyankerni,,31,7.7833333,81.6166667
aiyankernitalawai,,31,7.7833333,81.6
aiyatayagama,,30,8.15,80.4666667
aiyittiyamalai,,31,7.6833333,81.5666667
akadagoda,,34,6.3666667,80.0333333
akade,,32,7.4166667,80.5
akadegoda,,34,6.3666667,80.0333333
akadigoda,,34,6.3666667,80.0333333
akalagamuwa,,32,7.4666667,80.5333333
akalagomuwa,,32,7.4666667,80.5333333
akaragama,,32,7.4666667,80.35
akaragama,,36,7.2666667,79.95
akaragana,,32,7.4666667,80.35
akarahadiya,,34,7.6166667,80.8666667
akarahaduwa,,29,7.65,80.65
akarahaduwa,,34,7.6166667,80.8666667
akarahediya,,34,7.6166667,80.8666667
akaranai,,31,7.9166667,81.3833333
akarangaha,,36,7.2833333,79.9833333
akarawatta,,32,7.5666667,80.05
akarawatte,,32,7.55,80.05
akarawita,,36,6.95,80.1
akarella,,33,6.5833333,80.6666667
akattikkulam,,31,8.7,80.1333333
akattikulam,,31,8.8,80.0666667
akattimurippu,,31,8.75,79.9666667
akirikanda,,30,8.55,80.4833333
akkaragoda,,36,6.4833333,79.9833333
akkaraipattu,,31,7.2166667,81.85
akkara panaha,,32,7.4666667,80.45
akkarawatta,,29,6.9002778,80.5177778
akkarawatta,,32,7.55,80.05
akkaraweli,,32,7.7666667,79.8333333
akkarawelliya,,32,7.7666667,79.8333333
akkarayankotuwa,,32,7.5833333,79.8
akkuranai,,31,7.9166667,81.3833333
akmimana,,34,6.0666667,80.25
akulobe,,31,7.5,81.3833333
akunadiwela,,34,6.0666667,80.65
akurala,,34,6.1991667,80.0786111
akuraladuwa,,34,6.1833333,80.0666667
akuramboda,,29,7.65,80.6
