names,population,state_code,lat,lon
aden,,09,6.5333333,-8.85
african jordan,,11,6.0,-9.8333333
agikolazizu,,05,8.35,-9.7166667
ajoi,,01,6.65,-9.55
ajoice,,01,6.65,-9.55
akabomen,,02,5.2316667,-8.3869444
alabama camp,,05,8.1675,-9.9513889
alejazu,,05,8.3488889,-9.8066667
alfabli,,11,5.9916667,-9.9925
alfredta,,05,7.15,-10.0666667
alijazu,,05,8.3488889,-9.8066667
aljennah,,14,6.6577778,-10.5975
amina,,15,6.5261111,-10.8463889
amina number 1,,15,6.5261111,-10.8463889
amina number 2,,15,6.5333333,-10.85
amina number one,,15,6.5261111,-10.8463889
amina number two,,15,6.5333333,-10.85
anchuah town,,11,6.4166667,-9.5833333
anchuan,,11,6.4166667,-9.5833333
andrewbli,,11,6.4475,-9.5508333
andrews town,,05,6.9258333,-10.6688889
angalazu,,05,8.4755556,-9.8661111
ansiah,,17,6.6286111,-10.0797222
apgaye doabli,,01,6.475,-9.5252778
apo,,08,7.05,-10.8
arthington,,14,6.5119444,-10.6766667
aruan point,,10,4.9430556,-8.9016667
asabli,,01,6.4666667,-9.5333333
audrichbli,,11,6.0833333,-10.1833333
auzitabli,,11,6.3980556,-9.5516667
away town,,18,6.1327778,-9.2355556
ayema,,05,8.2416667,-9.5255556
ayima,,05,8.2416667,-9.5255556
baa,,11,5.8166667,-9.7333333
baabli,,11,6.3613889,-10.1163889
baaguata,,11,6.4616667,-9.3655556
baaja,,12,6.7166667,-10.9833333
baaka,,01,7.1675,-9.4480556
baake,,09,6.8883333,-8.8336111
baama,,15,6.55,-10.9333333
baapie,,09,7.3,-8.7
baapla,,09,7.0594444,-8.3052778
baata,,01,6.5833333,-9.45
baata,,11,6.4333333,-10.0333333
baatonbli,,11,5.55,-9.5833333
baatown,,14,6.7536111,-10.4458333
baawu,,02,5.8819444,-7.7327778
ba,,05,8.4833333,-10.1666667
ba,,17,6.65,-9.9666667
bababli,,11,6.15,-9.95
babahun,,05,8.2922222,-10.1327778
babahuni,,05,8.2922222,-10.1327778
babala,,02,6.1022222,-8.0958333
babalo,,12,6.9069444,-11.3511111
babe,,09,7.2755556,-8.8358333
babli,,02,6.4402778,-8.6205556
babli,,09,6.8902778,-8.7463889
babli,,11,5.4666667,-9.5833333
babli,,18,5.6063889,-9.6586111
bablobli,,02,6.2030556,-8.3719444
babloh-bli,,02,6.2030556,-8.3719444
babokehn,,02,5.5,-8.0
babota,,09,6.9305556,-8.3622222
babuabli,,11,6.4,-9.6333333
babu,,02,5.9694444,-8.1888889
babu town,,14,6.4333333,-10.7666667
babwabli,,11,6.4,-9.6333333
badale,,09,6.7183333,-8.4244444
badanoma,,12,7.3833333,-11.05
badasu,,05,7.8583333,-9.6688889
badawin,,11,6.2652778,-9.7833333
baddu,,16,4.7072222,-8.4777778
bade,,02,5.9625,-8.8794444
bade station,,09,7.2833333,-8.8269444
badesu,,05,7.8583333,-9.6688889
badeya,,02,5.9625,-8.8794444
badeya,,18,5.8194444,-9.2025
badezu,,05,7.8583333,-9.6688889
badia,,18,5.845,-9.255
badie,,09,7.1261111,-8.7569444
badio town,,09,7.37,-8.7236111
badow,,15,6.7716667,-10.9725
badu,,16,4.7072222,-8.4777778
badue,,10,5.5352778,-8.605
baduna,,11,6.3725,-10.0711111
baema,,15,6.8086111,-10.8713889
baema number 1,,15,6.8,-10.8666667
baema number 2,,15,6.8086111,-10.8713889
baema number one,,15,6.8,-10.8666667
baema number two,,15,6.8086111,-10.8713889
bafawehn,,10,4.87,-8.4172222
bafa wehn,,16,4.8908333,-8.4358333
baforwen,,10,4.87,-8.4172222
bafowehn,,10,4.87,-8.4172222
bafu,,10,5.1730556,-9.2836111
bafu bay town,,10,5.1508333,-9.2888889
bafuma,,12,6.9238889,-11.4544444
bagger farm,,17,6.5833333,-10.3
bagle,,09,7.0872222,-8.7241667
baglor town,,02,6.1277778,-8.3355556
bagohn,,02,6.1352778,-8.1338889
bagoleta,,01,6.8,-10.3166667
bagoli,,11,5.8166667,-10.0
bagulazu,,05,7.7966667,-9.7163889
bagwabli,,11,6.4583333,-10.1263889
bagwaima,,17,6.7666667,-10.3166667
bagwu,,15,6.5669444,-10.9944444
baha,,15,6.7122222,-10.9719444
bahama,,05,6.9947222,-10.7883333
bah,,11,6.0666667,-10.1
bah,,17,6.5666667,-10.0166667
bah-bli,,02,6.4402778,-8.6205556
bahdehzu,,05,7.8583333,-9.6688889
bahkedoe,,05,8.2933333,-9.6341667
bahlahta,,05,7.2761111,-10.3208333
bahlopwa,,01,6.6866667,-9.3627778
bahn,,09,6.9852778,-8.8527778
bahn,,18,5.9852778,-9.4863889
bahn town,,18,5.9619444,-9.4652778
bahoke,,13,4.6441667,-7.6825
bahpea,,09,7.3,-8.7
bahsiwayn,,05,8.1527778,-9.6519444
bahwayh,,05,8.2013889,-9.5627778
bahwayn,,05,8.2013889,-9.5627778
baiama,,08,6.9666667,-10.6166667
bai,,01,7.1538889,-9.4002778
baibli (1),,11,6.2666667,-9.75
baibli (2),,11,6.35,-10.1166667
baibli,,02,6.4402778,-8.6205556
baiduabli,,11,5.9166667,-9.9
baikai,,12,7.2083333,-11.2055556
