names,population,state_code,lat,lon
abebe,,14,-29.6333333,27.65
abele,,14,-29.6333333,27.65
alwyns kop,,18,-30.4,27.6166667
baroaneng,,13,-29.7166667,27.35
berea hills,,10,-29.2333333,27.6166667
berente,,15,-29.9,27.65
blue gums,,18,-30.35,27.55
blue gums store,,18,-30.35,27.55
bokatis store,,14,-29.35,27.6
bokong,,19,-29.3333333,28.4666667
bolepeletsa,,18,-30.45,27.6166667
bolumatau,,13,-29.75,27.2
boqate,,14,-29.35,27.6
botsabelo asylum,,14,-29.2666667,27.5166667
botsabelo,,14,-29.2666667,27.5166667
brakfontein,,15,-30.25,27.45
butha-buthe,,11,-28.7833333,28.2333333
cana,,10,-29.1166667,27.85
chere,,13,-29.6,27.1666667
cheri,,13,-29.6,27.1666667
chete,,14,-29.5166667,27.8166667
choatlella,,14,-29.4833333,27.5166667
corn exchange,,12,-28.9833333,27.9833333
cutting camp,,18,-30.2666667,27.75
dibuno's,,11,-28.6333333,28.5666667
dikupa,,13,-29.7666667,27.3
dilli dilli,,18,-30.5166667,27.6333333
dinkung,,11,-28.6166667,28.5166667
emmaus,,13,-29.7666667,27.55
fako,,10,-29.2833333,27.8166667
fako's,,10,-29.2833333,27.8166667
fako store,,10,-29.2833333,27.8166667
fort hartley,,18,-30.3333333,27.75
fosi,,10,-29.4333333,27.8666667
foso,,14,-29.2666667,27.5666667
george,,10,-29.25,27.95
griffiths,,18,-30.25,27.8166667
hangers drift,,14,-29.2,27.5666667
ha nohana,,18,-30.0666667,27.85
helehehle,,15,-29.9833333,27.5
hellspoort,,13,-29.8666667,27.4
hellspoort store,,13,-29.8666667,27.4
helspoort,,13,-29.8666667,27.4
hendriks,,11,-28.6333333,28.4
hermon,,13,-29.7333333,27.1166667
hill top,,17,-30.0333333,28.7833333
hlakametas,,11,-28.7,28.4333333
hlakametsa,,11,-28.7,28.4333333
hlakametsas,,11,-28.7,28.4333333
hlakanelo,,19,-29.7166667,28.8
hlotse camp,,12,-28.85,28.0666667
hlotse,46416,12,-28.8833333,28.05
hobsons,,12,-29.1166667,27.9666667
jaele,,10,-29.4666667,27.8666667
jael,,10,-29.4666667,27.8666667
joel,,11,-28.6833333,28.2833333
joels drift,,11,-28.7,28.2833333
joels,,11,-28.6833333,28.2833333
john matsaba,,14,-29.65,27.75
jonathan,,12,-28.8166667,28.1
jonathans,,12,-28.8166667,28.1
kala,,11,-28.7166667,28.3333333
kalo,,11,-28.7166667,28.3333333
kalokuni,,18,-30.5666667,27.7333333
kaphe,,15,-29.9666667,27.65
kapi,,15,-29.9666667,27.65
kelechane,,13,-29.7333333,27.7666667
kena,,13,-29.7666667,27.65
kepi,,10,-29.1666667,27.7833333
khabos,,11,-28.8333333,28.2333333
khalechane,,13,-29.7333333,27.7666667
khamolane,,10,-29.35,27.7333333
khetisas,,12,-28.9166667,28.1666667
khitsane,,15,-30.1,27.4166667
khotsa,,10,-29.3833333,27.7666667
khotsi,,12,-29.0666667,27.95
khotsis,,12,-29.0666667,27.95
khukhune,,11,-28.7166667,28.4166667
khukuhune,,11,-28.7166667,28.4166667
koadi,,10,-29.2333333,27.7833333
koali,,10,-29.2333333,27.7833333
koeneng,,12,-29.0333333,28.0
kojoa,,15,-29.8666667,27.6666667
kokodia,,10,-29.3166667,27.9166667
kokolia,,10,-29.3166667,27.9166667
kolo,,13,-29.6,27.3333333
kolonyama,,10,-29.0666667,27.7333333
koro-koro,,14,-29.5,27.6333333
kubung,,18,-30.0833333,28.0166667
kueneng,,12,-29.0666667,28.0166667
kwening,,12,-29.0666667,28.0166667
kwepe,,13,-29.85,27.5666667
laoti,,11,-29.0333333,28.5166667
lebingwanas cattle post,,16,-28.9166667,28.9
ledingwana's cattle post,,16,-28.9166667,28.9
lehloenyas,,14,-29.5666667,27.55
lehlohonolo,,10,-29.1333333,27.6833333
lehlonia,,14,-29.5666667,27.55
lejone,,12,-29.1,28.4833333
lekhoa,,10,-29.5333333,27.8833333
lekhoa,,13,-29.65,27.4666667
lekhoa,,18,-29.9,27.9166667
lekhoatsas,,13,-29.9,27.45
lekhooa,,18,-29.9,27.9166667
leklatsa,,14,-29.35,27.4833333
lekoatsa,,13,-29.9,27.45
lekokoaneng,,10,-29.1333333,27.6833333
lepatsa,,11,-28.6166667,28.5166667
leribe,,12,-28.8833333,28.05
lersuelas,,12,-29.0333333,28.1
letseng-la-draai,,16,-28.9166667,28.8166667
letseng-la-terae,,16,-28.9166667,28.8166667
letsie,,13,-29.8333333,27.3166667
letsika,,11,-28.6833333,28.4333333
letsikas,,11,-28.6333333,28.3833333
leutsoa,,14,-29.5333333,27.5166667
libono,,11,-28.6333333,28.5666667
libono's,,11,-28.6333333,28.5666667
likhakeng,,13,-29.6166667,27.3166667
likhoele,,13,-29.8,27.2833333
likolojane,,12,-29.0333333,27.9666667
likotsi,,14,-29.4,27.4666667
likupa,,13,-29.7666667,27.3
liphakoeng,,11,-28.7333333,28.3333333
liphateng,,15,-30.0333333,27.4333333
lipolisa,,14,-29.4,27.4666667
lirahalibonoe,,10,-29.45,27.9333333
litsilong,,10,-29.2166667,27.7
loutsa,,14,-29.5333333,27.5166667
lower qeme,,14,-29.55,27.5
mabotse,,13,-29.6333333,27.0666667
mabotsi,,13,-29.6333333,27.0666667
machekoaneng,,14,-29.45,27.55
madibe,,18,-30.25,27.95
mafeteng,40591,13,-29.8166667,27.25
maghaleen,,15,-30.1666667,27.4
maghalleen,,15,-30.1666667,27.4
mahatlames,,10,-29.2,27.8333333
mahatlane,,10,-29.2,27.8333333
mahatlanes,,10,-29.2,27.8333333
mahlakoanas,,18,-30.2,27.9666667
mahlatsas nek,,10,-29.2166667,27.9833333
mahloenyeng,,14,-29.5666667,27.55
majatla,,10,-29.2166667,27.7
makadinyane,,14,-29.4833333,27.3666667
makakaitsa,,10,-29.0166667,27.7666667
makati,,10,-29.1166667,27.95
makhaketsa,,10,-29.0166667,27.7666667
makhalaneng,,14,-29.6166667,27.7666667
makhalanyane,,14,-29.4,27.6166667
makhalanyanes,,14,-29.4,27.6166667
makhaleng,,10,-29.5166667,27.9
makhinas,,15,-30.15,27.35
makhoas,,12,-28.9666667,28.1166667
makhoate,,14,-29.35,27.6
makhoathi,,14,-29.35,27.6
makoalis,,10,-29.2333333,27.7833333
makojang,,15,-29.9333333,27.7333333
makoyang,,15,-29.9333333,27.7333333
makuaes,,18,-30.2833333,28.0666667
malaleng,,13,-29.65,27.3333333
malealea,,13,-29.85,27.5666667
malibe,,18,-30.25,27.95
mamathe,,10,-29.1333333,27.85
mamathes,,10,-29.1333333,27.85
mamati,,10,-29.1333333,27.85
manama,,10,-29.0666667,27.7333333
mankimane,,13,-29.85,27.35
mantoetsi,,10,-29.15,27.9
mantsa,,14,-29.65,27.85
mantsebo,,14,-29.4833333,27.5166667
maphutseng,,15,-30.2166667,27.5166667
mapoteng,,12,-29.1,27.9833333
mapotu,,13,-29.65,27.2333333
maputseng store,,15,-30.2166667,27.5166667
maputsoe,,03,-28.8833333,27.9
marakabei,,19,-29.5333333,28.15
marakabeis,,19,-29.5333333,28.15
maseru,194387,14,-29.3166667,27.4833333
mashai,,19,-29.6666667,28.7833333
masilo,,11,-28.6333333,28.4
masiribani,,18,-30.2666667,27.8833333
masite nek,,14,-29.5833333,27.4833333
masitise,,18,-30.4,27.65
masoeling,,10,-29.1666667,27.95
massabiella,,14,-29.5333333,27.5833333
masupha,,10,-29.1333333,27.85
matbang,,14,-29.3333333,27.6666667
matedile store,,13,-29.8166667,27.5333333
mateka,,10,-29.2333333,27.8833333
matekas,,10,-29.2333333,27.8833333
matela,,10,-29.3833333,27.7666667
matelas,,10,-29.3833333,27.7666667
matelile,,13,-29.8166667,27.5333333
mathokoane,,12,-28.9666667,28.05
matsaba,,14,-29.65,27.75
matsaile,,17,-29.85,28.7833333
matsieng,,14,-29.6166667,27.5666667
matsohani,,11,-28.85,28.2
mazenod,,14,-29.4166667,27.5666667
mekading,,15,-30.2833333,27.5166667
mekaling,,15,-30.2833333,27.5166667
metolong,,10,-29.35,27.8
modiboea,,12,-28.9,28.1
mofoka,,14,-29.5166667,27.6
mofokas,,14,-29.5166667,27.6
mohale's hoek,,15,-30.15,27.4666667
mohlafateng,,03,-29.0333333,27.8666667
mohlakoanas,,18,-30.2,27.9666667
mohlakwana,,18,-30.2,27.9666667
mohlanapeng,,19,-29.6,28.65
mohlehli,,13,-29.75,27.2
moitsupelis,,14,-29.5833333,27.7666667
mojela,,10,-29.5333333,27.8833333
mokema,,14,-29.4666667,27.65
mokemas store,,14,-29.4666667,27.65
mokhalinyane,,14,-29.4833333,27.3666667
mokhathis,,10,-29.1166667,27.95
mokhotlong,5484,16,-29.2833333,29.0833333
mokibinyani,,15,-30.0333333,27.4333333
moklepu,,13,-29.7666667,27.55
mokoeng,,16,-29.2333333,28.9666667
mokomane,,11,-29.0,28.5333333
mokonyane,,10,-29.2833333,27.8666667
mokoroane,,13,-29.9166667,27.2333333
mokotoko,,10,-29.35,27.8
mokunyane,,10,-29.2833333,27.8666667
molaoa,,17,-29.8,28.8166667
molao,,17,-29.8,28.8166667
molefis,,11,-28.7666667,28.2833333
moletsane,,13,-29.9166667,27.3166667
moletsanes,,12,-29.1666667,28.05
moletsane's store,,12,-29.1666667,28.05
moletsane's store,,13,-29.9166667,27.3166667
moletsani store,,12,-29.1666667,28.05
moliboeas,,12,-28.9,28.1
molomo,,13,-29.7166667,27.5166667
molomos hoek,,13,-29.7166667,27.4666667
molumong,,16,-29.35,29.0166667
monaheng,,15,-29.8666667,27.7166667
monantsa,,11,-28.5666667,28.6333333
monyake,,13,-29.95,27.35
monyaki,,13,-29.95,27.35
mopoto,,13,-29.65,27.2333333
morameng,,10,-29.1,27.7
morife,,15,-30.2833333,27.4
morife store,,15,-30.2833333,27.4
morifi,,15,-30.2833333,27.4
morija,,13,-29.6333333,27.5166667
morunyaneng,,13,-29.8166667,27.5333333
mosala,,13,-29.7333333,27.5666667
mosalas,,13,-29.7333333,27.5666667
mosekuwa's store,,13,-29.7,27.45
mosetlas,,18,-30.3333333,27.75
mosetle,,18,-30.3333333,27.75
motanyane,,13,-29.7333333,27.7166667
motloang,,14,-29.3333333,27.6666667
motsekuoa,,13,-29.7,27.45
motsekuoas,,13,-29.7,27.45
motsie,,17,-29.9166667,28.2833333
mount moorosi,,18,-30.2666667,27.8833333
mount moroosi,,18,-30.2666667,27.8833333
moyeni camp,,18,-30.3666667,27.7333333
moyeni,,18,-30.4,27.7166667
mpharane,,15,-30.0166667,27.55
mphoto,,14,-29.45,27.5833333
mpite,,17,-30.0666667,28.6166667
mpiti,,17,-30.0666667,28.6166667
mpobong,,13,-29.7666667,27.8
mutlanyane,,11,-28.8166667,28.45
nako,,14,-29.6166667,27.7666667
naku,,14,-29.6166667,27.7666667
na nohama,,18,-30.0666667,27.85
neni,,17,-30.2,28.35
nkata,,14,-29.45,27.55
nkeleng,,15,-30.2833333,27.5166667
nkesi,,14,-29.6666667,27.8
nthamaha,,18,-29.9833333,27.9166667
nthodimonate,,18,-30.4833333,27.75
ntilane,,13,-29.9666667,27.2833333
ntlama,,10,-29.1833333,27.8666667
ntlamas,,10,-29.1833333,27.8666667
ntsane,,14,-29.5166667,27.8166667
ntsi,,14,-29.4,27.75
numolani,,16,-29.05,28.9666667
nyakosoba,,14,-29.55,27.7833333
nyane,,19,-29.5666667,28.2333333
old mohales hoek,,15,-30.1,27.4833333
old mohales hoek store,,15,-30.1,27.4833333
palama,,14,-29.5833333,27.4833333
patrick,,14,-29.5166667,27.7666667
peete molapo,,12,-28.9666667,28.05
peka,,03,-28.9666667,27.75
peka,,11,-28.85,28.2
petlane,,13,-29.6166667,27.3166667
phafoli,,13,-29.8,27.6833333
phafudi,,13,-29.8,27.6833333
phamong,,18,-30.25,27.8166667
phatso,,10,-29.1666667,27.95
phoofolo,,10,-29.0666667,27.8333333
phoofolo's,,10,-29.0666667,27.8333333
pitseng,,12,-29.0166667,28.2
pitseng,,13,-29.85,27.6
pufulo,,10,-29.0666667,27.8333333
qaba,,13,-29.85,27.6
qacha's neck,,17,-30.1166667,28.6833333
qachasnek camp,,17,-30.1166667,28.6833333
qachas nek camp,,17,-30.1166667,28.6833333
qacha's nek,,17,-30.1166667,28.6833333
qacha's nek residency,,17,-30.1166667,28.6833333
qalaheng,,10,-29.2333333,27.6166667
qamako,,13,-29.8,27.4
qhoobeng,,18,-29.95,27.9
qiloane,,10,-29.3333333,27.7
qomoqomong,,18,-30.4333333,27.7333333
quthing,17073,18,-30.4,27.7166667
