names,population,state_code,lat,lon
aany,,60,55.4333333,24.5833333
aawkswo,,63,55.6205556,22.23
aazdeniki,,58,56.0,21.2
abakai,,58,55.9,21.45
abakay,,58,55.9,21.45
abaku,,58,55.9,21.45
abele,,60,55.9333333,25.8
abeli,,60,55.9333333,25.8
abolai,,65,54.35,25.4666667
abramovsk,,65,54.7833333,24.7166667
abrieskai,,61,55.6166667,23.4666667
abromiskes,,65,54.7833333,24.7166667
abshruten,,62,55.0833333,22.4666667
abshtaynen,,62,55.0813889,22.1386111
acokavai,,61,55.7333333,23.35
adakai,,62,55.4047222,22.6663889
adakavas,,62,55.4047222,22.6663889
adakavo,,62,55.4047222,22.6663889
adamarina,,59,54.5833333,23.25
adamchuki,,65,54.6666667,25.6333333
adamishki,,59,54.5833333,23.3833333
adampolis,,61,55.8666667,23.6833333
adlig shraytlyaugken,,62,55.05,22.1333333
adomaiciai,,61,55.55,22.6833333
adomaiciai,,63,55.7666667,22.2
adomaiciai,,65,54.6666667,25.6333333
adomaitse,,61,55.55,22.6833333
adomava,,60,55.8833333,24.2833333
adomciukai,,65,54.6666667,25.6333333
adomine,,60,55.75,25.3
adomines,,60,55.75,25.3
adomishken,,62,55.15,22.25
adomishkyay,,40,56.0433333,23.5063889
adomiskes,,59,54.5833333,23.3833333
adomiskiai,,40,56.0433333,23.5063889
adomiskiai,,60,55.3666667,23.8666667
adomiskiai,,62,55.15,22.25
adomiskis,,61,55.8666667,23.6833333
adomyne,,60,55.75,25.3
adormiskes,,59,54.5833333,23.3833333
adutishkis,,64,55.15,26.6
adutiskis,,64,55.15,26.6
agelaiciai,,61,55.4166667,23.4333333
agelaiciu,,61,55.4166667,23.4333333
ageniskis,,60,56.1763889,24.9397222
agluonai,,61,56.3333333,22.7
agluonenai,,58,55.6,21.4
agluoney,,58,55.5833333,21.3833333
agripishki,,56,54.5666667,24.3333333
aguoniskiai,,59,54.4,23.0833333
aguriskes,,60,55.5833333,23.8666667
agurkiske,,57,54.8333333,23.55
agyanishkis,,60,56.1763889,24.9397222
aikstieji versupiai,,65,54.7666667,25.4
airenai,,65,54.85,24.9333333
airenai ii,,65,54.85,24.9333333
aisenai,,58,55.5333333,21.4333333
aisenu,,58,55.6,21.5
aisiskes,,65,54.1666667,25.0
aistiskiai,,59,54.4,23.0166667
aitekoniu,,57,54.9166667,24.4166667
aitekonyay,,57,54.9166667,24.4166667
aitekonys,,57,54.9166667,24.4166667
ajgule,,60,55.2833333,24.0
akademija,,60,55.4,23.8666667
akeciai,,59,54.9833333,23.2333333
aketse,,59,54.9833333,23.2333333
akliai,,60,55.2166667,24.2333333
akliniai,,61,55.8833333,23.3833333
aklyay,,60,55.2166667,24.2333333
akmena,,60,55.6666667,25.0166667
akmenaiciai,,61,55.95,22.9333333
akmenales,,58,56.0333333,21.3666667
akmenaychyay,,61,55.95,22.9333333
akmene,3026,40,56.25,22.75
akmene,,60,55.9666667,24.9
akmene,,61,55.5166667,23.2666667
akmeneliai,,61,56.2527778,24.0030556
akmeneliu,,58,56.0333333,21.3666667
akmenes,,40,56.25,22.75
akmeniai,,60,55.05,24.9166667
akmeniai,,61,55.65,22.7666667
akmenio,,56,54.3,24.6166667
akmenishki,,60,55.2166667,23.2833333
akmenishkyay,,60,55.2166667,23.2833333
akmeniske,,61,55.2333333,23.0833333
akmeniskiai,,60,55.2166667,23.2666667
akmeniskiai,,62,55.31,21.8463889
akmeniu,,60,55.7833333,24.7333333
akmeniu,,61,55.65,22.7666667
akmenyay,,60,55.05,24.9166667
akmenyay,,61,55.65,22.7666667
akmenynai,,59,54.4,23.0833333
akmenyne,,61,55.9,23.85
akmenyne,,65,54.3666667,25.5
akmonishken,,62,55.31,21.8463889
akmuo,,56,54.3,24.6166667
akmuo,,65,54.3666667,25.5
akmyane,,40,56.25,22.75
akmyane,,60,55.7833333,24.7333333
akmyanishkyay,,62,55.31,21.8463889
akmyanyalyay,,61,56.2527778,24.0030556
akstinai,,61,55.4666667,23.2166667
akstinai,,62,55.35,22.4833333
akstynyay,,62,55.35,22.4833333
aktsyay,,57,55.1333333,23.5166667
alaburdishki,,56,54.4666667,24.4666667
alaburdiskes,,56,54.4666667,24.4666667
alanga,,62,55.3,22.2166667
alangi,,62,55.3,22.2166667
alanta,,64,55.35,25.3
alantes,,60,55.5166667,24.55
alautes,,60,55.5166667,24.55
albinava,,61,55.6666667,22.6666667
aldoniskiai,,61,55.8166667,23.7333333
alejai,,61,55.4333333,23.05
alejai i,,61,55.4333333,23.05
aleju,,61,55.4333333,23.05
alejunai,,65,54.85,24.9166667
aleknai,,62,55.4,22.85
aleknaiciai,,60,55.45,23.5
aleknaiciai,,61,55.9833333,23.7166667
aleknaychyay,,61,55.9833333,23.7166667
alekniskiai,,56,54.0333333,23.65
aleknoniu,,59,54.45,23.6666667
aleknonys,,59,54.45,23.6666667
aleksandrai,,61,55.4,23.0333333
aleksandrauka,,65,54.6833333,24.65
aleksandraukos,,65,54.6833333,24.65
aleksandrava,,56,54.5,24.0833333
aleksandrava,,60,55.9166667,24.7166667
aleksandrava,,62,55.05,22.8666667
aleksandravas,,61,56.36,23.2188889
aleksandravas,,63,55.9333333,21.6333333
aleksandravele,,60,55.8833333,25.9333333
aleksandraveles,,60,55.8833333,25.9333333
aleksandraychyay,,61,55.4,23.0333333
aleksandraytse,,61,55.4,23.0333333
aleksandria,,63,56.2833333,21.7
aleksandrija,,61,55.9166667,23.3833333
aleksandrija,,63,56.2833333,21.7
aleksandrine,,60,55.6166667,24.5666667
aleksandriske,,63,55.9166667,21.6333333
aleksandriya,,61,55.9166667,23.3833333
aleksandriya,,63,56.2833333,21.7
aleksandrova,,63,55.9166667,21.6333333
aleksandrovka,,60,55.2333333,23.4166667
aleksandrovka,,62,55.05,22.8666667
aleksandrovskaja,,57,54.9833333,24.2
aleksandrovskaya,,57,54.9833333,24.2
aleksandrow,,60,55.8833333,25.9333333
aleksota,,57,54.8833333,23.9
aleksotas,,57,54.8833333,23.9
aleksoto,,57,54.8833333,23.9
alenava,,61,55.5333333,22.9
alenis,,65,55.0166667,25.1
alenyay,,65,55.0166667,25.1
alesninkai,,65,54.7833333,24.8
aleuntsy,,65,54.85,24.9166667
al'fredavas,,57,55.1666667,23.65
al'fredovo,,57,55.1666667,23.65
algimantai,,60,55.2641667,23.5080556
algimantay,,60,55.2641667,23.5080556
algupe,,57,55.0833333,23.7333333
algupys,,57,55.0833333,23.7333333
aliejunai,,65,54.8666667,24.9166667
alijosiskes,,62,55.3833333,22.2166667
alioniai,,65,55.0166667,25.1
alionis,,60,55.1833333,24.8666667
alioniu,,60,55.1833333,24.8666667
alionys 2,,65,55.0166667,25.1
alionys,,60,55.1833333,24.8666667
alionys,,65,55.0166667,25.1
alionys i,,65,55.0166667,25.1
alitus,,56,54.4,24.05
alizava,,60,55.9666667,25.0
alizavos,,60,55.9666667,25.0
alka,,58,55.4261111,21.4061111
alkai,,63,56.05,21.95
alkas,,63,55.7666667,21.9333333
alkay,,63,56.05,21.95
alkishkyay,,40,56.2833333,22.85
alkiskiai,,40,56.2833333,22.85
alkiskiu,,40,56.2833333,22.85
alko,,63,55.7666667,21.9333333
alkos,,63,55.7666667,21.9333333
alksnenai,,59,54.7166667,23.1166667
alksnenai,,60,55.4833333,23.8333333
alksnenai,,63,55.9333333,21.75
al'ksnenay,,59,54.7166667,23.1166667
alksnenay,,63,55.9333333,21.75
alksnenu,,59,54.7166667,23.1166667
alksnenu naujuju,,59,54.7166667,23.1166667
alksniai,,58,55.75,21.3166667
alksnine,,59,54.4833333,23.1166667
alksniupiai,,61,55.8166667,23.7666667
alksnupiai,,61,55.8166667,23.7666667
alksnupyay,,61,55.8166667,23.7666667
alksnupyay-novyy,,61,55.8166667,23.8
alksnupyay-staryy,,61,55.8166667,23.7666667
alku,,63,56.05,21.95
alkupe,,62,55.5833333,22.1166667
alkupis,,62,55.5833333,22.1166667
allonys,,60,55.1833333,24.8666667
alove akalycia,,56,54.3333333,24.2
alove,,56,54.35,24.2
aloves,,56,54.35,24.2
alsedzhay,,63,56.0333333,22.05
al'sedzhyay,,63,56.0333333,22.05
alsedziai,,63,56.0333333,22.05
alsedziu,,63,56.0333333,22.05
alseikos,,58,55.5333333,21.6166667
alsiai,,40,56.3166667,22.8166667
alsiai,,61,56.3225,23.4519444
alsininkai,,56,54.65,24.3166667
alsiu,,40,56.3166667,22.8166667
alsyay,,40,56.3166667,22.8166667
al'syay,,61,56.3225,23.4519444
al't kartsevishken,,62,55.1977778,21.6636111
al'tkhof,,58,55.7,21.1666667
altoniskiai,,57,54.95,23.6
al't sheken,,62,55.2141667,22.0680556
al'tvayde,,62,55.2686111,21.7963889
alukenai,,60,55.5333333,24.7333333
alukenu,,60,55.5333333,24.7333333
alunciai,,60,55.5166667,24.55
aluncio,,60,55.5166667,24.55
alunta,,64,55.35,25.3
aluntos,,64,55.35,25.3
aluona,,65,54.5666667,24.9
aluona i,,65,54.5666667,24.9
aluotos,,60,55.7166667,25.2666667
al'vil'tsy,,64,55.3,25.35
alvitas,,59,54.63,22.9102778
alvito,,59,54.63,22.9102778
alyaksandrova,,61,56.36,23.2188889
al'yashishkyay,,62,55.3833333,22.2166667
alytaus,,56,54.4,24.05
alytus,70750,56,54.4,24.05
amaliai,,61,55.95,23.1
amalija,,61,55.85,23.7666667
amaliu,,61,55.95,23.1
amaliya,,61,55.85,23.7666667
amalviskiai,,59,54.5166667,23.6
amalyai,,61,55.95,23.1
ambrasai,,59,54.75,23.2
ambraziskiai,,60,55.15,25.2833333
ambruciai,,60,55.1666667,23.1166667
ambrutse,,60,55.1666667,23.1166667
anaiciai,,58,55.8666667,21.0833333
anapolis,,61,56.1944444,23.5883333
anastasevskaya,,65,54.7666667,24.8
anava,,60,55.3166667,24.95
anavilis,,65,54.95,25.2166667
anciskiai,,60,55.9666667,24.65
anciskis,,60,55.4333333,24.3
anciskiu,,60,55.9666667,24.65
andreshyunay,,61,56.1513889,23.595
andresiunai,,61,56.1513889,23.595
andretishkyay,,61,55.9333333,22.7
andretiskiai,,61,55.9333333,22.7
andretiskiu,,61,55.9333333,22.7
andrietiskiai,,61,55.9333333,22.7
andrionishkis,,60,55.6,25.05
andrioniskio,,60,55.6,25.05
andrioniskis,,60,55.6,25.05
andriunai,,61,55.6166667,23.6666667
andriusiunai,,60,55.1166667,23.0833333
andriuskoniai,,57,55.0166667,24.1
