names,population,state_code,lat,lon
abweiler,75,03,49.5336111,6.0808333
acierie,,03,49.5333333,5.9
ahn,,02,49.6244444,6.4216667
airsain,,03,49.5311111,5.8472222
allerborn,59,01,50.0366667,5.8708333
alscheid,50,01,49.9711111,6.0097222
alteschmeltz,,03,49.7,5.9833333
altlinster,115,02,49.7155556,6.2166667
altrier,190,02,49.7441667,6.3283333
alttrier,,02,49.7441667,6.3283333
altwies,617,02,49.5105556,6.2572222
altzingen,,03,49.565,6.1636111
alzingen,1376,03,49.565,6.1636111
amberg,,01,49.7666667,5.8666667
angelsberg,292,03,49.7563889,6.1608333
ansembourg,42,03,49.7025,6.0433333
arsdorf,241,01,49.8613889,5.8438889
aspelt,1013,03,49.5227778,6.2247222
assel,174,02,49.5527778,6.3158333
asselborn,413,01,50.0972222,5.9730556
asselborn-les-kehmen,,01,49.9,6.05
auf der hohe,,01,50.0127778,6.0913889
bachermuhle,,03,49.5166667,5.85
banzelt,,02,49.6683333,6.3302778
baraques de troine,,01,50.0461111,5.8780556
basbellain,164,01,50.1458333,5.9838889
bascharage,4645,03,49.5675,5.9102778
bascharage moulin,,01,49.8833333,5.9
baschleiden,185,01,49.8983333,5.8202778
bas-colpach,,01,49.7583333,5.8269444
bas-merzig,,01,49.8333333,6.0166667
bastendorf,377,01,49.8919444,6.1652778
bauschleiden,,01,49.8877778,5.8163889
bavigne,132,01,49.9219444,5.8494444
beaufort,1418,02,49.8358333,6.2916667
bech,380,02,49.7461111,6.3636111
bech-kleinmacher,593,02,49.5308333,6.355
beckerich,672,01,49.7305556,5.8872222
befort,,02,49.8358333,6.2916667
beggen,,03,49.6491667,6.1283333
beidweiler,227,02,49.7233333,6.3025
beil,,03,49.7591667,6.2397222
beiler,87,01,50.1655556,6.0888889
beles,,03,49.5127778,5.9294444
belval,,03,49.5102778,5.9436111
belvaux,5313,03,49.5127778,5.9294444
berbourg,664,02,49.7272222,6.3938889
bercham,,03,49.5402778,6.1291667
berchem,863,03,49.5402778,6.1291667
berdorf,900,02,49.8136111,6.3502778
bereldange,3627,03,49.6569444,6.1275
berens,,02,49.8436111,6.2680556
berg,,01,49.7666667,5.8666667
berg,93,02,49.6777778,6.3594444
berg,,03,49.8136111,6.0891667
bergem,1535,03,49.525,6.0422222
berg-sur-syre,,02,49.6777778,6.3594444
beringen,956,03,49.7583333,6.1169444
berle,110,01,49.9522222,5.8561111
berschbach,,03,49.7438889,6.115
bertrange,5615,03,49.6111111,6.05
bettange,,03,49.5758333,5.9838889
bettange-sur-mess,992,03,49.5758333,5.9838889
bettange-sur-messe,,03,49.5758333,5.9838889
bettborn,231,01,49.7952778,5.9411111
bettel,223,01,49.9172222,6.2277778
bettembourg,7437,03,49.5186111,6.1027778
bettendorf,1072,01,49.8766667,6.2180556
betzdorf,248,02,49.6833333,6.35
beyren,312,02,49.6263889,6.3369444
bigelbach,79,01,49.8602778,6.2880556
bigonville,475,01,49.8516667,5.7933333
bihl,,03,49.7591667,6.2397222
bilsdorf,121,01,49.8575,5.825
binsfeld,235,01,50.1188889,6.0386111
birel,,03,49.6166667,6.2166667
birelergrund,,03,49.6166667,6.2166667
birelerhof,,03,49.6166667,6.2166667
birtrange,,01,49.8269444,6.0913889
bischenrech,,01,50.0833333,6.0
bissen,2547,03,49.7875,6.0694444
bivange,617,03,49.5444444,6.1377778
bivels,80,01,49.9602778,6.1922222
bivingen,,03,49.5444444,6.1377778
biwels,,01,49.9602778,6.1922222
biwer,653,02,49.7027778,6.3747222
biwisch,103,01,50.1180556,5.9791667
blaschette,465,03,49.6972222,6.1705556
blumenthal,,02,49.7383333,6.2672222
bockholtz,47,01,50.0122222,6.0527778
bockholz,,01,50.0122222,6.0527778
bockholz-les-hosingen,,01,50.0122222,6.0527778
bockholz-sur-sure,,01,49.9233333,5.9975
boegen,,01,50.0463889,5.9341667
boevange,125,01,50.0463889,5.9341667
boevange-clervaux,,01,50.0463889,5.9341667
boevange-les-clervaux,,01,50.0463889,5.9341667
boevange-sur-attert,,03,49.7752778,6.0155556
boeven,,01,49.9219444,5.8494444
boewen,,01,49.9219444,5.8494444
boewingen,,03,49.7752778,6.0155556
bofferdange,802,03,49.6830556,6.1416667
bohey,,01,49.9741667,5.8438889
bohoey,,01,49.9741667,5.8438889
bombatsch,,01,50.0583333,6.0663889
bommel,,01,49.9036111,5.8880556
bondorf,,01,49.8516667,5.7933333
bonnal,,01,49.9036111,5.8880556
bonnevoie,,03,49.5944444,6.15
born,336,02,49.7541667,6.5138889
boudeler,,02,49.7177778,6.355
boudler,69,02,49.7177778,6.355
boulaide,396,01,49.8877778,5.8163889
bour,67,03,49.7013889,6.0188889
bourgfried,,01,49.9008333,5.8586111
bourglinster,680,02,49.6977778,6.2197222
bourscheid,275,01,49.91,6.0672222
boursdorf,22,02,49.7580556,6.4786111
bous,560,02,49.5538889,6.3291667
boussert,,03,49.7333333,6.1333333
bovange,,03,49.7752778,6.0155556
bowen an der attert,,03,49.7752778,6.0155556
boxhorn,259,01,50.0838889,5.9925
brachtenbach,159,01,50.0213889,5.9113889
brameschhaff,,03,49.6566667,6.0497222
brameschhof,,03,49.6566667,6.0497222
brandenbourg,193,01,49.9125,6.14
brattert,,01,49.8555556,5.9036111
breidfeld,49,01,50.1241667,6.0636111
breidweiler,99,02,49.7708333,6.3041667
breinert,50,02,49.7066667,6.3405556
breitweiler,,02,49.7708333,6.3041667
bridel,2404,03,49.6583333,6.0822222
brill,,01,49.9816667,5.9061111
broderbour,,01,49.8530556,6.1872222
brouch,52,02,49.7236111,6.3425
brouch,676,03,49.7361111,6.0230556
brouch-les-biwer,,02,49.7236111,6.3425
bruch,,02,49.7236111,6.3425
brucherhof,,01,49.8594444,5.8511111
bruhl,,01,49.9816667,5.9061111
buchholz,,02,49.6583333,6.3647222
budersberg,,03,49.4927778,6.0694444
buderscheid,126,01,49.9338889,5.9419444
burange,,03,49.4911111,6.0925
burden,450,01,49.8830556,6.0988889
burgfried,,01,49.9008333,5.8586111
burmerange,191,02,49.4852778,6.3230556
burscheid,,01,49.91,6.0672222
buschdorf,387,03,49.7508333,6.0083333
buschrodt,118,01,49.8272222,5.9358333
busschdorf,,02,49.7580556,6.4786111
buurgfried,,01,49.9008333,5.8586111
calmus,76,01,49.7255556,5.9644444
