names,population,state_code,lat,lon
abaine,,20,56.8333333,26.8666667
abali,,15,57.0833333,21.6833333
abaruni,,07,55.9833333,26.5666667
abaruny,,07,55.9833333,26.5666667
abava,,29,56.95,22.9666667
abava,,33,57.1,21.8833333
abava bijusas pusmuizas centrs,,33,57.1,21.8833333
abeles,,08,56.4797222,23.2611111
abeli,,08,56.4797222,23.2611111
abeli,,15,57.0833333,21.6833333
abelites,,17,56.7666667,21.4666667
abelkrogs,,15,57.0833333,21.6833333
abelnieki,,33,57.3,21.6
abgunste,,08,56.4763889,23.4869444
aboldari,,03,56.9333333,27.0333333
aboli,,27,56.8,22.3833333
abolini,,04,56.5308333,23.6061111
abolkalni,,27,56.6666667,26.25
aboltini,,18,57.6013889,24.4952778
abragciems,,29,57.2027778,23.2036111
abragtsiems,,29,57.2027778,23.2036111
abragtsiyems,,29,57.2027778,23.2036111
abricki,,19,56.5,28.0
abrina,,03,56.9666667,27.6166667
abrini,,03,56.9666667,27.6166667
abritski,,19,56.5,28.0
abrupe,,05,57.1333333,26.0
abrup'i,,05,57.1333333,26.0
abrupji,,05,57.1333333,26.0
absera,,10,56.2,25.6166667
abserdi,,10,56.2,25.6166667
abserdy,,10,56.2,25.6166667
abtupe,,05,57.1333333,26.0
abulas,,27,56.8,22.3833333
adamamuiza,,02,57.4333333,26.6666667
adami,,02,57.4333333,26.6666667
adamova,,19,56.3,28.1666667
adamova,,24,56.5666667,27.3666667
adams,,02,57.4333333,26.6666667
adazhi-02,,26,57.0938889,24.3655556
adazhi,,26,57.0758333,24.3213889
adazi 2,,26,57.0938889,24.3655556
adazi,,26,57.0758333,24.3213889
adazi divi,,26,57.0938889,24.3655556
aderkasi,,21,56.85,25.3333333
aderkasu muiza,,21,56.85,25.3333333
adganiski,,14,55.9166667,27.4166667
adgoniski,,14,55.9166667,27.4166667
adminani,,10,56.5166667,25.8
aduliena,,09,57.0833333,26.5166667
adumnieki,,20,56.85,26.0333333
adzas,,15,56.85,21.55
adze,,15,56.85,21.55
adze muizas centrs,,15,56.85,21.55
adzes,,15,56.85,21.55
adzhuny,,04,56.3208333,24.0625
adzhyuny,,04,56.3208333,24.0625
adzi,,15,56.85,21.55
adzi,,33,57.5333333,22.15
adziuni,,04,56.3208333,24.0625
adzjuni,,04,56.3208333,24.0625
adzuni,,04,56.3208333,24.0625
adzu viensetas,,15,56.85,21.55
agenkalne inlet,,25,56.9397222,24.0738889
agenskalna,,25,56.9397222,24.0738889
agenskalns,,25,56.9397222,24.0738889
aglona,,22,56.1333333,27.0166667
aglonas muiza,,22,56.1333333,27.0166667
agluna,,22,56.1333333,27.0166667
agureckaja,,14,56.15,27.15
aijazi,,18,57.3816667,24.7438889
ainazi,1278,18,57.8636111,24.3577778
aishpury,,14,55.9666667,27.1666667
aiskari,,01,56.7333333,26.7
aiskorkli,,01,56.7333333,26.7
aispuri,,14,55.9666667,27.1666667
aispute,,17,56.7166667,21.6
aistere,,17,56.6333333,21.3
aistereskrogs,,17,56.6333333,21.3
aiviekstes,,20,56.7666667,26.4
aizape,,29,56.9166667,22.6
aizdzire,,29,57.0,22.7333333
aizdzires muiza,,29,57.0,22.7333333
aizkakles,,01,56.7333333,26.7
aizkalne,,22,56.2,26.7833333
aizkalni,,22,56.2,26.7833333
aizkarkles,,01,56.7333333,26.7
aizklani,,28,57.6666667,22.5666667
aizkraukle,8840,01,56.6,25.1833333
aizkraukles muiza,,01,56.6,25.1833333
aizkuja,,20,56.9333333,26.4
aizkujas muiza,,20,56.9333333,26.4
aizpure,,29,56.9469444,23.2925
aizpures pusmuiza,,29,56.9469444,23.2925
aizpuri,,14,55.9666667,27.1666667
aizpuri,,29,56.9469444,23.2925
