names,population,state_code,lat,lon
`aawinah,,62,32.0533333,12.5697222
ab'ar as sababil,,61,32.8513889,13.4419444
abu ar rish,,51,32.7288889,12.5016667
abu ghaylan,,03,32.2666667,13.0166667
abu `isa,,53,32.7527778,12.6302778
abu kammash,,51,33.0747222,11.7355556
abu njaym,,58,30.5833333,15.4
abu nujaym,,58,30.5833333,15.4
abuqrin,,58,31.45,15.25
abu qurayn,,58,31.45,15.25
abu salim,,61,32.85,13.1666667
abu zayyan,,57,32.0997222,12.9786111
abu ziyyan,,57,32.0997222,12.9786111
abyar as sababil,,61,32.8513889,13.4419444
acroma,,42,32.0333333,23.6833333
ad dafiniyah,,58,32.4166667,14.8
ad dafniyah,,58,32.4166667,14.8
ad dawun,,41,32.4333333,13.4666667
ad dayasir,,57,32.1455556,12.9872222
ad dirsiyah,,09,32.7166667,20.95
ad duwaysah,,13,27.5166667,13.95
adiri,,13,27.5,13.2666667
adjadabia,,47,30.7591667,20.2230556
adri,,13,27.5,13.2666667
aea,,61,32.8925,13.18
agar,,13,27.5333333,14.15
agedabia,,47,30.7591667,20.2230556
agelat,,51,32.7569444,12.3761111
aggar,,30,25.9633333,13.5313889
agheila,,47,30.2666667,19.2
ahl al wadi,,62,32.005,12.4713889
ahqaf al jabbarat,,49,32.6872222,21.9102778
ahqaf al jabhiyah,,49,32.7241667,21.7213889
ahqaf al jabhiyh,,49,32.7241667,21.7213889
ahqaf ar ruzat,,36,32.8316667,21.9044444
`a'ilat lamwis,,43,32.1333333,20.2333333
ain ghezaia,,56,31.9041667,10.8141667
ain mara,,11,32.75,22.3833333
ain zara,,61,32.8133333,13.2697222
ajdabiya,134357,47,30.7591667,20.2230556
ajdabiyah,,47,30.7591667,20.2230556
`akramah,,42,32.0333333,23.6833333
al a`aqib,,57,32.1286111,12.9452778
alabia,,02,32.1833333,20.6
al abraq,,11,32.7858333,21.995
al abyad,,52,26.75,14.0166667
al abyar,,02,32.1833333,20.6
al `adam,,42,31.8636111,23.9252778
al `adm,,42,31.8636111,23.9252778
al `ajaylat,,51,32.7569444,12.3761111
al `akarit,,50,32.6011111,13.9133333
al `alawinah,,62,32.0533333,12.5697222
al `amamirah,,50,32.4547222,14.1069444
al `aquriyah,,43,32.5333333,20.5666667
al asabi`ah,,57,32.0333333,12.8666667
al ashhab,,42,31.8833333,24.65
al `assah,,06,32.8333333,11.6333333
al aswaq,,58,32.35,15.1333333
al athrun,,11,32.8666667,22.2833333
al-atrun,,11,32.8666667,22.2833333
al `awaynat,,08,21.5666667,24.8333333
al awaynat,,30,25.7891667,10.5508333
al awiliah al sharqiyah,,09,32.5666667,21.0333333
al `aziziyah,,03,32.5319444,13.0175
alba,,11,32.8833333,22.2
al badr,,30,26.1333333,14.8833333
al-baida,,04,32.7663889,21.7416667
al bakhabikhah,,62,32.0669444,12.5461111
al bakki,,30,24.8516667,14.52
al barahimah,,24,31.9333333,12.1833333
al bardi,,42,31.7666667,25.0833333
al bardiyah,,42,31.7666667,25.1
al barkat,,30,24.8722222,10.1794444
al bayatinah,,62,32.0341667,12.5263889
al bayda',,04,32.7663889,21.7416667
al baydan,,30,25.8380556,14.2130556
al bayyadah,,48,32.5636111,21.2488889
al birkah,,30,24.8722222,10.1794444
al birkah,,54,32.1,20.0833333
al biyatinah,,62,32.0341667,12.5263889
al bu'ayrat,,58,31.4,15.7333333
al budayr,,30,26.1333333,14.8833333
al buhur,,62,32.0544444,12.5619444
al burayqah,,47,30.4166667,19.5786111
al burdi,,42,31.7666667,25.0833333
al dayasir,,57,32.1455556,12.9872222
al fa'idiyah,,49,32.6905556,21.9075
al fajir,,11,32.8833333,22.2
al fatih,,61,32.8322222,13.2533333
al fawadil,,62,32.0088889,12.3044444
al fawatir,,45,32.45,14.5666667
al fawatir,,50,32.5686111,13.9186111
al fayasilah,,56,31.8569444,11.7647222
al fayidiyah,,49,32.6905556,21.9075
al-foqaha',,05,27.8333333,16.35
al fujayj,,52,26.55,13.2333333
al fuqaha',,05,27.8333333,16.35
al fuqaha',,18,31.7833333,14.05
al fuqar,,52,26.5666667,13.1666667
al furnaj,,61,32.8322222,13.2533333
al fuwayhat,,54,32.0833333,20.1
al ghaddarah,,54,31.8077778,20.0583333
al ghazzabiyah,,31,32.0166667,10.8333333
al ghiran,,58,32.35,15.0333333
al ghuraybat,,52,26.6,13.5666667
al ghurayfah,,52,26.55,13.0833333
al ghut,,58,32.3833333,15.1166667
al gubbah,,11,32.7666667,22.25
al habarah,,58,32.3666667,15.15
al hadari`ah,,58,32.0166667,15.1833333
al hajarah,,57,32.1202778,12.9677778
al halamah,,59,31.7558333,14.0180556
al hamidiyah,,61,32.8844444,13.3908333
al hamra',,52,26.7166667,13.9
al haniyah,,49,32.8411111,21.5208333
al hanshir,,61,32.8994444,13.2375
al harabah,,56,31.7738889,11.5436111
al harah,,53,32.7630556,12.715
al haraibah,,56,31.7738889,11.5436111
al harayibah,,56,31.7738889,11.5436111
al hashiyah al hamra',,53,32.7305556,12.5647222
al hatiyah,,52,26.55,12.95
al hawamid,,56,31.9752778,11.1622222
al hawwari,,08,24.3166667,23.1666667
al hayshah,,58,31.65,15.2833333
al himadah,,09,32.4166667,20.6166667
al hinshir,,61,32.8994444,13.2375
al hiri,,25,29.05,21.5166667
al hishah,,58,31.65,15.2833333
al hurshah,,53,32.7647222,12.6738889
al huwayjat,,45,32.3666667,14.5833333
al `izziyat,,55,32.25,20.0666667
al ja`afirah,,57,32.15,13.2833333
al jadid,,34,27.05,14.4
al jaghbub,,42,29.75,24.5166667
al jamil,,51,32.8516667,12.0541667
al jawahiliyah,,57,32.2080556,13.0375
al jawahiliyyah,,57,32.2080556,13.0375
al jawf,,08,24.2,23.3
al jawsh,,31,32.0,11.6666667
al jawsh al kabir,,56,31.9955556,11.6569444
al jawsh as saghir,,56,31.9941667,11.6694444
al-jof,,08,24.2,23.3
al juhaysh,,57,32.1375,12.6541667
al jum`ah,,45,32.4666667,14.4666667
al jumayl,,51,32.8516667,12.0541667
al kararim,,58,32.4,15.0666667
al karmah,,54,31.9747222,19.9836111
al kashalifab,,57,32.1197222,13.0258333
al kashalifah,,57,32.1197222,13.0258333
al katrun,,30,24.9513889,14.6486111
al khadra',,41,32.45,13.7666667
al khala'ifah,,62,32.01,12.4783333
al khara'iq,,52,26.55,13.1833333
al khazur,,62,32.0933333,12.6263889
al khirbah,,56,31.8419444,11.1497222
al khirbah,,62,31.8877778,11.8986111
al khums,,50,32.65,14.2666667
al kufrah,,08,24.1666667,23.25
al kulaybah,,57,32.0475,13.0038889
al kumayshat,,57,32.1427778,13.1063889
al kurrathiyah,,50,32.6177778,13.9019444
al kurumah,,62,31.8636111,11.8883333
al kussabat,,50,32.5833333,14.0411111
al-kuwaifia,,34,32.2,20.1833333
al kuwayfiyah,,34,32.2,20.1833333
al la`aqib,,62,32.0677778,12.6763889
al labbah,,25,29.0333333,21.5666667
al labrag,,11,32.7858333,21.995
al labraq,,11,32.7858333,21.995
al lamamish,,57,32.1769444,13.0777778
al lazraq,,11,32.7858333,21.995
al mabni,,43,32.4333333,20.45
al magasibah al bahriyah,,58,32.3666667,15.1
al magharibah,,57,32.0869444,12.9730556
al maghasil,,50,32.5775,14.1736111
