names,population,state_code,lat,lon
aabasen,,08,35.05,-4.5
aabasene,,08,35.05,-4.5
aaboud,,02,35.1333333,-4.45
aachiran,,02,35.0666667,-4.3666667
aachour,,22,31.3,-7.1833333
aagoubt,,22,30.5666667,-6.1166667
aaguil,,08,35.05,-4.9333333
aailiyine,,40,35.7808333,-5.4172222
aakil,,40,35.3166667,-5.1833333
aalalech,,08,34.9441667,-5.0344444
aalalech,,40,35.5283333,-5.5513889
aalane,,19,31.5144444,-7.3730556
aalougoum,,32,29.8,-9.25
aalouk,,32,29.7244444,-9.8455556
aamair el buied,,41,35.1677778,-5.9294444
aamayer,,02,35.1,-4.2333333
aamire,,21,35.1,-3.05
aancud,,08,34.9333333,-4.9833333
aaouifate,,38,34.6166667,-5.5666667
aaouint--maazouza,,19,31.5,-8.2
aaousiene,,08,34.8166667,-5.1333333
aarabene,,02,34.8833333,-4.4833333
aararsate,,38,34.6666667,-5.6
aarbane,,17,32.9775,-4.8808333
aardene,,39,30.8333333,-7.7666667
aarhob,,08,35.2666667,-4.85
aarich,,19,31.45,-7.7833333
aarkob,,08,35.2666667,-4.85
aarous,,30,34.3666667,-3.85
aasel,,21,34.9833333,-3.2166667
aassaouss,,08,34.9,-5.7166667
aassaouss,,38,34.85,-5.6333333
aassara,,38,34.8,-5.4
aassa tagmout,,39,30.0058333,-8.2825
aassera,,38,34.8,-5.4
aatamanine,,08,35.1875,-5.3725
aauamara,,41,35.0702778,-6.0894444
aavasra,,27,35.3916667,-5.9866667
aaxanen,,21,35.2186111,-3.1658333
aazanen,,21,35.2613889,-3.1030556
aazib el caid zaiadi,,10,31.7,-7.9833333
abaachen,,19,31.1833333,-7.7833333
abaajajane,,21,35.2333333,-3.05
ababda,,17,34.35,-6.15
abachkou,,03,31.5897222,-6.6313889
abaddou,,19,31.4663889,-7.2852778
abadla,,15,34.4333333,-6.2166667
abadla,,25,32.4333333,-8.85
abado,,19,31.4663889,-7.2852778
abadou,,19,31.4663889,-7.2852778
abadou,,22,31.2666667,-7.3166667
abadou arg,,22,31.2666667,-7.3166667
abahiatene,,02,35.0497222,-4.295
abaidlat,,25,32.2833333,-8.9333333
abainou,,03,31.9333333,-6.8
abaja,,02,34.95,-4.45
abane,,39,30.8333333,-7.7666667
abarbar,,19,31.3166667,-9.05
abatoutou,,01,30.1,-9.1333333
abattekh,,36,27.8333333,-11.4666667
abaynou,,03,31.9333333,-6.8
a'baynou,,33,29.09,-10.0261111
abazzazine,,37,34.6666667,-4.6666667
abbad,,25,32.1833333,-8.5
abbajn,,12,30.9308333,-9.5875
abbari,,11,32.55,-4.3666667
abbart,,11,32.55,-4.3666667
abbas bel kassem,,09,33.0633333,-8.6125
abbou,,02,35.1333333,-4.45
abbou,,09,32.7666667,-8.15
abboub,,09,32.65,-8.65
abbouda,,33,28.9880556,-10.2166667
abboudech,,40,35.5066667,-5.5394444
abbu,,02,35.1333333,-4.45
abda,,19,31.55,-8.1166667
abdallah ou aiss,,01,29.9,-9.2333333
'abd al qader,,12,31.7625,-9.0441667
abdejlil,,37,34.1866667,-4.7805556
abdelcader soodia,,21,35.1333333,-2.4166667
abdel hachs,,21,35.2333333,-3.6666667
abdelhadi,,06,33.2333333,-4.6333333
abd el haj,,21,35.2333333,-3.6666667
abd el harbili,,12,31.6,-9.6666667
abd el kader,,12,31.7625,-9.0441667
abd el kader,,25,32.2166667,-9.0666667
abd el kader sadia,,21,35.1333333,-2.4166667
abd el kamel,,09,32.65,-8.85
abd el kemel,,09,32.65,-8.85
abdellah ben zahra,,25,32.2,-8.4666667
abd el liouech,,40,35.6127778,-5.5408333
abderahmane,,01,29.9166667,-9.2666667
abd er rahamane,,25,31.9333333,-8.5833333
abderrahmane,,10,31.8666667,-7.4333333
abd er rahmane el khahfa,,15,34.7166667,-5.9833333
abdi n'ilemchane,,22,30.7833333,-5.7166667
abeine,,33,29.09,-10.0261111
abeino,,33,29.09,-10.0261111
abeinou,,33,29.09,-10.0261111
abellouhou,,32,29.7666667,-9.4666667
abelouhou,,32,29.7666667,-9.4666667
aberach,,22,31.2588889,-6.6836111
aberber,,19,31.3166667,-9.05
aberrak,,40,35.4158333,-5.6705556
aberranene,,40,35.4166667,-5.3433333
abial,,41,35.4166667,-5.8666667
abiat,,30,34.0166667,-3.8166667
abiat,,41,35.4166667,-5.8666667
abiate,,30,34.0166667,-3.8166667
abibat,,11,31.4541667,-4.2377778
abinane,,38,34.5,-4.5166667
abjiouene,,40,35.2930556,-5.2733333
abkourene,,02,34.85,-4.7
ablik,,40,35.3313889,-5.11
abouda,,33,28.9880556,-10.2166667
abouda mouifes,,33,28.9880556,-10.2166667
aboudes,,40,35.5066667,-5.5394444
abouiat,,37,34.4636111,-5.3211111
abouiate,,37,34.4636111,-5.3211111
aboukhir,,32,29.5666667,-9.1166667
aboulkhire,,32,29.5666667,-9.1166667
abou salah,,02,35.0166667,-4.1
aboussars,,22,30.7,-6.35
aboussas,,22,30.7,-6.35
abouyat,,37,34.4636111,-5.3211111
abouziane,,39,30.8,-8.5166667
abrach,,22,31.2588889,-6.6836111
abradine,,21,35.1,-3.0666667
abranane,,02,35.0380556,-4.3802778
abrich,,27,35.5558333,-5.9919444
abrouch,,08,35.0,-5.1666667
abrouj,,08,34.9944444,-5.1636111
abruch,,08,35.0,-5.1666667
ac ckhirat,,24,33.8536111,-7.0355556
acdif,,22,30.4113889,-7.4327778
acersif,,01,29.9666667,-9.45
acforcid,,03,31.7,-6.8
achaari,,30,33.9833333,-4.0833333
achachka,,18,32.9166667,-6.5333333
achaich,,09,32.5333333,-8.7
achaouia,,11,31.95,-4.8666667
achaouiane,,02,35.0333333,-4.4166667
acharaa,,12,30.8166667,-9.6333333
achbalou,,03,32.1,-7.0
achbaro,,11,32.1166667,-4.3666667
achbaro,,39,30.7666667,-8.5333333
achbaro n' ifeuzaren,,39,30.7666667,-8.5333333
achbaro n' ifouzaren,,39,30.7666667,-8.5333333
achbaro n' ifouzarene,,39,30.7666667,-8.5333333
achbarou,,11,31.15,-5.1
achbarou,,19,31.4166667,-8.0333333
achdad,,22,31.45,-5.45
achdir,,21,35.0833333,-3.65
acheddal,,40,35.0333333,-4.85
achekrade,,40,35.3741667,-5.35
acherodene,,08,34.9,-4.8333333
acherraa,,12,30.8166667,-9.6333333
achich n ait sahia,,22,30.8963889,-5.3622222
achich n'ait yahia,,22,30.8963889,-5.3622222
achich n'ait yahya ou moussa,,22,30.8963889,-5.3622222
achich n'ait yazza,,11,30.8958333,-5.2913889
achifane,,08,35.1130556,-4.9783333
achmarine,,22,31.5361111,-5.5597222
achmas,,22,30.7475,-6.0877778
achmat et tahtani,,37,34.3166667,-5.45
achorot mensor,,02,34.8166667,-4.6333333
achouaker,,12,31.5333333,-9.35
achouifat,,12,31.8333333,-9.2
achouirou,,19,31.5,-8.5333333
achouria,,11,31.5086111,-4.4222222
achracha,,02,35.0,-4.5
achtaounouaghene,,08,35.0972222,-5.3783333
actaoun,,39,30.4666667,-7.8833333
adad,,39,30.0666667,-8.7
adade,,39,30.0666667,-8.7
adafa,,03,31.7333333,-6.8333333
adaghas,,19,31.2166667,-9.05
adaia,,39,30.75,-8.65
adai,,33,29.1333333,-9.3
adala,,37,34.4166667,-4.5666667
adane,,32,29.6,-9.4
adar,,08,35.0833333,-4.75
adar,,19,31.0166667,-9.1666667
adar,,32,29.6,-9.4
adar,,39,30.145,-8.3694444
adardour,,19,31.0666667,-8.7333333
adar n' oualaene,,39,30.2833333,-8.4666667
adar n' oualen,,39,30.2833333,-8.4666667
adar ou-amane,,39,30.25,-8.85
adar ou amane,,39,30.2666667,-8.8666667
adarras,,19,31.2166667,-9.05
adarza,,19,31.3127778,-7.5677778
adassil,,19,31.1166667,-8.5
aday,,33,29.1333333,-9.3
adayougha,,40,35.2469444,-5.395
adayourha,,40,35.2469444,-5.395
adchair,,37,34.7166667,-4.75
addada,,25,32.4991667,-9.2255556
ad dahr,,12,30.9072222,-9.7272222
addala,,37,34.4166667,-4.5666667
addamaghane,,03,31.7222222,-6.7547222
addamghen,,03,31.7222222,-6.7547222
addar,,01,30.5997222,-9.7058333
addar,,08,35.0833333,-4.75
addar,,19,31.1666667,-8.85
addar,,39,30.145,-8.3694444
addar,,40,35.3333333,-5.3333333
ad dar al bayda',,07,33.5930556,-7.6163889
addaye n'ait herbil,,33,29.1333333,-9.3
addaza,,39,30.75,-8.65
ad dchira,,41,35.3055556,-6.0866667
ad dechiwa,,27,35.4313889,-6.0180556
ad dechtwa,,27,35.4313889,-6.0180556
ad demna,,37,34.5333333,-4.6333333
adder,,19,31.1666667,-8.85
ad dhar,,12,30.8772222,-9.5916667
addi baba,,11,31.45,-4.9
addig,,22,31.2,-7.0666667
ad doummisat,,19,31.4483333,-8.9641667
ad doummissat,,19,31.4483333,-8.9641667
addouz,,01,30.5866667,-9.6761111
addouz,,19,31.1166667,-8.6333333
adekhs,,32,29.7333333,-9.15
adekhsal,,17,32.9,-5.6113889
adeldal,,08,35.15,-5.0833333
ademame,,30,34.0333333,-4.15
adendoun,,03,32.05,-6.0833333
adenndoun,,03,32.05,-6.0833333
aderar,,12,30.9,-9.35
aderass,,17,32.7333333,-5.4833333
aderdour,,19,31.0666667,-8.7333333
aderdour,,39,30.4333333,-7.8166667
aderfiee,,19,31.1666667,-9.2666667
aderfis,,19,31.1666667,-9.2666667
aderras,,19,31.2166667,-9.05
