names,population,state_code,lat,lon
abaclia,,52,46.3619444,28.9419444
abakliya,,52,46.3619444,28.9419444
abaklydzhaba,,52,46.3619444,28.9419444
achendorf,,47,46.1119444,28.3288889
acui,,51,46.1866667,28.4247222
(( acui de jos )),,51,46.1780556,28.4336111
acui de mijloc,,51,46.1866667,28.4247222
(( acui de sus )),,51,46.1963889,28.4175
adjiler,,55,46.4927778,29.6208333
afanasievca,,49,47.3230556,29.2536111
afanas'yevka,,49,47.3230556,29.2536111
(( afumati )),,52,46.9844444,28.2105556
afumats',,52,46.9844444,28.2105556
agronomovca,,56,47.3486111,27.8963889
agronomovka,,56,47.3486111,27.8963889
agronomul,,56,47.3486111,27.8963889
akendorf,,47,46.1119444,28.3288889
akuy,,51,46.1866667,28.4247222
akuy nizhniy,,51,46.1780556,28.4336111
akuy sredniy,,51,46.1866667,28.4247222
alauat,,55,45.8661111,28.5858333
alaut,,55,45.8661111,28.5858333
alava,,55,46.5091667,29.5677778
albina,,52,46.7044444,28.6419444
albinets,,46,47.5563889,27.6375
albinetul nou,,46,47.5805556,27.6211111
albinetul vechi,,46,47.5563889,27.6375
albinita,,48,46.8905556,29.1738889
albinitsa,,48,46.8905556,29.1738889
albota,,47,45.9733333,28.4741667
albota de jos,,47,45.9458333,28.4844444
albota de sus,,47,45.9733333,28.4741667
alcedar,,48,47.8680556,28.8747222
alchedar,,48,47.8680556,28.8747222
alchedary,,48,47.8680556,28.8747222
aleksandren',,54,47.9552778,28.1288889
aleksandreni noua,,48,46.7219444,29.0230556
aleksandreni-tyrg,,46,47.8055556,28.0758333
aleksandren' nouy,,50,48.1472222,27.2583333
aleksandreny,,46,47.6,27.8
aleksandreny,,50,48.1472222,27.2583333
aleksandreny,,54,47.9552778,28.1288889
aleksandreshti,,47,46.0502778,28.4125
aleksandreshty,,46,47.8944444,27.4311111
aleksandreshty,,47,46.0502778,28.4125
aleksandriya,,46,47.6872222,28.2936111
aleksandrofel'd,,47,45.8066667,28.4277778
aleksandrovka,,47,46.0502778,28.4125
aleksandrovka,,48,46.7219444,29.0230556
aleksandrovka,,51,46.23,28.2663889
aleksandrovka,,54,47.9552778,28.1288889
aleksandrovka,,55,46.5119444,28.6605556
aleksandrovsk,,46,47.8055556,28.0758333
aleksandru chel bun,,47,45.8066667,28.4277778
aleksandru-chel-bun,,54,48.0969444,28.3405556
aleksandru chel bun,,55,46.5119444,28.6605556
aleksandru ioan kuza,,47,45.5991667,28.4494444
aleksen',,54,47.9438889,28.2858333
alekseni,,54,47.9438889,28.2858333
alekseyevka,,46,47.6872222,28.2936111
alekseyevka,,50,48.0936111,27.2608333
alekseyevka,,54,47.9438889,28.2858333
alekseyevka,,55,46.0263889,28.5675
alekseyevka,,56,47.2636111,27.9297222
aleksiyen',,46,47.6872222,28.2936111
aleksiyen',,50,48.0936111,27.2608333
aleksiyen',,56,47.2636111,27.9297222
alexanderfeld,,47,45.8066667,28.4277778
alexandra,,51,46.23,28.2663889
alexandreni,,46,47.8055556,28.0758333
alexandreni,,50,48.1472222,27.2583333
alexandrenii noi,,48,46.7219444,29.0230556
alexandreni targ,,46,47.8055556,28.0758333
alexandresti,,46,47.8944444,27.4311111
(( alexandresti )),,47,46.0502778,28.4125
alexandrovca,,48,46.7219444,29.0230556
alexandrovca,,51,46.23,28.2663889
alexandrovca,,54,47.9552778,28.1288889
alexandrovca noua,,49,47.3,29.3025
alexandru cel bun,,47,45.8066667,28.4277778
alexandru cel bun,,54,48.0969444,28.3405556
alexandru ioan cuza,,47,45.5991667,28.4494444
alexcieni,,55,46.0263889,28.5675
alexeeni,,55,46.0263889,28.5675
alexeevca,,50,48.0936111,27.2608333
alexeevca,,54,47.9438889,28.2858333
alexeevca,,55,46.0263889,28.5675
alexeevca,,56,47.2636111,27.9297222
alexeieni,,54,47.9438889,28.2858333
alexeuca,,46,47.6872222,28.2936111
aluat,,55,45.8661111,28.5858333
aluatu,,55,45.8661111,28.5858333
aluatul,,55,45.8661111,28.5858333
alunis,,46,47.8486111,27.6494444
alunish,,46,47.8486111,27.6494444
andreevca,,48,47.7630556,29.1711111
andreevca,,53,47.5388889,28.8775
andreyashevka,,49,46.8227778,29.9705556
andreyevka,,48,47.7630556,29.1711111
andreyevka,,53,47.5388889,28.8775
andriasevca noua,,49,46.8336111,29.9558333
andriasevca veche,,49,46.8227778,29.9705556
andrusha-de-zhos,,47,45.9858333,28.2211111
andrusha verkhnyaya,,47,46.0075,28.2461111
andrushu,,47,46.0075,28.2461111
andrusu de jos,,47,45.9858333,28.2211111
andrusu de sus,,47,46.0075,28.2461111
andrusul de jos,,47,45.9858333,28.2211111
andrusul de sus,,47,46.0075,28.2461111
anenii noi,,48,46.8788889,29.2247222
anenii noui,,48,46.8788889,29.2247222
aneni nouy,,48,46.8788889,29.2247222
aneny,,52,46.8891667,28.4663889
anfisovka,,54,47.9441667,27.8675
anini,,52,46.8891667,28.4663889
antineni,,46,47.6775,28.2383333
antonen',,46,47.6775,28.2383333
antonen',,54,48.0763889,27.6908333
antonesht',,55,46.4961111,29.8486111
antoneshty,,55,46.3377778,28.2172222
antonesti,,55,46.3377778,28.2172222
antoneuca,,54,48.0763889,27.6908333
antonovca,,46,47.6775,28.2383333
antonovka,,46,47.6775,28.2383333
antonovka,,54,48.0763889,27.6908333
antonovka,,55,46.3377778,28.2172222
arianeshty,,54,48.3752778,27.8430556
arionesht',,54,48.3752778,27.8430556
