names,population,state_code,lat,lon
abzi-kula,,00,42.485,19.181111
adilovici,,00,43.197222,19.579444
adrovici,,00,42.896111,19.968056
agovica,,00,42.8825,19.995
ahmedmujovici,,00,42.554722,19.797222
ahmedredic katun,,00,42.815833,20.124722
akani,,00,42.571111,19.900833
alagin do,,00,42.846944,18.542222
aleksandrov grad,,00,43.154722,19.121944
alibrahimaj,,00,42.091111,19.298333
alici,,00,43.255833,19.356389
alilovce,,00,43.130833,19.645556
alje,,00,42.687778,19.741944
aluga,,00,42.485833,18.8425
aluge,,00,42.708333,19.343889
ambula,,00,41.980278,19.3525
ametovina,,00,43.347778,19.273611
andelat,,00,42.718056,19.794167
andelate,,00,42.718056,19.794167
andrici,,00,42.48,18.496667
andricici,,00,42.274444,18.906111
andrijevica,,00,42.733889,19.791944
andrijevo,,00,42.695278,19.351944
androvici,,00,42.209722,18.955556
andzelate,,00,42.718056,19.794167
andzelati,,00,42.718056,19.794167
antelat,,00,42.718056,19.794167
antivari,,00,42.093056,19.100278
aprcovici,,00,43.153611,18.733611
arapi,,00,42.786667,18.763056
arbanasi,,00,42.365556,19.036111
arbanaski do,,00,42.420833,19.031389
arbanes,,00,42.075278,19.340278
arbnes,,00,42.075278,19.340278
arbnez,,00,42.075278,19.340278
arza,,00,42.369722,19.402778
avlija,,00,43.523333,19.157222
avtenice,,00,42.849722,18.919722
azane,,00,42.95,19.948056
azani,,00,42.95,19.948056
azanje,,00,42.95,19.948056
babacici,,00,42.934444,19.934444
babaici,,00,43.107778,19.632778
babajici,,00,43.107778,19.632778
babalonija,,00,42.293333,18.844722
babica mala,,00,42.778333,19.9375
babica polje,,00,42.959167,19.570556
babici,,00,43.279444,18.865833
babicpotok,,00,43.335833,19.314722
babina,,00,42.9025,19.898056
babin,,00,42.9025,19.898056
babino,,00,42.9025,19.898056
babino brdo,,00,43.353056,18.877778
babino polje,,00,42.606944,20.053611
babljace,,00,42.633056,19.470833
babljak,,00,42.833889,19.512222
babulja,,00,42.553889,19.163333
babunci,,00,42.401667,18.614722
bac,,00,42.886667,20.296389
bacevac,,00,42.843056,20.134444
bacevici,,00,42.796667,18.5675
bacevine,,00,42.857222,18.998333
bacevnik,,00,43.164722,19.277222
backovine,,00,42.432778,19.113611
bacovici,,00,42.796667,18.5675
bagocina,,00,42.936389,20.146111
bailovici,,00,43.264444,19.025278
baj do,,00,42.658611,19.444444
bajice,,00,42.394167,18.893056
bajov do,,00,42.738889,18.72
bajovina,,00,43.491389,19.143056
bajovine,,00,43.491389,19.143056
bajov kamen,,00,42.959167,18.696389
bajovo polje,,00,43.012778,18.878333
bajraktari,,00,42.044722,19.195278
bakije,,00,43.514722,19.211944
bakoci,,00,42.476389,18.606111
bakovici,,00,42.848056,19.516944
bakrenjace,,00,43.372778,19.340556
