names,population,state_code,lat,lon
abatoafo,,05,-18.05,47.7833333
abatobe,,05,-18.1166667,47.7333333
abatoharanana,,05,-18.1833333,47.3833333
abbreviation ala,,05,-19.1833333,47.2833333
abedo,,03,-15.65,46.95
abo,,06,-22.6166667,44.65
aboaziny,,02,-23.6833333,47.2333333
abohazo,,02,-22.1,46.05
abohidrano,,05,-18.6833333,46.5333333
abohijafy,,05,-18.9,47.4333333
abohijanahary,,05,-18.8333333,47.4833333
abolahy,,02,-23.6666667,47.2666667
abonara,,06,-18.6333333,45.15
aborano,,02,-23.55,47.6
aborano,,03,-17.2166667,44.25
aborano,,06,-20.5666667,45.0333333
aborano atsimo,,06,-18.5333333,45.0166667
aborano avaratra,,06,-18.4333333,45.0333333
aborotsy,,06,-22.7333333,44.0833333
adabatelo,,03,-16.6333333,45.1666667
adabo,,02,-21.3666667,46.7166667
adabodo,,06,-23.35,44.2833333
adabofolo,,06,-23.0666667,44.4
adabolava,,03,-17.5666667,45.65
adabomahebo,,06,-19.0833333,45.2666667
adabomaro,,02,-20.8833333,45.7833333
adaboroa,,02,-21.4333333,45.8833333
adabotelo,,02,-20.7833333,45.8166667
adabotokana,,01,-13.2,48.95
adabotokana,,03,-17.5666667,45.6833333
adabozato,,06,-19.7166667,45.3666667
adamasiny-vineta,,06,-23.05,44.25
adiniky,,06,-18.95,45.3
adisatrambe,,03,-14.5333333,48.6166667
adriambe,,05,-19.45,47.7
afarisoky,,06,-20.7166667,44.6833333
afisamisoa,,02,-21.8166667,46.7333333
afitanananivo,,01,-13.6333333,49.8166667
ahakomiheva,,02,-21.6666667,46.2166667
ahalandravy,,06,-25.0,46.75
aharana,,04,-19.0,48.5666667
ahatsira,,03,-16.8,47.3
ahitromby,,05,-18.8,46.4
ahkerika,,03,-15.6,47.3
ahkida,,06,-21.7,43.5
ahondrona,,04,-19.2333333,48.6666667
ajavibe,,01,-12.4166667,49.3166667
akaboky,,02,-22.6,45.1333333
akafatsa,,06,-24.7666667,44.9666667
akahomody,,02,-21.6166667,46.6833333
akanankasy,,06,-25.0166667,44.2833333
akatikana,,02,-21.2666667,47.2
akaty,,02,-21.4333333,46.6
akeba,,02,-21.6,47.8
aketa,,06,-22.1333333,45.2333333
akilimalagy,,06,-24.5833333,45.5
akinana,,03,-15.8166667,46.2333333
akindrano ambany,,06,-22.8333333,45.7666667
akinganio,,01,-13.4333333,48.8833333
akobabaky,,06,-23.9333333,44.9166667
akondro,,02,-21.85,46.7666667
akondronisidy,,03,-17.2,47.5
akondrotarana,,02,-20.5833333,47.55
akondrovaza,,02,-21.9166667,46.9166667
akopaka,,02,-21.45,47.3666667
akoreky,,06,-24.0333333,45.8
alakambato,,04,-19.1166667,48.1166667
alakamisinandrianovona,,05,-19.2166667,46.75
alakamisy,,02,-20.2,47.3166667
alakamisy,,05,-18.5333333,47.9333333
alakamisy-ambohijato,,02,-20.5666667,47.35
alakamisy-ambohimaha,,02,-21.3166667,47.2166667
alakamisy-ambohimahazo,,02,-20.4,47.3833333
alakamisy anativato,,05,-19.8833333,46.9
alakamisy-fandandrave,,02,-21.5166667,47.25
alakamisy fandrandava,,02,-21.5166667,47.25
alakamisy isorana,,02,-21.3166667,46.9333333
alakamisy itenina,,02,-21.6333333,47.15
alakamisy sahave,,02,-21.0666667,47.1166667
alamati,,03,-15.8833333,47.05
alarobia,,04,-19.25,47.9833333
alarobia,,05,-18.8833333,47.7
alarobia-ambohitrambo,,05,-18.9166667,47.1833333
alarobia-ambovombe,,02,-20.7666667,47.0833333
alarobia-antanamalaza,,05,-19.4166667,47.6333333
alarobia befeta,,02,-21.2333333,47.05
alarobia bemaha,,05,-20.2,46.8833333
alarobia-vohiposa,,02,-20.9833333,47.15
alasora,,05,-18.95,47.5666667
alatsinainy,,05,-19.05,47.2666667
alatsinainy-ambazaha,,05,-18.9666667,47.45
alatsinainy-bakaro,,05,-19.3166667,47.6666667
alatsinainy fandandrava,,02,-21.5333333,47.3
alatsinainy fandrandava,,02,-21.5333333,47.3
alatsinainy ialamarina,,02,-21.5333333,47.3
alatsinainy ibity,,05,-20.1,46.9666667
alatsinainy-loharano,,05,-19.05,47.2666667
aloalofotaka,,06,-23.9,44.5666667
alorobia-ambovombe,,02,-20.7666667,47.0833333
alotsakanga,,06,-23.55,44.2
alovingo,,04,-18.45,48.75
amafandry,,06,-25.3333333,45.7666667
amafiamavo,,06,-23.8333333,44.5
amaitsotady,,05,-18.5666667,47.5166667
amanadoria,,05,-18.6,47.3833333
amanamby,,06,-22.2333333,44.4
amanda,,02,-22.85,46.2833333
amanda,,06,-18.7166667,45.2833333
amando,,06,-19.5,45.4333333
amanendraka,,06,-25.5333333,45.3333333
amanga,,03,-16.4166667,44.5666667
amanoa,,02,-22.9333333,46.9166667
amaravay,,06,-23.9833333,45.5
amatahago,,06,-19.3666667,45.45
amatomisankantsaha,,03,-17.1666667,48.1333333
amatsia,,06,-21.8166667,43.9333333
amba,,06,-23.6,44.8166667
ambabaka,,03,-16.5833333,45.7333333
ambabaky,,03,-16.5833333,45.7333333
ambabaky,,06,-22.2166667,45.0333333
ambabo,,02,-21.8333333,47.2166667
ambadikala,,02,-23.3,47.3666667
ambadikala,,04,-18.25,48.9333333
ambafamainty,,03,-15.3333333,47.8166667
ambaha,,02,-21.0166667,47.25
ambahabe,,03,-16.3833333,44.8833333
ambahaka,,02,-22.2166667,47.35
ambahakily,,06,-21.6,43.6666667
ambahamahazotra,,02,-21.7166667,46.8166667
ambaharonga,,02,-23.4,46.7
ambahary,,03,-16.35,47.4166667
ambahatra,,01,-13.85,48.4833333
ambahatra,,02,-22.3,47.0333333
ambahatra,,03,-15.9833333,47.6166667
ambahatra,,05,-19.0166667,46.2166667
ambahatra,,06,-23.0833333,44.3
ambahatrazo,,02,-21.8666667,47.95
ambahatrazo,,06,-19.35,45.35
ambahatsa,,01,-13.85,48.4833333
ambahatsy,,02,-22.2833333,47.05
ambahatsy,,06,-23.05,44.2666667
ambahavaha,,03,-16.5666667,46.5666667
ambahevahe,,06,-23.8166667,43.6666667
ambahia,,06,-21.6333333,43.7666667
ambahibe,,02,-21.3,46.45
ambahibe,,03,-18.3666667,44.5333333
ambahibe,,06,-20.45,45.2
ambahibe est,,03,-15.7,47.6833333
ambahibe nord,,03,-15.6666667,47.6833333
ambahibe ouest,,03,-15.7,47.6833333
ambahibe sud,,03,-15.7166667,47.6833333
ambahibo,,02,-21.3666667,47.3
ambahiboho,,02,-22.2166667,45.6
ambahibotsara,,06,-18.9166667,45.1
ambahifrakoa,,06,-19.8166667,44.85
ambahihy,,01,-13.95,49.9333333
ambahihy,,06,-24.6333333,46.9833333
ambahikarabo,,02,-22.7333333,47.8666667
ambahikily,,06,-21.6,43.6666667
ambahila,,06,-24.0,45.2666667
ambahimalitsy,,06,-22.8333333,44.45
ambahimautsy,,06,-22.8333333,44.45
ambahimerana,,02,-20.1,47.3166667
ambahinia,,05,-19.1333333,47.85
ambahipika,,02,-22.9666667,47.7166667
ambahisotry,,01,-13.45,49.3666667
ambahita,,02,-22.7,45.3333333
ambahita,,03,-17.3833333,44.6333333
ambahita,,06,-22.8,44.8166667
ambahitoaka,,03,-16.0166667,47.65
ambahitrakoa,,06,-19.8166667,44.85
ambahitra ouest,,05,-19.0166667,46.2166667
ambahitrazo,,02,-22.15,46.4166667
ambahitroza,,02,-21.8666667,47.95
ambahivahibe,,01,-12.5833333,49.2666667
ambahivahibe,,06,-20.5333333,44.3166667
ambahivahikely,,01,-12.5666667,49.2666667
ambahivahy,,01,-12.55,48.85
ambahivahy,,03,-14.3666667,48.85
ambahivahy,,06,-21.6833333,44.3333333
ambahivalfy,,03,-17.9333333,45.0333333
ambahive,,02,-22.2,47.7166667
ambahiza,,06,-22.55,43.6166667
ambahoabe,,04,-16.7666667,49.5
ambahoaka,,04,-17.1333333,49.35
ambaho,,02,-22.5333333,46.2
ambaho,,06,-22.9,44.3
ambahobe,,06,-20.45,45.2
ambaho-enio,,06,-24.9833333,46.9
ambahona,,02,-20.8666667,47.35
ambahona,,04,-18.75,48.5333333
ambahona,,05,-19.2166667,47.0333333
ambahondrano,,02,-20.9833333,47.0166667
ambahondrano,,05,-19.3833333,47.5333333
ambahovelo,,06,-21.2166667,44.1333333
ambahy,,02,-20.5,46.6833333
ambahy,,04,-16.9666667,49.3
ambahy,,06,-24.7166667,46.9833333
ambaiavato,,05,-19.7833333,46.7666667
ambaibe,,02,-22.2166667,45.6
ambaiboa,,04,-17.75,48.1666667
ambaiboabe,,05,-17.8,46.4166667
ambaiboahe,,03,-16.6666667,47.1833333
ambaibo,,02,-21.6166667,46.8833333
ambaibo,,03,-14.2333333,48.3666667
ambaibo,,05,-18.6666667,46.5333333
ambaibo sambao,,03,-16.6333333,44.5333333
ambaiorata,,03,-17.3666667,44.2166667
ambajoana,,01,-13.2333333,49.3666667
ambakaka,,06,-18.75,45.2666667
ambakirano,,01,-13.2,49.15
ambakirano,,03,-17.2833333,44.4
ambakireny,,03,-17.6166667,47.8333333
ambakitrano,,01,-13.8666667,48.5666667
ambakitsy,,02,-22.6,46.6666667
ambakivoho,,06,-20.35,44.5166667
ambakoa,,02,-22.35,45.75
ambakoa,,03,-17.1833333,45.0833333
ambakoa,,04,-20.0333333,48.55
ambakoa,,06,-22.8666667,45.6
ambakoa-ambany,,06,-22.9166667,45.5833333
ambakoa-ambinany,,06,-22.9333333,45.5666667
ambako,,05,-19.8166667,47.0166667
ambakoana,,01,-13.9833333,48.5833333
ambakoana,,02,-20.3833333,47.2
ambakobe,,02,-20.6833333,48.0833333
ambakohasina,,05,-18.2,47.8666667
ambakona,,02,-20.9833333,47.8333333
ambaky,,03,-15.8666667,48.4166667
ambala,,01,-12.3333333,49.2
ambala,,03,-14.8833333,49.3666667
ambala,,05,-18.7,46.65
ambala,,06,-18.85,45.3
ambalaba,,03,-17.1166667,48.1
ambalabako,,03,-17.7833333,47.8333333
ambalabako,,04,-17.8333333,48.4166667
ambalabanty,,03,-15.3,47.3333333
ambalabany,,03,-14.5666667,48.9666667
ambalabany,,04,-17.4833333,48.6333333
ambalabao,,01,-12.8166667,49.2666667
ambalabao,,03,-13.8833333,48.2
ambalabararata,,05,-18.75,46.1166667
ambalabe,,01,-13.9333333,49.9666667
ambalabe,,02,-20.9833333,46.5166667
ambalabe,,03,-14.6833333,48.6666667
ambalabe,,04,-16.6333333,49.8
ambalabe,,05,-18.2833333,45.7166667
ambalabe,,06,-18.3833333,45.1666667
ambalabe atsimo,,06,-23.95,45.45
ambalabe avaratra,,06,-23.95,45.45
ambalabe-ifasina,,03,-16.0666667,48.8166667
ambalaben' ifasina,,03,-16.0666667,48.8166667
ambalabe nord,,03,-16.0666667,48.8166667
ambalabe nord,,06,-23.95,45.45
ambalabe sud,,03,-16.1166667,48.8
ambalabe sud,,06,-23.95,45.45
ambalaboa,,03,-18.0,44.5833333
ambalaboka,,06,-24.1166667,47.2
ambalabonga,,03,-16.7666667,47.0333333
ambalabongo,,03,-16.3166667,46.5666667
ambaladera,,03,-14.7333333,49.2333333
ambaladingana,,02,-22.2666667,47.1666667
ambalafamainty,,03,-15.3333333,47.8166667
ambalafananarana,,02,-21.8333333,46.8666667
ambalafandra,,02,-23.95,47.5166667
ambalafandrana,,02,-23.95,47.5166667
ambalafandrana,,03,-15.9166667,47.5666667
ambalafandrana,,04,-19.2833333,48.85
ambalafandriana,,04,-19.2833333,48.85
ambalafantsy,,04,-19.85,48.7166667
ambalafany,,03,-19.1,44.35
ambalafarihy,,03,-15.9333333,49.0166667
ambalafarihy,,04,-20.0666667,47.9333333
ambalafary,,01,-13.8666667,48.55
ambalafary,,02,-20.4,48.4
ambalafary,,03,-15.5666667,48.45
ambalafary,,04,-17.1333333,49.4666667
ambalafasina,,02,-21.25,47.6666667
ambalafasy,,02,-23.6333333,47.05
ambalafataka,,02,-21.05,47.7833333
ambalafatsy,,04,-19.85,48.7166667
ambalafeno,,02,-20.3,47.2333333
ambalafeno,,05,-19.4833333,46.5833333
ambalafenoarivo,,02,-20.9833333,46.1333333
ambalafety,,03,-16.0333333,47.6333333
ambalafolo,,02,-23.8,47.1833333
ambalafomby,,03,-14.6666667,49.1666667
ambalafontsy,,03,-14.8,49.35
ambalafontsy,,04,-15.9333333,49.2333333
ambalafony,,03,-14.6666667,49.1666667
ambalafotaka,,03,-14.8833333,48.8833333
ambalafotaka,,04,-18.3333333,49.1333333
ambalafotsy,,02,-21.4833333,47.2666667
ambalafrandra,,02,-23.95,47.5166667
ambalagaro,,03,-15.6166667,48.7166667
ambalagoavy,,02,-21.8666667,47.3833333
ambalagoavy,,03,-14.4666667,48.95
ambalahady,,02,-20.25,46.6
ambalahady,,03,-14.3,48.9333333
ambalahady,,04,-18.65,48.9333333
ambalahambana,,02,-20.2333333,47.55
ambalahambano,,02,-21.8833333,47.1166667
ambalaharahotra ouest,,02,-23.2333333,46.5333333
ambalaharaka,,02,-22.1333333,47.7333333
ambalaharongana,,01,-15.1333333,50.1
ambalahasina,,02,-20.55,48.1166667
ambalahasina,,03,-14.6833333,48.7166667
ambalahasina,,04,-18.5,49.2166667
ambalahasy,,04,-16.3333333,49.5833333
ambalahatsaka,,02,-21.4333333,48.15
ambalahazo,,02,-21.7833333,47.1166667
ambalahazo,,04,-17.3666667,48.6833333
ambalahazo,,05,-18.4166667,46.55
ambalaherana,,02,-20.8333333,47.65
ambalaherana,,04,-19.9,48.1333333
ambalahonke,,03,-14.45,47.7
ambalahonko,,01,-13.5833333,48.4166667
ambalahonko,,03,-14.45,47.7
ambalahoraka,,02,-23.3666667,47.55
ambalahoraka,,04,-18.2666667,48.75
ambalahoraky,,02,-23.6666667,47.2
ambalahorana,,04,-20.0833333,47.8
ambalahorona,,04,-19.1166667,48.0166667
ambalahosy,,02,-21.0666667,47.4833333
ambalajia,,03,-14.8333333,48.2833333
ambalaka,,03,-17.8,44.8666667
ambalakafe,,02,-20.5333333,48.2166667
ambalakafotra,,02,-20.5166667,46.7333333
ambalakajaha,,03,-17.15,45.2
ambalakaty,,01,-13.2333333,49.05
ambalakazaha,,02,-20.7833333,47.8333333
ambalakazaha,,03,-17.15,45.2
ambalakazaha,,04,-20.1,48.0833333
ambalakely,,02,-21.4166667,47.1666667
ambalakida,,03,-15.7166667,46.5333333
ambalakinana,,02,-20.6833333,46.3166667
ambalakinany,,02,-20.7166667,46.1333333
ambalakindresy,,02,-21.1666667,47.3333333
ambalakinina,,02,-20.5666667,47.9833333
ambalakirajy,,03,-15.75,48.5166667
ambalakitata (2),,03,-15.7,47.2833333
ambalakitata,,03,-15.7166667,47.2333333
ambalakitata ii,,03,-15.7,47.2833333
