names,population,state_code,lat,lon
adzarlar,,79,41.9780556,21.6494444
adzemka,,10,41.8947222,20.9425
adzibegovo,,60,41.7602778,21.9852778
adzievci,,88,41.5888889,20.6130556
adzijevci,,88,41.5888889,20.6130556
adzimatovo,,60,41.8008333,21.9411111
adzinci,,97,42.2547222,21.8502778
aêevaëelijad,,33,41.1391667,22.5025
afmate,,94,41.7211111,21.0088889
agino selo,,75,42.0463889,21.6811111
ajalar,,79,41.9780556,21.6494444
ajranli,,A8,41.3466667,22.5311111
ajvatovac,,36,42.0063889,21.6102778
ajvatovci,,36,42.0063889,21.6102778
akhris,,74,41.1172222,20.8019444
alakince,,A4,41.945,21.8816667
alakinci,,A4,41.945,21.8816667
alasevce,,59,42.1861111,21.5902778
aldanci,,C4,41.3683333,21.2963889
aldinc,,A2,41.8030556,21.4286111
aldince,,A2,41.8030556,21.4286111
aldinci,,A2,41.8030556,21.4286111
aldinci,,C4,41.3683333,21.2963889
aleksandrovo,,53,41.3380556,21.4066667
aleksandrovo,,79,41.9780556,21.6494444
algunja,,97,42.2605556,21.8169444
alilabasi,,84,41.6966667,22.4797222
aliloba,,84,41.6966667,22.4797222
ali lobasi,,84,41.6966667,22.4797222
alimedska maala,,59,42.1986111,21.5161111
alimedska mahala,,59,42.1986111,21.5161111
alince,,26,41.2588889,21.4811111
alince,,85,42.2094444,21.9994444
alinci,,26,41.2588889,21.4811111
alinci,,A7,41.1511111,21.5052778
alinci bitolsko,,A7,41.1511111,21.5052778
ali oba,,A7,41.1511111,21.5052778
alisavci,,52,42.2813889,22.2694444
aljince,,26,41.2588889,21.4811111
aljince,,85,42.2094444,21.9994444
aljkurtovci,,C1,41.5772222,20.9183333
alsar,,B5,41.155,21.9433333
ame,,21,41.5516667,20.5266667
amzabegovo,,A4,41.8119444,21.9947222
amzali,,11,41.5013889,22.7563889
an,,94,41.6855556,20.9608333
andrejevo,,31,42.0533333,21.0191667
andrejinci,,85,42.3361111,22.2016667
angelci,,A9,41.4763889,22.6111111
aêonceli,,96,41.2563889,22.6655556
aêopceli,,96,41.2563889,22.6655556
aêorce petrov,,90,42.0077778,21.3530556
aracine,,01,42.0263889,21.5619444
aracinovo,12800,01,42.0263889,21.5619444
aranaëel,,77,41.5947222,21.0244444
arangel,,77,41.5947222,21.0244444
arazli,,66,41.3666667,22.4666667
arbanasko,,85,42.265,22.0
arbasanci,,A4,41.8902778,22.0847222
arbinovo,,03,41.3705556,20.8288889
argulica,,40,41.8194444,22.2794444
arguljica,,40,41.8194444,22.2794444
arilevo,,54,41.3963889,21.1983333
ariljevo,,54,41.3963889,21.1983333
armatus,,A7,41.0969444,21.5266667
arnacija,,48,41.9775,21.2733333
arnakija,,48,41.9775,21.2733333
arnicko,,B5,41.1913889,21.915
arvati,,86,40.9436111,21.1130556
arzhano,,61,41.3730556,20.6655556
asamagi,,86,40.9863889,21.0511111
asamati,,86,40.9863889,21.0511111
asan-begovo,,01,42.0166667,21.5166667
atdrejinci,,85,42.3361111,22.2016667
atista,,B6,41.4533333,21.0391667
atiste,,B6,41.4533333,21.0391667
aêuraëeviste,,70,41.8944444,20.8622222
axhiefci,,88,41.5888889,20.6130556
azirlar,,59,42.2022222,21.4894444
babi,,98,41.7594444,22.2025
babino,,93,41.2994444,21.0797222
babiste,,76,42.0175,22.4147222
babuna,,B1,41.6808333,21.8027778
bac,692,02,40.9333333,21.5666667
bacista,,C1,41.6052778,20.9069444
baciste,,C1,41.6052778,20.9069444
badar,,C2,41.8644444,21.6880556
badelin,,72,41.45,22.95
bader,,C2,41.8644444,21.6880556
badile,,72,41.45,22.95
badilen,,72,41.45,22.95
bajcovci,,52,42.2655556,22.2719444
bajkovo,,72,41.4166667,22.9333333
bajlovce,,97,42.2302778,21.9622222
bajlovci,,97,42.2302778,21.9622222
bajrambos,,A1,41.3094444,22.705
bajramovci,,21,41.4813889,20.5711111
balaban,,64,41.7466667,20.7822222
balabanska maala,,85,42.315,22.1511111
balanci,,21,41.485,20.5502778
balanci palez,,21,41.485,20.5502778
