names,population,state_code,lat,lon
abaladougou kenieba,,07,12.0444444,-8.6280556
abdalaye,,04,15.2833333,-5.3333333
abdoul sinia,,03,14.9333333,-11.75
abdourahmane,,04,14.7833333,-4.2333333
abdouramane,,04,14.7833333,-4.2333333
abdou salam,,02,16.85,-0.35
abeibara,,02,19.1166667,1.75
acil barhe,,00,15.0,-9.2333333
acil barke,,00,15.0,-9.2333333
adabai mahamoud,,08,16.0833333,-2.6833333
adamabougou,,05,13.3333333,-5.2
adia,,04,14.95,-3.1166667
adiata,,02,17.0,-1.4833333
adjiba,,08,16.8,-2.3666667
adjila,,07,10.55,-8.1833333
adjilamina,,07,10.6666667,-8.25
adjilaminina,,07,10.6666667,-8.25
adlaye sidi,,04,15.3,-5.3166667
adourakame,,04,14.2166667,-3.0333333
adyanabangou,,08,16.0666667,-3.8833333
adyar,,08,16.2333333,-3.5666667
adyengo,,08,16.1,-3.7166667
afia,,00,12.0333333,-10.6333333
agaminan taoussa,,08,16.4166667,-3.1833333
agata,,02,17.0,-1.4833333
agata,,08,16.1166667,-3.0333333
ag enzali,,08,16.9166667,-1.7833333
aguel-hoc,,02,19.4544444,0.8563889
aguelhok,,02,19.4544444,0.8563889
aguelock,,02,19.4544444,0.8563889
aguelok,,02,19.4544444,0.8563889
aguilamina,,07,10.6666667,-8.25
aguinaouiaoui,,02,16.4,-0.1
ahagala,,00,15.4833333,-9.25
ahaman koiro,,02,16.8,-0.3166667
ahel barke,,03,15.3666667,-11.55
ahel faloute,,03,15.3666667,-11.6666667
ahmdeg,,08,16.0666667,-2.6666667
aibongo,,08,16.2166667,-3.25
aina,,08,16.2333333,-3.2333333
ainamolo,,03,14.7833333,-11.2166667
ainessaba,,03,14.7833333,-11.2666667
aite,,03,15.0833333,-11.65
aka,,04,15.4,-4.2333333
akaban,,08,16.2166667,-3.5
akarankom,,02,16.7166667,-0.2666667
akka,,04,15.4,-4.2333333
akor,,00,14.8833333,-6.9666667
akor tegdawich,,00,15.4,-6.9166667
akouakiza,,08,16.05,-3.5
akoumbouro,,04,14.4666667,-2.15
alabi,,04,15.1666667,-1.5833333
alafo,,08,16.1166667,-3.4
alahina,,00,15.2333333,-8.75
alahine,,03,14.6833333,-10.2166667
alaina,,03,14.6666667,-11.1833333
alakanda,,04,14.2166667,-3.6166667
alakat,,08,16.7,-3.7166667
alamakolo,,00,12.15,-10.6833333
alamba,,08,16.85,-2.05
alamoutala,,00,14.0,-13.75
alana,,03,15.25,-9.7333333
alasio,,00,14.9166667,-8.0166667
alaso,,00,14.9166667,-8.0166667
alassanila,,03,14.35,-11.4833333
alasso,,00,14.9166667,-8.0166667
alatana,,00,14.8,-5.9333333
alatona,,00,14.8,-5.9333333
alaya,,00,12.1166667,-10.7166667
alekanda,,04,14.5,-3.0666667
alfao,,08,16.6333333,-3.7666667
alfo,,08,16.6333333,-3.7666667
alidiamani,,03,12.8166667,-10.9833333
alifabougou,,07,12.0908333,-8.0422222
ali hamadou lilae,,06,10.6,-6.2
alikui,,04,13.3333333,-4.6833333
alkamsara,,02,16.2,-0.0833333
alkanabangou,,08,16.7166667,-3.8833333
allafo,,08,16.1166667,-3.4
allah ina,,03,14.4833333,-11.5
alla-kanda,,04,14.5,-3.0666667
all,,04,13.7666667,-3.6833333
almami,,04,14.9333333,-5.0166667
almaniana,,04,14.8333333,-5.3166667
almoustarat,,02,17.3666667,0.0872222
aloulena,,03,13.0166667,-9.55
ama,,04,14.0833333,-3.75
amadilimane,,00,14.7833333,-5.8333333
amadi oumourou,,03,15.3333333,-9.65
amadou ali were,,04,13.85,-4.9166667
amadou bafinnka,,07,13.65,-5.7833333
amadoubougou,,07,12.6877778,-7.3436111
amadou doso ware,,07,14.2333333,-6.0833333
amadou mama,,00,15.2,-8.4166667
amakabougou,,07,13.95,-7.5333333
amakouladji,,02,16.6,-0.1
ama koyra,,08,16.0166667,-3.8666667
am,,04,14.1666667,-2.9333333
amankobe,,00,15.35,-5.5
amara,,00,15.0166667,-9.05
amaragoungou,,08,16.7833333,-2.35
amarekoulela,,07,13.3666667,-7.45
amarosseldabay,,08,16.2333333,-3.5
amata,,02,16.5,-0.0666667
amba,,04,14.7833333,-3.5333333
ambaka,,04,14.9166667,-3.1166667
ambidedi,,03,14.5833333,-11.7833333
amdalay,,07,12.0205556,-8.3266667
amdalaye,,00,12.05,-10.6166667
amdalaye-timmbou,,00,12.05,-10.6166667
amderamboukan,,02,15.4283333,3.0183333
amderamboukane,,02,15.4283333,3.0183333
amgoundji,,02,17.05,-1.1333333
amilale,,03,15.4166667,-11.6833333
ammdalai,,05,13.5333333,-6.05
amo,,04,14.0833333,-3.75
