names,population,state_code,lat,lon
aba-wa,,09,17.65,96.7333333
abaw,,13,15.25,97.8166667
abazu,,09,17.6166667,96.7333333
abegong,,04,27.2,98.5
abeuk,,01,20.1166667,93.9
abit,,13,16.265,97.5530556
abok,,04,26.65,98.15
abok,,13,15.25,97.9
abya,,09,17.5,96.7666667
abya bode,,09,17.5166667,96.7166667
abya thaiktugon,,09,17.5,96.7833333
abyauk,,17,16.6205556,96.0455556
abyit,,17,16.4416667,96.1916667
abyitkon,,17,16.4469444,96.1833333
acha,,03,16.2166667,95.7
achaw,,03,16.6666667,95.65
achitchaung,,01,19.6166667,93.8333333
achyika,,04,24.7166667,96.0166667
ada,,03,17.5333333,95.5
adalauk,,03,16.8666667,94.9666667
adamagon,,13,16.9636111,97.3436111
adama thitpok,,03,15.7833333,94.9833333
adan,,04,26.1166667,98.0666667
adanghpu,,04,27.4166667,98.4666667
adaraw,,04,27.1666667,98.5166667
adengri,,01,21.0666667,92.6166667
adet-hngetthe,,01,20.8166667,92.6
adetkyi,,09,19.4,96.3666667
adinsung,,04,27.4,98.2166667
adon,,12,12.5666667,98.8
adu,,09,17.15,96.6666667
adula,,04,27.1666667,98.45
adun,,09,16.7166667,95.85
adung long,,04,28.1166667,97.7
aeng,,01,19.7833333,94.0333333
agadwin,,01,19.4833333,93.6333333
agat,,03,16.5666667,95.3166667
agayan,,03,16.6,95.3333333
agegyi,,03,16.3333333,95.8
agetu,,04,27.1833333,98.45
agywezidonbweywa,,01,21.0,92.6333333
ahauk,,13,16.5658333,97.4113889
aheik,,03,16.7333333,95.6166667
ahkail,,04,26.9333333,98.2166667
ahkawhtawng,,04,26.7,98.4333333
ahkran,,04,27.3666667,98.1833333
ahlaikkon,,13,16.4583333,97.7819444
ahlaing myaukkin,,09,18.1166667,96.6833333
ahlan,,05,17.2833333,97.6333333
ahlaw,,10,24.0833333,94.35
ahlele,,07,19.4666667,94.95
ahlone,,09,16.7833333,96.1166667
a-hmaw-u,,10,22.35,95.9833333
ahmu,,07,20.65,94.6666667
ahnyinzon,,12,11.6,98.75
ahonwa,,09,17.3,97.2333333
ahonwa-ashekon,,05,17.3,97.25
ahpokhi,,09,17.6166667,97.0166667
ahpyan,,03,16.8,95.2166667
ahru,,02,21.9,93.1666667
ahshan,,02,21.3833333,92.8666667
ahtaung,,03,17.35,95.3333333
ah teing,,02,21.4333333,93.1833333
ahtet-bade-kyun,,01,19.2833333,93.8666667
ahtet pho,,01,20.4833333,93.9166667
ahtokthe,,01,20.3333333,92.95
a-hu-chai,,11,23.2833333,98.8166667
aibur,,02,22.3666667,93.4333333
aie,,11,23.0833333,98.1833333
aifang,,11,24.0333333,98.6
ai-hkam,,11,20.7,99.3166667
ai-hpa,,11,20.6833333,99.3
aika,,02,22.1833333,93.6166667
aikhla,,09,17.6333333,95.7
aikma,,10,23.9833333,96.05
ai-kyaw,,11,23.35,98.9333333
ai-kyawpa,,11,23.2666667,98.75
aikyeng,,11,22.7166667,99.25
aikywa,,10,22.8166667,94.8833333
ailongwanham,,11,20.5,97.4833333
aimagan,,07,19.75,94.6
ainda,,10,25.6333333,95.8666667
aindin,,01,20.2666667,92.95
aingbaukkon,,07,20.6333333,95.2166667
aingbaukkyi,,10,22.85,95.6666667
aingbaunggyaung,,10,22.4333333,95.1
aing baung yaung,,10,22.4333333,95.1
aingbok,,08,20.4666667,95.9833333
aingbu,,01,19.5,94.1333333
aingbyaunggyaung,,10,22.9,95.5
aingdaing,,08,22.1166667,96.0166667
aingdama,,10,22.15,95.7166667
aingdo,,03,17.6833333,95.4
aingdo,,07,20.15,95.3666667
aingdo,,08,20.3666667,95.9333333
aingdon,,09,18.1333333,96.4666667
ainggalaw,,03,17.9333333,95.2
ainggin,,07,21.0833333,94.3833333
ainggo,,03,15.95,94.4
ainggon,,09,18.6166667,95.5
ainggye,,08,19.6833333,96.1166667
ainggye taung,,11,19.9,96.6166667
ainggyi,,03,17.5833333,95.5
ainggyi,,07,20.7666667,94.8666667
ainggyi,,08,21.2166667,95.1333333
ainggyi,,10,23.7,95.4166667
ainggyi,,17,16.7697222,96.0286111
ainggyi east,,08,21.2166667,95.1333333
ainggyigon,,07,20.1333333,95.15
ainggyikon,,07,20.1333333,95.15
ainggyile okshitkon,,08,20.7666667,95.9833333
ainggyi west,,08,21.2166667,95.1166667
aingkalaung,,09,17.3833333,95.8166667
aingkye,,07,21.3333333,94.3333333
aingma,,03,17.2,95.3
aingma,,07,20.1166667,94.6333333
aingma,,08,20.8666667,95.45
aingma,,10,22.0333333,94.5666667
aingmagyi,,07,20.65,95.5666667
aingmayo,,08,21.15,95.6333333
aingpu,,01,19.5,94.1333333
aingshe,,10,22.5,95.1833333
aingshe,,12,14.45,98.1
aingtha,,08,21.1166667,95.95
aingtha,,10,22.6333333,94.7666667
aingthabyu,,03,17.5333333,95.1666667
aingwaing,,01,20.05,93.85
aingwin,,09,19.1833333,95.7333333
aingwun,,01,20.2,93.2333333
aingya,,10,22.4666667,95.3333333
aingya,,11,20.6333333,96.6833333
aingywa,,08,20.7,95.1833333
aingzauk,,03,17.35,94.9666667
aingzauk,,08,19.7666667,96.25
aingzauk,,09,19.0166667,95.3833333
aininagan,,07,19.75,94.6
ainshebyin,,12,13.3,98.5833333
ai-nu,,11,20.9072222,100.3966667
ai-pan,,11,20.1333333,99.3166667
aipha,,02,23.4666667,93.7666667
aipong,,11,22.7333333,97.0833333
aisih,,02,23.9666667,93.6166667
ai-to,,11,20.3366667,99.2961111
aitsa,,02,21.1,93.4833333
ai-tzu-tou,,11,23.5166667,98.7833333
aive,,02,22.65,93.7333333
aju,,04,25.5333333,98.0166667
akalaw,,05,16.1383333,97.9783333
akan,,13,15.3,97.9666667
akauktaung,,04,25.05,97.0833333
akaw,,03,16.4,95.5166667
ake,,03,16.8166667,94.85
akechaungwa,,03,16.2,95.85
akegyaungwa,,03,16.2,95.85
akegyi,,03,17.2833333,95.3333333
ako,,07,21.1,94.1333333
akuai chai,,11,24.1,98.7333333
akun,,13,16.1666667,97.7166667
akwe-chai,,11,23.2833333,98.7666667
akwi,,03,17.1166667,95.4833333
akyab,177765,01,20.15,92.9
akyagwin,,03,17.9,95.1166667
akya-in,,09,18.4666667,96.4666667
akyat-in,,09,18.4666667,96.4666667
akyauk,,04,25.7666667,98.2333333
akyaw,,03,17.2333333,95.5333333
akyawkhi,,05,15.8833333,98.5333333
akye,,04,25.3,97.2666667
akyekadin,,07,21.1666667,94.1666667
akyiban,,07,21.6666667,94.1666667
akywesi,,01,21.0,92.6333333
akywesi htonbweywa,,01,21.0,92.6333333
alagon,,17,16.7458333,96.6802778
alagyun,,10,24.4,96.0666667
alaichaung,,07,18.9833333,94.9333333
alaingni,,09,17.2666667,96.35
alaingni-atet,,09,17.3,96.3666667
alam,,04,25.5666667,97.5
alan,,03,16.65,95.65
alanbalut,,03,16.15,95.6166667
alanbe,,07,20.25,94.8333333
alanbe,,08,21.2166667,95.8333333
alanbo,,04,24.95,96.5
alanbya,,09,17.2833333,96.8833333
alandaing,,03,15.7833333,95.5
alangabo,,09,17.1166667,96.3333333
alangdunhku,,04,27.2833333,97.7
alangon,,09,17.8666667,95.6
alangon,,17,16.7458333,96.6802778
alanwa,,03,16.5833333,95.5
alanzu,,09,18.1166667,95.7833333
alat-ywa,,17,16.6813889,96.3169444
alaung,,10,21.9333333,96.0166667
alawang,,04,26.7166667,98.4
alawbum,,04,24.55,97.5333333
alawchi,,05,19.1166667,96.6333333
alawngbauk,,11,20.4333333,96.5666667
alawpum,,04,24.55,97.5333333
ale,,09,18.0,96.5
aleban,,07,20.4333333,94.35
alebo,,07,19.8833333,95.2666667
alebon,,07,20.5,94.2333333
alebon,,08,22.1833333,96.1166667
alechaung,,01,19.9833333,93.7166667
alechaung,,03,16.95,95.7
alechaung,,07,18.9833333,94.9333333
alechaung,,12,12.6166667,98.8166667
aledaw,,10,23.8833333,96.1166667
alegan,,07,19.5333333,95.1833333
alegan,,08,21.0,96.15
alegan,,10,24.3166667,95.9166667
alegin,,09,18.2,96.5666667
alegon,,03,16.5333333,94.2666667
alegon,,07,20.4833333,95.0666667
alegon,,08,20.35,96.1333333
alegon,,09,18.0,95.6833333
alegon,,10,23.5666667,94.45
alegu,,07,20.2833333,94.3333333
alegyaung,,01,20.45,93.1
alegyaung,,03,16.1166667,95.3333333
alegyaung,,05,18.8,96.7
alegyaung,,07,19.3666667,94.9
alegyaung,,08,19.5,96.6166667
alegyaung,,11,21.0,96.5666667
alegyaung,,17,16.4205556,96.2127778
alegyaung atet,,08,19.4833333,96.5833333
alegyaung auk,,05,19.1666667,96.5833333
alegyaung auk,,08,19.4833333,96.5833333
alegyaung-ywa,,01,21.1166667,92.5666667
alegyun,,01,19.5333333,93.8333333
alegyun,,07,20.6166667,94.4666667
alegyun,,08,19.5333333,96.3
alegyun,,10,23.95,95.7333333
ale-hman,,12,11.3,98.55
alein ale,,09,17.1166667,95.9333333
ale-in,,09,17.15,96.1166667
ale kalaywa,,01,20.9333333,92.3333333
ale kodu,,01,19.9,93.9833333
alekon,,10,23.6,95.6666667
ale-kon,,10,23.8333333,95.75
alekwin,,12,12.1666667,98.8166667
ale kyaukkhok,,07,19.7,94.4833333
ale kyidaung,,01,19.6833333,94.2166667
ale linkon,,01,19.7,94.0666667
ale mahtein,,01,19.7666667,94.1166667
ale-man ywa,,12,11.3,98.55
ale mekane,,05,16.6666667,98.4166667
ale minyon,,01,19.7666667,94.1833333
alemyaung,,09,18.1,96.5
alemyaung,,11,20.5166667,96.9333333
ale ngapye,,01,19.9,94.2
