names,population,state_code,lat,lon
abaragin khid,,07,45.7666667,111.2
abaraha,,14,44.3833333,105.55
abarahaiin hiid,,07,45.7666667,111.2
abarahaiin hural,,08,45.2166667,108.0333333
abarahaiin hural,,14,44.3833333,105.55
abarahaiin sume,,07,45.7666667,111.2
abarahaiin sume,,14,44.3833333,105.55
abdaliin huryee,,09,48.9833333,98.3333333
abdaliin khure,,09,48.9833333,98.3333333
abdara-bayan,,18,47.1666667,107.1666667
abdara bayan sume,,18,47.1666667,107.1666667
abdara bayan sumu,,18,47.1666667,107.1666667
abdarantaiin hural,,07,44.6666667,110.5
abdarantona khural,,07,44.6666667,110.5
abdaranton khural,,07,44.6666667,110.5
abdarantyn khural,,07,44.6666667,110.5
abdar bayan,,18,47.1666667,107.1666667
abdar bayan somon,,18,47.1666667,107.1666667
abdar bayan suma,,18,47.1666667,107.1666667
abdartayn sum,,17,46.3666667,113.5833333
abdartayn sume,,17,46.3666667,113.5833333
abdartoyn sume,,17,46.3666667,113.5833333
abdartyn sume,,17,46.3666667,113.5833333
abdartyyn sume,,17,46.3666667,113.5833333
abdzaba,,21,47.9,103.4166667
abdzava,,21,47.9,103.4166667
aborahu hural,,14,44.3833333,105.55
aborokhu sume,,14,44.3833333,105.55
abudarabayan,,18,47.1666667,107.1666667
aburahuin hural,,14,44.3833333,105.55
aburahuin sume,,07,45.7666667,111.2
aburakhoyn khid,,07,45.7666667,111.2
aburakhoyn khural,,08,45.2166667,108.0333333
aburakhyyn khid,,07,45.7666667,111.2
aburakhyyn khural,,08,45.2166667,108.0333333
aburgain-khural,,08,45.2166667,108.0333333
aburgayn khural,,08,45.2166667,108.0333333
aburgen-sume,,07,45.7666667,111.2
aburugen yashiro,,07,45.7666667,111.2
achiutuin dugang,,21,48.7166667,103.6666667
achuutaiin dugang,,21,48.7166667,103.6666667
achzhalchinyy khorsho,,18,48.0166667,107.75
achzhirigyyn khure,,01,48.8166667,100.9666667
adaatsag,,08,46.4166667,105.7833333
agaratu,,07,43.1666667,109.4333333
agaratu somon,,07,43.1666667,109.4333333
agaratu-sumu,,07,43.1666667,109.4333333
agarut,,07,43.1666667,109.4333333
agarutu somon,,07,43.1666667,109.4333333
agarutu-sumu,,07,43.1666667,109.4333333
agaruut,,07,43.1666667,109.4333333
agaruuta suma,,07,43.1666667,109.4333333
agaruutu,,07,43.1666667,109.4333333
agatayn hiid,,24,46.5833333,108.6166667
agaton khid,,24,46.5833333,108.6166667
agatoyn khid,,24,46.5833333,108.6166667
agatyn-khid,,24,46.5833333,108.6166667
agatyyn khid,,24,46.5833333,108.6166667
agita huryee,,09,47.5,96.8333333
agitu khure,,09,47.5,96.8333333
aguy-sume,,14,42.5833333,107.8
aguy sume hiid,,14,42.5833333,107.8
aguy sume khid,,14,42.5833333,107.8
aguytayn jisa,,18,47.05,107.65
aguytuin chzhisa,,18,47.05,107.65
aguytuyn chzhisa,,18,47.05,107.65
ahay-beeseiin-huree,,11,46.6,109.4
ahay beeseiin huryee,,11,46.6,109.4
ajilchinii horshoo,,18,48.0166667,107.75
ajirigaiin-huree,,01,48.8166667,100.9666667
ajirigaiin huryee,,01,48.8166667,100.9666667
ak-aral,,03,49.2,90.9
akhaybeysin khure,,11,46.6,109.4
a-la-erh-t'u,,06,48.6833333,115.9666667
alag-erdene,,13,50.1213889,100.0430556
alag erdeni,,13,50.1213889,100.0430556
alag-erdeni somon,,13,50.1213889,100.0430556
alag erdeni suma,,13,50.1213889,100.0430556
alag erdeni sume,,13,50.1213889,100.0430556
alag-erdeni-sumu,,13,50.1213889,100.0430556
alag hololiin ortoo,,17,47.2333333,113.95
alag hotoliin ortoo,,17,47.2333333,113.95
alagiin sume,,07,44.75,110.4166667
alagin sume,,07,44.75,110.4166667
alag khululoyn urto,,17,47.2333333,113.95
alag khutuloyn urto,,17,47.2333333,113.95
alag khutulyyn urto,,17,47.2333333,113.95
alag-tutulyyn,,17,47.2333333,113.95
alartu,,06,48.6833333,115.9666667
alata,,06,48.6833333,115.9666667
aldar,,09,47.7,96.6
aldarhaan,,09,47.7,96.6
aldar haan suma,,09,47.7,96.6
aldar han,,09,47.7,96.6
aldarhan sumu,,09,47.7,96.6
aldarkhaan,,09,47.7,96.6
aldarkhan,,09,47.7,96.6
aldar khan somon,,09,47.7,96.6
aldir,,09,47.7,96.6
aldyr,,09,47.7,96.6
aleta,,06,48.6833333,115.9666667
aletu,,06,48.6833333,115.9666667
a-li-k'o,,13,50.45,100.9
a-lo-te-erh,,09,47.7,96.6
altai,,03,48.3,89.5
altai,,10,44.9166667,95.4166667
altai,,12,45.8,92.2833333
altan,,09,48.1166667,95.7166667
altan,,21,48.6666667,104.3333333
altanbulag,,09,49.3,96.3333333
altanbulag,,16,50.3155556,106.4986111
altanbulag,,18,47.7,106.4
altan bulak,,16,50.3155556,106.4986111
altan-ovoo,,01,47.45,101.7833333
altanshiree,,07,45.5333333,110.4666667
altanteel,,12,47.1,92.85
altan teeli,,12,47.1,92.85
altan teeli somon,,12,47.1,92.85
altan teeli suma,,12,47.1,92.85
altan teeli sumu,,12,47.1,92.85
altan-tel,,12,47.1,92.85
altan-teli,,12,47.1,92.85
altan teli sume,,12,47.1,92.85
altantsogts,,03,49.05,90.45
altatayn dugang,,21,49.1666667,103.1166667
altatuin dugang,,21,49.1666667,103.1166667
altay,,03,48.3,89.5
altay,,09,49.6833333,96.3333333
altay,,10,44.6166667,94.9166667
altay,,12,45.8,92.2833333
altay somon,,12,45.8,92.2833333
altay suma,,12,45.8,92.2833333
altay sumu,,12,45.8,92.2833333
alton brok,,16,50.3155556,106.4986111
altraga,,13,50.2111111,98.9508333
altyn-bulak,,16,50.3155556,106.4986111
amagalangiin jisa hiid,,18,46.85,106.7333333
amagalanta hiid,,11,48.9833333,110.5666667
amaiin usanii hiid,,08,46.1333333,104.4333333
amaiin-usanii-hiyd,,08,46.1333333,104.4333333
amain usunoy khid,,08,46.1333333,104.4333333
amain usunyy khid,,08,46.1333333,104.4333333
amar-buyantayn-huree,,02,44.6166667,98.7
amar buyantayn huryee,,02,44.6166667,98.7
amardalay,,08,46.1333333,106.3833333
amar hiyd,,16,49.45,105.05
amayn usunoy khid,,08,46.1333333,104.4333333
amogalantu-khid,,11,48.9833333,110.5666667
amogolambu,,20,47.9,107.0
amogolang-batur,,20,47.9,107.0
amogolangoin chzhisa khid,,18,46.85,106.7333333
amogolangoyn chzhisa khid,,18,46.85,106.7333333
amogolangtu khiit,,11,48.9833333,110.5666667
amogolangyin chzhisa khid,,18,46.85,106.7333333
amologan-bator,,20,47.9,107.0
amor buyantiin khure,,02,44.6166667,98.7
amor buyantuin-fure,,02,44.6166667,98.7
amor buyant'uin hurie,,02,44.6166667,98.7
amor-buyantuyn-khure,,02,44.6166667,98.7
amur bayantuin khure,,02,44.6166667,98.7
amur buyantuin hurie,,02,44.6166667,98.7
a-pu-erh-kan-su-mu,,07,45.7666667,111.2
ara bayan gol,,16,49.1166667,106.35
ara-bulag,,13,49.9,99.4333333
ara bulagiin dugang,,18,48.4333333,105.6
ara bulag suma,,13,49.9,99.4333333
ara bulag sumu,,13,49.9,99.4333333
ara-bulagyyn dugang,,18,48.4333333,105.6
ara-bulak somon,,13,49.9,99.4333333
ara buluk sume,,13,49.9,99.4333333
arachzhargalanta khid,,06,47.05,115.05
arachzhargalanta somon,,06,46.95,115.2833333
ara chzhirgalantu,,06,47.05,115.05
ara djirgalantu,,06,47.05,115.05
aradzhargalanta khid,,06,47.05,115.05
aradzhargalanta-somon,,06,46.95,115.2833333
aradzhargalantu khid,,06,47.05,115.05
ara-dzhirgalantu,,06,46.95,115.2833333
ara horoiin hiid,,17,47.25,113.9166667
araiin huryee,,10,46.85,95.7333333
araiin huryee,,13,48.4,99.45
arain khure,,10,46.85,95.7333333
arain khure,,13,48.4,99.45
ara jirgalanta hiid,,06,47.05,115.05
ara jirgalanta suma,,06,46.95,115.2833333
ara jirgalantu,,06,46.95,115.2833333
ara jirgalantu sumu,,06,46.95,115.2833333
ara jirugarantu,,06,46.95,115.2833333
ara khoroyn khid,,17,47.25,113.9166667
ara khoryyn khid,,17,47.25,113.9166667
araliin dugang,,18,48.3,108.65
aralyin dugang,,18,48.3,108.65
aralyyn dugang,,18,48.3,108.65
ar-asgat,,18,48.2622222,105.4119444
ara teeliin dugang,,09,48.6333333,98.3666667
ara unarshi dugang,,06,49.3166667,112.15
ara unurchi dugan,,06,49.3166667,112.15
ara-unurshi-dugang,,06,49.3166667,112.15
arbai khere,,15,46.25,102.7666667
ar bayangol,,16,49.1166667,106.35
arbay heere,,15,46.25,102.7666667
arbay hure,,15,46.25,102.7666667
arbayin hure,,15,46.25,102.7666667
arbayin khure,,15,46.25,102.7666667
arbay khere,,15,46.25,102.7666667
