names,population,state_code,lat,lon
ao-men,,01,22.2,113.55
cheoc ca chun,,01,22.1666667,113.55
cidade de macau,,01,22.2,113.55
coloane,,01,22.1166667,113.55
hac sa,,01,22.1222222,113.5638889
hac-tsa,,01,22.1222222,113.5638889
hei-sha,,01,22.1222222,113.5638889
lai chi van,,01,22.125,113.55
lin-chia-ts'un,,01,22.15,113.55
lu-huan,,01,22.1166667,113.55
lui-tchi-van,,01,22.125,113.55
macao,,01,22.2,113.55
macau,,01,22.2,113.55
taipa,,01,22.15,113.55
tcheok-ka-tchin,,01,22.1666667,113.55
tcheok-la-tchin,,01,22.1666667,113.55
ts'ao-chia-ts'un,,01,22.1666667,113.55
vila da taipa,,01,22.15,113.55
