names,population,state_code,lat,lon
abandonne,,00,14.8166667,-61.1166667
abondance,,00,14.5333333,-60.8833333
absalon,,00,14.6833333,-61.1
abymes,,00,14.8,-61.2166667
acajou,,00,14.6166667,-61.0166667
adelaide maillet,,00,14.5166667,-60.9
adinet,,00,14.8166667,-61.1166667
ajoupa-bouillon,,00,14.8166667,-61.1166667
alma,,00,14.7,-61.1
anse caffard,,00,14.4666667,-61.05
anse figuier,,00,14.45,-60.9166667
anse figuiers,,00,14.45,-60.9166667
anse madame,,00,14.6166667,-61.1
anses d'arlet,,00,14.4833333,-61.0833333
anses d'arlets,,00,14.4833333,-61.0833333
augrain,,00,14.6666667,-60.95
bac,,00,14.5833333,-60.9666667
baguidi,,00,14.5166667,-61.1
balata,,00,14.4666667,-60.8666667
balata-tourtet,,00,14.6333333,-61.0833333
bambous,,00,14.5166667,-60.8833333
bareto,,00,14.4333333,-60.8666667
barington,,00,14.55,-60.9666667
barriere-la-croix,,00,14.45,-60.85
bas quartier la gondeau,,00,14.6166667,-61.0333333
basse-pointe,4037,00,14.8666667,-61.1166667
baudelle,,00,14.5333333,-60.9166667
beauchamp,,00,14.6166667,-60.95
beauregard,,00,14.6,-60.9
becouya,,00,14.6666667,-60.9833333
bel-air,,00,14.55,-60.8666667
bel event,,00,14.6833333,-61.15
belfort,,00,14.65,-61.0
bellay,,00,14.4833333,-60.9166667
belle ame,,00,14.6166667,-60.9333333
belle etoile,,00,14.4833333,-60.8333333
bellefontaine,,00,14.6666667,-61.1666667
belle languette,,00,14.45,-60.8333333
bellevue,,00,14.4666667,-60.9333333
bernard,,00,14.45,-60.8833333
bezaudin,,00,14.75,-61.0333333
birot,,00,14.7166667,-60.9833333
bois carre,,00,14.6166667,-61.0
bois d'inde,,00,14.7,-61.0
bois du parc,,00,14.6666667,-61.05
bois la charles,,00,14.5333333,-60.9333333
bois lezards,,00,14.7166667,-61.0166667
bois neuf,,00,14.4666667,-60.8333333
bois-neuf,,00,14.5833333,-60.9333333
bois neuf,,00,14.6333333,-61.0333333
bois soldat,,00,14.6,-60.9
bois zombi,,00,14.65,-60.9666667
bon air,,00,14.7333333,-61.0
bonneau,,00,14.6833333,-60.95
bonneville,,00,14.75,-61.0
bon repos,,00,14.8166667,-61.0833333
borel,,00,14.4833333,-60.9166667
bossou,,00,14.5833333,-60.9166667
boucan,,00,14.4666667,-60.8833333
boutaud,,00,14.6666667,-60.9666667
brevette,,00,14.7166667,-60.9666667
brin d'amour,,00,14.7333333,-60.9666667
cadette,,00,14.5666667,-60.8833333
cafe,,00,14.7,-61.95
californie,,00,14.6,-60.95
camee,,00,14.4666667,-60.9
canton suisse,,00,14.7,-61.15
cap cabaret,,00,14.45,-60.8333333
cap chevalier,,00,14.4333333,-60.8333333
cap-marin,,00,14.4666667,-60.85
carabin,,00,14.8,-61.05
carbet,,00,14.7,-61.1833333
caritan,,00,14.4333333,-60.8833333
case navire,,00,14.6166667,-61.1
case-pilote,,00,14.6333333,-61.1333333
cedalise,,00,14.4666667,-60.8833333
chambort,,00,14.6333333,-61.0166667
champfleury,,00,14.4666667,-60.8333333
champ flore,,00,14.75,-61.1333333
chapelle villarson,,00,14.6333333,-60.9166667
chateauba“uf,,00,14.6166667,-61.05
chateau gaillard,,00,14.5166667,-61.0
chertine,,00,14.75,-61.0
chevalier,,00,14.4833333,-60.9
cite dillon,,00,14.6,-61.05
cite petit manoir,,00,14.6,-61.0
clairiere,,00,14.6,-61.0833333
cluny,,00,14.6166667,-61.0833333
concorde,,00,14.5166667,-61.0333333
concorde-leyritz,,00,14.5166667,-61.0333333
coridon,,00,14.6166667,-61.0666667
corps de garde,,00,14.4666667,-60.95
courbaril,,00,14.5333333,-60.95
croisee decius,,00,14.4666667,-60.85
croisee jeanne d'arc,,00,14.6333333,-61.0166667
croisee manioc,,00,14.6666667,-61.0333333
croisee palmiste,,00,14.7333333,-60.9666667
croisee soldat,,00,14.7166667,-60.9833333
croix blanche,,00,14.6833333,-61.0
croix odilon,,00,14.7,-60.9833333
daubert,,00,14.6666667,-60.9833333
delivry,,00,14.4833333,-60.9166667
demare,,00,14.8166667,-61.1166667
derriere-bois,,00,14.65,-61.0
derriere morne,,00,14.75,-60.9833333
desert,,00,14.4666667,-60.95
desforts,,00,14.7166667,-60.9666667
desmariniere,,00,14.5,-60.95
desmarinieres,,00,14.5,-60.95
desruisseaux,,00,14.5166667,-60.8833333
deus chous,,00,14.7333333,-61.1
deux choux,,00,14.7333333,-61.1
diaka,,00,14.4666667,-60.8666667
diamant,,00,14.4666667,-61.0333333
dominant,,00,14.7,-60.9833333
dominante,,00,14.7833333,-61.0333333
duchene,,00,14.6333333,-60.95
duchesne,,00,14.6333333,-60.95
ducos,17395,00,14.5666667,-60.9833333
duhamelin,,00,14.8,-61.0333333
dumaine,,00,14.5833333,-60.9
duquesne,,00,14.5833333,-60.9333333
esperance,,00,14.5333333,-61.05
eudorcait,,00,14.75,-61.0166667
fantaisie,,00,14.6166667,-61.05
faubourg scha“lcher,,00,14.4833333,-60.9
favorite,,00,14.6333333,-61.0333333
ferme saint-jacques,,00,14.8,-61.0166667
ferre,,00,14.4666667,-60.8333333
fleury,,00,14.8,-61.0333333
floreal,,00,14.6166667,-61.05
fond abattoir,,00,14.7666667,-61.1333333
fond belle fontaine,,00,14.6666667,-61.1666667
fond bernier,,00,14.6166667,-61.1166667
fond boheme,,00,14.6833333,-61.1333333
fond boucher,,00,14.65,-61.15
fond bourlet,,00,14.6333333,-61.1333333
fond cacao,,00,14.65,-61.0333333
fond capot,,00,14.6666667,-61.1666667
fond collat,,00,14.6166667,-61.1
fond fleury,,00,14.4666667,-61.0666667
fond gens libres,,00,14.4833333,-60.85
fond-gens-libres,,00,14.8166667,-61.0666667
fond giromond,,00,14.65,-60.9666667
fond grande anse,,00,14.8,-61.0666667
fond guillet,,00,14.7666667,-61.1333333
fond hubert,,00,14.55,-60.8666667
fond-lahaye,,00,14.6166667,-61.1
fond marie-reine,,00,14.75,-61.1166667
fond mascret,,00,14.7333333,-61.1333333
fond masson,,00,14.5333333,-60.9333333
fond moustiques,,00,14.4166667,-60.8833333
fond nicolas,,00,14.6333333,-60.95
fond nigaud,,00,14.6166667,-61.1
fond panier,,00,14.5666667,-60.9833333
fond repos,,00,14.45,-60.85
fond rose,,00,14.75,-61.1166667
fond-saint-denis,,00,14.7333333,-61.1333333
fond saint-jacques,,00,14.7833333,-61.0
fonds boheme,,00,14.6833333,-61.1333333
fonds boucher,,00,14.65,-61.15
fonds bourlet,,00,14.6333333,-61.1333333
fonds brules,,00,14.65,-60.9666667
fonds capot,,00,14.6666667,-61.1666667
fonds d'or,,00,14.8166667,-61.0333333
fonds-lahaye,,00,14.6166667,-61.1
fonds nicolas,,00,14.6333333,-60.95
fonds panier,,00,14.5666667,-60.9833333
fonds-saint denis,,00,14.7333333,-61.1333333
fonds-saint-jacques,,00,14.7833333,-61.0
fonds zamy,,00,14.55,-60.8833333
fond-zombi,,00,14.65,-61.05
fontaine de moutte,,00,14.6333333,-61.05
fort-de-france,89997,00,14.6,-61.0833333
fort royal,,00,14.6,-61.0833333
four a chaux,,00,14.65,-60.95
francois,,00,14.6,-60.9
gabourin,,00,14.5833333,-60.9166667
gallochat,,00,14.5166667,-61.0666667
galocha,,00,14.5166667,-61.0666667
garanne,,00,14.8166667,-61.2166667
gerbault,,00,14.6,-61.05
glotin,,00,14.6833333,-61.0
gondeau,,00,14.6166667,-61.0333333
gondeau-saint-joseph,,00,14.6333333,-61.0333333
grand-court,,00,14.45,-60.85
grande anse,,00,14.5,-61.0833333
grande riviere,,00,14.8666667,-61.1833333
grande savane,,00,14.5666667,-60.95
grand' riviere,,00,14.8666667,-61.1833333
gros-morne,11026,00,14.7,-61.0
guenot,,00,14.4833333,-60.9
guinee-fleury,,00,14.5166667,-60.9333333
hauteurs bourdon,,00,14.8333333,-61.1333333
hauteurs dumas,,00,14.85,-61.1333333
hauteurs riviere roche,,00,14.85,-61.1333333
hyacinthe,,00,14.65,-60.9
jean-baptiste,,00,14.45,-60.9
jeanne d'arc,,00,14.6333333,-61.0166667
josseaud,,00,14.5166667,-60.8833333
la bagerie,,00,14.5166667,-61.05
la bateliere,,00,14.6,-61.1
la batterie,,00,14.6333333,-61.1333333
la baume,,00,14.5333333,-60.8666667
la beleme,,00,14.6333333,-61.0
la berry,,00,14.4666667,-60.8666667
la boissiere,,00,14.55,-60.9
la bonnie,,00,14.6333333,-60.9333333
la californie,,00,14.6,-61.0333333
la canelle,,00,14.6666667,-60.9666667
la carriere,,00,14.5,-60.85
la casse,,00,14.45,-60.8333333
la cesaire,,00,14.6166667,-61.0
la chapelle,,00,14.6833333,-61.0333333
la chopotte,,00,14.6166667,-60.9166667
la citerne,,00,14.7333333,-60.9666667
la clairiere,,00,14.6,-61.0833333
la croisee manioc,,00,14.6666667,-61.0333333
la debuc,,00,14.45,-60.8833333
la demarche,,00,14.6333333,-61.1166667
la dessaint,,00,14.7166667,-61.1833333
la duchene,,00,14.6333333,-60.95
la dumaine,,00,14.5833333,-60.9
la duprey,,00,14.45,-60.8833333
la durand,,00,14.6833333,-61.05
la farelle,,00,14.5833333,-60.9333333
la favorite,,00,14.6333333,-61.0333333
la ferme saint-jacques,,00,14.7833333,-61.0333333
la fontenay,,00,14.5333333,-60.9333333
la fouquette,,00,14.4666667,-60.85
la-haut,,00,14.5333333,-60.95
la haut,,00,14.6333333,-60.95
la huvet,,00,14.4666667,-60.8666667
l'ajoupa-bouillon,,00,14.8166667,-61.1166667
lajus,,00,14.7,-61.1833333
l'alma,,00,14.7,-61.1
la malevaut,,00,14.5,-60.8333333
la manzo,,00,14.5833333,-60.95
la massel,,00,14.5,-60.8666667
la mauny,,00,14.5,-60.9
la medaille,,00,14.7,-61.0833333
lamentin,,00,14.6,-61.0
la moise,,00,14.7333333,-60.95
la monnerot,,00,14.6333333,-60.9333333
l'anse caffar,,00,14.4666667,-61.05
l'anse mitan,,00,14.5333333,-61.05
l'anse noire,,00,14.5166667,-61.1
la pagerie,,00,14.5166667,-61.05
la plaine,,00,14.5,-61.0666667
la redoute,,00,14.6166667,-61.05
la regale,,00,14.6333333,-61.05
la renee,,00,14.5166667,-60.9
la richard,,00,14.5833333,-60.95
la salette,,00,14.5833333,-60.9833333
la source,,00,14.4666667,-60.85
la suffrin,,00,14.4666667,-60.9
la suin,,00,14.55,-60.9
la tocnay,,00,14.5,-60.8666667
la tracee,,00,14.7,-60.9833333
la tranchee,,00,14.7333333,-61.1333333
la trinite,15041,00,14.7333333,-60.9666667
la vatable,,00,14.5166667,-61.0333333
la vierge,,00,14.4666667,-60.8666667
lazaret,,00,14.55,-61.05
le cap,,00,14.4666667,-60.85
le carbet,,00,14.7,-61.1833333
le centre,,00,14.75,-61.1833333
le coin,,00,14.7,-61.1833333
le coteau,,00,14.4833333,-60.9833333
le diamant,,00,14.4666667,-61.0333333
le fort-de-france,,00,14.6,-61.0833333
le francois,19683,00,14.6,-60.9
le lamentin,39230,00,14.6,-61.0
le lorrain,8342,00,14.8333333,-61.0666667
le macouba,,00,14.8666667,-61.15
le marigot,,00,14.8166667,-61.0333333
le marin,7944,00,14.4666667,-60.8666667
le morne aux ba“ufs,,00,14.6833333,-61.1666667
le morne des olives,,00,14.6833333,-61.05
le morne rouge,,00,14.7666667,-61.1333333
le morne-vert,,00,14.7,-61.1333333
le mouillage,,00,14.7333333,-61.1666667
l'enclos,,00,14.6166667,-61.1166667
le parnasse,,00,14.75,-61.1333333
le petit bourg,,00,14.5333333,-60.9666667
lepinay,,00,14.5,-60.9166667
le poirier,,00,14.45,-60.9166667
le poteau,,00,14.85,-61.1
le precheur,,00,14.8,-61.2166667
l'ermitage,,00,14.6,-61.0666667
le robert,23815,00,14.6666667,-60.9333333
lero,,00,14.7333333,-60.9833333
les abymes,,00,14.8,-61.2166667
le saint-esprit,,00,14.55,-60.9333333
les anses d'arlet,,00,14.4833333,-61.0833333
les anses-d'arlets,,00,14.4833333,-61.0833333
les boucaniers,,00,14.4333333,-60.8833333
les coteaux,,00,14.4833333,-60.9833333
lescouet,,00,14.4833333,-60.8833333
les deux-terres,,00,14.7,-61.0
les flamboyants,,00,14.4333333,-60.8833333
l'esperance,,00,14.5333333,-61.05
les quatre chemins,,00,14.4666667,-60.8666667
lestrade,,00,14.7,-60.9333333
les trois-ilets,5658,00,14.5333333,-61.0333333
les trois ponts,,00,14.75,-61.1666667
le trou,,00,14.7166667,-61.1833333
le vauclin,7813,00,14.5333333,-60.8333333
lheureux,,00,14.6833333,-60.9666667
long bois,,00,14.6333333,-61.0
long-bois,,00,14.6666667,-61.0166667
lorrain,,00,14.8333333,-61.0666667
lourdes,,00,14.4833333,-60.8833333
lunette-bouille,,00,14.6166667,-61.0666667
macedoine,,00,14.8,-61.0666667
macouba,,00,14.8666667,-61.15
macre,,00,14.4666667,-60.8333333
malevaut,,00,14.5,-60.8333333
mare capron,,00,14.4833333,-60.8833333
mare poirier,,00,14.4833333,-61.0
marie noire,,00,14.45,-60.9
marigot,,00,14.8166667,-61.0333333
marin,,00,14.4666667,-60.85
maxime,,00,14.8166667,-61.0833333
maximin,,00,14.7166667,-61.0
mayol,,00,14.5,-60.9
medaille,,00,14.7,-61.0833333
medecin,,00,14.5166667,-60.9833333
mondesir,,00,14.4333333,-60.8666667
mondesir-pointe sable,,00,14.45,-60.8666667
monesie,,00,14.4833333,-60.9333333
montgerald,,00,14.4666667,-60.8833333
montjoly,,00,14.7,-61.1333333
montravail,,00,14.4833333,-60.9333333
morne baguidi,,00,14.5166667,-61.1
morne-balai,,00,14.8333333,-61.1333333
morne baldara,,00,14.5666667,-60.9
morne bel,,00,14.7333333,-60.9666667
morne blanc,,00,14.4833333,-61.05
morne bois,,00,14.8,-61.05
morne capot,,00,14.8,-61.0833333
morne ceron,,00,14.8166667,-61.0666667
morne congo,,00,14.75,-60.9833333
morne courbaril,,00,14.4833333,-60.8666667
morne des esses,,00,14.7333333,-61.0166667
morne flambeau,,00,14.4833333,-60.8333333
morne honore,,00,14.5166667,-60.9166667
morne la valeur,,00,14.55,-60.95
morne pavillon,,00,14.6166667,-60.95
morne-pichevin,,00,14.6,-61.0666667
morne pitault,,00,14.6,-60.95
morne poirier,,00,14.6666667,-61.05
morne pois,,00,14.4333333,-60.8666667
morne rouge,,00,14.4666667,-60.8833333
