names,population,state_code,lat,lon
abari,,05,16.3666667,-13.9833333
abaye,,05,16.6166667,-14.25
abdallah diori,,05,16.2833333,-13.9
abdel begrou,,01,15.5666667,-7.1166667
adabai,,05,16.7166667,-14.9666667
adabai deili,,05,16.4166667,-13.8333333
adabai doulel,,04,16.2333333,-13.7
adabai idaouach,,04,16.5833333,-12.8
adabaye,,05,16.7166667,-14.9666667
adabaye ideouache,,04,16.5833333,-12.8
'adel bagrou,,01,15.5666667,-7.1166667
ador,,04,15.7666667,-12.95
aere gollere,,05,16.4166667,-14.0166667
aere mbar,,05,16.4166667,-14.0666667
afnia,,05,16.6833333,-14.3166667
afrare,,03,15.2166667,-10.95
agmamine,,03,15.8666667,-11.55
agnetir,,04,15.9666667,-12.0666667
agouanit,,03,15.6333333,-11.6833333
agouanitt,,03,15.6333333,-11.6833333
agouemit,,10,15.5666667,-12.3333333
agouenit,,01,16.7166667,-7.55
agreyate,,04,15.6,-12.7833333
agueni,,07,20.5166667,-13.1666667
aguenni,,07,20.5166667,-13.1666667
aguini,,04,16.8333333,-13.05
aguinni,,04,16.8333333,-13.05
agwenit,,01,16.7166667,-7.55
ahel aimar,,03,15.65,-11.3
ahel aoubak,,03,15.5333333,-11.3166667
ahel cheiheb,,03,15.9166667,-11.4333333
ahel el jeilani,,03,15.9833333,-11.75
aidou,,10,15.3166667,-12.1833333
aime msira,,02,15.7333333,-9.3166667
aime msirate,,02,15.7333333,-9.3166667
aimore,,04,16.55,-12.9166667
'ain ben tili,,11,25.9333333,-9.5833333
ain bentilli,,11,25.9333333,-9.5833333
ain taiss,,03,15.6333333,-11.1666667
'ain tass,,03,15.6333333,-11.1666667
aioun el atrouss,,02,16.6666667,-9.6166667
ajar sarakole,,04,15.5166667,-12.6333333
ajar toucouleur,,04,15.5166667,-12.4833333
akaouini,,02,15.7166667,-9.8333333
aka wini,,02,15.7166667,-9.8333333
akjoujt,,12,19.75,-14.3833333
akjout,,12,19.75,-14.3833333
akouaoui,,02,15.5333333,-10.05
akouawi,,02,15.5333333,-10.05
alaina,,02,15.4333333,-10.4666667
alanguide,,03,15.2,-10.9166667
aleg,,05,17.05,-13.9166667
'aleib,,04,16.9333333,-12.6833333
'ali baidi,,04,16.2333333,-13.8333333
amadi fakourou,,04,16.0666667,-12.9166667
amadou moussa,,04,16.1666667,-13.35
amague bedia,,10,15.25,-12.0666667
amake,,02,15.45,-9.7666667
amchola,,03,15.9833333,-12.0333333
amchotone,,04,15.9333333,-12.0666667
amerj arr,,01,16.1166667,-7.2666667
amriye,,04,15.95,-12.4
ando reo,,05,16.6333333,-14.6333333
anietir,,04,15.9666667,-12.0666667
aouinat,,04,16.15,-13.4
'aouinat,,10,15.4,-11.8166667
'aouinet nemadi,,01,15.5166667,-8.15
aoujeft,,07,20.0333333,-13.05
aoure baoude,,04,15.4833333,-12.6666667
archane,,04,15.45,-12.5166667
are koka,,04,15.5333333,-12.4333333
aroueiji,,03,16.0166667,-12.0333333
arsane,,10,15.4166667,-12.3166667
arsane maure,,10,15.4166667,-12.3833333
artemou,,10,15.5166667,-12.2666667
atar,30501,07,20.5166667,-13.05
atem,,04,16.3333333,-13.7166667
atila,,03,15.85,-11.1333333
atta'ine,,04,16.0833333,-12.25
attein,,04,16.0833333,-12.25
avoinat,,04,16.15,-13.4
awinatt,,10,15.4,-11.8166667
awinet nemadi,,01,15.5166667,-8.15
'ayoun el 'atrous,,02,16.6666667,-9.6166667
bababe,11507,05,16.3333333,-13.95
bacikounou,,01,15.8666667,-5.95
badaa,,04,16.5333333,-13.0666667
badinke,,04,15.3333333,-12.9
baediam,,10,15.05,-11.85
baediame,,10,15.05,-11.85
bagoudine,,04,16.25,-13.7166667
bahara,,04,16.5666667,-12.9666667
bandiougou,,10,15.2166667,-11.9166667
bango,,04,15.75,-12.1833333
bara,,03,15.95,-11.5166667
baraini,,02,15.6166667,-9.55
barbarak,,04,15.7166667,-12.8166667
bargatanni,,02,16.8166667,-10.75
bargou,,10,15.1333333,-11.8666667
barkeol,,04,16.65,-12.5
barkeol el akhdar,,04,16.6,-12.4333333
barkeol el arhdar,,04,16.6,-12.4333333
barkeouol,,04,16.65,-13.0333333
barogal,,04,16.1166667,-13.5
bassikounou,,01,15.8666667,-5.95
bassi nguidi,,04,16.6666667,-13.1333333
bate laye,,05,16.5,-13.8833333
