names,population,state_code,lat,lon
amersham,,01,16.7,-62.2
baker hill,,03,16.7666667,-62.2
bank level,,03,16.7833333,-62.2
banks,,03,16.7666667,-62.2
beech hill,,02,16.7166667,-62.1833333
bethel,,02,16.7333333,-62.15
black ghaut basin,,03,16.7833333,-62.2
bramble,,02,16.7333333,-62.1666667
bransby,,01,16.7166667,-62.2333333
cavalla hill,,03,16.7666667,-62.2
cheapend,,03,16.7666667,-62.2166667
cork hill,,01,16.7166667,-62.2166667
cork hill village,,01,16.7166667,-62.2166667
cudjoe head,,03,16.7833333,-62.2
cudjoehead village,,03,16.7833333,-62.2
cuojoe head,,03,16.7833333,-62.2
dagenham,,01,16.7,-62.2166667
davy hill,,03,16.7833333,-62.2
delvins,,01,16.7166667,-62.2166667
dick hill,,02,16.7666667,-62.1833333
drummond's,,03,16.7833333,-62.1833333
duberry hill,,03,16.75,-62.2166667
dyer's,,02,16.7166667,-62.1833333
fairfield,,01,16.6833333,-62.2
farm,,02,16.7333333,-62.1666667
farm village,,02,16.7333333,-62.1666667
fleming,,03,16.7333333,-62.2
fogarty,,03,16.7666667,-62.2
fox's bay,,01,16.7166667,-62.2333333
frith,,03,16.7333333,-62.2166667
gages,,01,16.7,-62.2
gerald's bottom,,03,16.7833333,-62.1833333
gerald's,,03,16.7833333,-62.1833333
gingoes,,01,16.6833333,-62.2
glen mhor,,01,16.7,-62.2
gun hill,,02,16.7166667,-62.1833333
happy hill,,03,16.7333333,-62.2166667
harris,,02,16.7333333,-62.1833333
harris village,,02,16.7333333,-62.1833333
harris' village,,02,16.7333333,-62.1833333
hodge's hill,,02,16.7166667,-62.1833333
hope,,03,16.7333333,-62.2
iles bay,,03,16.7333333,-62.2166667
jubilee town,,01,16.7,-62.2166667
judy piece,,02,16.7666667,-62.1833333
kinsale,,01,16.7,-62.2166667
kinsale village,,01,16.7,-62.2166667
lee's,,02,16.7166667,-62.2
lees village,,02,16.7166667,-62.2
long ground,,02,16.7166667,-62.1666667
long ground village,,02,16.7166667,-62.1666667
mango hill,,02,16.7666667,-62.1833333
marko bottom,,03,16.7833333,-62.2
molyneux,,02,16.7166667,-62.2
morris',,01,16.6833333,-62.1833333
nixons,,03,16.7666667,-62.2
old norwood,,03,16.7833333,-62.1833333
old towne,,03,16.7333333,-62.2166667
olveston,,03,16.7333333,-62.2166667
parsons,,01,16.7,-62.2
plymouth,,01,16.7,-62.2166667
pond bottom,,03,16.7666667,-62.2
rendezvous,,03,16.8,-62.2
rendezvous village,,03,16.8,-62.2
richmond hill,,01,16.7166667,-62.2166667
richmond,,01,16.7,-62.2166667
roche's yard,,01,16.7,-62.15
rocklands,,03,16.7666667,-62.2166667
ryners,,01,16.7,-62.2
saint george's hill,,02,16.7166667,-62.2
saint john,,03,16.7833333,-62.2
saint john's,,03,16.7833333,-62.2
saint john's village,,03,16.7833333,-62.2
saint patrick's,,01,16.6833333,-62.2
saint patrick's village,,01,16.6833333,-62.2
saint peters,,03,16.7666667,-62.2166667
saint peter's village,,03,16.7666667,-62.2166667
salem,,03,16.75,-62.2166667
shooters hill,,01,16.6666667,-62.1833333
soldier ghaut,,03,16.7833333,-62.2
spanish point,,02,16.7333333,-62.15
streatham,,02,16.7166667,-62.1833333
trant's,,02,16.75,-62.15
trials,,01,16.6833333,-62.2
tuitt's,,02,16.7166667,-62.15
victoria,,01,16.7,-62.2166667
virgin island,,03,16.7666667,-62.2166667
webbs,,01,16.7,-62.2166667
weekes,,02,16.7166667,-62.2
windy hill,,02,16.7333333,-62.1833333
woodlands,,03,16.75,-62.2166667
zion hill,,03,16.7666667,-62.2
