names,population,state_code,lat,lon
a¦ad-dingli,,00,35.8613889,14.3822222
a¦al-bajjada,,00,35.8780556,14.3958333
a¦al balzan,,00,35.9002778,14.455
a¦al dwin,,00,35.8680556,14.4358333
a¦al far,,00,35.8166667,14.5066667
a¦al ga§axaq,,00,35.8488889,14.5166667
a¦al ginwi,,00,35.8466667,14.5425
a¦al-kirkop,,00,35.8422222,14.4852778
a¦all bajjada,,00,35.8780556,14.3958333
a¦all duiel,,00,35.8680556,14.4358333
a¦al-lew,,00,35.8294444,14.4691667
a¦al lija,,00,35.9005556,14.4463889
a¦all mula,,00,35.8702778,14.4444444
a¦al luqa,,00,35.8588889,14.4886111
a¦al mula,,00,35.8702778,14.4444444
a¦al muxi,,00,35.8755556,14.4358333
a¦alq dieri,,00,35.8686111,14.4236111
a¦al qormi,,00,35.8783333,14.4719444
a¦al safi,,00,35.8330556,14.4847222
a¦al saflieni,,00,35.8694444,14.5052778
a¦al tarxien,,00,35.8658333,14.515
a¦amrun,,00,35.8847222,14.4844444
a¦as-sajd,,00,35.8708333,14.5433333
a¦'attard,,00,35.8897222,14.4425
a¦az-zebbug,,00,35.8719444,14.4411111
ainsielem,,00,36.0263889,14.285
a¦ofret ir-rizz,,00,35.8733333,14.3766667
ashiak,,00,35.8488889,14.5166667
attard,9510,00,35.8897222,14.4425
axiak,,00,35.8488889,14.5166667
baa§ar ic-caga§aq,,00,35.9386111,14.4541667
bahar it chiak,,00,35.9386111,14.4541667
baia di san paolo,,00,35.9483333,14.4005556
balzan,,00,35.9002778,14.455
b'buga,,00,35.8258333,14.5269444
b'bugia,,00,35.8258333,14.5269444
benga§ajsa,,00,35.8130556,14.5386111
benga§isa,,00,35.8130556,14.5386111
benghaisa,,00,35.8130556,14.5386111
bezbezija,,00,35.9122222,14.4086111
bidni,,00,35.8688889,14.5544444
bighi,,00,35.8922222,14.525
bingemma,,00,35.91,14.3736111
binjemma,,00,35.91,14.3736111
birbuba,,00,36.0641667,14.1986111
birchircara,,00,35.8972222,14.4611111
birgu,2936,00,35.8922222,14.5183333
bir id-deheb,,00,35.8513889,14.5280556
birkirkara,21676,00,35.8972222,14.4611111
birzbbu,,00,35.8258333,14.5269444
birzebbu,,00,35.8258333,14.5269444
birzebbuga,,00,35.8258333,14.5269444
birzebbugia,,00,35.8258333,14.5269444
birzebuggia,,00,35.8258333,14.5269444
biskra,,00,35.9663889,14.3469444
b'kara,,00,35.8972222,14.4611111
borg in-nadur,,00,35.8338889,14.5302778
bormla,6096,00,35.8855556,14.5275
bubakra,,00,35.8247222,14.4780556
bubaqra,,00,35.8247222,14.4780556
bugibba,,00,35.9513889,14.4105556
bujebba,,00,35.9513889,14.4105556
bulebel il cbir,,00,35.8625,14.52
buleben il-kbir,,00,35.8625,14.52
buleben iz-zga§ir,,00,35.8702778,14.5277778
bur maga§tab,,00,35.8427778,14.5136111
bur maghtub,,00,35.8427778,14.5136111
bur marrad,,00,35.9358333,14.4138889
busugrilla,,00,35.8833333,14.3919444
caccia,,00,36.05,14.2644444
calcara,,00,35.8891667,14.5327778
casal asciak,,00,35.8488889,14.5166667
casal attard,,00,35.8897222,14.4425
casal balzan,,00,35.9002778,14.455
casal birchircara,,00,35.8972222,14.4611111
casal chircop,,00,35.8422222,14.4852778
casal dingli,,00,35.8613889,14.3822222
casal krendi,,00,35.8347222,14.4583333
casal lia,,00,35.9005556,14.4463889
casal luca,,00,35.8588889,14.4886111
casal micabiba,,00,35.8461111,14.4672222
casal paola,,00,35.8730556,14.4988889
casal paolo,,00,35.8730556,14.4988889
casal paula,,00,35.8730556,14.4988889
casal qala,,00,36.0361111,14.3094444
casal safi,,00,35.8330556,14.4847222
casal tarxien,,00,35.8658333,14.515
casal zeitun,,00,35.8558333,14.5330556
casal zurrico,,00,35.8311111,14.4741667
citta notabile,,00,35.8869444,14.4025
citta vecchia,,00,35.8869444,14.4025
citta vechia,,00,35.8869444,14.4025
cordin,,00,35.8825,14.5063889
corradino heights,,00,35.8827778,14.5102778
cospicua,,00,35.8855556,14.5275
cospiosa,,00,35.8855556,14.5275
curmi,,00,35.8783333,14.4719444
delimara,,00,35.8247222,14.5597222
dingli,3009,00,35.8613889,14.3822222
dueira,,00,35.9052778,14.3836111
dwejra,,00,35.9052778,14.3836111
el madliena,,00,35.9275,14.4661111
el mghatap,,00,35.9363889,14.4477778
'emieri,,00,35.8922222,14.3658333
erba' mwiezeb,,00,35.9444444,14.4105556
fgura,11819,00,35.8702778,14.5133333
fleur de lis,,00,35.8922222,14.4705556
fleur de lys,,00,35.8922222,14.4705556
floriana,2516,00,35.8958333,14.5083333
ga§ajn dwieli,,00,35.8775,14.5133333
ga§ajn il-kbira,,00,35.8544444,14.4080556
ga§ajn klieb,,00,35.8855556,14.3847222
ga§ajn melel,,00,36.0761111,14.2391667
ga§ajn qajjet,,00,35.8861111,14.3866667
ga§ajn qajjied,,00,35.8861111,14.3866667
ga§ajnsielem,,00,36.0263889,14.285
ga§ajn tuffiea§a,,00,35.9258333,14.3533333
ga§ajn zejtuna,,00,35.9663889,14.3672222
ga§ammar,,00,36.0661111,14.2183333
ga§ammieri,,00,35.8725,14.4808333
ga§arb,,00,36.06,14.2088889
ga§arga§ur,,00,35.9241667,14.4519444
ga§ar mundu,,00,35.8494444,14.4061111
ga§ar ram,,00,35.8722222,14.4583333
ga§asri,,00,36.0577778,14.2263889
ga§axaq,,00,35.8488889,14.5166667
ga§emieri,,00,35.8922222,14.3658333
gargur,,00,35.9241667,14.4519444
ghain clieb,,00,35.8855556,14.3847222
ghain dueili,,00,35.8775,14.5133333
ghain dwieli,,00,35.8775,14.5133333
ghain il cbira,,00,35.8544444,14.4080556
ghain il k'bira,,00,36.0386111,14.2397222
ghain kaiet,,00,35.8861111,14.3866667
ghain kaijet,,00,35.8861111,14.3866667
ghain klieb,,00,35.8855556,14.3847222
ghain sielem,,00,36.0263889,14.285
ghain tuffieha,,00,35.9258333,14.3533333
ghain zeituna,,00,35.9663889,14.3672222
ghashiak,,00,35.8488889,14.5166667
gnien el gbir,,00,35.8708333,14.3963889
gnien-il gbir,,00,35.8708333,14.3963889
gnien il-kbir,,00,35.8708333,14.3963889
gomerino,,00,35.8922222,14.3658333
guarda mangia,,00,35.8905556,14.4916667
gudia,,00,35.8491667,14.5030556
gudja,3023,00,35.8491667,14.5030556
gwardamanga,,00,35.8905556,14.4916667
gzira,7513,00,35.9058333,14.4880556
hal baiada,,00,35.8780556,14.3958333
hal baijada,,00,35.8780556,14.3958333
hal duiel,,00,35.8680556,14.4358333
hal ghaxiak,,00,35.8488889,14.5166667
hal jinwi,,00,35.8466667,14.5425
halk dieri,,00,35.8686111,14.4236111
hal mushi,,00,35.8755556,14.4358333
hal saflini,,00,35.8694444,14.5052778
hamria,,00,35.8588889,14.4233333
hamrija,,00,35.8622222,14.5694444
ham rum,,00,35.8847222,14.4844444
has-saflieni,,00,35.8694444,14.5052778
has-said,,00,35.8708333,14.5433333
haz-zabbar,,00,35.8761111,14.535
hofriet ir ritz,,00,35.8733333,14.3766667
id-daa§ar,,00,35.9763889,14.3327778
il-a¦ammieri,,00,35.8822222,14.4608333
il-a¦amra,,00,35.9497222,14.4186111
il-a¦amrija,,00,35.8588889,14.4233333
il-a¦ofra,,00,35.8819444,14.5447222
il-bidni,,00,35.8688889,14.5544444
il-birgu,,00,35.8922222,14.5183333
il biskra,,00,35.9663889,14.3469444
il-brolli,,00,35.8305556,14.5213889
il buierak,,00,35.9013889,14.46
il busbesia,,00,35.9122222,14.4086111
