names,population,state_code,lat,lon
abercrombie,,18,-20.1480556,57.5161111
albion,3254,12,-20.2116667,57.4008333
alma,,15,-20.2397222,57.5663889
amaury,2912,19,-20.1308333,57.6591667
amitie,,16,-20.15,57.5666667
amitie,,19,-20.1094444,57.6638889
anna,,12,-20.265,57.3783333
anse aux anglais,,23,-19.675,63.4305556
anse jonchee,,14,-20.3475,57.7452778
antoinette,,19,-20.1216667,57.6341667
argy,,13,-20.1980556,57.7294444
arsenal,2599,16,-20.1055556,57.5352778
astrea,,14,-20.3908333,57.6288889
astroea,,14,-20.3908333,57.6288889
bagatelle,,15,-20.2169444,57.4866667
bagatelle,,17,-20.2505556,57.5133333
baie aux huitres,,23,-19.6944444,63.4083333
baie du cap,,20,-20.4883333,57.3705556
baie du tombeau,13153,16,-20.1194444,57.4913889
baie manioc,,13,-20.2913889,57.73
baie mannioc,,13,-20.2913889,57.73
baie topaze,,23,-19.7291667,63.3611111
baillache,,16,-20.1452778,57.5641667
bain des dames,,18,-20.1591667,57.4755556
balisson,,14,-20.3927778,57.5819444
bambou,,23,-19.6833333,63.45
bambous,13047,12,-20.2566667,57.4061111
bambous virieux,1541,14,-20.3427778,57.7575
bananes,652,14,-20.3466667,57.5886111
barachois,,12,-20.3202778,57.3730556
barkly,,17,-20.2202778,57.4494444
bar le duc,,15,-20.2333333,57.5666667
barlow,,19,-20.1241667,57.6477778
bassin cabri,,23,-19.7361111,63.4666667
bassin louloup,,16,-20.1711111,57.5613889
batimarais,,20,-20.4813889,57.5675
baty mare,,20,-20.4813889,57.5675
beau bassin,,17,-20.2194444,57.4583333
beau bois,,15,-20.2047222,57.5597222
beau bois,,20,-20.4605556,57.5369444
beau champ,,13,-20.2713889,57.7663889
beau champ,,20,-20.4980556,57.4336111
beau fond,,14,-20.445,57.6433333
beau mangue,,19,-19.9838889,57.6011111
beau manguier,,19,-19.9838889,57.6011111
beau plan,,16,-20.0941667,57.5683333
beau sejour,,17,-20.2477778,57.4730556
beau sejour,,19,-20.0947222,57.6286111
beau site,,14,-20.3677778,57.6633333
beau vallon,7016,14,-20.35,57.6833333
beaux songes,,12,-20.2780556,57.4194444
bel air,17671,13,-20.2541667,57.7452778
bel air,,14,-20.4063889,57.6736111
bel air,,20,-20.5005556,57.5705556
bel etang,,13,-20.2397222,57.6563889
belle etoile,,17,-20.2016667,57.4641667
belle isle,,12,-20.25,57.3833333
belle mare,,13,-20.195,57.7683333
belle ombre,,20,-20.5022222,57.4061111
belle rive,,13,-20.3091667,57.7197222
belle rose,,13,-20.2616667,57.7263889
belle rose,,15,-20.215,57.5183333
belle ross,,15,-20.215,57.5183333
belle terre,,17,-20.2608333,57.5172222
belle vue allendy,,13,-20.1883333,57.6986111
belle vue,,12,-20.195,57.4116667
belle vue,,14,-20.3691667,57.7222222
belle vue,,16,-20.05,57.5833333
belle-vue,,16,-20.0658333,57.5941667
belle vue,,19,-20.1202778,57.6636111
belle vue harel,,16,-20.0658333,57.5941667
belle vue maurel,5088,19,-20.1202778,57.6636111
belle vue pilot,,16,-20.05,57.5833333
bell village,,18,-20.1675,57.4794444
bell village station,,18,-20.1675,57.4794444
belmont,,19,-20.045,57.6586111
bel ombre,,20,-20.5022222,57.4061111
belvedere,,13,-20.1752778,57.6538889
belvedere,,16,-20.1483333,57.5833333
bemanique,,14,-20.3727778,57.5863889
benares,,20,-20.4969444,57.5830556
black river,,12,-20.3602778,57.3661111
blanche mont,,15,-20.2827778,57.6544444
bois cheri,,20,-20.4194444,57.5325
bois des amourettes,1986,14,-20.3630556,57.7311111
bois d'oiseau,,13,-20.1625,57.685
bois d'oiseaux,,13,-20.1625,57.685
bois d'oiseaux,,14,-20.4130556,57.6
bois d'oisseaux,,13,-20.1625,57.685
bois jacot,,19,-20.1358333,57.665
bois mangue,,16,-20.0641667,57.5825
bois marchand,,16,-20.1233333,57.5330556
bois marchand station,,16,-20.1233333,57.5330556
bois pignolet,,16,-20.1305556,57.5386111
bois pougnet,,15,-20.2666667,57.6
