names,population,state_code,lat,lon
dhidhdhoo,3039,26,6.8833333,73.1
eydhafushi,2808,26,5.1166667,73.0333333
farukolhufunadhoo,,26,6.15,73.2666667
felidhoo,541,26,3.4833333,73.5333333
funadhoo,1221,26,6.15,73.2666667
gamu,,01,-0.7,73.15
gan,,01,-0.7,73.15
hitaddu,,01,-0.6,73.0833333
hithadhoo,9927,01,-0.6,73.0833333
hithadhoo,683,26,1.7833333,73.3833333
kudahuvadhoo,1320,26,2.6666667,72.9
kulhudhuffushi,7775,26,6.6166667,73.05
maale,,40,4.1666667,73.5
magoodhoo,453,26,3.1,72.9666667
mahibadhoo,2155,40,3.7833333,72.9666667
male,84971,40,4.1666667,73.5
manadhoo,1418,26,5.7666667,73.3833333
midu,,01,-0.5833333,73.2333333
mula,,01,-0.3,73.4333333
muli,1008,26,2.9166667,73.5666667
naifaru,3836,26,5.4333333,73.3333333
nolhivaranfaru,448,26,6.7166667,73.1
thinadhoo,5361,26,0.5333333,72.9333333
ugoofaaru,1264,26,5.6666667,73.0
u'ngoofaaru,,26,5.6666667,73.0
veymandhoo,,26,2.1833333,73.1166667
veymandoo,,26,2.1833333,73.1166667
viligili,2305,26,0.75,73.3833333
villingili,,26,0.75,73.3833333
