names,population,state_code,lat,lon
aaron,,18,-12.75,34.2166667
aaron,,21,-11.2,33.8333333
abel chunga,,15,-12.1666667,33.4833333
abele,,11,-14.1333333,33.6666667
abindanjoke,,20,-13.4,33.9
abisai,,22,-13.7833333,34.4666667
abraham,,13,-13.65,33.1666667
abute,,13,-13.75,33.1
adam,,04,-9.5166667,33.2166667
agabu,,16,-14.6,34.7666667
agamonje,,07,-13.5166667,33.8666667
agrippa jere,,21,-11.4333333,33.35
akoyo,,21,-11.0166667,33.9166667
akubilila,,16,-14.75,34.8166667
alamu,,09,-12.5666667,33.45
alexander liti,,23,-15.3333333,35.4166667
alick chisi,,15,-11.9333333,33.6
alick cisi,,15,-11.9333333,33.6
alick ndawandawa,,15,-11.9333333,33.55
alifandaka,,19,-17.0666667,35.0833333
ali kanyenda,,18,-12.9666667,34.2666667
alikishani,,09,-12.6833333,33.6666667
alimenda,,02,-16.2166667,34.6666667
alufasi,,05,-16.4666667,34.95
alumenda,,02,-16.2,34.7166667
amadzi,,11,-14.0333333,33.4666667
amazi,,09,-12.7666667,33.3666667
ambale phaso,,18,-12.5833333,34.1666667
amenta,,11,-14.2,33.9833333
amon,,20,-13.3666667,33.8666667
amoni,,15,-12.2,33.9166667
amonis,,09,-13.1833333,33.5833333
amon munthali,,21,-11.35,33.5
amos zakocera,,09,-13.1166667,33.4666667
amozi,,13,-13.6833333,33.0833333
andama,,13,-13.6666667,33.2333333
andreya,,06,-14.4333333,34.1
anoki mkhere,,15,-11.85,33.6833333
antonio,,13,-13.85,33.2333333
arfairyu,,04,-9.6166667,33.3333333
asembe,,07,-13.6833333,33.7333333
augustino,,18,-13.0833333,34.3166667
austeni,,26,-14.7666667,34.9166667
azimbare,,11,-14.25,33.7
azyuda,,02,-16.1666667,34.75
baghaya,,21,-11.0,33.9166667
bakali,,12,-14.6666667,35.4166667
bakhili,,28,-14.6833333,35.8166667
bakile,,12,-13.9833333,35.1666667
balaka,18907,26,-14.9833333,34.95
balaka,,28,-14.9666667,35.5
balakas,,26,-14.9166667,34.8333333
balakasi,,23,-15.4833333,35.35
balala,,05,-16.45,34.95
bana,,18,-12.4,34.1166667
banda,,09,-12.6333333,33.6666667
banda,,26,-14.8333333,34.9
bandawe,,17,-11.95,34.1666667
bandawe,,22,-13.6833333,34.5833333
bande,,20,-13.45,33.95
