names,population,state_code,lat,lon
abadiano,,16,19.983333,-102.85
abajo,,06,28.033333,-107.7
abajo,,30,21.433333,-97.583333
abala,,31,20.633333,-89.683333
abal,,23,19.95,-88.866667
abal,,31,21,-89.933333
abalo,,30,20.816667,-97.483333
abandonado,,26,27.666667,-109.933333
abanoa,,29,19.133333,-98.15
abanos,,29,19.133333,-98.15
abaroa,,29,19.133333,-98.15
abasolo,,05,16.8,-92.166667
abasolo,,07,27.2,-101.4
abasolo,,10,25.3,-104.666667
abasolo,25821,11,20.45,-101.516667
abasolo,,19,25.95,-100.4
abasolo,,20,16.983333,-96.583333
abasolo,,27,17.65,-92.6
abasolo,6740,28,24.066667,-98.366667
abasolo del valle,,30,17.766667,-95.5
abejones,,12,18.066667,-101.566667
abejones,,20,17.433333,-96.616667
abelardo l. rodriguez,,02,29.8,-115.483333
abelardo l. rodriguez,,04,18.716667,-90.9
abelardo l. rodriguez,,05,16.375,-92.233333
abelardo l. rodriguez,,18,22.205833,-105.292778
abelardo l. rodriguez,,21,18.569444,-98.408333
abelardo l. rodriguez,,25,25.716667,-108.533333
abelardo rodriguez,,04,18.811111,-90.85
abelea,,01,22.35,-102.4
abelena,,01,22.35,-102.4
abispa,,06,26.733333,-105.1
abocho,,25,24.010278,-106.988889
aboreachic,,06,27.133333,-107.333333
abra abajo,,19,25.433333,-100.033333
abra,,28,23.333333,-98.733333
abra arriba,,19,25.433333,-100.05
abra de emiliano,,28,25.083333,-98.133333
abra del mezquite,,19,25.683333,-99.45
abraham,,20,15.683333,-96.6
abraham de los santos,,20,15.683333,-96.6
abraham gonzales,,06,28.966667,-107.416667
abraham gonzalez,,06,29.716667,-107.816667
abraham gonzalez,,10,24.2,-104.516667
abras,,28,24.95,-98.716667
abras de abajo,,19,25.433333,-100.033333
abras de arriba,,19,25.433333,-100.05
abras del corozo,,24,21.916667,-99.3
abrego,,24,22.65,-100.383333
abrego,,32,23.183333,-103.383333
abreu,,04,18.195833,-91.541667
abrevadero,,07,25.45,-102.05
abrevadero,,30,18.566667,-95.783333
abrevaderos,,28,23.6,-98.766667
abrevaderos,,30,21.883333,-98.1
abrita,,24,22.5,-99.4
abritas,,24,22.5,-99.4
abundancia,,30,17.65,-94.566667
abuya,,25,24.251944,-107.015556
abuya y ceuta dos,,25,24.25,-107.15
acabual,,04,18.116667,-90.9
acachahuane,,10,25.016667,-106.916667
acachapan,,27,18.016667,-92.85
acachapa y colmena,,27,18.066667,-92.766667
acachapa y colmena cuarta seccion,,27,18.1,-92.741667
acachapa y colmena primera seccion,,27,18.025,-92.85
acachapa y colmena segunda seccion,,27,18.05,-92.825
acachuame,,10,25.016667,-106.916667
acachuen,,16,19.8,-102.1
acacoyagua,6202,05,15.35,-92.65
acacoyahua,,05,15.35,-92.65
acahual,,04,18.116667,-90.9
acahualco,13968,15,19.276944,-99.775556
acahuale,,14,21.133333,-102.5
acahuales,,14,21.133333,-102.5
acahuales,,30,18.016667,-95.633333
acahuame,,10,25.016667,-106.916667
acahuane,,10,25.016667,-106.916667
acahuasco,,13,20.966667,-98.6
acahuates,,14,21.133333,-102.5
acahuato,,16,19.133333,-102.333333
acahuen,,16,19.833333,-102.233333
acahuene,,10,25.016667,-106.916667
acahuizotla,,12,17.383333,-99.45
acajala,,18,22,-105.533333
acajete,18068,21,19.1,-97.95
acajete,,30,19.583333,-97
acala,12954,05,16.566667,-92.8
acala,,30,21.233333,-97.616667
acalamatitla,,13,20.963889,-98.415278
acalapa,,21,20.316667,-98.083333
acalapa,,30,17.966667,-94.25
acalco,,12,17.483333,-99.116667
acalita de ameca,,32,22.816667,-104.083333
acalitos,,25,24.632778,-107.663333
acalman,,01,20.433333,-98.05
acalmani,,12,16.8125,-98.5
acalpican,,16,18.05,-102.416667
acalpican de morelos,,16,18.016667,-102.333333
acaltepec,,20,16.266667,-95.933333
acambaro,,07,26.483333,-101.133333
acambaro,56265,11,20.033333,-100.733333
acambay,5807,15,19.955833,-99.841667
acamilpa,,17,18.7,-99.166667
acamixtla,4866,12,18.566667,-99.583333
acamixtlan,,12,18.566667,-99.583333
acamoa,,15,19.666667,-99.2
acamuchitlan,,15,18.816667,-100.25
acanaxjab,,05,16.066667,-91.816667
acanceh,9892,31,20.816667,-89.45
acancun,,31,21.233333,-88.283333
acanoa,,13,20.791667,-98.258333
acansip,,31,20.583333,-89.833333
acantilado,,30,20.05,-96.766667
acapa,,13,20.904167,-98.9
acapantzingo,,17,18.9,-99.216667
acapetagua,,05,15.283333,-92.7
acapetahua,6115,05,15.283333,-92.7
acapetlahuaya,,12,18.416667,-100.066667
acaponeta,18564,18,22.496389,-105.359444
acaponetilla,,18,21.916667,-105.066667
acaponetillo,,18,21.916667,-105.066667
acapulco,,02,32.074722,-115.219444
acapulco,652160,12,16.85,-99.916667
acapulco,,14,21.933333,-103.533333
acapulco,,21,18.866667,-98.433333
acapulco,,25,24.953056,-107.621944
acapulco de juarez,,12,16.85,-99.916667
acaquila,,12,18.125,-99.266667
acaracare,,06,27.583333,-108.083333
acarcare,,06,27.583333,-108.083333
acarotan,,06,27.583333,-108.083333
acasico,,14,21.133333,-102.8
acatan,,18,21.9,-104.983333
acatempa,,12,18.316667,-99.866667
acatempa,,15,18.65,-100.2
acatempa,,30,20.65,-97.533333
acatempam,,15,18.65,-100.2
acatempan,,12,18.316667,-99.866667
acatempan,,15,18.65,-100.2
acatempan,,27,17.9875,-91.5
acaten,,16,19.256944,-101.225
acateno,3295,21,19.883333,-97.35
acatepec,,12,16.75,-98.483333
acatepec,,13,20.916667,-98.716667
acatepec,,20,16.15,-97.533333
acatepec,,21,18.233333,-97.566667
acatepeo,,21,18.233333,-97.566667
acatepulco,,14,21.833333,-103.466667
acatic,11582,14,20.783333,-102.883333
acaticpac,,30,19.166667,-97.066667
acatipa,,13,21.05,-98.575
acatita,,07,25.7,-101.133333
acatita,,10,20.666667,-105.316667
acatita,,18,22.808333,-105.245833
acatita,,25,24.684722,-106.896944
acatita,,32,22.45,-103.833333
acatita grande,,25,25.05,-107.083333
acatitan,,08,19.133333,-103.7
acatitan,,10,24.919722,-106.885833
acatitan,,18,21.308333,-104.641667
acatitan,,25,24.089722,-106.653611
acatitlan,,14,20.533333,-104.55
acatitlan,,15,18.983333,-100.333333
acatitlan,,21,18.133333,-97.533333
acatitlan,,22,21.216667,-99.183333
acatitlan,,25,24.089722,-106.653611
acatitlan de zaragoza,,22,21.216667,-99.183333
acatito,,25,25.35,-108.05
